"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,21,0.3195047619047619,194,85.71428571428571
Chemistry,1,2001,15,0.7045800000000001,307,93.33333333333333
Chemistry,1,2002,32,0.7289156250000002,703,84.375
Chemistry,1,2003,41,0.6111780487804879,761,90.2439024390244
Chemistry,1,2004,69,0.5811405797101449,1217,92.7536231884058
Chemistry,1,2005,90,1.1394711111111113,3119,94.44444444444444
Chemistry,1,2006,70,0.9494785714285712,1951,90.0
Chemistry,1,2007,80,0.9717537499999999,2147,92.5
Chemistry,1,2008,119,1.1664739495798317,3824,93.27731092436974
Chemistry,1,2009,138,1.230205797101449,4351,94.92753623188406
Chemistry,1,2010,119,1.251294117647059,3757,93.27731092436974
Chemistry,1,2011,137,1.1469751824817518,3760,94.16058394160584
Chemistry,1,2012,120,1.2067308333333338,3242,98.33333333333333
Chemistry,1,2013,122,1.1364229508196724,2930,95.90163934426229
Chemistry,1,2014,141,1.7522397163120567,4451,98.58156028368793
Chemistry,1,2015,155,1.13311935483871,2730,95.48387096774194
Chemistry,1,2016,129,1.0109023255813958,1588,96.89922480620154
Chemistry,1,2017,153,1.3129745098039214,1801,92.15686274509804
Chemistry,1,2018,139,2.459031654676259,1759,89.20863309352518
Chemistry,1,2019,194,1.5708499999999996,437,55.154639175257735
Chemistry,1,2020,24,0.7988666666666667,2,8.333333333333332
Materials Science,2,2000,1,0.1283,3,100.0
Materials Science,2,2002,5,0.72366,92,100.0
Materials Science,2,2003,5,0.57208,80,80.0
Materials Science,2,2004,5,1.2866600000000001,173,100.0
Materials Science,2,2005,7,1.4587714285714288,276,100.0
Materials Science,2,2006,15,1.3220266666666667,537,100.0
Materials Science,2,2007,20,1.5265700000000002,886,95.0
Materials Science,2,2008,22,1.0741500000000002,665,100.0
Materials Science,2,2009,23,0.8385521739130436,532,95.65217391304348
Materials Science,2,2010,16,1.030075,476,93.75
Materials Science,2,2011,18,1.389666666666667,666,94.44444444444444
Materials Science,2,2012,19,2.179036842105263,1033,100.0
Materials Science,2,2013,25,0.832424,471,100.0
Materials Science,2,2014,23,1.7865869565217394,877,100.0
Materials Science,2,2015,31,1.6165129032258063,913,83.87096774193549
Materials Science,2,2016,24,1.3009291666666671,451,100.0
Materials Science,2,2017,34,1.6629970588235299,632,100.0
Materials Science,2,2018,58,1.5937448275862072,565,93.10344827586206
Materials Science,2,2019,69,1.8027333333333337,191,63.76811594202898
Materials Science,2,2020,12,0.0,0,0.0
Physics,3,2000,3,0.03573333333333334,3,66.66666666666666
Physics,3,2001,1,0.1489,4,100.0
Physics,3,2002,6,0.20193333333333333,33,100.0
Physics,3,2003,8,0.3164875000000001,65,62.5
Physics,3,2004,13,0.517523076923077,176,84.61538461538461
Physics,3,2005,20,0.79156,403,80.0
Physics,3,2006,22,0.8690590909090911,471,100.0
Physics,3,2007,40,0.5401149999999999,492,97.5
Physics,3,2008,41,0.4989512195121953,458,92.6829268292683
Physics,3,2009,52,0.609523076923077,684,98.07692307692307
Physics,3,2010,48,0.9017895833333336,903,95.83333333333334
Physics,3,2011,56,0.7342107142857144,776,96.42857142857143
Physics,3,2012,48,0.6396854166666667,572,83.33333333333334
Physics,3,2013,44,0.552034090909091,385,88.63636363636364
Physics,3,2014,40,0.9426025000000001,529,82.5
Physics,3,2015,25,0.788768,238,80.0
Physics,3,2016,28,0.544132142857143,145,78.57142857142857
