"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Geosciences,1,2000,4,0.8258000000000001,131,100.0
Geosciences,1,2001,10,2.4763100000000002,969,100.0
Geosciences,1,2002,18,3.411683333333334,2332,100.0
Geosciences,1,2003,20,1.8772650000000002,1479,95.0
Geosciences,1,2004,32,2.36709375,2895,93.75
Geosciences,1,2005,47,1.5353553191489362,2660,100.0
Geosciences,1,2006,45,1.5194222222222225,2524,97.77777777777777
Geosciences,1,2007,70,1.0912471428571429,2500,97.14285714285714
Geosciences,1,2008,74,0.9514891891891892,2300,97.2972972972973
Geosciences,1,2009,86,1.2623116279069768,3314,100.0
Geosciences,1,2010,123,1.1638252032520326,3945,96.7479674796748
Geosciences,1,2011,165,1.2711006060606065,4987,98.18181818181819
Geosciences,1,2012,192,1.3060088541666668,6179,96.35416666666666
Geosciences,1,2013,263,1.537838403041825,8609,98.47908745247148
Geosciences,1,2014,343,1.1885416909620992,7120,97.08454810495627
Geosciences,1,2015,384,1.3127247395833328,6845,97.13541666666666
Geosciences,1,2016,359,1.5080752089136493,5888,95.54317548746518
Geosciences,1,2017,388,1.1988270618556698,3442,93.04123711340206
Geosciences,1,2018,505,1.3642354455445544,2647,84.95049504950495
Geosciences,1,2019,511,1.3633594911937372,707,50.09784735812133
Geosciences,1,2020,34,0.2916235294117647,1,2.941176470588235
Chemistry,2,2000,93,0.5289376344086021,1440,87.09677419354838
Chemistry,2,2001,92,0.2674652173913044,748,86.95652173913044
Chemistry,2,2002,117,0.5687384615384615,2001,91.45299145299145
Chemistry,2,2003,136,0.6946426470588235,2869,91.91176470588235
Chemistry,2,2004,153,0.672775163398693,3400,91.50326797385621
Chemistry,2,2005,158,0.5347221518987342,2624,87.9746835443038
Chemistry,2,2006,162,0.6740234567901235,3206,91.35802469135803
Chemistry,2,2007,207,0.676163768115942,3974,94.68599033816425
Chemistry,2,2008,171,0.6229497076023393,3158,90.05847953216374
Chemistry,2,2009,231,1.1964709956709956,3924,82.68398268398268
Chemistry,2,2010,229,0.7425799126637557,4629,91.70305676855895
Chemistry,2,2011,262,1.0217255725190841,5785,90.45801526717557
Chemistry,2,2012,284,1.4032718309859156,5071,91.90140845070422
Chemistry,2,2013,291,1.9833020618556696,5359,89.00343642611683
Chemistry,2,2014,276,1.3469369565217393,5244,92.7536231884058
Chemistry,2,2015,314,1.503455732484077,6240,93.94904458598727
Chemistry,2,2016,297,1.1376390572390573,4285,91.58249158249158
Chemistry,2,2017,326,1.153888036809816,3444,89.87730061349694
Chemistry,2,2018,310,1.354662258064516,2240,85.16129032258064
Chemistry,2,2019,366,1.4770680327868853,720,46.72131147540984
Chemistry,2,2020,36,0.2662888888888889,1,2.7777777777777777
Environment/Ecology,3,2000,9,0.5125555555555557,396,100.0
Environment/Ecology,3,2001,11,0.5474363636363637,254,90.9090909090909
Environment/Ecology,3,2002,22,0.6130772727272725,596,100.0
Environment/Ecology,3,2003,23,0.540604347826087,533,95.65217391304348
Environment/Ecology,3,2004,35,0.7489114285714286,1096,94.28571428571428
Environment/Ecology,3,2005,30,0.45747,576,90.0
Environment/Ecology,3,2006,38,1.31105,1915,100.0
Environment/Ecology,3,2007,72,0.901275,2404,98.61111111111111
Environment/Ecology,3,2008,76,1.0519447368421053,2767,98.68421052631578
Environment/Ecology,3,2009,97,1.0250134020618555,3005,98.96907216494846
Environment/Ecology,3,2010,122,1.1454139344262295,4484,98.36065573770492
Environment/Ecology,3,2011,188,1.1318148936170216,5489,97.87234042553192
Environment/Ecology,3,2012,190,1.1813268421052632,5465,98.94736842105263
Environment/Ecology,3,2013,264,1.1733337121212122,6406,96.5909090909091
Environment/Ecology,3,2014,335,1.1723988059701496,6913,98.2089552238806
Environment/Ecology,3,2015,407,1.2570511056511056,7245,98.28009828009829
Environment/Ecology,3,2016,449,1.3475378619153675,6611,95.10022271714922
