"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,17,0.27871764705882346,137,94.11764705882352
Chemistry,1,2001,18,0.26392777777777776,138,94.44444444444444
Chemistry,1,2002,34,0.3640088235294118,373,82.35294117647058
Chemistry,1,2003,32,0.32927187500000005,320,90.625
Chemistry,1,2004,36,0.3551138888888889,388,77.77777777777779
Chemistry,1,2005,53,0.4070735849056604,656,94.33962264150944
Chemistry,1,2006,72,0.4485430555555554,948,88.88888888888889
Chemistry,1,2007,72,0.6886694444444443,1727,93.05555555555556
Chemistry,1,2008,72,0.3499444444444445,692,91.66666666666666
Chemistry,1,2009,75,0.3337893333333334,637,88.0
Chemistry,1,2010,74,0.41741621621621616,795,87.83783783783784
Chemistry,1,2011,103,0.39235825242718453,967,86.40776699029125
Chemistry,1,2012,109,0.7152871559633028,1745,92.66055045871559
Chemistry,1,2013,121,0.7831537190082645,1881,84.29752066115702
Chemistry,1,2014,116,0.966569827586207,2122,90.51724137931035
Chemistry,1,2015,135,0.8867274074074074,1910,82.96296296296296
Chemistry,1,2016,129,1.7452852713178293,3005,88.37209302325581
Chemistry,1,2017,153,1.120075816993464,1650,88.88888888888889
Chemistry,1,2018,157,1.149749681528662,958,84.71337579617835
Chemistry,1,2019,154,0.9529331168831169,212,49.35064935064935
Chemistry,1,2020,21,0.0,0,0.0
Physics,2,2000,9,0.6393666666666667,161,88.88888888888889
Physics,2,2001,18,0.37234999999999996,180,88.88888888888889
Physics,2,2002,30,0.6077666666666668,507,93.33333333333333
Physics,2,2003,43,0.7282883720930232,804,86.04651162790698
Physics,2,2004,43,0.5260325581395349,564,95.34883720930233
Physics,2,2005,66,1.0987606060606059,1846,90.9090909090909
Physics,2,2006,52,0.7564557692307693,952,88.46153846153845
Physics,2,2007,55,0.37804545454545446,483,76.36363636363637
Physics,2,2008,72,1.0440486111111114,1726,91.66666666666666
Physics,2,2009,73,0.7642589041095892,1204,91.78082191780823
Physics,2,2010,77,0.5733727272727274,924,90.9090909090909
Physics,2,2011,77,0.528631168831169,783,96.1038961038961
Physics,2,2012,81,0.811601234567901,1180,90.12345679012346
Physics,2,2013,95,0.6976052631578948,1047,85.26315789473684
Physics,2,2014,64,0.5802109375000002,521,87.5
Physics,2,2015,93,0.6261526881720433,668,89.24731182795699
Physics,2,2016,91,0.8882736263736262,777,89.01098901098901
Physics,2,2017,110,1.401846363636364,852,78.18181818181819
Physics,2,2018,126,0.9500444444444444,449,73.01587301587301
Physics,2,2019,109,0.663184403669725,75,37.61467889908257
Physics,2,2020,17,0.0,0,0.0
Plant & Animal Science,3,2000,1,0.1406,4,100.0
Plant & Animal Science,3,2001,1,0.1773,5,100.0
Plant & Animal Science,3,2002,4,0.746175,83,100.0
Plant & Animal Science,3,2003,8,0.8046375,180,75.0
Plant & Animal Science,3,2004,14,1.1566642857142857,444,100.0
Plant & Animal Science,3,2005,27,0.32279629629629625,232,85.18518518518519
Plant & Animal Science,3,2006,52,0.40141538461538473,526,78.84615384615384
Plant & Animal Science,3,2007,39,0.5625461538461537,505,94.87179487179486
Plant & Animal Science,3,2008,30,0.9025666666666667,558,93.33333333333333
Plant & Animal Science,3,2009,29,1.1293724137931036,586,100.0
Plant & Animal Science,3,2010,38,1.2708973684210527,891,100.0
Plant & Animal Science,3,2011,40,0.8253299999999999,583,95.0
Plant & Animal Science,3,2012,62,1.3080032258064516,1127,98.38709677419355
Plant & Animal Science,3,2013,49,1.2405979591836733,796,95.91836734693877
Plant & Animal Science,3,2014,48,1.3351291666666671,699,97.91666666666666
Plant & Animal Science,3,2015,53,1.6337,752,92.45283018867924
Plant & Animal Science,3,2016,62,1.152129032258065,440,98.38709677419355
Plant & Animal Science,3,2017,64,1.6477125000000001,542,92.1875
Plant & Animal Science,3,2018,50,1.5295160000000003,186,74.0
Plant & Animal Science,3,2019,59,2.732516949152542,97,42.3728813559322
Plant & Animal Science,3,2020,6,0.0,0,0.0
Materials Science,4,2000,4,0.1817,17,75.0
Materials Science,4,2001,2,0.08105,4,50.0
Materials Science,4,2002,1,0.39330000000000004,10,100.0
Materials Science,4,2003,5,0.5649200000000001,79,60.0
Materials Science,4,2004,3,0.1363666666666667,11,100.0
Materials Science,4,2005,5,0.1332,18,80.0
Materials Science,4,2006,8,1.1078375,240,100.0
Materials Science,4,2007,17,0.6101294117647057,301,88.23529411764706
Materials Science,4,2008,13,0.7325846153846153,268,100.0
Materials Science,4,2009,17,0.2696294117647059,151,94.11764705882352
