"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,1,0.2421,7,100.0
Chemistry,1,2001,5,0.19278,28,100.0
Chemistry,1,2002,1,0.1991,6,100.0
Chemistry,1,2004,1,1.2191,37,100.0
Chemistry,1,2005,7,0.2866285714285714,61,100.0
Chemistry,1,2006,12,0.42582500000000006,150,91.66666666666666
Chemistry,1,2007,21,0.3293285714285714,191,80.95238095238095
Chemistry,1,2008,19,0.6400578947368422,334,89.47368421052632
Chemistry,1,2009,15,1.6479999999999997,629,100.0
Chemistry,1,2010,14,0.5040285714285714,178,92.85714285714286
Chemistry,1,2011,13,0.18323076923076925,57,61.53846153846154
Chemistry,1,2012,27,0.6117740740740741,372,85.18518518518519
Chemistry,1,2013,27,0.5931555555555557,338,92.5925925925926
Chemistry,1,2014,23,0.6854000000000001,284,100.0
Chemistry,1,2015,31,1.5941064516129033,530,80.64516129032258
Chemistry,1,2016,46,0.7047000000000001,425,91.30434782608695
Chemistry,1,2017,55,1.0416490909090912,575,89.0909090909091
Chemistry,1,2018,77,1.5067337662337663,602,89.6103896103896
Chemistry,1,2019,75,1.5291213333333336,160,60.0
Chemistry,1,2020,8,1.1983000000000001,1,12.5
Engineering,2,2000,5,1.37,138,100.0
Engineering,2,2001,9,1.4052777777777778,265,88.88888888888889
Engineering,2,2002,1,0.5841000000000001,13,100.0
Engineering,2,2003,7,0.9865428571428572,127,85.71428571428571
Engineering,2,2004,3,1.0277666666666667,74,100.0
Engineering,2,2005,12,0.8846583333333332,234,100.0
Engineering,2,2006,18,0.6375277777777777,255,94.44444444444444
Engineering,2,2007,13,0.5085923076923077,147,100.0
Engineering,2,2008,11,0.45670000000000005,104,90.9090909090909
Engineering,2,2009,18,0.6894000000000001,256,83.33333333333334
Engineering,2,2010,14,0.5881357142857144,164,100.0
Engineering,2,2011,25,0.57464,293,84.0
Engineering,2,2012,24,0.6706125000000002,268,83.33333333333334
Engineering,2,2013,21,1.8475809523809528,599,85.71428571428571
Engineering,2,2014,23,0.4625608695652173,128,82.6086956521739
Engineering,2,2015,35,0.9545,423,80.0
Engineering,2,2016,15,1.9084733333333337,269,73.33333333333333
Engineering,2,2017,29,1.2823862068965517,262,82.75862068965517
Engineering,2,2018,44,1.5146068181818182,246,84.0909090909091
Engineering,2,2019,53,1.6888886792452833,100,43.39622641509434
Engineering,2,2020,6,1.0629166666666667,1,16.666666666666664
Mathematics,3,2000,2,0.87675,27,100.0
Mathematics,3,2001,12,1.354675,246,83.33333333333334
Mathematics,3,2002,6,0.4688333333333334,41,100.0
Mathematics,3,2003,8,0.9625625,109,87.5
Mathematics,3,2004,7,0.7821571428571429,80,85.71428571428571
Mathematics,3,2005,14,0.33964285714285714,66,85.71428571428571
Mathematics,3,2006,16,1.2518187500000002,271,100.0
Mathematics,3,2007,16,0.6911500000000002,138,81.25
Mathematics,3,2008,16,2.0092375000000002,379,93.75
Mathematics,3,2009,21,1.4661904761904763,333,80.95238095238095
Mathematics,3,2010,17,0.8404176470588236,145,82.35294117647058
Mathematics,3,2011,21,1.626861904761905,300,71.42857142857143
Mathematics,3,2012,41,0.612848780487805,188,70.73170731707317
Mathematics,3,2013,46,0.6691695652173913,207,73.91304347826086
Mathematics,3,2014,68,0.9771441176470587,366,69.11764705882352
Mathematics,3,2015,49,1.039242857142857,240,59.183673469387756
Mathematics,3,2016,47,1.2263021276595742,209,68.08510638297872
Mathematics,3,2017,46,0.9428978260869564,114,58.69565217391305
Mathematics,3,2018,61,2.2815098360655743,211,60.65573770491803
Mathematics,3,2019,77,2.1984714285714286,86,28.57142857142857
Mathematics,3,2020,10,0.0,0,0.0
Physics,4,2001,4,0.158225,17,75.0
Physics,4,2002,4,0.15607500000000002,17,100.0
Physics,4,2004,1,0.22940000000000002,6,100.0
Physics,4,2005,2,0.05895,3,50.0
Physics,4,2006,3,0.06766666666666667,5,100.0
Physics,4,2007,8,0.7239250000000002,133,87.5
Physics,4,2008,6,1.4400666666666666,199,83.33333333333334
Physics,4,2009,24,0.7549250000000001,391,91.66666666666666
Physics,4,2010,20,0.5512600000000001,230,95.0
Physics,4,2011,16,0.25498750000000003,77,81.25
Physics,4,2012,20,0.5682600000000001,204,75.0
Physics,4,2013,20,0.7602200000000001,241,90.0
Physics,4,2014,30,0.5868200000000001,247,83.33333333333334
Physics,4,2015,26,0.4939346153846155,155,73.07692307692307
