"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,18,0.20752222222222227,108,72.22222222222221
Chemistry,1,2001,19,0.5834368421052631,322,94.73684210526315
Chemistry,1,2002,23,0.5063608695652175,351,91.30434782608695
Chemistry,1,2003,23,0.31066956521739136,217,95.65217391304348
Chemistry,1,2004,30,0.3657266666666667,333,80.0
Chemistry,1,2005,53,0.473467924528302,763,86.79245283018868
Chemistry,1,2006,65,0.33332461538461533,636,95.38461538461539
Chemistry,1,2007,75,0.39888,807,89.33333333333333
Chemistry,1,2008,82,0.3703231707317074,848,80.48780487804879
Chemistry,1,2009,65,0.33018000000000014,550,72.3076923076923
Chemistry,1,2010,66,0.5802333333333335,1004,83.33333333333334
Chemistry,1,2011,87,0.6119862068965518,1274,90.80459770114942
Chemistry,1,2012,81,1.172706172839506,2126,92.5925925925926
Chemistry,1,2013,90,0.8712711111111113,1558,97.77777777777777
Chemistry,1,2014,106,1.0639283018867922,2058,92.45283018867924
Chemistry,1,2015,117,1.0093461538461537,1836,92.3076923076923
Chemistry,1,2016,141,0.8934723404255323,1522,92.19858156028369
Chemistry,1,2017,135,1.3497444444444442,1663,90.37037037037037
Chemistry,1,2018,143,1.3645783216783214,1011,84.61538461538461
Chemistry,1,2019,185,1.6231972972972972,492,61.08108108108108
Chemistry,1,2020,32,0.5991500000000001,2,6.25
Materials Science,2,2000,4,2.618475,245,75.0
Materials Science,2,2001,1,1.1754,29,100.0
Materials Science,2,2002,4,0.707925,72,100.0
Materials Science,2,2003,4,0.16087500000000002,18,100.0
Materials Science,2,2004,6,0.7313500000000001,118,66.66666666666666
Materials Science,2,2005,12,0.6567083333333333,213,75.0
Materials Science,2,2006,15,0.8616666666666667,350,86.66666666666667
Materials Science,2,2007,19,0.919521052631579,507,94.73684210526315
Materials Science,2,2008,35,0.8147285714285714,837,100.0
Materials Science,2,2009,27,0.6040851851851854,476,96.29629629629629
Materials Science,2,2010,22,0.7133454545454545,474,86.36363636363636
Materials Science,2,2011,31,0.8357903225806448,712,100.0
Materials Science,2,2012,41,0.6521341463414635,685,95.1219512195122
Materials Science,2,2013,25,0.8995760000000003,509,92.0
Materials Science,2,2014,34,0.6399764705882354,461,94.11764705882352
Materials Science,2,2015,53,0.9279018867924531,896,92.45283018867924
Materials Science,2,2016,49,1.1924346938775512,844,95.91836734693877
Materials Science,2,2017,54,1.9405333333333328,1126,92.5925925925926
Materials Science,2,2018,98,1.3385826530612246,911,92.85714285714286
Materials Science,2,2019,119,1.3866168067226892,267,52.94117647058824
Materials Science,2,2020,12,0.8849166666666667,1,8.333333333333332
Physics,3,2000,3,0.05956666666666668,5,66.66666666666666
Physics,3,2001,8,0.20013750000000002,43,75.0
Physics,3,2002,5,0.42591999999999997,58,100.0
Physics,3,2003,3,0.5842666666666667,45,100.0
Physics,3,2004,11,0.8409818181818184,242,90.9090909090909
Physics,3,2005,23,0.42700434782608704,250,95.65217391304348
Physics,3,2006,34,0.7390352941176472,619,79.41176470588235
Physics,3,2007,46,0.682878260869565,553,93.47826086956522
Physics,3,2008,53,0.7995792452830188,976,84.90566037735849
Physics,3,2009,52,0.6211076923076924,697,92.3076923076923
Physics,3,2010,39,0.6526641025641025,531,89.74358974358975
Physics,3,2011,55,0.6232927272727274,647,92.72727272727272
Physics,3,2012,51,0.5308980392156863,486,90.19607843137256
Physics,3,2013,55,0.7059254545454545,642,80.0
Physics,3,2014,56,0.5230982142857143,411,91.07142857142857
Physics,3,2015,45,0.6514733333333333,358,82.22222222222221
Physics,3,2016,55,0.7030363636363638,368,87.27272727272727
Physics,3,2017,48,0.7884291666666666,257,79.16666666666666
Physics,3,2018,64,0.9231218750000003,239,75.0
Physics,3,2019,84,0.8949833333333336,78,36.904761904761905
Physics,3,2020,8,0.0,0,0.0
Computer Science,4,2002,1,0.5573,13,100.0
Computer Science,4,2003,1,0.9599000000000001,18,100.0
Computer Science,4,2004,3,0.21863333333333335,11,66.66666666666666
Computer Science,4,2005,3,0.2511,12,100.0
Computer Science,4,2006,8,0.1867875,26,100.0
Computer Science,4,2007,1,0.2197,5,100.0
Computer Science,4,2008,4,0.686275,62,100.0
Computer Science,4,2009,13,0.3261769230769231,89,76.92307692307693
Computer Science,4,2010,10,0.9747199999999999,192,80.0
Computer Science,4,2011,13,1.0062,261,92.3076923076923
Computer Science,4,2012,19,1.0521368421052633,328,94.73684210526315
Computer Science,4,2013,24,0.478625,183,87.5
Computer Science,4,2014,32,1.1935999999999998,543,87.5
Computer Science,4,2015,48,1.7980187499999998,1007,91.66666666666666
Computer Science,4,2016,47,1.363648936170213,599,93.61702127659575
Computer Science,4,2017,68,1.523944117647059,740,77.94117647058823
Computer Science,4,2018,64,2.1763578125,512,79.6875
Computer Science,4,2019,78,1.6154410256410254,131,29.48717948717949
Computer Science,4,2020,8,5.4162375,9,12.5
Engineering,5,2000,3,0.11580000000000001,7,100.0
Engineering,5,2001,1,0.0477,1,100.0
Engineering,5,2002,1,0.0,0,0.0
