"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,17,0.36417058823529413,179,100.0
Chemistry,1,2001,20,0.37531,231,95.0
Chemistry,1,2002,26,0.3956,310,96.15384615384616
Chemistry,1,2003,34,0.34768235294117644,359,94.11764705882352
Chemistry,1,2004,49,0.4599285714285714,684,97.95918367346938
Chemistry,1,2005,66,0.5954803030303032,1195,95.45454545454545
Chemistry,1,2006,107,0.42782990654205605,1346,88.78504672897196
Chemistry,1,2007,97,0.5368298969072165,1479,88.65979381443299
Chemistry,1,2008,91,0.5349516483516484,1337,90.10989010989012
Chemistry,1,2009,134,0.6322716417910447,2259,87.31343283582089
Chemistry,1,2010,96,0.8147239583333333,1973,88.54166666666666
Chemistry,1,2011,127,0.691016535433071,2121,89.76377952755905
Chemistry,1,2012,104,0.8383759615384613,1953,91.34615384615384
Chemistry,1,2013,115,0.8801147826086958,2018,92.17391304347827
Chemistry,1,2014,119,0.8496563025210088,1903,89.91596638655463
Chemistry,1,2015,136,1.1687852941176475,2539,94.11764705882352
Chemistry,1,2016,132,1.0137469696969696,1667,95.45454545454545
Chemistry,1,2017,136,0.9864161764705883,1221,91.91176470588235
Chemistry,1,2018,148,1.2514054054054053,931,88.51351351351352
Chemistry,1,2019,228,1.5519083333333334,535,56.57894736842105
Chemistry,1,2020,25,1.9172880000000003,5,12.0
Physics,2,2000,7,0.33698571428571433,66,100.0
Physics,2,2001,11,0.5382454545454546,159,90.9090909090909
Physics,2,2002,16,0.34423750000000003,150,75.0
Physics,2,2003,16,0.7936187499999999,326,93.75
Physics,2,2004,54,0.7935407407407409,1121,92.5925925925926
Physics,2,2005,42,0.885754761904762,947,97.61904761904762
Physics,2,2006,47,0.8498553191489361,984,95.74468085106383
Physics,2,2007,47,0.6126170212765958,655,97.87234042553192
Physics,2,2008,54,0.6512907407407407,810,85.18518518518519
Physics,2,2009,50,0.35865600000000003,387,90.0
Physics,2,2010,48,0.8588458333333334,860,91.66666666666666
Physics,2,2011,50,0.8647020000000002,816,90.0
Physics,2,2012,62,0.7970403225806452,887,87.09677419354838
Physics,2,2013,66,1.331548484848485,1393,93.93939393939394
Physics,2,2014,60,1.526443333333333,1285,91.66666666666666
Physics,2,2015,85,1.1464235294117648,1181,89.41176470588236
Physics,2,2016,56,1.5982339285714282,884,92.85714285714286
Physics,2,2017,82,1.3234146341463415,735,89.02439024390245
Physics,2,2018,95,1.1219326315789475,421,84.21052631578947
Physics,2,2019,123,1.206748780487805,154,52.03252032520326
Physics,2,2020,20,0.0,0,0.0
Engineering,3,2001,1,0.4295,9,100.0
Engineering,3,2002,2,0.2022,9,100.0
Engineering,3,2003,3,1.784633333333333,115,100.0
Engineering,3,2004,4,0.260425,25,75.0
Engineering,3,2005,6,0.4990166666666666,66,100.0
Engineering,3,2006,8,0.23062500000000002,41,100.0
Engineering,3,2007,6,0.22488333333333332,30,100.0
Engineering,3,2008,7,0.26221428571428573,38,100.0
Engineering,3,2009,12,1.0906500000000001,270,91.66666666666666
Engineering,3,2010,16,2.0773125,662,93.75
Engineering,3,2011,16,0.82111875,242,93.75
Engineering,3,2012,10,0.29428,49,90.0
Engineering,3,2013,7,3.442257142857143,372,85.71428571428571
Engineering,3,2014,19,1.850273684210526,482,100.0
Engineering,3,2015,10,1.4499300000000002,171,90.0
Engineering,3,2016,14,1.3606785714285716,179,92.85714285714286
Engineering,3,2017,15,1.16394,123,86.66666666666667
Engineering,3,2018,41,1.7876487804878052,265,75.60975609756098
Engineering,3,2019,47,2.290304255319149,116,44.680851063829785
Engineering,3,2020,6,0.0,0,0.0
Materials Science,4,2000,1,0.0,0,0.0
Materials Science,4,2003,2,0.08940000000000001,5,100.0
Materials Science,4,2004,4,0.11155000000000001,12,75.0
Materials Science,4,2005,2,0.07400000000000001,4,50.0
Materials Science,4,2006,2,0.12925,7,100.0
Materials Science,4,2007,5,0.11026,16,80.0
Materials Science,4,2008,6,0.16581666666666667,28,83.33333333333334
Materials Science,4,2009,8,0.861025,190,100.0
Materials Science,4,2010,14,1.6619428571428574,672,92.85714285714286
Materials Science,4,2011,7,0.9657857142857144,180,100.0
Materials Science,4,2012,5,1.08214,135,100.0
Materials Science,4,2013,18,0.5505444444444446,251,94.44444444444444
