"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,2,0.0519,3,50.0
Chemistry,1,2001,1,0.1721,5,100.0
Chemistry,1,2002,6,0.4258166666666667,77,100.0
Chemistry,1,2003,2,0.1482,9,100.0
Chemistry,1,2004,6,0.1153,21,83.33333333333334
Chemistry,1,2005,8,0.250775,61,75.0
Chemistry,1,2006,5,0.45648,67,60.0
Chemistry,1,2007,3,0.0724,6,66.66666666666666
Chemistry,1,2008,9,0.22653333333333336,56,100.0
Chemistry,1,2009,11,0.4215818181818182,118,81.81818181818183
Chemistry,1,2010,11,1.7176454545454547,513,100.0
Chemistry,1,2011,9,1.1794444444444445,254,77.77777777777779
Chemistry,1,2012,5,0.62554,70,80.0
Chemistry,1,2013,13,0.3061461538461539,79,76.92307692307693
Chemistry,1,2014,12,1.5357166666666666,332,100.0
Chemistry,1,2015,19,0.9881368421052635,290,94.73684210526315
Chemistry,1,2016,18,0.5763055555555556,199,88.88888888888889
Chemistry,1,2017,24,0.6764625,156,95.83333333333334
Chemistry,1,2018,24,0.7622583333333335,96,66.66666666666666
Chemistry,1,2019,29,0.6024,24,48.275862068965516
Chemistry,1,2020,2,0.0,0,0.0
Mathematics,2,2000,3,1.082366666666667,50,100.0
Mathematics,2,2002,2,0.48025000000000007,14,100.0
Mathematics,2,2006,5,0.43461999999999995,21,80.0
Mathematics,2,2007,1,0.0801,1,100.0
Mathematics,2,2008,5,0.7803800000000001,46,100.0
Mathematics,2,2009,14,0.6934642857142858,105,78.57142857142857
Mathematics,2,2010,18,1.3685111111111112,250,88.88888888888889
Mathematics,2,2011,17,1.5005529411764706,224,100.0
Mathematics,2,2012,15,1.0692333333333335,120,93.33333333333333
Mathematics,2,2013,28,1.308517857142857,235,96.42857142857143
Mathematics,2,2014,21,0.42505238095238096,49,80.95238095238095
Mathematics,2,2015,21,1.1518142857142857,114,66.66666666666666
Mathematics,2,2016,30,0.7997400000000002,87,73.33333333333333
Mathematics,2,2017,21,0.9964714285714289,55,57.14285714285714
Mathematics,2,2018,37,0.7190756756756758,42,56.75675675675676
Mathematics,2,2019,32,0.6766375,11,28.125
Mathematics,2,2020,8,0.0,0,0.0
Environment/Ecology,3,2004,1,1.5251000000000001,64,100.0
Environment/Ecology,3,2006,2,0.5744,22,100.0
Environment/Ecology,3,2008,2,0.14255,7,100.0
Environment/Ecology,3,2009,2,1.43925,87,100.0
Environment/Ecology,3,2010,6,0.47520000000000007,85,83.33333333333334
Environment/Ecology,3,2011,5,0.37782,49,100.0
Environment/Ecology,3,2012,1,2.2392000000000003,53,100.0
Environment/Ecology,3,2013,12,0.7756583333333333,191,100.0
Environment/Ecology,3,2014,11,0.4595636363636364,87,90.9090909090909
Environment/Ecology,3,2015,16,0.36979375000000003,100,81.25
Environment/Ecology,3,2016,14,2.3541999999999996,371,92.85714285714286
Environment/Ecology,3,2017,14,0.7837857142857143,83,100.0
Environment/Ecology,3,2018,36,0.6256305555555557,109,77.77777777777779
Environment/Ecology,3,2019,48,1.1772708333333335,60,41.66666666666667
Environment/Ecology,3,2020,10,0.0,0,0.0
Materials Science,4,2007,1,0.2412,7,100.0
Materials Science,4,2008,2,0.49750000000000005,28,100.0
Materials Science,4,2010,5,1.3711200000000001,198,100.0
Materials Science,4,2011,2,0.7324,39,100.0
Materials Science,4,2012,1,0.24050000000000002,6,100.0
Materials Science,4,2013,8,0.5744,104,100.0
Materials Science,4,2014,5,0.7363200000000001,78,100.0
Materials Science,4,2015,6,0.6217666666666668,101,100.0
Materials Science,4,2016,9,1.0692111111111113,139,100.0
Materials Science,4,2017,25,1.7392520000000005,431,88.0
Materials Science,4,2018,21,1.2153571428571428,156,85.71428571428571
Materials Science,4,2019,17,0.6963176470588237,18,52.94117647058824
Materials Science,4,2020,1,0.0,0,0.0
Engineering,5,2008,1,1.8839000000000001,39,100.0
Engineering,5,2009,2,0.09695000000000001,4,50.0
Engineering,5,2010,9,2.4266888888888887,435,100.0
Engineering,5,2011,6,0.7509833333333334,83,83.33333333333334
Engineering,5,2012,7,1.1855285714285715,309,85.71428571428571
Engineering,5,2013,6,0.43181666666666674,40,83.33333333333334
Engineering,5,2014,4,0.072925,4,25.0
Engineering,5,2015,10,1.08531,128,90.0
Engineering,5,2016,6,1.0109833333333333,57,100.0
Engineering,5,2017,12,1.2538416666666667,106,83.33333333333334
Engineering,5,2018,21,0.7441238095238096,63,66.66666666666666
Engineering,5,2019,27,1.065440740740741,31,33.33333333333333
Engineering,5,2020,2,0.0,0,0.0
Physics,6,2000,2,0.14300000000000002,8,100.0
Physics,6,2001,3,0.0993,8,66.66666666666666
Physics,6,2002,3,0.048933333333333336,4,100.0
Physics,6,2003,3,0.11686666666666667,9,100.0
Physics,6,2004,2,0.40135000000000004,21,50.0
Physics,6,2005,2,0.05895,3,50.0
Physics,6,2006,5,0.50334,62,80.0
Physics,6,2007,12,0.5261583333333333,145,100.0
Physics,6,2008,17,0.12003529411764706,47,70.58823529411765
Physics,6,2009,12,0.32050833333333334,83,100.0
Physics,6,2010,13,0.13643076923076924,37,84.61538461538461
Physics,6,2011,15,0.31085999999999997,88,80.0
Physics,6,2012,18,0.3404555555555555,110,72.22222222222221
Physics,6,2013,20,0.567795,180,85.0
Physics,6,2014,11,0.589609090909091,91,90.9090909090909
Physics,6,2015,11,0.45194545454545465,60,90.9090909090909
Physics,6,2016,29,0.32572413793103455,99,72.41379310344827
Physics,6,2017,21,0.36558571428571435,52,71.42857142857143
Physics,6,2018,21,0.29170476190476197,24,47.61904761904761
Physics,6,2019,19,0.8461736842105264,13,36.84210526315789
Physics,6,2020,4,0.0,0,0.0
Molecular Biology & Genetics,7,2006,1,0.48600000000000004,31,100.0
Molecular Biology & Genetics,7,2007,1,0.4554,28,100.0
Molecular Biology & Genetics,7,2010,1,0.26940000000000003,13,100.0
Molecular Biology & Genetics,7,2011,1,0.023700000000000002,1,100.0
Molecular Biology & Genetics,7,2012,1,9.0417,667,100.0
Molecular Biology & Genetics,7,2013,2,0.403,25,100.0
Molecular Biology & Genetics,7,2014,1,0.2305,6,100.0
Molecular Biology & Genetics,7,2015,2,0.6912,29,100.0
Molecular Biology & Genetics,7,2016,4,0.0337,2,25.0
Molecular Biology & Genetics,7,2017,2,0.24550000000000002,5,50.0
Molecular Biology & Genetics,7,2018,5,0.03476,1,20.0
Molecular Biology & Genetics,7,2019,14,0.10174285714285715,2,7.142857142857142
Molecular Biology & Genetics,7,2020,7,0.0,0,0.0
Plant & Animal Science,8,2000,1,0.1406,4,100.0
Plant & Animal Science,8,2003,2,0.55435,31,100.0
Plant & Animal Science,8,2006,1,0.07980000000000001,2,100.0
Plant & Animal Science,8,2007,2,1.32505,61,100.0
Plant & Animal Science,8,2008,4,0.259325,26,100.0
Plant & Animal Science,8,2009,1,0.509,10,100.0
Plant & Animal Science,8,2010,5,0.19512000000000002,18,80.0
Plant & Animal Science,8,2011,12,0.3252833333333334,64,75.0
Plant & Animal Science,8,2012,9,0.16195555555555555,21,66.66666666666666
Plant & Animal Science,8,2013,10,0.27225,32,80.0
Plant & Animal Science,8,2014,9,0.35427777777777775,25,66.66666666666666
