"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,2,0.5188,30,100.0
Chemistry,1,2001,5,0.2754,40,80.0
Chemistry,1,2002,12,0.3235166666666667,117,91.66666666666666
Chemistry,1,2003,23,0.48202173913043467,333,100.0
Chemistry,1,2004,16,0.232675,113,81.25
Chemistry,1,2005,33,0.23719999999999994,238,90.9090909090909
Chemistry,1,2006,27,0.6217481481481483,495,96.29629629629629
Chemistry,1,2007,26,0.9080038461538462,652,84.61538461538461
Chemistry,1,2008,38,0.5668289473684212,726,92.10526315789474
Chemistry,1,2009,43,0.8326186046511628,911,97.67441860465115
Chemistry,1,2010,57,0.817184210526316,1175,87.71929824561403
Chemistry,1,2011,63,0.8474285714285715,1329,98.4126984126984
Chemistry,1,2012,42,0.6585,619,95.23809523809523
Chemistry,1,2013,67,0.7219835820895522,937,92.53731343283582
Chemistry,1,2014,62,0.9740645161290322,1088,95.16129032258065
Chemistry,1,2015,81,1.3003913580246913,1627,100.0
Chemistry,1,2016,66,1.1650742424242428,929,93.93939393939394
Chemistry,1,2017,84,1.712402380952381,1270,96.42857142857143
Chemistry,1,2018,81,1.4705827160493825,613,91.35802469135803
Chemistry,1,2019,86,1.371155813953488,162,53.48837209302325
Chemistry,1,2020,16,0.0,0,0.0
Materials Science,2,2003,4,0.19667500000000002,22,100.0
Materials Science,2,2004,5,1.1824999999999999,159,100.0
Materials Science,2,2005,3,0.18876666666666667,7,66.66666666666666
Materials Science,2,2006,6,0.5724000000000001,93,100.0
Materials Science,2,2007,14,0.4061357142857144,165,100.0
Materials Science,2,2008,11,1.2501909090909094,387,100.0
Materials Science,2,2009,14,0.9659000000000002,373,100.0
Materials Science,2,2010,30,1.1056633333333332,958,96.66666666666667
Materials Science,2,2011,32,0.8427250000000002,718,96.875
Materials Science,2,2012,24,0.849525,581,100.0
Materials Science,2,2013,49,0.9670142857142855,1060,97.95918367346938
Materials Science,2,2014,69,1.0687362318840579,1549,95.65217391304348
Materials Science,2,2015,49,1.5287244897959187,1368,93.87755102040816
Materials Science,2,2016,38,1.9661447368421052,1072,92.10526315789474
Materials Science,2,2017,56,1.7886089285714288,1107,91.07142857142857
Materials Science,2,2018,40,2.19641,537,92.5
Materials Science,2,2019,66,1.9031772727272729,191,62.121212121212125
Materials Science,2,2020,13,0.0,0,0.0
Mathematics,3,2000,1,0.1948,3,100.0
Mathematics,3,2001,1,0.5286000000000001,8,100.0
Mathematics,3,2002,6,1.7953333333333334,157,100.0
Mathematics,3,2003,10,0.9678499999999998,137,100.0
Mathematics,3,2004,12,0.8326833333333333,146,83.33333333333334
Mathematics,3,2005,8,0.45928749999999996,51,100.0
Mathematics,3,2006,15,1.5027933333333332,305,93.33333333333333
Mathematics,3,2007,20,1.37429,343,95.0
Mathematics,3,2008,17,1.352164705882353,271,100.0
Mathematics,3,2009,23,2.862926086956522,705,100.0
Mathematics,3,2010,17,0.7302882352941176,126,94.11764705882352
Mathematics,3,2011,17,1.654617647058824,247,100.0
Mathematics,3,2012,24,0.9132958333333335,164,95.83333333333334
Mathematics,3,2013,24,1.0653666666666668,164,79.16666666666666
Mathematics,3,2014,21,0.7633428571428572,88,66.66666666666666
Mathematics,3,2015,18,0.48331111111111114,41,72.22222222222221
Mathematics,3,2016,26,1.4318961538461537,135,73.07692307692307
Mathematics,3,2017,26,1.2145807692307693,83,53.84615384615385
Mathematics,3,2018,20,1.61535,51,55.00000000000001
Mathematics,3,2019,27,1.3851703703703706,19,37.03703703703704
Mathematics,3,2020,13,3.5890307692307695,5,30.76923076923077
Physics,4,2000,2,0.21445000000000003,12,100.0
Physics,4,2001,4,0.1024,11,25.0
Physics,4,2002,2,0.0551,3,50.0
Physics,4,2003,5,0.30382000000000003,39,100.0
Physics,4,2004,4,0.286675,30,75.0
Physics,4,2005,10,0.5460499999999999,139,90.0
Physics,4,2006,10,0.22734000000000001,56,100.0
Physics,4,2007,7,0.3296857142857143,53,85.71428571428571
Physics,4,2008,14,0.4093928571428571,132,92.85714285714286
Physics,4,2009,28,0.5196464285714287,314,92.85714285714286
Physics,4,2010,26,0.6526692307692309,354,96.15384615384616
Physics,4,2011,28,0.49200000000000005,260,100.0
Physics,4,2012,32,0.3277750000000001,192,78.125
Physics,4,2013,28,0.37475357142857135,167,82.14285714285714
Physics,4,2014,19,0.8065157894736843,215,94.73684210526315
Physics,4,2015,24,1.076654166666667,308,95.83333333333334
Physics,4,2016,15,2.3676666666666666,338,93.33333333333333
Physics,4,2017,17,1.102994117647059,127,100.0
Physics,4,2018,21,2.394461904761905,197,80.95238095238095
Physics,4,2019,17,0.6803529411764706,12,23.52941176470588
Physics,4,2020,4,0.0,0,0.0
Engineering,5,2004,1,0.16670000000000001,4,100.0
Engineering,5,2005,1,0.0,0,0.0
Engineering,5,2007,2,0.022500000000000003,1,50.0
Engineering,5,2008,3,1.578,98,100.0
Engineering,5,2009,6,1.1068,137,83.33333333333334
Engineering,5,2010,3,1.3556000000000001,81,100.0
Engineering,5,2011,7,0.6204142857142857,80,100.0
Engineering,5,2012,10,1.5974599999999999,266,100.0
