"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,42,0.4547428571428572,551,80.95238095238095
Chemistry,1,2001,30,0.4819699999999999,420,90.0
Chemistry,1,2002,25,0.34108400000000005,257,92.0
Chemistry,1,2003,31,0.3972645161290322,374,87.09677419354838
Chemistry,1,2004,52,0.5449153846153847,860,82.6923076923077
Chemistry,1,2005,65,1.0827707692307695,2140,93.84615384615384
Chemistry,1,2006,77,1.083596103896104,2450,97.40259740259741
Chemistry,1,2007,88,1.0677704545454547,2599,96.5909090909091
Chemistry,1,2008,73,0.9353178082191781,1883,97.26027397260275
Chemistry,1,2009,104,1.080342307692308,3017,97.11538461538461
Chemistry,1,2010,94,1.0395489361702128,2465,95.74468085106383
Chemistry,1,2011,102,0.8358284313725493,2040,92.15686274509804
Chemistry,1,2012,98,0.9658408163265308,2120,92.85714285714286
Chemistry,1,2013,110,1.3988718181818185,3452,98.18181818181819
Chemistry,1,2014,96,1.2695875000000003,2204,92.70833333333334
Chemistry,1,2015,121,1.2152347107438022,2120,96.69421487603306
Chemistry,1,2016,128,1.1046312500000004,1698,94.53125
Chemistry,1,2017,144,1.203475,1555,94.44444444444444
Chemistry,1,2018,171,1.9108385964912278,1612,88.30409356725146
Chemistry,1,2019,199,1.5618366834170856,413,56.28140703517588
Chemistry,1,2020,25,0.383456,1,4.0
Physics,2,2000,44,0.5742931818181819,707,93.18181818181817
Physics,2,2001,48,0.4821104166666667,599,87.5
Physics,2,2002,52,0.3813192307692308,540,86.53846153846155
Physics,2,2003,42,0.7270880952380954,784,95.23809523809523
Physics,2,2004,62,0.6130209677419354,995,91.93548387096774
Physics,2,2005,73,0.6032479452054795,1121,91.78082191780823
Physics,2,2006,117,0.38754188034188036,1117,88.03418803418803
Physics,2,2007,96,0.3737802083333333,857,89.58333333333334
Physics,2,2008,94,0.7690819148936169,1665,89.36170212765957
Physics,2,2009,80,0.5282525000000001,912,90.0
Physics,2,2010,120,0.8898666666666666,2225,92.5
Physics,2,2011,96,0.6639604166666667,1203,95.83333333333334
Physics,2,2012,76,0.6076986842105263,829,92.10526315789474
Physics,2,2013,92,0.8613021739130436,1256,93.47826086956522
