"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,12,0.4290083333333334,147,100.0
Chemistry,1,2001,7,0.43770000000000003,89,100.0
Chemistry,1,2002,18,0.19166666666666668,94,72.22222222222221
Chemistry,1,2003,29,0.43488275862068965,383,93.10344827586206
Chemistry,1,2004,36,0.6187111111111111,676,80.55555555555556
Chemistry,1,2005,26,0.4275500000000001,338,84.61538461538461
Chemistry,1,2006,32,0.4449906250000001,418,90.625
Chemistry,1,2007,54,0.6128592592592592,914,88.88888888888889
Chemistry,1,2008,61,0.9639852459016397,1615,90.1639344262295
Chemistry,1,2009,73,0.9610520547945208,1893,89.04109589041096
Chemistry,1,2010,78,0.868828205128205,1931,92.3076923076923
Chemistry,1,2011,89,0.8483617977528091,1834,94.3820224719101
Chemistry,1,2012,98,0.8805510204081634,2146,96.93877551020408
Chemistry,1,2013,102,1.1327401960784313,2729,92.15686274509804
Chemistry,1,2014,192,1.5305848958333332,5647,96.35416666666666
Chemistry,1,2015,216,1.8301069444444442,5218,95.37037037037037
Chemistry,1,2016,233,1.2039467811158802,3487,94.84978540772532
Chemistry,1,2017,208,1.2934995192307694,2737,90.86538461538461
Chemistry,1,2018,201,1.5575532338308458,1655,87.06467661691542
Chemistry,1,2019,262,1.5970076335877863,617,55.343511450381676
Chemistry,1,2020,37,0.2590918918918919,1,2.7027027027027026
Materials Science,2,2002,1,0.0,0,0.0
Materials Science,2,2004,2,1.3759000000000001,74,100.0
Materials Science,2,2005,4,3.3020500000000004,357,100.0
Materials Science,2,2006,4,2.889625,313,100.0
Materials Science,2,2007,2,1.30945,76,100.0
Materials Science,2,2008,11,1.3697454545454544,424,100.0
Materials Science,2,2009,13,1.5867615384615386,569,100.0
Materials Science,2,2010,12,0.36355000000000004,126,91.66666666666666
Materials Science,2,2011,14,1.0194500000000002,380,92.85714285714286
Materials Science,2,2012,22,1.1695727272727277,642,95.45454545454545
Materials Science,2,2013,22,1.8194318181818177,905,95.45454545454545
Materials Science,2,2014,35,1.5406714285714282,1171,97.14285714285714
Materials Science,2,2015,49,1.4681653061224493,1323,95.91836734693877
Materials Science,2,2016,45,1.1830022222222225,741,91.11111111111111
Materials Science,2,2017,58,1.4023758620689655,874,98.27586206896551
Materials Science,2,2018,68,1.3790470588235295,550,89.70588235294117
Materials Science,2,2019,94,2.525629787234043,361,68.08510638297872
Materials Science,2,2020,17,0.0,0,0.0
Physics,3,2000,7,0.3421,67,100.0
Physics,3,2001,8,0.218775,47,75.0
Physics,3,2002,9,0.3671777777777778,90,100.0
Physics,3,2003,9,0.17745555555555556,41,66.66666666666666
Physics,3,2004,21,0.7590714285714286,417,90.47619047619048
Physics,3,2005,23,0.3330608695652174,195,86.95652173913044
Physics,3,2006,21,0.529652380952381,274,95.23809523809523
Physics,3,2007,25,0.209,120,80.0
Physics,3,2008,50,0.435928,502,84.0
Physics,3,2009,64,0.64630625,888,87.5
Physics,3,2010,78,0.6501256410256409,1042,83.33333333333334
Physics,3,2011,70,0.5919071428571429,782,87.14285714285714
Physics,3,2012,65,0.8381799999999998,987,96.92307692307692
Physics,3,2013,85,0.5215858823529412,715,85.88235294117646
Physics,3,2014,77,0.5331688311688312,576,83.11688311688312
Physics,3,2015,78,0.3760346153846153,354,73.07692307692307
Physics,3,2016,76,0.7685355263157895,664,82.89473684210526
Physics,3,2017,52,0.6104500000000002,215,90.38461538461539
Physics,3,2018,57,0.7702157894736844,172,61.40350877192983
Physics,3,2019,91,0.9108692307692309,86,36.26373626373626
Physics,3,2020,8,0.0,0,0.0
Mathematics,4,2000,2,0.3572,11,100.0
