"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,18,0.366988888888889,191,72.22222222222221
Chemistry,1,2001,24,0.19831250000000003,133,66.66666666666666
Chemistry,1,2002,22,0.2473454545454546,164,68.18181818181817
Chemistry,1,2003,23,0.2715347826086957,229,91.30434782608695
Chemistry,1,2004,48,0.40909375,659,83.33333333333334
Chemistry,1,2005,88,0.4481772727272728,794,80.68181818181817
Chemistry,1,2006,95,1.0248726315789471,1480,89.47368421052632
Chemistry,1,2007,110,0.5049399999999999,1534,85.45454545454545
Chemistry,1,2008,95,1.0588663157894738,1085,86.31578947368422
Chemistry,1,2009,117,0.512223076923077,1539,95.72649572649573
Chemistry,1,2010,122,0.5344959016393442,1762,92.62295081967213
Chemistry,1,2011,114,0.5568561403508772,1519,91.22807017543859
Chemistry,1,2012,111,0.5026279279279279,1351,90.990990990991
Chemistry,1,2013,121,0.42010082644628094,1009,85.9504132231405
Chemistry,1,2014,93,0.7042870967741937,1180,89.24731182795699
Chemistry,1,2015,98,0.743848979591837,1126,92.85714285714286
Chemistry,1,2016,92,0.6667902173913042,746,89.13043478260869
Chemistry,1,2017,84,0.6091916666666667,464,86.90476190476191
Chemistry,1,2018,67,0.8481388059701493,298,73.13432835820896
Chemistry,1,2019,74,0.8005770270270268,82,43.24324324324324
Chemistry,1,2020,9,1.0651555555555556,1,11.11111111111111
Physics,2,2000,6,0.22635000000000002,38,83.33333333333334
Physics,2,2001,15,0.15638666666666665,63,86.66666666666667
Physics,2,2002,19,0.2512315789473684,130,84.21052631578947
Physics,2,2003,35,0.3761657142857143,338,82.85714285714286
Physics,2,2004,42,0.389547619047619,428,76.19047619047619
Physics,2,2005,60,0.45439166666666675,694,81.66666666666667
Physics,2,2006,46,0.6388978260869564,724,78.26086956521739
Physics,2,2007,39,0.638646153846154,572,89.74358974358975
Physics,2,2008,54,0.3232333333333334,402,88.88888888888889
Physics,2,2009,44,0.31804545454545463,302,81.81818181818183
Physics,2,2010,51,0.32144901960784317,342,88.23529411764706
Physics,2,2011,42,0.46271666666666683,369,88.09523809523809
Physics,2,2012,50,0.5381700000000001,483,76.0
Physics,2,2013,39,0.5322179487179488,329,94.87179487179486
Physics,2,2014,46,0.6151282608695652,397,84.78260869565217
Physics,2,2015,37,0.4086216216216217,178,81.08108108108108
Physics,2,2016,47,0.6697574468085108,378,78.72340425531915
Physics,2,2017,48,0.7637062499999999,244,87.5
Physics,2,2018,45,0.7543822222222223,133,73.33333333333333
Physics,2,2019,68,1.1197441176470588,79,51.470588235294116
Physics,2,2020,9,0.0,0,0.0
Materials Science,3,2001,1,1.1754,29,100.0
Materials Science,3,2002,2,0.6293000000000001,32,100.0
Materials Science,3,2003,1,0.0,0,0.0
Materials Science,3,2005,2,0.77695,42,100.0
Materials Science,3,2006,4,0.7478,81,100.0
Materials Science,3,2007,7,1.1224,228,100.0
Materials Science,3,2008,7,1.2691285714285716,250,100.0
Materials Science,3,2009,7,1.5278142857142858,295,100.0
Materials Science,3,2010,8,1.0430625,241,100.0
Materials Science,3,2011,7,0.4292571428571429,80,85.71428571428571
Materials Science,3,2012,21,0.46568095238095236,244,85.71428571428571
Materials Science,3,2013,17,0.38727058823529414,149,94.11764705882352
Materials Science,3,2014,19,0.6856421052631579,276,94.73684210526315
Materials Science,3,2015,15,0.76842,210,100.0
Materials Science,3,2016,15,1.1076666666666668,240,93.33333333333333
Materials Science,3,2017,8,1.25635,108,100.0
Materials Science,3,2018,13,0.8054384615384615,64,92.3076923076923
Materials Science,3,2019,11,2.2120818181818183,37,63.63636363636363
Materials Science,3,2020,4,0.0,0,0.0
Engineering,4,2000,1,0.0,0,0.0
Engineering,4,2001,2,0.2625,11,100.0
Engineering,4,2002,2,0.6290500000000001,28,100.0
Engineering,4,2003,3,2.032966666666667,131,100.0
Engineering,4,2004,1,0.5833,14,100.0
Engineering,4,2005,3,0.18146666666666667,12,66.66666666666666
Engineering,4,2006,3,2.2951333333333337,153,100.0
Engineering,4,2007,4,0.877075,78,100.0
Engineering,4,2008,9,0.885588888888889,165,100.0
Engineering,4,2009,9,1.2619444444444445,210,100.0
Engineering,4,2010,12,1.4225416666666666,340,91.66666666666666
Engineering,4,2011,14,1.3261785714285712,342,92.85714285714286
Engineering,4,2012,11,1.020936363636364,187,90.9090909090909
Engineering,4,2013,20,0.5408550000000001,167,85.0
Engineering,4,2014,17,0.5405764705882354,126,76.47058823529412
Engineering,4,2015,10,0.6783300000000001,80,80.0
Engineering,4,2016,15,0.82298,116,86.66666666666667
Engineering,4,2017,15,1.05038,111,86.66666666666667
Engineering,4,2018,18,1.6040111111111113,121,61.111111111111114
Engineering,4,2019,29,1.8559379310344826,58,34.48275862068966
Engineering,4,2020,2,0.0,0,0.0
Biology & Biochemistry,5,2000,2,0.01025,1,50.0
Biology & Biochemistry,5,2002,2,0.32780000000000004,31,100.0
Biology & Biochemistry,5,2003,4,0.357575,68,100.0
Biology & Biochemistry,5,2004,2,0.0853,8,50.0
Biology & Biochemistry,5,2005,2,0.15460000000000002,14,100.0
Biology & Biochemistry,5,2006,1,0.0,0,0.0
Biology & Biochemistry,5,2007,11,0.874009090909091,382,100.0
Biology & Biochemistry,5,2008,12,5.840750000000001,256,83.33333333333334
Biology & Biochemistry,5,2009,8,0.0772375,22,37.5
Biology & Biochemistry,5,2010,5,1.3381200000000002,214,80.0
Biology & Biochemistry,5,2011,4,0.4232,49,100.0
Biology & Biochemistry,5,2012,12,0.5414666666666667,176,100.0
Biology & Biochemistry,5,2013,18,0.4818055555555556,193,88.88888888888889
Biology & Biochemistry,5,2014,12,0.5751666666666668,116,91.66666666666666
Biology & Biochemistry,5,2015,11,0.7482545454545455,127,100.0
Biology & Biochemistry,5,2016,13,1.038369230769231,156,92.3076923076923
Biology & Biochemistry,5,2017,12,0.8909416666666669,87,83.33333333333334
Biology & Biochemistry,5,2018,14,0.28404285714285715,18,57.14285714285714
Biology & Biochemistry,5,2019,9,0.7530000000000001,8,55.55555555555556
Biology & Biochemistry,5,2020,2,0.0,0,0.0
Computer Science,6,2006,1,0.0575,1,100.0
Computer Science,6,2007,2,5.2944,241,100.0
Computer Science,6,2008,5,0.47818000000000005,54,100.0
Computer Science,6,2009,5,0.36210000000000003,38,80.0
Computer Science,6,2010,8,0.6663250000000001,105,100.0
Computer Science,6,2011,14,1.0059357142857144,281,100.0
Computer Science,6,2012,13,0.4922769230769231,105,76.92307692307693
Computer Science,6,2013,12,0.9624750000000001,184,91.66666666666666
Computer Science,6,2014,17,0.9559529411764704,233,82.35294117647058
Computer Science,6,2015,13,0.5641923076923077,86,100.0
Computer Science,6,2016,20,0.8078450000000001,151,90.0
Computer Science,6,2017,17,0.6475117647058823,80,70.58823529411765
Computer Science,6,2018,16,0.45460000000000006,27,56.25
Computer Science,6,2019,31,0.37234193548387096,12,22.58064516129032
Computer Science,6,2020,4,0.0,0,0.0
Neuroscience & Behavior,7,2004,2,0.68625,70,100.0
Neuroscience & Behavior,7,2006,2,2.76595,255,100.0
Neuroscience & Behavior,7,2007,1,1.3498,60,100.0
Neuroscience & Behavior,7,2009,3,0.2292666666666667,26,100.0
Neuroscience & Behavior,7,2010,1,0.39830000000000004,14,100.0
Neuroscience & Behavior,7,2011,1,0.1913,6,100.0
Neuroscience & Behavior,7,2012,7,0.5298285714285714,100,100.0
Neuroscience & Behavior,7,2013,17,0.6487352941176471,258,100.0
Neuroscience & Behavior,7,2014,14,0.6982285714285715,191,100.0
Neuroscience & Behavior,7,2015,12,0.39361666666666667,74,91.66666666666666
Neuroscience & Behavior,7,2016,15,0.49709333333333333,99,100.0
Neuroscience & Behavior,7,2017,8,0.9583375000000002,62,87.5
Neuroscience & Behavior,7,2018,19,0.5627368421052631,45,78.94736842105263
Neuroscience & Behavior,7,2019,20,0.347995,5,20.0
Neuroscience & Behavior,7,2020,4,0.0,0,0.0
Mathematics,8,2000,1,0.1948,3,100.0
Mathematics,8,2001,6,0.69385,63,66.66666666666666
Mathematics,8,2002,4,0.27442500000000003,16,100.0
Mathematics,8,2003,8,0.441525,50,100.0
Mathematics,8,2004,8,0.69295,81,87.5
Mathematics,8,2005,6,0.3121833333333333,26,50.0
Mathematics,8,2006,6,0.4680666666666667,38,66.66666666666666
Mathematics,8,2007,19,0.8603789473684211,204,94.73684210526315
Mathematics,8,2008,9,0.5372,57,100.0
Mathematics,8,2009,16,0.624125,108,75.0
Mathematics,8,2010,14,0.7882642857142858,112,85.71428571428571
Mathematics,8,2011,16,0.5267,74,75.0
Mathematics,8,2012,20,0.5078849999999999,76,70.0
Mathematics,8,2013,20,0.40037,47,70.0
Mathematics,8,2014,28,0.4098678571428572,63,42.857142857142854
Mathematics,8,2015,10,0.7426200000000001,35,50.0
Mathematics,8,2016,7,0.6303428571428571,16,57.14285714285714
Mathematics,8,2017,6,0.3804666666666667,6,50.0
Mathematics,8,2018,12,0.897425,17,41.66666666666667
Mathematics,8,2019,15,0.26245333333333337,2,13.333333333333334
Mathematics,8,2020,2,0.0,0,0.0
Clinical Medicine,9,2003,1,0.5508000000000001,21,100.0
Clinical Medicine,9,2004,1,0.0,0,0.0
Clinical Medicine,9,2005,1,0.4912,18,100.0
Clinical Medicine,9,2006,2,0.7073,48,100.0
Clinical Medicine,9,2007,3,0.21636666666666668,20,33.33333333333333
Clinical Medicine,9,2008,1,1.0541,30,100.0
Clinical Medicine,9,2009,2,0.83765,45,100.0
Clinical Medicine,9,2010,3,0.7304666666666667,55,100.0
Clinical Medicine,9,2011,7,1.313257142857143,204,100.0
Clinical Medicine,9,2012,10,1.5790300000000002,316,100.0
Clinical Medicine,9,2013,8,1.0795750000000002,122,87.5
Clinical Medicine,9,2014,8,0.7382875000000001,89,75.0
Clinical Medicine,9,2015,7,0.2503,22,85.71428571428571
Clinical Medicine,9,2016,6,0.4639833333333334,26,100.0
Clinical Medicine,9,2017,7,0.5091571428571429,23,85.71428571428571
Clinical Medicine,9,2018,3,0.3959,4,100.0
Clinical Medicine,9,2019,3,0.9016000000000002,3,66.66666666666666
Clinical Medicine,9,2020,1,0.0,0,0.0
Psychiatry/Psychology,10,2003,1,2.8613,132,100.0
Psychiatry/Psychology,10,2004,29,1.4294413793103449,6,6.896551724137931
Psychiatry/Psychology,10,2005,1,0.3604,15,100.0
Psychiatry/Psychology,10,2007,1,0.43270000000000003,16,100.0
Psychiatry/Psychology,10,2008,16,0.74888125,1,6.25
Psychiatry/Psychology,10,2011,2,1.5155,74,100.0
Psychiatry/Psychology,10,2012,11,0.4899181818181818,111,54.54545454545454
Psychiatry/Psychology,10,2013,13,0.5512230769230768,125,100.0
Psychiatry/Psychology,10,2014,10,0.6435,95,100.0
Psychiatry/Psychology,10,2015,9,0.2798666666666667,29,66.66666666666666
Psychiatry/Psychology,10,2016,38,0.20925000000000002,70,36.84210526315789
Psychiatry/Psychology,10,2017,22,0.6629590909090909,79,72.72727272727273
Psychiatry/Psychology,10,2018,23,0.7461,48,82.6086956521739
Psychiatry/Psychology,10,2019,30,0.32616000000000006,8,23.333333333333332
Psychiatry/Psychology,10,2020,6,0.0,0,0.0
Pharmacology & Toxicology,11,2006,2,2.2762000000000002,138,100.0
Pharmacology & Toxicology,11,2007,3,0.20340000000000003,17,66.66666666666666
Pharmacology & Toxicology,11,2008,4,1.0544,109,100.0
Pharmacology & Toxicology,11,2010,2,1.22155,55,100.0
Pharmacology & Toxicology,11,2011,4,0.384475,46,100.0
Pharmacology & Toxicology,11,2012,3,0.5340666666666667,18,100.0
Pharmacology & Toxicology,11,2013,13,1.3802615384615384,170,69.23076923076923
Pharmacology & Toxicology,11,2014,3,0.8197333333333333,33,100.0
Pharmacology & Toxicology,11,2015,7,1.3310714285714285,106,100.0
Pharmacology & Toxicology,11,2016,6,2.6746499999999997,41,100.0
Pharmacology & Toxicology,11,2017,7,0.9605714285714286,43,100.0
Pharmacology & Toxicology,11,2018,3,0.6303333333333333,7,100.0
Pharmacology & Toxicology,11,2019,12,0.5869583333333334,6,25.0
Pharmacology & Toxicology,11,2020,1,0.0,0,0.0
Plant & Animal Science,12,2000,1,0.0,0,0.0
Plant & Animal Science,12,2001,1,0.10640000000000001,3,100.0
Plant & Animal Science,12,2002,2,1.00685,56,100.0
Plant & Animal Science,12,2003,1,0.35760000000000003,10,100.0
Plant & Animal Science,12,2004,1,0.0,0,0.0
Plant & Animal Science,12,2006,5,0.5665800000000001,71,100.0
Plant & Animal Science,12,2007,5,0.3997,46,100.0
Plant & Animal Science,12,2008,1,0.7193,15,100.0
Plant & Animal Science,12,2009,5,1.10962,109,100.0
Plant & Animal Science,12,2010,8,0.49042500000000006,79,100.0
Plant & Animal Science,12,2011,7,0.3833714285714286,44,85.71428571428571
Plant & Animal Science,12,2012,6,0.4511833333333333,39,100.0
Plant & Animal Science,12,2013,7,0.6287,56,100.0
Plant & Animal Science,12,2014,5,0.5867799999999999,32,80.0
Plant & Animal Science,12,2015,6,0.34360000000000007,18,83.33333333333334
Plant & Animal Science,12,2016,4,0.4615,20,100.0
Plant & Animal Science,12,2017,8,4.476437499999999,161,100.0
Plant & Animal Science,12,2018,8,0.4625625,9,50.0
Plant & Animal Science,12,2019,9,0.34753333333333336,2,22.22222222222222
Plant & Animal Science,12,2020,1,0.0,0,0.0
Molecular Biology & Genetics,13,2003,1,0.4902,36,100.0
Molecular Biology & Genetics,13,2004,2,0.744,106,100.0
Molecular Biology & Genetics,13,2005,1,0.2995,43,100.0
Molecular Biology & Genetics,13,2008,8,1.05335,33,50.0
Molecular Biology & Genetics,13,2009,3,0.36546666666666666,56,100.0
Molecular Biology & Genetics,13,2010,2,0.3834,37,100.0
Molecular Biology & Genetics,13,2011,6,0.4736333333333334,120,100.0
Molecular Biology & Genetics,13,2012,11,0.17746363636363635,69,90.9090909090909
Molecular Biology & Genetics,13,2013,5,0.27082,42,100.0
Molecular Biology & Genetics,13,2014,11,0.27940000000000004,80,100.0
Molecular Biology & Genetics,13,2015,7,0.23155714285714288,34,100.0
Molecular Biology & Genetics,13,2016,11,0.3064090909090909,50,90.9090909090909
Molecular Biology & Genetics,13,2017,5,0.23568000000000003,12,60.0
Molecular Biology & Genetics,13,2018,6,0.7822833333333333,27,83.33333333333334
Molecular Biology & Genetics,13,2019,5,0.42732000000000003,3,60.0
Molecular Biology & Genetics,13,2020,1,0.0,0,0.0
Environment/Ecology,14,2002,1,0.022600000000000002,1,100.0
Environment/Ecology,14,2004,3,0.1033,13,100.0
Environment/Ecology,14,2007,3,0.7288,81,66.66666666666666
Environment/Ecology,14,2008,2,0.34095,22,100.0
Environment/Ecology,14,2009,1,0.033100000000000004,1,100.0
Environment/Ecology,14,2010,3,1.4758666666666667,132,100.0
Environment/Ecology,14,2011,1,0.34700000000000003,9,100.0
Environment/Ecology,14,2012,2,0.7816000000000001,37,100.0
Environment/Ecology,14,2013,3,0.5776333333333333,41,100.0
Environment/Ecology,14,2014,3,0.3099,16,100.0
Environment/Ecology,14,2015,7,0.6835142857142857,62,100.0
Environment/Ecology,14,2016,8,0.34972500000000006,30,62.5
Environment/Ecology,14,2017,11,0.9134272727272728,76,90.9090909090909
Environment/Ecology,14,2018,19,0.9601157894736844,77,78.94736842105263
Environment/Ecology,14,2019,24,0.31393333333333334,8,29.166666666666668
Geosciences,15,2004,1,0.7849,30,100.0
Geosciences,15,2006,2,0.9065500000000001,65,100.0
Geosciences,15,2007,3,0.0,0,0.0
Geosciences,15,2008,3,0.4578,43,100.0
Geosciences,15,2009,1,0.0333,1,100.0
Geosciences,15,2010,3,0.4321333333333334,36,66.66666666666666
Geosciences,15,2012,2,0.41895000000000004,19,100.0
Geosciences,15,2014,4,1.0355500000000002,69,100.0
Geosciences,15,2015,3,0.21940000000000004,9,66.66666666666666
Geosciences,15,2016,7,0.8945,63,100.0
Geosciences,15,2017,7,0.6707857142857143,33,100.0
Geosciences,15,2018,16,0.6439875000000002,35,68.75
Geosciences,15,2019,11,2.4032454545454547,26,63.63636363636363
Agricultural Sciences,16,2002,1,0.2018,6,100.0
Agricultural Sciences,16,2008,1,7.6635,161,100.0
Agricultural Sciences,16,2009,1,1.7449000000000001,34,100.0
Agricultural Sciences,16,2011,2,2.8214,93,100.0
Agricultural Sciences,16,2014,1,0.33890000000000003,4,100.0
Agricultural Sciences,16,2019,3,0.3990666666666667,1,33.33333333333333
Space Science,17,2004,1,0.381,1,100.0
Space Science,17,2006,2,1.45445,123,100.0
Space Science,17,2007,1,0.025400000000000002,1,100.0
Space Science,17,2008,3,0.1335666666666667,14,100.0
Space Science,17,2009,2,0.11270000000000001,8,100.0
Space Science,17,2012,1,0.27890000000000004,8,100.0
Space Science,17,2013,1,0.1492,4,100.0
Space Science,17,2014,1,0.044700000000000004,1,100.0
Space Science,17,2015,1,0.1633,3,100.0
Space Science,17,2016,2,1.1283500000000002,32,100.0
Space Science,17,2017,1,0.10020000000000001,1,100.0
