"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,58,0.7186568965517243,1196,93.10344827586206
Chemistry,1,2001,62,0.46770322580645163,938,93.54838709677419
Chemistry,1,2002,98,0.7065979591836735,2078,93.87755102040816
Chemistry,1,2003,166,0.9862885542168676,4979,93.37349397590361
Chemistry,1,2004,215,0.7606130232558139,4997,92.55813953488372
Chemistry,1,2005,235,1.2496961702127658,8407,97.44680851063829
Chemistry,1,2006,260,0.899488076923077,7376,93.84615384615384
Chemistry,1,2007,355,0.9483422535211264,9726,87.88732394366198
Chemistry,1,2008,340,0.947466176470588,9595,95.29411764705881
Chemistry,1,2009,335,1.1410931343283581,9987,91.94029850746269
Chemistry,1,2010,369,0.9662411924119243,9040,89.97289972899729
Chemistry,1,2011,425,1.154604,11759,90.58823529411765
Chemistry,1,2012,372,1.0584666666666662,8892,95.96774193548387
Chemistry,1,2013,346,1.271580057803468,8966,96.24277456647398
Chemistry,1,2014,381,1.1591055118110236,8561,95.2755905511811
Chemistry,1,2015,350,1.305022285714286,7658,94.57142857142857
Chemistry,1,2016,302,1.1696937086092716,4764,94.70198675496688
Chemistry,1,2017,337,1.254505934718101,3960,93.47181008902076
Chemistry,1,2018,360,1.2828450000000002,2420,87.77777777777777
Chemistry,1,2019,421,1.460919952494062,805,52.01900237529691
Chemistry,1,2020,51,0.18796862745098042,1,1.9607843137254901
Materials Science,2,2000,4,2.6078,244,100.0
Materials Science,2,2001,4,1.4287250000000002,141,100.0
Materials Science,2,2002,16,1.9394437500000004,789,100.0
Materials Science,2,2003,9,1.906911111111111,480,100.0
Materials Science,2,2004,21,1.1775714285714285,665,95.23809523809523
Materials Science,2,2005,33,2.014690909090909,1797,100.0
Materials Science,2,2006,43,1.4470651162790698,1685,95.34883720930233
Materials Science,2,2007,45,0.9901333333333333,1293,95.55555555555556
Materials Science,2,2008,44,1.5971977272727278,1991,100.0
Materials Science,2,2009,45,0.7548422222222222,1112,100.0
Materials Science,2,2010,33,1.550730303030303,1478,100.0
Materials Science,2,2011,51,1.7818745098039217,2424,94.11764705882352
Materials Science,2,2012,67,1.7216074626865674,2878,100.0
Materials Science,2,2013,73,1.3745369863013697,2271,100.0
Materials Science,2,2014,65,1.3191184615384617,1823,93.84615384615384
Materials Science,2,2015,79,1.5250189873417725,2173,97.46835443037975
Materials Science,2,2016,79,1.6551797468354432,1908,97.46835443037975
Materials Science,2,2017,118,1.9629669491525423,2586,95.76271186440678
Materials Science,2,2018,141,1.9299801418439713,1666,97.87234042553192
Materials Science,2,2019,154,1.7173168831168832,404,66.23376623376623
Materials Science,2,2020,21,0.5056666666666667,1,4.761904761904762
Physics,3,2000,16,0.24310625000000002,108,68.75
Physics,3,2001,24,0.2559958333333333,165,91.66666666666666
