"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,47,0.2369574468085106,322,74.46808510638297
Chemistry,1,2001,54,0.20656111111111114,324,77.77777777777779
Chemistry,1,2002,50,0.312556,471,80.0
Chemistry,1,2003,46,0.8425239130434783,1177,89.13043478260869
Chemistry,1,2004,67,0.6551880597014926,1340,95.52238805970148
Chemistry,1,2005,73,0.2776684931506849,608,93.15068493150685
Chemistry,1,2006,92,0.2680891304347826,724,94.56521739130434
Chemistry,1,2007,75,0.2679413333333333,555,84.0
Chemistry,1,2008,60,0.41245333333333334,682,86.66666666666667
Chemistry,1,2009,59,0.7930864406779661,1200,79.66101694915254
Chemistry,1,2010,58,0.477755172413793,699,77.58620689655173
Chemistry,1,2011,53,0.648956603773585,823,84.90566037735849
Chemistry,1,2012,53,0.5184603773584906,615,84.90566037735849
Chemistry,1,2013,69,0.8841797101449276,1211,91.30434782608695
Chemistry,1,2014,99,1.2859202020202019,2310,96.96969696969697
Chemistry,1,2015,102,1.464713725490196,2382,95.09803921568627
Chemistry,1,2016,156,1.353575,2745,93.58974358974359
Chemistry,1,2017,216,2.1884472222222224,4345,95.37037037037037
Chemistry,1,2018,211,2.2351853080568724,2445,91.4691943127962
Chemistry,1,2019,268,2.3080220149253723,862,65.67164179104478
Chemistry,1,2020,48,4.992931250000001,25,16.666666666666664
Mathematics,2,2000,11,0.4486818181818183,76,90.9090909090909
Mathematics,2,2001,10,0.7401199999999999,112,90.0
Mathematics,2,2002,17,0.4197352941176471,104,94.11764705882352
Mathematics,2,2003,16,1.0331875000000001,234,81.25
Mathematics,2,2004,27,0.8238074074074075,325,77.77777777777779
Mathematics,2,2005,38,0.9119394736842106,481,92.10526315789474
Mathematics,2,2006,59,0.904428813559322,722,79.66101694915254
Mathematics,2,2007,83,1.0678036144578311,1106,91.56626506024097
Mathematics,2,2008,70,1.0481657142857146,865,88.57142857142857
Mathematics,2,2009,59,1.5091694915254232,963,93.22033898305084
Mathematics,2,2010,54,1.9925444444444447,1087,96.29629629629629
Mathematics,2,2011,56,1.6940482142857145,838,92.85714285714286
Mathematics,2,2012,91,1.2836538461538465,874,84.61538461538461
Mathematics,2,2013,69,1.6882913043478263,745,85.5072463768116
Mathematics,2,2014,68,2.0158279411764704,747,86.76470588235294
Mathematics,2,2015,50,3.2208559999999995,759,96.0
Mathematics,2,2016,83,3.7112915662650607,1117,95.18072289156626
Mathematics,2,2017,108,6.799151851851851,1930,96.29629629629629
Mathematics,2,2018,229,4.9626637554585145,1794,78.60262008733623
Mathematics,2,2019,278,3.4269938848920862,484,44.24460431654676
Mathematics,2,2020,48,1.9440583333333337,10,16.666666666666664
Engineering,3,2000,5,2.4819000000000004,250,100.0
Engineering,3,2001,4,0.525,44,100.0
Engineering,3,2002,5,4.92834,65,100.0
Engineering,3,2003,8,1.096525,146,87.5
Engineering,3,2004,8,0.5624875,108,87.5
Engineering,3,2005,12,1.5084583333333335,399,91.66666666666666
Engineering,3,2006,11,0.785490909090909,192,81.81818181818183
Engineering,3,2007,17,1.5848294117647064,599,94.11764705882352
Engineering,3,2008,18,3.06465,1142,94.44444444444444
Engineering,3,2009,21,3.039990476190476,1317,95.23809523809523
Engineering,3,2010,24,2.3137208333333334,1106,95.83333333333334
Engineering,3,2011,28,1.8961928571428572,978,100.0
Engineering,3,2012,36,1.0926777777777776,663,91.66666666666666
Engineering,3,2013,48,1.2684875,929,85.41666666666666
Engineering,3,2014,35,1.7197942857142856,831,91.42857142857143
Engineering,3,2015,56,1.5898392857142858,1050,91.07142857142857
Engineering,3,2016,55,1.5015054545454547,776,94.54545454545455
Engineering,3,2017,119,1.7450815126050419,1463,94.11764705882352
Engineering,3,2018,152,1.594321052631579,977,78.94736842105263
Engineering,3,2019,173,3.123065317919075,584,48.554913294797686
Engineering,3,2020,19,10.741047368421054,32,26.31578947368421
Physics,4,2000,5,0.10722000000000001,15,80.0
Physics,4,2001,9,0.3723777777777778,90,100.0
Physics,4,2002,8,0.20197500000000002,44,75.0
Physics,4,2003,10,0.19866999999999999,51,70.0
Physics,4,2004,11,0.6637363636363636,191,100.0
Physics,4,2005,14,0.7968928571428572,284,92.85714285714286
Physics,4,2006,35,0.6019342857142858,519,94.28571428571428
Physics,4,2007,44,0.626434090909091,633,88.63636363636364
Physics,4,2008,43,0.37158837209302337,368,90.69767441860465
Physics,4,2009,45,0.48993333333333344,494,88.88888888888889
Physics,4,2010,43,0.560739534883721,503,90.69767441860465
Physics,4,2011,49,0.7169122448979589,663,91.83673469387756
Physics,4,2012,60,0.5469016666666667,589,88.33333333333333
Physics,4,2013,53,0.7561471698113208,640,90.56603773584906
Physics,4,2014,37,1.0055378378378377,522,91.8918918918919
Physics,4,2015,46,1.0446652173913045,580,82.6086956521739
Physics,4,2016,48,0.7026791666666669,321,93.75
Physics,4,2017,75,1.2832853333333332,650,84.0
Physics,4,2018,80,1.2113237499999998,429,86.25
Physics,4,2019,111,1.0853981981981982,125,35.13513513513514
Physics,4,2020,12,0.0,0,0.0
Materials Science,5,2004,4,2.733225,294,100.0
Materials Science,5,2005,2,1.1469,62,100.0
Materials Science,5,2006,10,1.00075,271,100.0
Materials Science,5,2007,5,1.5631,62,100.0
Materials Science,5,2008,7,0.41627142857142857,82,100.0
Materials Science,5,2009,5,0.5003,69,80.0
Materials Science,5,2010,8,0.6492,150,87.5
Materials Science,5,2011,5,3.6112199999999994,111,100.0
Materials Science,5,2012,8,2.4899125000000004,497,100.0
Materials Science,5,2013,10,2.5714900000000003,582,70.0
Materials Science,5,2014,24,1.3921333333333337,720,100.0
Materials Science,5,2015,14,1.5905357142857144,475,85.71428571428571
Materials Science,5,2016,17,1.0873,267,88.23529411764706
Materials Science,5,2017,50,3.024898,1695,98.0
Materials Science,5,2018,41,1.4086121951219512,353,87.8048780487805
Materials Science,5,2019,78,1.2651397435897438,181,61.53846153846154
Materials Science,5,2020,20,0.8396950000000001,3,10.0
Computer Science,6,2000,1,0.1388,3,100.0
Computer Science,6,2004,1,0.0,0,0.0
Computer Science,6,2005,2,4.6137999999999995,147,100.0
Computer Science,6,2006,5,0.5287599999999999,46,80.0
Computer Science,6,2007,2,0.4833,22,100.0
Computer Science,6,2009,6,2.755416666666667,347,100.0
Computer Science,6,2010,2,0.35535,14,100.0
Computer Science,6,2011,9,2.1662000000000003,389,100.0
Computer Science,6,2012,11,1.3020818181818183,235,81.81818181818183
Computer Science,6,2013,11,0.7442181818181819,175,81.81818181818183
Computer Science,6,2014,9,0.9919444444444445,128,100.0
Computer Science,6,2015,15,1.08596,191,100.0
Computer Science,6,2016,24,1.0833666666666666,243,91.66666666666666
Computer Science,6,2017,37,2.249221621621622,597,83.78378378378379
Computer Science,6,2018,40,2.2128124999999996,321,72.5
Computer Science,6,2019,67,3.287570149253731,229,52.23880597014925
Computer Science,6,2020,11,3.063727272727273,7,36.36363636363637
Biology & Biochemistry,7,2003,1,1.1358000000000001,54,100.0
Biology & Biochemistry,7,2004,1,0.128,6,100.0
Biology & Biochemistry,7,2005,2,1.7338000000000002,157,100.0
Biology & Biochemistry,7,2008,1,1.3576000000000001,50,100.0
Biology & Biochemistry,7,2009,1,0.0562,2,100.0
Biology & Biochemistry,7,2011,3,0.23030000000000003,20,100.0
Biology & Biochemistry,7,2013,4,0.606625,54,75.0
Biology & Biochemistry,7,2014,4,0.250525,19,100.0
Biology & Biochemistry,7,2015,7,0.4722,51,85.71428571428571
Biology & Biochemistry,7,2016,11,0.8810363636363636,112,100.0
Biology & Biochemistry,7,2017,18,0.72035,104,94.44444444444444
Biology & Biochemistry,7,2018,23,0.7492347826086956,78,69.56521739130434
Biology & Biochemistry,7,2019,29,1.8695448275862072,64,62.06896551724138
Biology & Biochemistry,7,2020,1,0.0,0,0.0
Agricultural Sciences,8,2005,2,0.32305000000000006,18,100.0
Agricultural Sciences,8,2007,2,0.26385000000000003,13,50.0
Agricultural Sciences,8,2008,1,0.9996,21,100.0
Agricultural Sciences,8,2010,1,0.3825,7,100.0
Agricultural Sciences,8,2011,5,1.5775400000000002,130,100.0
Agricultural Sciences,8,2012,6,0.24525,22,100.0
Agricultural Sciences,8,2013,5,0.37670000000000003,25,80.0
Agricultural Sciences,8,2014,8,1.3660875,129,100.0
Agricultural Sciences,8,2015,8,0.9740375,77,87.5
Agricultural Sciences,8,2016,6,2.0993833333333334,97,100.0
Agricultural Sciences,8,2017,10,1.27535,66,80.0
Agricultural Sciences,8,2018,10,2.33021,71,50.0
Agricultural Sciences,8,2019,10,2.1373699999999998,20,60.0
Agricultural Sciences,8,2020,7,3.6905714285714284,2,14.285714285714285
Plant & Animal Science,9,2001,1,0.7445,21,100.0
Plant & Animal Science,9,2003,2,0.23245000000000002,13,100.0
Plant & Animal Science,9,2004,3,0.7172666666666667,59,100.0
Plant & Animal Science,9,2005,2,1.91255,100,100.0
Plant & Animal Science,9,2006,2,0.35910000000000003,18,100.0
Plant & Animal Science,9,2007,3,1.2888666666666666,89,100.0
Plant & Animal Science,9,2008,6,0.3480166666666667,45,100.0
Plant & Animal Science,9,2009,3,0.47506666666666675,28,100.0
Plant & Animal Science,9,2010,3,1.7886666666666668,99,100.0
Plant & Animal Science,9,2011,3,0.34556666666666663,17,100.0
Plant & Animal Science,9,2012,3,0.2776666666666667,12,100.0
Plant & Animal Science,9,2013,4,0.1179,6,50.0
Plant & Animal Science,9,2014,8,0.5386375,47,87.5
Plant & Animal Science,9,2015,8,0.6156125,43,100.0
Plant & Animal Science,9,2016,4,0.11217500000000001,3,25.0
Plant & Animal Science,9,2017,8,0.5282625,19,62.5
Plant & Animal Science,9,2018,10,1.0598900000000002,27,80.0
Plant & Animal Science,9,2019,26,0.70735,13,34.61538461538461
Plant & Animal Science,9,2020,3,0.0,0,0.0
Molecular Biology & Genetics,10,2008,2,0.25265,28,50.0
Molecular Biology & Genetics,10,2009,1,0.1958,10,100.0
Molecular Biology & Genetics,10,2010,3,0.4559666666666667,66,100.0
Molecular Biology & Genetics,10,2011,2,0.65125,55,100.0
Molecular Biology & Genetics,10,2012,2,0.63655,45,100.0
Molecular Biology & Genetics,10,2013,2,0.38685,24,100.0
Molecular Biology & Genetics,10,2014,3,0.5890666666666667,46,100.0
Molecular Biology & Genetics,10,2015,5,0.08578,9,80.0
Molecular Biology & Genetics,10,2016,11,0.3431636363636364,56,72.72727272727273
Molecular Biology & Genetics,10,2017,7,0.5892142857142859,42,71.42857142857143
Molecular Biology & Genetics,10,2018,10,0.41722000000000004,24,60.0
Molecular Biology & Genetics,10,2019,23,0.4025478260869565,13,26.08695652173913
Molecular Biology & Genetics,10,2020,3,0.0,0,0.0
Environment/Ecology,11,2007,2,0.8908,66,100.0
Environment/Ecology,11,2008,2,0.15889999999999999,11,100.0
Environment/Ecology,11,2011,1,1.1181,29,100.0
Environment/Ecology,11,2012,5,0.27882,33,100.0
Environment/Ecology,11,2013,4,0.2924,24,100.0
Environment/Ecology,11,2014,3,1.3945666666666667,72,100.0
Environment/Ecology,11,2015,7,0.38934285714285716,44,85.71428571428571
