"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,34,0.4679264705882352,460,88.23529411764706
Chemistry,1,2001,54,0.7242148148148149,1136,94.44444444444444
Chemistry,1,2002,54,0.3447074074074074,561,88.88888888888889
Chemistry,1,2003,81,0.36383456790123464,895,87.65432098765432
Chemistry,1,2004,68,0.4622485294117647,954,98.52941176470588
Chemistry,1,2005,98,0.3608724489795918,1067,93.87755102040816
Chemistry,1,2006,133,0.3913842105263157,1528,86.46616541353383
Chemistry,1,2007,159,0.4972264150943397,2205,92.45283018867924
Chemistry,1,2008,158,1.4112215189873418,2836,91.77215189873418
Chemistry,1,2009,177,0.6647587570621469,3101,91.52542372881356
Chemistry,1,2010,160,0.733145625,3035,94.375
Chemistry,1,2011,191,0.7269403141361256,3352,94.76439790575915
Chemistry,1,2012,152,0.6510901315789475,2215,90.78947368421053
Chemistry,1,2013,188,0.9824648936170214,3731,94.14893617021278
Chemistry,1,2014,213,0.8955323943661976,3522,92.01877934272301
Chemistry,1,2015,316,1.17363417721519,5972,94.62025316455697
Chemistry,1,2016,356,1.0740140449438202,4767,94.3820224719101
Chemistry,1,2017,362,1.4101279005524865,4978,93.37016574585635
Chemistry,1,2018,336,1.4997330357142857,2664,83.92857142857143
Chemistry,1,2019,372,1.5864422043010753,889,56.18279569892473
Chemistry,1,2020,62,1.9400548387096777,14,14.516129032258066
Materials Science,2,2000,1,0.42750000000000005,10,100.0
Materials Science,2,2001,4,0.35464999999999997,35,50.0
Materials Science,2,2002,6,1.1143500000000002,170,100.0
Materials Science,2,2003,6,0.3933,66,83.33333333333334
Materials Science,2,2004,4,2.0081,216,100.0
Materials Science,2,2005,13,0.8025615384615387,282,100.0
Materials Science,2,2006,27,0.7276296296296296,532,96.29629629629629
Materials Science,2,2007,48,0.6719729166666668,936,95.83333333333334
Materials Science,2,2008,47,0.7348978723404255,972,95.74468085106383
Materials Science,2,2009,56,0.998757142857143,1585,92.85714285714286
Materials Science,2,2010,61,0.6164180327868852,1086,100.0
Materials Science,2,2011,68,0.6509617647058823,1095,94.11764705882352
