"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,14,0.16106428571428572,66,85.71428571428571
Chemistry,1,2001,10,0.10672,31,70.0
Chemistry,1,2002,33,0.2513666666666667,250,87.87878787878788
Chemistry,1,2003,28,0.43480714285714267,372,100.0
Chemistry,1,2004,54,0.4929981481481483,808,98.14814814814815
Chemistry,1,2005,56,0.5532857142857145,911,94.64285714285714
Chemistry,1,2006,72,0.47930138888888885,1013,97.22222222222221
Chemistry,1,2007,127,0.5510244094488189,1927,94.48818897637796
Chemistry,1,2008,154,1.0323948051948055,2691,85.06493506493507
Chemistry,1,2009,199,0.697183417085427,3531,90.45226130653266
Chemistry,1,2010,226,0.7434915929203542,4139,91.1504424778761
Chemistry,1,2011,265,0.7236154716981132,4654,86.0377358490566
Chemistry,1,2012,220,0.7696645454545454,3859,93.18181818181817
Chemistry,1,2013,216,0.7260064814814814,3163,92.5925925925926
Chemistry,1,2014,184,0.8398478260869564,2808,92.93478260869566
Chemistry,1,2015,212,0.9585165094339629,3170,92.9245283018868
Chemistry,1,2016,220,1.2999172727272728,3478,94.54545454545455
Chemistry,1,2017,212,1.1178113207547171,2167,91.0377358490566
Chemistry,1,2018,227,1.3220092511013215,1624,85.90308370044053
Chemistry,1,2019,307,1.2463563517915308,533,55.700325732899024
Chemistry,1,2020,41,0.7014439024390244,3,7.317073170731707
Physics,2,2000,10,0.5289699999999999,148,90.0
Physics,2,2001,23,0.3351173913043478,207,95.65217391304348
Physics,2,2002,27,0.6967333333333334,505,100.0
Physics,2,2003,28,0.6788607142857143,488,100.0
Physics,2,2004,44,0.5760022727272728,663,97.72727272727273
Physics,2,2005,56,0.8432017857142856,1202,91.07142857142857
Physics,2,2006,68,0.9061750000000001,1518,91.17647058823529
Physics,2,2007,85,0.7583858823529412,1470,97.6470588235294
Physics,2,2008,144,0.623615277777778,2017,85.41666666666666
Physics,2,2009,132,0.8339848484848483,3160,95.45454545454545
Physics,2,2010,175,0.5639011428571428,2056,91.42857142857143
Physics,2,2011,197,0.6666588832487312,2543,90.86294416243655
Physics,2,2012,224,0.6919321428571428,2901,92.41071428571429
Physics,2,2013,194,0.6930649484536082,2216,89.17525773195877
Physics,2,2014,226,0.9226084070796464,2937,88.93805309734513
Physics,2,2015,242,0.821810743801653,2396,86.36363636363636
Physics,2,2016,228,0.917899561403509,2007,87.71929824561403
Physics,2,2017,224,0.909809375,1381,85.26785714285714
Physics,2,2018,284,1.0913728873239437,1232,80.28169014084507
Physics,2,2019,353,1.1631529745042486,426,41.64305949008499
Physics,2,2020,47,0.33664468085106386,1,2.127659574468085
Materials Science,3,2000,4,0.074825,7,75.0
Materials Science,3,2001,1,1.2970000000000002,32,100.0
Materials Science,3,2002,4,1.2683750000000003,129,100.0
Materials Science,3,2004,5,1.39822,188,100.0
Materials Science,3,2005,13,0.9277923076923078,326,100.0
Materials Science,3,2006,16,0.48698125000000003,211,93.75
Materials Science,3,2007,21,0.7384190476190475,450,85.71428571428571
Materials Science,3,2008,30,0.8907566666666668,752,90.0
Materials Science,3,2009,28,0.9814285714285715,758,100.0
Materials Science,3,2010,26,1.3812884615384615,1054,92.3076923076923
Materials Science,3,2011,39,1.8721589743589742,1944,92.3076923076923
Materials Science,3,2012,53,1.6326528301886793,2159,96.22641509433963
Materials Science,3,2013,67,0.7109059701492535,1078,94.02985074626866
Materials Science,3,2014,103,1.3746368932038833,3024,96.11650485436894
Materials Science,3,2015,89,1.2122258426966297,1976,97.75280898876404
Materials Science,3,2016,97,1.0910329896907216,1639,97.9381443298969
Materials Science,3,2017,134,1.2008462686567163,1757,95.52238805970148
Materials Science,3,2018,158,1.4678120253164555,1409,91.13924050632912
Materials Science,3,2019,278,1.509603597122302,640,55.03597122302158
Materials Science,3,2020,30,1.4158666666666666,4,13.333333333333334
Mathematics,4,2000,18,0.45097777777777776,125,77.77777777777779
Mathematics,4,2001,17,0.22934705882352943,59,64.70588235294117
Mathematics,4,2002,22,0.4300681818181818,125,86.36363636363636
Mathematics,4,2003,15,1.1491866666666668,244,86.66666666666667
Mathematics,4,2004,28,0.5695107142857143,233,85.71428571428571
Mathematics,4,2005,28,0.6406928571428573,249,85.71428571428571
Mathematics,4,2006,39,0.9778589743589745,516,69.23076923076923
Mathematics,4,2007,68,0.5597588235294119,475,77.94117647058823
Mathematics,4,2008,100,0.662464,781,86.0
Mathematics,4,2009,109,0.9554146788990822,1112,83.4862385321101
Mathematics,4,2010,136,1.086025,1499,84.55882352941177
Mathematics,4,2011,146,1.1613452054794517,1482,89.04109589041096
Mathematics,4,2012,138,1.0004644927536233,1033,81.88405797101449
