"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,14,0.0815357142857143,33,71.42857142857143
Chemistry,1,2001,20,0.16009500000000002,93,90.0
Chemistry,1,2002,16,0.15139375,73,75.0
Chemistry,1,2003,28,0.2563714285714286,218,100.0
Chemistry,1,2004,74,0.2858391891891891,642,86.48648648648648
Chemistry,1,2005,58,0.7275051724137932,1283,79.3103448275862
Chemistry,1,2006,60,0.6583800000000001,1226,88.33333333333333
Chemistry,1,2007,67,0.7612970149253734,1481,88.05970149253731
Chemistry,1,2008,52,0.7345057692307695,1049,94.23076923076923
Chemistry,1,2009,78,0.6527089743589743,1476,89.74358974358975
Chemistry,1,2010,95,1.0035663157894739,2405,86.31578947368422
Chemistry,1,2011,102,0.9139186274509803,2260,85.29411764705883
Chemistry,1,2012,94,0.6844585106382978,1440,93.61702127659575
Chemistry,1,2013,87,0.8060160919540232,1801,89.65517241379311
Chemistry,1,2014,89,0.7084955056179776,1136,84.26966292134831
Chemistry,1,2015,109,0.8879486238532113,1495,88.9908256880734
Chemistry,1,2016,104,1.0216884615384616,1299,89.42307692307693
Chemistry,1,2017,99,1.0592606060606062,948,91.91919191919192
Chemistry,1,2018,131,1.384554198473282,981,87.78625954198473
Chemistry,1,2019,147,1.566099319727891,334,50.34013605442177
Chemistry,1,2020,18,0.5325777777777778,1,5.555555555555555
Materials Science,2,2000,3,4.189566666666667,294,100.0
Materials Science,2,2001,2,0.40535,20,100.0
Materials Science,2,2002,1,0.7866000000000001,20,100.0
Materials Science,2,2003,5,0.24314000000000005,34,100.0
Materials Science,2,2004,3,0.13636666666666666,11,66.66666666666666
Materials Science,2,2005,7,1.0517999999999998,199,100.0
Materials Science,2,2006,18,0.21746111111111116,106,88.88888888888889
Materials Science,2,2007,11,0.5732909090909092,183,90.9090909090909
Materials Science,2,2008,3,0.26056666666666667,22,100.0
Materials Science,2,2009,3,0.5679666666666666,47,100.0
Materials Science,2,2010,8,0.6665125000000001,154,100.0
Materials Science,2,2011,8,0.5117375,109,75.0
Materials Science,2,2012,18,0.48856666666666665,215,88.88888888888889
Materials Science,2,2013,32,0.7164343750000003,399,100.0
Materials Science,2,2014,32,0.6460500000000002,438,96.875
Materials Science,2,2015,29,0.8438413793103448,600,96.55172413793103
Materials Science,2,2016,32,2.0327375,1177,100.0
Materials Science,2,2017,51,1.5671647058823526,907,96.07843137254902
Materials Science,2,2018,36,2.227986111111111,590,91.66666666666666
Materials Science,2,2019,51,1.2336490196078431,113,54.90196078431373
Materials Science,2,2020,3,0.0,0,0.0
Space Science,3,2000,2,1.3606000000000003,118,100.0
Space Science,3,2001,5,0.23602000000000004,49,60.0
Space Science,3,2002,6,0.8664999999999999,212,83.33333333333334
Space Science,3,2004,2,0.2464,20,50.0
Space Science,3,2005,3,2.4819666666666667,313,100.0
Space Science,3,2006,3,0.8198333333333334,104,100.0
Space Science,3,2007,6,1.3423,317,100.0
Space Science,3,2008,5,0.5896399999999999,103,100.0
Space Science,3,2009,4,0.7183250000000001,102,100.0
Space Science,3,2010,8,1.473,417,87.5
Space Science,3,2011,9,3.7940111111111117,1086,100.0
Space Science,3,2012,11,3.2773818181818184,1034,100.0
Space Science,3,2013,11,0.7833818181818181,231,100.0
Space Science,3,2014,4,0.548125,49,100.0
Space Science,3,2015,1,0.8167000000000001,15,100.0
Space Science,3,2016,6,0.62295,53,66.66666666666666
Space Science,3,2017,8,11.940125000000004,964,100.0
Space Science,3,2018,4,0.2509,6,75.0
Space Science,3,2019,7,0.45728571428571424,5,42.857142857142854
Space Science,3,2020,1,0.0,0,0.0
Biology & Biochemistry,4,2000,1,1.2714,62,100.0
Biology & Biochemistry,4,2001,1,1.2976,65,100.0
Biology & Biochemistry,4,2002,1,0.0,0,0.0
Biology & Biochemistry,4,2003,7,6.4124285714285705,522,100.0
Biology & Biochemistry,4,2004,3,1.0593333333333332,149,100.0
Biology & Biochemistry,4,2005,3,1.5682000000000003,213,100.0
Biology & Biochemistry,4,2006,4,1.5719500000000002,268,100.0
Biology & Biochemistry,4,2007,3,1.5734333333333332,187,100.0
Biology & Biochemistry,4,2008,7,1.0666857142857142,275,85.71428571428571
Biology & Biochemistry,4,2009,4,0.98295,140,100.0
Biology & Biochemistry,4,2010,1,0.8441000000000001,27,100.0
Biology & Biochemistry,4,2011,5,0.5044,73,100.0
Biology & Biochemistry,4,2012,4,0.288925,30,100.0
Biology & Biochemistry,4,2013,8,0.51675,92,87.5
Biology & Biochemistry,4,2014,8,0.5142249999999999,78,75.0
Biology & Biochemistry,4,2015,6,0.38365000000000005,35,100.0
Biology & Biochemistry,4,2016,6,0.6633833333333333,46,100.0
Biology & Biochemistry,4,2017,7,0.28090000000000004,16,71.42857142857143
Biology & Biochemistry,4,2018,5,0.35350000000000004,8,40.0
Biology & Biochemistry,4,2019,7,0.07067142857142858,1,14.285714285714285
Biology & Biochemistry,4,2020,1,10.0175,1,100.0
Physics,5,2000,2,0.14295,8,100.0
Physics,5,2001,3,0.6748666666666666,51,66.66666666666666
Physics,5,2002,5,0.45532000000000006,62,100.0
Physics,5,2003,4,0.83155,79,100.0
Physics,5,2004,3,1.4016000000000002,110,100.0
Physics,5,2005,6,0.24880000000000005,38,100.0
Physics,5,2006,8,0.0761125,15,62.5
Physics,5,2007,9,0.48865555555555557,101,88.88888888888889
Physics,5,2008,8,0.5101750000000002,94,100.0
Physics,5,2009,8,0.37648750000000003,65,62.5
Physics,5,2010,8,0.3175875,53,87.5
Physics,5,2011,10,0.80005,151,90.0
Physics,5,2012,14,0.5566571428571429,95,92.85714285714286
Physics,5,2013,23,0.6226565217391306,227,86.95652173913044
Physics,5,2014,32,1.044603125,469,90.625
Physics,5,2015,29,0.5228344827586207,183,86.20689655172413
Physics,5,2016,25,0.617832,147,88.0
Physics,5,2017,26,0.680723076923077,118,80.76923076923077
Physics,5,2018,27,1.020974074074074,108,77.77777777777779
Physics,5,2019,33,1.0806606060606063,37,42.42424242424242
Physics,5,2020,6,0.0,0,0.0
Plant & Animal Science,6,2000,3,0.6678666666666667,57,100.0
Plant & Animal Science,6,2001,2,0.9218500000000001,52,100.0
Plant & Animal Science,6,2002,1,0.0,0,0.0
Plant & Animal Science,6,2003,3,1.3112666666666668,110,66.66666666666666
Plant & Animal Science,6,2004,2,0.23705,13,100.0
Plant & Animal Science,6,2005,1,0.4208,11,100.0
Plant & Animal Science,6,2006,4,2.194475,220,100.0
Plant & Animal Science,6,2007,5,1.34678,155,100.0
Plant & Animal Science,6,2008,2,1.4865500000000003,62,100.0
Plant & Animal Science,6,2009,8,1.107075,174,100.0
Plant & Animal Science,6,2010,5,1.6586200000000002,153,100.0
Plant & Animal Science,6,2011,9,1.1520000000000001,170,88.88888888888889
Plant & Animal Science,6,2012,6,1.1684666666666668,101,100.0
Plant & Animal Science,6,2013,13,0.9309615384615384,154,100.0
Plant & Animal Science,6,2014,12,1.3446833333333332,176,100.0
Plant & Animal Science,6,2015,16,0.65140625,91,93.75
Plant & Animal Science,6,2016,20,0.9449950000000001,127,90.0
Plant & Animal Science,6,2017,26,1.249046153846154,146,84.61538461538461
Plant & Animal Science,6,2018,24,0.633875,37,66.66666666666666
Plant & Animal Science,6,2019,20,1.65303,23,45.0
Plant & Animal Science,6,2020,2,0.0,0,0.0
Environment/Ecology,7,2000,2,0.585,53,100.0
Environment/Ecology,7,2001,1,0.4742,20,100.0
Environment/Ecology,7,2003,1,0.09330000000000001,4,100.0
Environment/Ecology,7,2005,1,0.09530000000000001,4,100.0
Environment/Ecology,7,2008,3,0.9149333333333334,95,100.0
Environment/Ecology,7,2009,5,1.17128,177,100.0
Environment/Ecology,7,2010,5,0.73124,109,100.0
Environment/Ecology,7,2011,8,0.4770875000000001,99,87.5
Environment/Ecology,7,2012,7,0.5733571428571428,95,100.0
Environment/Ecology,7,2013,11,1.1473909090909091,259,100.0
Environment/Ecology,7,2014,17,0.6596823529411764,193,100.0
Environment/Ecology,7,2015,29,0.576951724137931,237,93.10344827586206
Environment/Ecology,7,2016,25,0.768496,206,96.0
Environment/Ecology,7,2017,32,0.9273406249999998,237,100.0
Environment/Ecology,7,2018,34,0.7501411764705882,106,70.58823529411765
Environment/Ecology,7,2019,56,0.9830357142857145,59,53.57142857142857
Environment/Ecology,7,2020,7,0.0,0,0.0
Engineering,8,2000,2,0.34745000000000004,14,100.0
Engineering,8,2001,1,0.2386,5,100.0
Engineering,8,2002,2,0.47175,21,100.0
Engineering,8,2004,1,0.16670000000000001,4,100.0
Engineering,8,2005,4,0.499025,44,75.0
Engineering,8,2006,3,0.46503333333333335,31,100.0
Engineering,8,2007,1,0.045000000000000005,1,100.0
Engineering,8,2008,1,0.9178000000000001,19,100.0
Engineering,8,2009,5,0.9694800000000001,100,100.0
Engineering,8,2010,7,0.6885285714285716,96,100.0
Engineering,8,2011,2,1.7372,64,100.0
Engineering,8,2012,5,1.1290200000000001,94,80.0
Engineering,8,2013,7,2.063514285714286,223,100.0
Engineering,8,2014,18,1.3452666666666668,332,94.44444444444444
Engineering,8,2015,12,1.7029000000000005,241,100.0
Engineering,8,2016,29,0.9504482758620691,259,82.75862068965517
Engineering,8,2017,24,0.8302874999999998,131,91.66666666666666
Engineering,8,2018,41,0.47792439024390243,79,70.73170731707317
Engineering,8,2019,72,1.005305555555556,78,37.5
Engineering,8,2020,4,0.0,0,0.0
Computer Science,9,2004,1,0.3578,6,100.0
Computer Science,9,2005,2,2.0715000000000003,66,100.0
Computer Science,9,2006,1,1.1495,20,100.0
Computer Science,9,2009,1,0.0,0,0.0
Computer Science,9,2010,1,0.3554,7,100.0
Computer Science,9,2011,4,0.5387500000000001,43,100.0
Computer Science,9,2012,4,0.9142250000000001,60,75.0
Computer Science,9,2013,18,0.6346888888888889,182,77.77777777777779
Computer Science,9,2014,19,0.40746315789473686,111,78.94736842105263
Computer Science,9,2015,35,0.6797085714285717,269,74.28571428571429
Computer Science,9,2016,27,0.8599481481481484,217,70.37037037037037
Computer Science,9,2017,64,0.5663109375000001,260,75.0
Computer Science,9,2018,27,0.6364148148148148,60,74.07407407407408
Computer Science,9,2019,29,0.7296931034482759,22,41.37931034482759
Computer Science,9,2020,4,0.0,0,0.0
Geosciences,10,2007,1,0.0,0,0.0
Geosciences,10,2009,1,0.43270000000000003,13,100.0
