"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,29,0.3172413793103449,266,79.3103448275862
Chemistry,1,2001,34,0.8049588235294118,795,97.05882352941177
Chemistry,1,2002,40,0.5002075,594,75.0
Chemistry,1,2003,44,0.6495818181818181,868,88.63636363636364
Chemistry,1,2004,70,0.8006757142857144,2030,94.28571428571428
Chemistry,1,2005,225,0.5552635555555556,3771,86.66666666666667
Chemistry,1,2006,240,0.5437887500000002,3831,83.75
Chemistry,1,2007,299,0.7853367892976592,6658,74.24749163879598
Chemistry,1,2008,239,1.0792456066945608,8009,91.63179916317992
Chemistry,1,2009,207,1.1482637681159424,6227,93.71980676328504
Chemistry,1,2010,180,1.3741016666666663,6282,91.11111111111111
Chemistry,1,2011,191,1.3967324607329845,6247,89.00523560209425
Chemistry,1,2012,174,1.9266672413793102,8810,98.27586206896551
Chemistry,1,2013,185,1.1906372972972972,4548,94.05405405405406
Chemistry,1,2014,239,1.390217991631799,6384,91.21338912133892
Chemistry,1,2015,239,1.6052322175732223,7100,92.05020920502092
Chemistry,1,2016,220,1.806804545454546,5668,94.54545454545455
Chemistry,1,2017,187,2.185891443850268,3858,93.04812834224599
Chemistry,1,2018,207,2.070057971014493,2428,85.99033816425121
Chemistry,1,2019,241,2.7226385892116185,950,62.24066390041494
Chemistry,1,2020,25,2.651768,12,24.0
Physics,2,2000,58,0.40935,656,81.03448275862068
Physics,2,2001,55,0.5375672727272727,794,83.63636363636363
Physics,2,2002,88,1.0052840909090908,2404,82.95454545454545
Physics,2,2003,73,1.6695712328767123,3134,79.45205479452055
Physics,2,2004,114,1.5424561403508772,4600,87.71929824561403
Physics,2,2005,111,1.7682054054054053,6825,94.5945945945946
Physics,2,2006,132,1.1994712121212123,4174,91.66666666666666
Physics,2,2007,158,0.9081740506329115,3287,84.17721518987342
Physics,2,2008,161,0.8474782608695655,3363,90.6832298136646
Physics,2,2009,135,0.9208081481481482,3442,88.88888888888889
Physics,2,2010,154,1.4081915584415585,4524,88.31168831168831
Physics,2,2011,166,1.3412560240963858,4403,85.54216867469879
Physics,2,2012,175,1.508644571428572,4698,87.42857142857143
Physics,2,2013,180,2.4472822222222224,7069,92.22222222222223
Physics,2,2014,259,2.415684555984555,9000,95.36679536679536
Physics,2,2015,248,2.0624850806451613,6471,97.98387096774194
Physics,2,2016,266,1.8351372180451129,4905,92.85714285714286
Physics,2,2017,305,2.0349373770491797,4263,90.81967213114754
Physics,2,2018,291,1.4938360824742272,1806,86.94158075601375
Physics,2,2019,387,1.3541806201550388,548,49.09560723514212
Physics,2,2020,28,1.6952464285714286,3,10.714285714285714
Materials Science,3,2000,1,0.0,0,0.0
Materials Science,3,2001,1,4.3369,107,100.0
Materials Science,3,2002,1,0.5113,13,100.0
Materials Science,3,2003,1,0.0,0,0.0
Materials Science,3,2004,5,0.16362,22,80.0
Materials Science,3,2005,12,0.9363,285,100.0
Materials Science,3,2006,26,1.4004192307692311,986,92.3076923076923
Materials Science,3,2007,39,1.4932512820512822,1690,92.3076923076923
Materials Science,3,2008,39,1.8851999999999998,2069,97.43589743589743
Materials Science,3,2009,41,1.3268487804878053,1519,97.5609756097561
Materials Science,3,2010,31,2.0740870967741936,1857,100.0
Materials Science,3,2011,31,4.199296774193549,3466,100.0
Materials Science,3,2012,28,4.870128571428572,4755,96.42857142857143
Materials Science,3,2013,26,2.726661538461538,1806,100.0
Materials Science,3,2014,39,1.7524692307692307,1463,97.43589743589743
Materials Science,3,2015,47,2.395321276595745,2101,97.87234042553192
Materials Science,3,2016,32,2.508725,1213,96.875
Materials Science,3,2017,53,2.6515773584905666,1619,100.0
Materials Science,3,2018,52,2.59929423076923,843,96.15384615384616
Materials Science,3,2019,65,2.0823261538461537,225,61.53846153846154
Materials Science,3,2020,12,0.0,0,0.0
Mathematics,4,2000,20,1.4547050000000001,448,85.0
Mathematics,4,2001,13,1.4537923076923076,286,84.61538461538461
Mathematics,4,2002,17,1.170429411764706,290,94.11764705882352
Mathematics,4,2003,38,1.0913105263157896,587,100.0
Mathematics,4,2004,27,0.5855259259259259,231,81.48148148148148
Mathematics,4,2005,29,0.7602068965517242,306,79.3103448275862
Mathematics,4,2006,53,0.5898660377358491,423,71.69811320754717
Mathematics,4,2007,43,0.6261604651162792,336,88.37209302325581
Mathematics,4,2008,43,0.6588511627906978,334,83.72093023255815
Mathematics,4,2009,51,0.8847411764705881,488,96.07843137254902
Mathematics,4,2010,55,1.142967272727273,638,87.27272727272727
Mathematics,4,2011,74,0.9097594594594594,594,87.83783783783784
Mathematics,4,2012,76,1.1430855263157895,650,86.8421052631579
Mathematics,4,2013,85,1.1331235294117648,592,78.82352941176471
Mathematics,4,2014,91,1.9937714285714279,996,87.91208791208791
Mathematics,4,2015,103,1.6521038834951456,802,79.6116504854369
Mathematics,4,2016,113,1.0748690265486724,440,78.76106194690266
Mathematics,4,2017,104,1.2840913461538461,351,74.03846153846155
Mathematics,4,2018,145,1.3281068965517238,304,60.0
Mathematics,4,2019,142,1.247576760563381,90,30.28169014084507
Mathematics,4,2020,27,0.6912222222222222,2,7.4074074074074066
Molecular Biology & Genetics,5,2004,1,0.1825,13,100.0
Molecular Biology & Genetics,5,2005,1,0.1052,7,100.0
Molecular Biology & Genetics,5,2006,2,0.50465,83,100.0
Molecular Biology & Genetics,5,2007,2,0.3984,49,100.0
Molecular Biology & Genetics,5,2008,2,0.28875,32,100.0
Molecular Biology & Genetics,5,2009,3,0.23496666666666668,36,66.66666666666666
Molecular Biology & Genetics,5,2010,9,0.3408,148,66.66666666666666
Molecular Biology & Genetics,5,2011,7,0.3721285714285714,110,85.71428571428571
Molecular Biology & Genetics,5,2012,13,3.7004153846153844,2878,100.0
Molecular Biology & Genetics,5,2013,13,0.5182846153846155,209,76.92307692307693
Molecular Biology & Genetics,5,2014,12,0.4290166666666666,134,75.0
Molecular Biology & Genetics,5,2015,15,0.44409333333333323,160,93.33333333333333
Molecular Biology & Genetics,5,2016,20,4.221965,2422,75.0
Molecular Biology & Genetics,5,2017,12,0.5650416666666666,70,91.66666666666666
Molecular Biology & Genetics,5,2018,11,1.142009090909091,75,63.63636363636363
Molecular Biology & Genetics,5,2019,20,1.47964,42,30.0
Molecular Biology & Genetics,5,2020,3,0.0,0,0.0
Plant & Animal Science,6,2000,1,0.5273,15,100.0
Plant & Animal Science,6,2001,1,1.4536,41,100.0
Plant & Animal Science,6,2002,3,1.0907666666666669,91,100.0
Plant & Animal Science,6,2003,1,0.7152000000000001,20,100.0
Plant & Animal Science,6,2004,5,0.7221,99,100.0
Plant & Animal Science,6,2005,5,2.87652,376,100.0
Plant & Animal Science,6,2006,7,0.9841142857142857,231,100.0
Plant & Animal Science,6,2007,10,1.29033,297,100.0
Plant & Animal Science,6,2008,10,0.67135,140,90.0
Plant & Animal Science,6,2009,15,2.283726666666667,673,100.0
Plant & Animal Science,6,2010,14,1.2044857142857144,536,100.0
Plant & Animal Science,6,2011,15,0.6871533333333332,169,93.33333333333333
Plant & Animal Science,6,2012,23,1.2145217391304348,411,100.0
Plant & Animal Science,6,2013,25,1.3308080000000002,335,100.0
Plant & Animal Science,6,2014,30,0.9993366666666667,327,96.66666666666667
Plant & Animal Science,6,2015,33,1.266806060606061,365,93.93939393939394
Plant & Animal Science,6,2016,35,1.1844628571428577,281,91.42857142857143
Plant & Animal Science,6,2017,38,1.3579947368421048,232,92.10526315789474
Plant & Animal Science,6,2018,36,1.2398777777777776,104,77.77777777777779
Plant & Animal Science,6,2019,38,1.111192105263158,27,44.73684210526316
Plant & Animal Science,6,2020,5,0.0,0,0.0
Engineering,7,2000,2,0.67015,27,100.0
Engineering,7,2001,2,0.23865,10,100.0
Engineering,7,2002,6,0.5241833333333334,70,100.0
Engineering,7,2003,3,0.9621666666666667,62,100.0
Engineering,7,2004,5,0.39998000000000006,48,80.0
Engineering,7,2005,6,1.1039333333333332,146,66.66666666666666
Engineering,7,2006,9,0.8550444444444446,171,77.77777777777779
Engineering,7,2007,7,1.4136142857142857,220,71.42857142857143
Engineering,7,2008,9,1.7443222222222223,325,100.0
Engineering,7,2009,13,0.9564153846153848,262,76.92307692307693
Engineering,7,2010,15,1.7709200000000003,526,100.0
Engineering,7,2011,11,0.7254909090909091,147,81.81818181818183
Engineering,7,2012,28,0.6456000000000001,301,75.0
Engineering,7,2013,17,1.2192647058823531,320,88.23529411764706
Engineering,7,2014,23,0.8371869565217394,264,95.65217391304348
Engineering,7,2015,23,0.8700434782608698,236,86.95652173913044
Engineering,7,2016,33,1.6924363636363633,529,84.84848484848484
Engineering,7,2017,35,0.9327771428571427,230,82.85714285714286
Engineering,7,2018,42,1.9075547619047621,323,76.19047619047619
Engineering,7,2019,78,1.4828371794871795,127,42.30769230769231
Engineering,7,2020,8,4.783125,6,25.0
Biology & Biochemistry,8,2000,2,1.2509000000000001,122,100.0
Biology & Biochemistry,8,2001,3,1.4239666666666666,214,100.0
Biology & Biochemistry,8,2002,3,0.15506666666666669,22,66.66666666666666
Biology & Biochemistry,8,2003,4,0.541575,103,50.0
Biology & Biochemistry,8,2004,2,0.47990000000000005,45,100.0
Biology & Biochemistry,8,2005,6,0.39021666666666666,106,100.0
Biology & Biochemistry,8,2006,9,0.4249333333333333,163,88.88888888888889
Biology & Biochemistry,8,2007,14,0.8275785714285716,459,100.0
Biology & Biochemistry,8,2008,11,0.7380545454545455,299,90.9090909090909
Biology & Biochemistry,8,2009,14,0.4581857142857143,231,100.0
Biology & Biochemistry,8,2010,13,0.415976923076923,186,100.0
Biology & Biochemistry,8,2011,15,0.5335733333333332,241,100.0
Biology & Biochemistry,8,2012,18,0.5053500000000001,241,94.44444444444444
Biology & Biochemistry,8,2013,17,0.33834117647058826,128,88.23529411764706
Biology & Biochemistry,8,2014,23,0.7849260869565219,341,95.65217391304348
Biology & Biochemistry,8,2015,18,3.0297333333333345,839,83.33333333333334
Biology & Biochemistry,8,2016,34,0.8483588235294118,305,91.17647058823529
Biology & Biochemistry,8,2017,29,0.7041896551724138,168,86.20689655172413
Biology & Biochemistry,8,2018,23,0.5122521739130435,59,65.21739130434783
Biology & Biochemistry,8,2019,30,1.4513333333333336,58,60.0
Biology & Biochemistry,8,2020,1,0.0,0,0.0
Environment/Ecology,9,2001,1,0.4742,20,100.0
Environment/Ecology,9,2002,1,0.0,0,0.0
Environment/Ecology,9,2004,4,1.16765,196,100.0
Environment/Ecology,9,2005,7,0.43909999999999993,129,100.0
Environment/Ecology,9,2006,3,0.7214333333333333,84,100.0
Environment/Ecology,9,2007,9,0.8518,284,100.0
Environment/Ecology,9,2008,2,3.16385,219,100.0
Environment/Ecology,9,2009,15,0.9793733333333333,444,93.33333333333333
Environment/Ecology,9,2010,10,0.5969199999999999,204,100.0
Environment/Ecology,9,2011,10,1.45347,377,100.0
Environment/Ecology,9,2012,11,1.6630909090909092,433,100.0
Environment/Ecology,9,2013,9,1.1675777777777778,208,88.88888888888889
Environment/Ecology,9,2014,15,1.9020266666666668,491,100.0
Environment/Ecology,9,2015,11,1.771336363636364,276,100.0
Environment/Ecology,9,2016,17,1.091635294117647,196,94.11764705882352
Environment/Ecology,9,2017,27,2.0610592592592596,467,96.29629629629629
Environment/Ecology,9,2018,41,1.2356560975609758,252,75.60975609756098
Environment/Ecology,9,2019,59,0.7662237288135595,48,28.8135593220339
Environment/Ecology,9,2020,9,0.9906,1,11.11111111111111
Computer Science,10,2000,1,1.0177,22,100.0
Computer Science,10,2003,1,0.0533,1,100.0
Computer Science,10,2004,7,0.1703714285714286,20,42.857142857142854
Computer Science,10,2005,16,0.3256375000000001,83,75.0
Computer Science,10,2006,12,0.35441666666666666,74,75.0
Computer Science,10,2007,8,0.58765,107,100.0
Computer Science,10,2008,6,0.2878,39,83.33333333333334
Computer Science,10,2009,10,0.28109,59,100.0
Computer Science,10,2010,11,0.4384363636363636,95,81.81818181818183
Computer Science,10,2011,10,0.25059,50,90.0
Computer Science,10,2012,17,0.4409705882352942,123,88.23529411764706
Computer Science,10,2013,25,1.0093520000000002,402,84.0
Computer Science,10,2014,25,0.7142040000000001,256,88.0
Computer Science,10,2015,32,0.8254750000000001,260,84.375
Computer Science,10,2016,36,1.0038,344,88.88888888888889
Computer Science,10,2017,47,0.6785638297872341,222,74.46808510638297
Computer Science,10,2018,58,1.3161017241379314,248,81.03448275862068
Computer Science,10,2019,78,0.7645628205128207,62,28.205128205128204
Computer Science,10,2020,5,0.0,0,0.0
Agricultural Sciences,11,2001,1,3.6147,104,100.0
Agricultural Sciences,11,2002,3,0.3923666666666667,35,100.0
Agricultural Sciences,11,2004,1,0.6717000000000001,19,100.0
Agricultural Sciences,11,2005,3,1.6989333333333334,142,100.0
Agricultural Sciences,11,2006,5,1.79174,241,100.0
Agricultural Sciences,11,2007,7,1.6121428571428573,278,100.0
Agricultural Sciences,11,2008,4,1.6659750000000002,140,100.0
Agricultural Sciences,11,2009,3,0.8896000000000001,52,100.0
Agricultural Sciences,11,2010,6,2.040016666666667,224,100.0
Agricultural Sciences,11,2011,8,1.0617999999999999,140,87.5
Agricultural Sciences,11,2012,6,1.4046166666666666,126,83.33333333333334
Agricultural Sciences,11,2013,5,1.06982,71,100.0
Agricultural Sciences,11,2014,7,1.1739714285714287,97,100.0
Agricultural Sciences,11,2015,7,1.9372142857142858,134,100.0
Agricultural Sciences,11,2016,12,1.3271083333333333,137,83.33333333333334
Agricultural Sciences,11,2017,15,1.3019866666666668,121,93.33333333333333
Agricultural Sciences,11,2018,11,1.162290909090909,59,72.72727272727273
Agricultural Sciences,11,2019,16,2.020325,27,68.75
Agricultural Sciences,11,2020,3,0.0,0,0.0
Psychiatry/Psychology,12,2002,1,0.111,5,100.0
Psychiatry/Psychology,12,2003,1,0.0867,4,100.0
Psychiatry/Psychology,12,2004,8,0.0,0,0.0
Psychiatry/Psychology,12,2005,1,0.8410000000000001,35,100.0
Psychiatry/Psychology,12,2007,1,0.43270000000000003,16,100.0
Psychiatry/Psychology,12,2008,17,0.0,0,0.0
Psychiatry/Psychology,12,2009,1,0.2059,6,100.0
Psychiatry/Psychology,12,2010,3,0.502,42,100.0
Psychiatry/Psychology,12,2011,3,0.16383333333333336,12,66.66666666666666
Psychiatry/Psychology,12,2012,54,1.4688407407407407,109,20.37037037037037
Psychiatry/Psychology,12,2013,6,1.6911333333333334,177,100.0
Psychiatry/Psychology,12,2014,12,0.6187083333333333,132,100.0
Psychiatry/Psychology,12,2015,17,0.9860411764705882,193,88.23529411764706
Psychiatry/Psychology,12,2016,152,1.214272368421053,317,23.684210526315788
Psychiatry/Psychology,12,2017,42,1.5691238095238098,259,88.09523809523809
Psychiatry/Psychology,12,2018,38,1.087668421052632,121,78.94736842105263
Psychiatry/Psychology,12,2019,74,0.6528635135135136,41,28.37837837837838
Psychiatry/Psychology,12,2020,9,0.0,0,0.0
Space Science,13,2000,4,0.06340000000000001,11,50.0
Space Science,13,2001,4,0.13242500000000001,22,75.0
Space Science,13,2003,5,0.08058000000000001,17,60.0
Space Science,13,2005,1,0.1189,5,100.0
Space Science,13,2006,8,0.1773375,60,100.0
Space Science,13,2007,5,0.45730000000000004,90,100.0
Space Science,13,2008,3,0.5629333333333334,59,100.0
Space Science,13,2009,10,0.3549399999999999,126,100.0
Space Science,13,2010,6,0.2873,61,66.66666666666666
Space Science,13,2011,7,0.4446857142857143,99,85.71428571428571
Space Science,13,2012,5,0.66244,95,100.0
Space Science,13,2013,6,1.3616166666666667,219,83.33333333333334
Space Science,13,2014,6,0.46236666666666665,62,83.33333333333334
Space Science,13,2015,10,0.39744,73,80.0
Space Science,13,2016,3,1.4574333333333334,62,100.0
Space Science,13,2017,7,1.0311000000000001,72,85.71428571428571
Space Science,13,2018,7,1.7681857142857145,74,85.71428571428571
Space Science,13,2019,9,0.35566666666666663,5,33.33333333333333
Pharmacology & Toxicology,14,2003,1,2.5348,81,100.0
Pharmacology & Toxicology,14,2004,1,0.47590000000000005,15,100.0
Pharmacology & Toxicology,14,2005,1,0.25930000000000003,8,100.0
Pharmacology & Toxicology,14,2006,2,1.1020500000000002,112,100.0
Pharmacology & Toxicology,14,2007,1,0.5383,15,100.0
Pharmacology & Toxicology,14,2008,1,1.7025000000000001,44,100.0
Pharmacology & Toxicology,14,2009,3,0.8029333333333334,57,100.0
Pharmacology & Toxicology,14,2010,1,0.1777,4,100.0
Pharmacology & Toxicology,14,2011,3,0.45093333333333335,27,100.0
Pharmacology & Toxicology,14,2012,6,1.6491833333333334,189,100.0
Pharmacology & Toxicology,14,2013,9,2.291233333333333,97,77.77777777777779
Pharmacology & Toxicology,14,2014,11,1.1617818181818185,185,100.0
Pharmacology & Toxicology,14,2015,8,0.906575,91,100.0
Pharmacology & Toxicology,14,2016,11,0.6767545454545455,63,90.9090909090909
Pharmacology & Toxicology,14,2017,16,0.840325,84,75.0
Pharmacology & Toxicology,14,2018,18,0.5659777777777778,36,38.88888888888889
Pharmacology & Toxicology,14,2019,16,0.4753875000000001,7,25.0
Geosciences,15,2006,1,3.2913,118,100.0
Geosciences,15,2008,2,1.5490000000000002,97,100.0
Geosciences,15,2009,2,0.19965,12,100.0
Geosciences,15,2010,1,0.5402,15,100.0
Geosciences,15,2013,6,2.479433333333333,293,100.0
Geosciences,15,2014,4,4.2173,281,100.0
Geosciences,15,2016,12,0.9525083333333334,115,83.33333333333334
Geosciences,15,2017,14,0.7317571428571429,72,85.71428571428571
Geosciences,15,2018,18,0.974327777777778,66,72.22222222222221
Geosciences,15,2019,21,1.1652,27,47.61904761904761
Geosciences,15,2020,1,0.0,0,0.0
"Social Sciences, general",16,2000,1,1.3813,35,100.0
"Social Sciences, general",16,2001,1,0.9657,40,100.0
"Social Sciences, general",16,2002,2,1.13135,61,50.0
"Social Sciences, general",16,2006,1,0.11800000000000001,3,100.0
"Social Sciences, general",16,2007,5,0.41314,36,100.0
"Social Sciences, general",16,2008,4,0.16465,13,100.0
"Social Sciences, general",16,2009,2,0.38745,14,100.0
"Social Sciences, general",16,2010,4,1.112625,77,75.0
"Social Sciences, general",16,2011,1,3.331,50,100.0
"Social Sciences, general",16,2012,2,1.0001,26,100.0
"Social Sciences, general",16,2013,9,0.8656111111111111,90,88.88888888888889
"Social Sciences, general",16,2014,8,1.1846375000000002,93,100.0
"Social Sciences, general",16,2015,16,0.66620625,83,81.25
"Social Sciences, general",16,2016,30,0.6467833333333335,110,66.66666666666666
"Social Sciences, general",16,2017,41,0.7317121951219513,117,70.73170731707317
"Social Sciences, general",16,2018,58,0.7833655172413795,96,58.620689655172406
"Social Sciences, general",16,2019,88,1.2586806818181815,71,39.77272727272727
"Social Sciences, general",16,2020,17,0.6107058823529412,2,11.76470588235294
Microbiology,17,2000,1,0.0,0,0.0
Microbiology,17,2004,1,0.2851,12,100.0
Microbiology,17,2005,1,1.0625,44,100.0
Microbiology,17,2006,2,0.27715,21,100.0
Microbiology,17,2007,2,0.52885,38,100.0
Microbiology,17,2010,2,0.11,16,100.0
Microbiology,17,2011,6,0.7757166666666667,113,100.0
Microbiology,17,2012,12,0.6888500000000001,182,91.66666666666666
Microbiology,17,2013,12,0.593425,138,100.0
Microbiology,17,2014,9,0.4711888888888888,72,88.88888888888889
Microbiology,17,2015,7,0.7714857142857143,73,100.0
Microbiology,17,2016,6,0.7030833333333334,46,100.0
Microbiology,17,2017,10,0.8464300000000001,64,100.0
Microbiology,17,2018,12,0.9251166666666668,45,75.0
Microbiology,17,2019,5,0.6621400000000001,3,20.0
Neuroscience & Behavior,18,2001,1,0.8390000000000001,45,100.0
Neuroscience & Behavior,18,2002,1,0.0375,2,100.0
Neuroscience & Behavior,18,2003,1,0.038900000000000004,2,100.0
Neuroscience & Behavior,18,2004,1,0.0392,2,100.0
Neuroscience & Behavior,18,2007,2,0.29245000000000004,26,100.0
Neuroscience & Behavior,18,2008,3,0.5144666666666667,62,100.0
Neuroscience & Behavior,18,2009,2,0.013250000000000001,1,50.0
Neuroscience & Behavior,18,2010,2,0.61165,43,100.0
Neuroscience & Behavior,18,2011,3,0.7119333333333334,67,66.66666666666666
Neuroscience & Behavior,18,2012,4,0.44505,48,100.0
Neuroscience & Behavior,18,2013,7,0.5467714285714285,90,100.0
Neuroscience & Behavior,18,2014,9,0.3184555555555556,56,100.0
Neuroscience & Behavior,18,2015,10,0.6669700000000001,108,90.0
Neuroscience & Behavior,18,2016,5,0.5880000000000001,35,100.0
Neuroscience & Behavior,18,2017,8,0.4672375000000001,30,75.0
Neuroscience & Behavior,18,2018,9,0.5015999999999999,19,55.55555555555556
Neuroscience & Behavior,18,2019,11,0.9249272727272726,11,54.54545454545454
Neuroscience & Behavior,18,2020,2,0.0,0,0.0
Clinical Medicine,19,2006,2,0.17685,12,100.0
