"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,58,0.8410706896551725,1453,96.55172413793103
Chemistry,1,2001,75,0.7064226666666668,1539,97.33333333333334
Chemistry,1,2002,67,0.7636283582089554,1542,92.53731343283582
Chemistry,1,2003,106,0.7798547169811324,2512,95.28301886792453
Chemistry,1,2004,109,0.984634862385321,3328,95.41284403669725
Chemistry,1,2005,137,0.6394656934306571,2706,92.7007299270073
Chemistry,1,2006,141,0.7734695035460991,3259,95.74468085106383
Chemistry,1,2007,184,0.8103304347826087,4198,93.47826086956522
Chemistry,1,2008,231,0.9360952380952383,6529,93.93939393939394
Chemistry,1,2009,271,0.9432952029520294,6725,96.30996309963099
Chemistry,1,2010,262,1.3022618320610688,9681,95.41984732824427
Chemistry,1,2011,324,1.4706191358024692,11737,95.98765432098766
Chemistry,1,2012,337,1.1341804154302673,9823,94.95548961424333
Chemistry,1,2013,372,1.437610752688172,11416,97.04301075268818
Chemistry,1,2014,405,1.404,10576,97.28395061728395
Chemistry,1,2015,398,1.6436213567839195,10754,94.72361809045226
Chemistry,1,2016,471,1.5697178343949048,9659,95.54140127388536
Chemistry,1,2017,463,1.4943116630669553,6795,91.792656587473
Chemistry,1,2018,474,1.3764396624472577,3698,87.34177215189874
Chemistry,1,2019,549,1.3970655737704911,1201,54.28051001821493
Chemistry,1,2020,78,0.8603205128205129,7,6.41025641025641
Physics,2,2000,29,0.3894551724137931,316,82.75862068965517
Physics,2,2001,46,0.6805782608695652,834,93.47826086956522
Physics,2,2002,58,0.4678500000000001,739,93.10344827586206
Physics,2,2003,70,0.6769657142857143,1299,95.71428571428572
Physics,2,2004,91,0.5389725274725274,1236,87.91208791208791
Physics,2,2005,95,0.6501905263157896,1564,90.52631578947368
Physics,2,2006,119,0.7118134453781512,2115,90.75630252100841
Physics,2,2007,144,0.7790694444444444,2559,91.66666666666666
Physics,2,2008,193,0.76709481865285,3347,94.30051813471503
Physics,2,2009,236,0.7211508474576273,3676,94.91525423728814
Physics,2,2010,162,1.1207345679012344,3781,95.06172839506173
Physics,2,2011,196,1.058495918367347,3923,92.85714285714286
Physics,2,2012,203,0.7577073891625616,2861,93.59605911330048
Physics,2,2013,245,0.7348755102040817,2877,92.65306122448979
Physics,2,2014,260,0.8897900000000001,3261,89.61538461538461
Physics,2,2015,250,1.0772708,3272,93.2
Physics,2,2016,216,0.8274967592592594,1755,87.03703703703704
Physics,2,2017,300,0.9868119999999999,2082,84.66666666666667
Physics,2,2018,325,1.052629230769231,1346,78.46153846153847
Physics,2,2019,274,1.0633007299270076,323,40.14598540145985
Physics,2,2020,31,0.0,0,0.0
Materials Science,3,2000,7,2.394042857142857,392,85.71428571428571
Materials Science,3,2001,4,0.314125,31,75.0
Materials Science,3,2002,5,0.16519999999999999,21,100.0
Materials Science,3,2003,9,0.30591111111111113,77,88.88888888888889
Materials Science,3,2004,17,0.8563823529411765,398,88.23529411764706
Materials Science,3,2005,19,1.9580105263157896,964,100.0
Materials Science,3,2006,34,1.0828735294117648,997,94.11764705882352
Materials Science,3,2007,39,0.9525051282051284,1078,92.3076923076923
Materials Science,3,2008,32,0.8230687500000002,733,100.0
Materials Science,3,2009,59,1.1711627118644068,1906,93.22033898305084
Materials Science,3,2010,57,1.2715596491228072,2134,98.24561403508771
Materials Science,3,2011,80,1.5170025,3294,95.0
