"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,3,0.16140000000000002,14,66.66666666666666
Chemistry,1,2001,5,0.17865999999999999,30,80.0
Chemistry,1,2002,3,0.2101666666666667,19,100.0
Chemistry,1,2003,6,0.5213666666666668,95,100.0
Chemistry,1,2004,6,0.15925000000000003,29,83.33333333333334
Chemistry,1,2005,12,0.6714583333333334,245,100.0
Chemistry,1,2006,16,0.32789375000000004,154,75.0
Chemistry,1,2007,13,0.11976923076923077,43,30.76923076923077
Chemistry,1,2008,13,0.7197923076923076,257,92.3076923076923
Chemistry,1,2009,10,0.40087,102,100.0
Chemistry,1,2010,17,0.4080764705882353,175,82.35294117647058
Chemistry,1,2011,26,0.7357846153846155,464,84.61538461538461
Chemistry,1,2012,23,0.9225913043478259,478,95.65217391304348
Chemistry,1,2013,42,0.9056095238095236,755,100.0
Chemistry,1,2014,45,0.6925644444444446,510,91.11111111111111
Chemistry,1,2015,42,0.6410761904761904,402,95.23809523809523
Chemistry,1,2016,44,0.683284090909091,366,93.18181818181817
Chemistry,1,2017,47,0.7347021276595745,290,80.85106382978722
Chemistry,1,2018,72,0.7797208333333335,292,79.16666666666666
Chemistry,1,2019,72,0.7318291666666666,73,41.66666666666667
Chemistry,1,2020,11,0.0,0,0.0
Plant & Animal Science,2,2001,1,0.2127,6,100.0
Plant & Animal Science,2,2002,1,0.5753,16,100.0
Plant & Animal Science,2,2004,1,0.0729,2,100.0
Plant & Animal Science,2,2005,4,0.24865,26,75.0
Plant & Animal Science,2,2006,2,0.798,40,100.0
Plant & Animal Science,2,2007,2,0.6734,31,100.0
Plant & Animal Science,2,2008,5,0.9399000000000001,98,100.0
Plant & Animal Science,2,2009,5,0.34612,34,100.0
Plant & Animal Science,2,2010,6,0.7949666666666667,88,100.0
Plant & Animal Science,2,2011,5,0.5245,43,100.0
Plant & Animal Science,2,2012,12,0.4627666666666667,80,91.66666666666666
Plant & Animal Science,2,2013,15,0.9744933333333332,186,93.33333333333333
Plant & Animal Science,2,2014,9,1.3819444444444444,157,88.88888888888889
Plant & Animal Science,2,2015,20,1.17699,211,95.0
Plant & Animal Science,2,2016,28,0.8493357142857142,159,92.85714285714286
Plant & Animal Science,2,2017,21,0.730852380952381,69,95.23809523809523
Plant & Animal Science,2,2018,30,0.8223266666666668,60,66.66666666666666
Plant & Animal Science,2,2019,28,0.8258857142857143,11,28.57142857142857
Plant & Animal Science,2,2020,2,0.0,0,0.0
Environment/Ecology,3,2001,1,1.5173,64,100.0
Environment/Ecology,3,2005,1,0.5004000000000001,21,100.0
Environment/Ecology,3,2006,3,0.4809666666666667,56,100.0
Environment/Ecology,3,2007,3,3.1566666666666667,109,100.0
Environment/Ecology,3,2008,1,1.6469,57,100.0
Environment/Ecology,3,2009,1,1.3235000000000001,40,100.0
Environment/Ecology,3,2011,2,0.52045,27,100.0
Environment/Ecology,3,2012,1,0.38020000000000004,9,100.0
Environment/Ecology,3,2013,6,3.4681,427,100.0
Environment/Ecology,3,2014,9,0.8974111111111112,139,100.0
Environment/Ecology,3,2015,5,1.892,134,80.0
Environment/Ecology,3,2016,8,0.6878375000000001,59,87.5
Environment/Ecology,3,2017,9,1.013388888888889,65,88.88888888888889
Environment/Ecology,3,2018,10,1.03463,43,80.0
Environment/Ecology,3,2019,13,0.2897846153846154,4,15.384615384615385
Environment/Ecology,3,2020,1,0.0,0,0.0
Materials Science,4,2001,2,0.0608,3,50.0
Materials Science,4,2003,1,0.14300000000000002,4,100.0
Materials Science,4,2004,1,0.1116,3,100.0
Materials Science,4,2006,1,0.33240000000000003,9,100.0
Materials Science,4,2008,4,1.066075,120,100.0
Materials Science,4,2009,1,0.2538,7,100.0
Materials Science,4,2010,1,0.0346,1,100.0
Materials Science,4,2011,4,0.36617500000000003,39,100.0
Materials Science,4,2012,2,0.3407,17,100.0
Materials Science,4,2013,7,0.4671,74,100.0
Materials Science,4,2014,13,0.6971076923076923,192,92.3076923076923
Materials Science,4,2015,7,0.34500000000000003,44,100.0
Materials Science,4,2016,7,1.3944571428571428,141,57.14285714285714
Materials Science,4,2017,12,0.6523083333333334,89,75.0
Materials Science,4,2018,6,0.9816333333333335,36,83.33333333333334
Materials Science,4,2019,13,0.35411538461538467,7,23.076923076923077
Materials Science,4,2020,4,0.0,0,0.0
Physics,5,2001,2,0.03725,2,50.0
Physics,5,2004,1,0.038200000000000005,1,100.0
Physics,5,2006,2,1.46135,72,100.0
Physics,5,2007,2,1.4586999999999999,67,100.0
Physics,5,2008,2,0.08685,4,100.0
Physics,5,2009,3,0.7568666666666667,49,33.33333333333333
Physics,5,2010,3,0.3195333333333334,20,100.0
Physics,5,2011,3,0.1631,24,100.0
Physics,5,2012,3,0.7985333333333333,43,100.0
Physics,5,2013,9,0.9323111111111113,133,88.88888888888889
