"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,35,0.15118857142857145,153,71.42857142857143
Chemistry,1,2001,31,0.4375354838709678,394,87.09677419354838
Chemistry,1,2002,30,0.23447333333333334,212,90.0
Chemistry,1,2003,28,0.19756785714285716,168,85.71428571428571
Chemistry,1,2004,41,0.40172195121951215,494,95.1219512195122
Chemistry,1,2005,51,0.6906372549019608,950,82.35294117647058
Chemistry,1,2006,45,0.4375666666666666,578,84.44444444444444
Chemistry,1,2007,82,0.49133536585365856,1079,89.02439024390245
Chemistry,1,2008,74,0.6256324324324325,1262,89.1891891891892
Chemistry,1,2009,81,0.5204987654320987,1069,90.12345679012346
Chemistry,1,2010,82,0.6326951219512196,1291,89.02439024390245
Chemistry,1,2011,79,0.704620253164557,1293,87.34177215189874
Chemistry,1,2012,65,0.6672123076923077,1074,86.15384615384616
Chemistry,1,2013,85,0.8303529411764707,1401,90.58823529411765
Chemistry,1,2014,78,0.9615000000000001,1559,92.3076923076923
Chemistry,1,2015,97,0.6769391752577321,1229,89.69072164948454
Chemistry,1,2016,82,0.6594573170731709,654,90.2439024390244
Chemistry,1,2017,89,0.9737820224719101,824,88.76404494382022
Chemistry,1,2018,91,0.8483956043956044,414,91.20879120879121
Chemistry,1,2019,103,0.9167310679611652,145,41.74757281553398
Chemistry,1,2020,16,0.9270437500000002,3,12.5
Physics,2,2000,14,0.2578428571428572,101,85.71428571428571
Physics,2,2001,22,0.22849545454545453,135,77.27272727272727
Physics,2,2002,30,0.29251999999999995,239,86.66666666666667
Physics,2,2003,29,0.4580172413793103,341,79.3103448275862
Physics,2,2004,39,0.5675179487179487,579,82.05128205128204
Physics,2,2005,36,1.0562944444444442,968,91.66666666666666
Physics,2,2006,38,0.42302631578947375,396,76.31578947368422
Physics,2,2007,53,0.6704132075471699,816,88.67924528301887
Physics,2,2008,59,0.4704254237288136,637,96.61016949152543
Physics,2,2009,53,0.6548566037735849,749,90.56603773584906
Physics,2,2010,54,0.5046907407407408,576,88.88888888888889
Physics,2,2011,68,0.6778911764705885,870,91.17647058823529
Physics,2,2012,63,0.6756174603174604,764,90.47619047619048
Physics,2,2013,62,0.7356983870967742,723,88.70967741935483
Physics,2,2014,70,0.7205900000000001,725,92.85714285714286
Physics,2,2015,73,0.8024260273972603,707,90.41095890410958
Physics,2,2016,74,0.6559472972972973,459,83.78378378378379
Physics,2,2017,60,1.0655116666666666,433,78.33333333333333
Physics,2,2018,62,0.7084661290322585,181,82.25806451612904
Physics,2,2019,50,1.1758800000000003,61,32.0
Physics,2,2020,5,0.0,0,0.0
Plant & Animal Science,3,2000,8,0.37812500000000004,96,100.0
Plant & Animal Science,3,2001,8,0.11954999999999999,29,87.5
Plant & Animal Science,3,2002,1,0.0719,2,100.0
Plant & Animal Science,3,2003,6,0.9315333333333332,157,100.0
Plant & Animal Science,3,2004,2,2.3159,127,100.0
Plant & Animal Science,3,2005,9,1.6193000000000002,381,100.0
Plant & Animal Science,3,2006,4,0.399,40,75.0
Plant & Animal Science,3,2007,8,2.3623250000000002,435,100.0
Plant & Animal Science,3,2008,9,1.6943333333333337,318,100.0
Plant & Animal Science,3,2009,18,1.9370277777777778,685,100.0
Plant & Animal Science,3,2010,11,2.126427272727273,458,90.9090909090909
Plant & Animal Science,3,2011,20,1.43018,469,95.0
Plant & Animal Science,3,2012,27,1.982177777777778,771,100.0
Plant & Animal Science,3,2013,24,0.9921749999999999,303,87.5
Plant & Animal Science,3,2014,19,1.6162052631578945,308,100.0
