"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,35,0.44368,449,88.57142857142857
Chemistry,1,2001,49,0.38852653061224496,553,81.63265306122449
Chemistry,1,2002,40,0.3307925,405,90.0
Chemistry,1,2003,63,0.5328539682539682,1021,85.71428571428571
Chemistry,1,2004,74,0.6224635135135137,1398,91.8918918918919
Chemistry,1,2005,88,0.5419090909090911,1450,95.45454545454545
Chemistry,1,2006,97,0.8416865979381442,2469,90.72164948453609
Chemistry,1,2007,120,0.8128800000000003,2694,94.16666666666667
Chemistry,1,2008,157,0.8424840764331211,3580,85.35031847133759
Chemistry,1,2009,156,0.6801698717948718,2703,92.3076923076923
Chemistry,1,2010,111,0.8204423423423423,2412,90.990990990991
Chemistry,1,2011,169,0.7501757396449704,3043,91.71597633136095
Chemistry,1,2012,163,0.8060803680981595,2994,92.02453987730061
Chemistry,1,2013,170,0.7330458823529413,2799,93.52941176470588
Chemistry,1,2014,204,0.9852926470588238,3811,93.13725490196079
Chemistry,1,2015,205,1.0136936585365852,3516,90.2439024390244
Chemistry,1,2016,204,1.0587784313725492,2941,95.09803921568627
Chemistry,1,2017,230,1.2581208695652173,2701,89.56521739130436
Chemistry,1,2018,246,1.3840800813008127,1759,82.92682926829268
Chemistry,1,2019,309,1.7064462783171523,739,56.957928802588995
Chemistry,1,2020,43,0.891760465116279,4,4.651162790697675
Physics,2,2000,37,0.38445675675675683,398,78.37837837837837
Physics,2,2001,27,0.4252111111111112,347,88.88888888888889
Physics,2,2002,31,0.6218451612903225,525,93.54838709677419
Physics,2,2003,43,0.7618116279069768,841,86.04651162790698
Physics,2,2004,69,0.6997,1263,89.85507246376811
Physics,2,2005,62,0.7781370967741935,1260,87.09677419354838
Physics,2,2006,76,0.6518157894736843,1241,92.10526315789474
Physics,2,2007,83,0.47058674698795183,897,91.56626506024097
Physics,2,2008,103,0.5085300970873785,1255,91.2621359223301
Physics,2,2009,85,0.47348352941176475,901,94.11764705882352
Physics,2,2010,102,0.5163607843137256,1183,90.19607843137256
Physics,2,2011,115,0.617037391304348,1340,93.04347826086956
Physics,2,2012,116,0.8519543103448279,1794,89.65517241379311
Physics,2,2013,127,1.0198503937007874,2053,88.9763779527559
Physics,2,2014,104,1.132153846153846,1652,90.38461538461539
Physics,2,2015,139,1.2415985611510791,2083,92.80575539568345
Physics,2,2016,154,0.911544155844156,1336,92.20779220779221
Physics,2,2017,163,1.0797141104294476,1192,87.73006134969326
Physics,2,2018,168,0.9047982142857145,625,76.78571428571429
Physics,2,2019,171,1.1047403508771934,196,45.02923976608187
Physics,2,2020,25,0.632892,1,4.0
Materials Science,3,2000,1,0.21380000000000002,5,100.0
Materials Science,3,2001,1,0.0,0,0.0
Materials Science,3,2002,4,0.177,18,100.0
Materials Science,3,2003,3,0.5005666666666667,42,100.0
Materials Science,3,2004,5,0.6654800000000001,65,100.0
Materials Science,3,2005,9,0.3371,82,100.0
Materials Science,3,2006,16,0.976275,423,87.5
Materials Science,3,2007,15,0.5513600000000002,240,93.33333333333333
Materials Science,3,2008,17,0.8298529411764707,397,100.0
Materials Science,3,2009,15,0.6453066666666667,267,80.0
Materials Science,3,2010,21,0.34953809523809526,212,80.95238095238095
Materials Science,3,2011,32,0.6169749999999999,536,93.75
Materials Science,3,2012,27,0.9322148148148147,628,92.5925925925926
Materials Science,3,2013,34,0.8862823529411766,682,100.0
Materials Science,3,2014,59,1.1231440677966102,1601,98.30508474576271
Materials Science,3,2015,63,1.7102063492063495,1963,95.23809523809523
Materials Science,3,2016,86,1.7002453488372093,2152,98.83720930232558
Materials Science,3,2017,98,1.6860336734693881,1756,94.89795918367348
Materials Science,3,2018,118,1.8706186440677965,1364,97.45762711864407
Materials Science,3,2019,138,2.1063615942028986,442,65.21739130434783
Materials Science,3,2020,21,0.7997095238095239,3,9.523809523809524
Engineering,4,2000,3,0.09926666666666667,6,66.66666666666666
Engineering,4,2003,2,0.09315000000000001,4,100.0
Engineering,4,2004,2,0.16665,8,100.0
Engineering,4,2005,4,0.47637500000000005,42,100.0
Engineering,4,2006,5,0.36002,40,80.0
Engineering,4,2007,7,1.6577714285714287,258,85.71428571428571
Engineering,4,2008,10,1.48779,308,60.0
Engineering,4,2009,15,3.458426666666667,1042,93.33333333333333
Engineering,4,2010,11,1.9868363636363637,513,100.0
Engineering,4,2011,16,1.0213,301,81.25
Engineering,4,2012,19,0.9482315789473684,300,94.73684210526315
Engineering,4,2013,26,0.5306423076923078,213,100.0
Engineering,4,2014,26,0.8219346153846154,293,84.61538461538461
Engineering,4,2015,34,1.0948058823529414,439,88.23529411764706
Engineering,4,2016,46,0.9184586956521741,397,82.6086956521739
Engineering,4,2017,57,1.328738596491228,543,85.96491228070175
Engineering,4,2018,69,1.8225652173913047,507,81.15942028985508
Engineering,4,2019,98,2.005732653061224,213,36.734693877551024
Engineering,4,2020,15,1.7006666666666668,4,20.0
Mathematics,5,2000,6,0.15153333333333335,14,83.33333333333334
Mathematics,5,2001,5,0.52864,40,80.0
Mathematics,5,2002,10,0.74101,108,100.0
Mathematics,5,2003,9,1.4757222222222224,188,88.88888888888889
Mathematics,5,2004,11,0.8274999999999999,133,100.0
Mathematics,5,2005,11,0.7204545454545455,110,100.0
Mathematics,5,2006,18,1.0470277777777777,255,88.88888888888889
Mathematics,5,2007,20,1.0537450000000002,263,95.0
Mathematics,5,2008,41,1.242380487804878,399,82.92682926829268
Mathematics,5,2009,50,1.080516,570,92.0
Mathematics,5,2010,40,0.918815,373,87.5
Mathematics,5,2011,51,0.9490098039215686,425,82.35294117647058
Mathematics,5,2012,31,1.2201129032258062,283,80.64516129032258
Mathematics,5,2013,73,0.9098164383561647,426,73.97260273972603
Mathematics,5,2014,110,0.6557863636363638,396,65.45454545454545
Mathematics,5,2015,90,0.8816044444444445,369,73.33333333333333
Mathematics,5,2016,97,0.8813371134020619,310,71.1340206185567
Mathematics,5,2017,95,0.780974736842105,195,73.68421052631578
Mathematics,5,2018,92,1.2552402173913042,184,54.347826086956516
Mathematics,5,2019,100,0.6889400000000001,35,13.0
Mathematics,5,2020,11,0.0,0,0.0
Environment/Ecology,6,2001,2,0.03555,3,50.0
Environment/Ecology,6,2002,2,0.24895,22,100.0
Environment/Ecology,6,2003,2,0.2566,22,50.0
Environment/Ecology,6,2004,2,1.0723,90,100.0
Environment/Ecology,6,2005,3,0.5718333333333334,72,100.0
Environment/Ecology,6,2006,4,0.62175,313,100.0
Environment/Ecology,6,2007,8,1.0156125,301,100.0
Environment/Ecology,6,2008,5,0.93034,161,100.0
Environment/Ecology,6,2009,12,1.772916666666667,643,100.0
Environment/Ecology,6,2010,10,0.8084,241,100.0
Environment/Ecology,6,2011,3,1.0538,82,100.0
Environment/Ecology,6,2012,10,0.86609,205,100.0
Environment/Ecology,6,2013,21,0.8516380952380952,367,95.23809523809523
Environment/Ecology,6,2014,16,1.2523687499999998,448,93.75
Environment/Ecology,6,2015,30,0.7695066666666668,327,96.66666666666667
Environment/Ecology,6,2016,36,1.0051777777777777,388,83.33333333333334
Environment/Ecology,6,2017,41,1.0555243902439024,313,87.8048780487805
Environment/Ecology,6,2018,47,1.6908255319148937,351,91.48936170212765
Environment/Ecology,6,2019,77,1.553384415584416,127,54.54545454545454
Environment/Ecology,6,2020,5,1.78308,1,20.0
Biology & Biochemistry,7,2001,1,0.039900000000000005,2,100.0
Biology & Biochemistry,7,2002,1,0.46530000000000005,22,100.0
Biology & Biochemistry,7,2003,3,0.33653333333333335,48,100.0
Biology & Biochemistry,7,2005,6,0.6110666666666668,166,83.33333333333334
Biology & Biochemistry,7,2006,5,0.37538,80,100.0
Biology & Biochemistry,7,2007,6,0.4375166666666667,104,100.0
Biology & Biochemistry,7,2008,9,0.47181111111111107,158,100.0
Biology & Biochemistry,7,2009,12,0.34404166666666675,147,100.0
Biology & Biochemistry,7,2010,8,0.6135750000000001,157,87.5
Biology & Biochemistry,7,2011,14,0.5660999999999999,249,100.0
Biology & Biochemistry,7,2012,11,0.3992636363636363,114,90.9090909090909
Biology & Biochemistry,7,2013,14,0.4397142857142858,137,92.85714285714286
Biology & Biochemistry,7,2014,14,0.4859642857142857,129,92.85714285714286
Biology & Biochemistry,7,2015,13,0.8724461538461539,175,84.61538461538461
Biology & Biochemistry,7,2016,25,0.6922600000000001,200,96.0
Biology & Biochemistry,7,2017,25,1.0873840000000004,222,88.0
Biology & Biochemistry,7,2018,27,1.875588888888889,180,88.88888888888889
Biology & Biochemistry,7,2019,35,0.6616342857142858,29,25.71428571428571
Biology & Biochemistry,7,2020,3,0.0,0,0.0
Plant & Animal Science,8,2001,2,0.9218000000000001,52,50.0
Plant & Animal Science,8,2003,2,1.0550000000000002,59,100.0
Plant & Animal Science,8,2005,2,0.70765,37,100.0
Plant & Animal Science,8,2007,6,0.4779,66,100.0
Plant & Animal Science,8,2008,5,0.8823400000000001,92,100.0
Plant & Animal Science,8,2009,7,0.8362142857142858,115,100.0
Plant & Animal Science,8,2010,7,0.6506428571428572,59,100.0
Plant & Animal Science,8,2011,8,0.7776000000000001,102,75.0
Plant & Animal Science,8,2012,11,0.6688909090909091,106,90.9090909090909
Plant & Animal Science,8,2013,20,0.8684099999999999,221,95.0
Plant & Animal Science,8,2014,19,1.4355315789473686,289,94.73684210526315
Plant & Animal Science,8,2015,30,0.9429866666666666,247,90.0
Plant & Animal Science,8,2016,32,0.538121875,133,81.25
Plant & Animal Science,8,2017,43,1.0270186046511627,184,79.06976744186046
Plant & Animal Science,8,2018,32,1.04790625,84,65.625
Plant & Animal Science,8,2019,51,1.8128176470588233,60,49.01960784313725
Plant & Animal Science,8,2020,4,0.0,0,0.0
Molecular Biology & Genetics,9,2004,2,0.1544,22,50.0
Molecular Biology & Genetics,9,2005,1,0.28550000000000003,19,100.0
Molecular Biology & Genetics,9,2006,1,0.0627,4,100.0
Molecular Biology & Genetics,9,2007,2,0.12195,15,100.0
Molecular Biology & Genetics,9,2008,3,0.3068,51,66.66666666666666
Molecular Biology & Genetics,9,2009,2,0.24475000000000002,25,100.0
Molecular Biology & Genetics,9,2010,7,0.17171428571428574,58,85.71428571428571
Molecular Biology & Genetics,9,2011,13,0.11059230769230767,64,100.0
Molecular Biology & Genetics,9,2012,16,0.19981875000000002,113,75.0
Molecular Biology & Genetics,9,2013,12,0.6927333333333333,221,100.0
Molecular Biology & Genetics,9,2014,23,0.2825086956521739,189,78.26086956521739
Molecular Biology & Genetics,9,2015,40,0.2232675,181,85.0
Molecular Biology & Genetics,9,2016,30,0.36504,164,83.33333333333334
Molecular Biology & Genetics,9,2017,19,0.5583210526315788,119,89.47368421052632
Molecular Biology & Genetics,9,2018,16,0.46719374999999996,43,68.75
Molecular Biology & Genetics,9,2019,24,0.5638249999999999,19,45.83333333333333
Molecular Biology & Genetics,9,2020,2,0.0,0,0.0
Pharmacology & Toxicology,10,2003,2,3.4579500000000003,221,100.0
Pharmacology & Toxicology,10,2004,2,2.7602,174,100.0
Pharmacology & Toxicology,10,2006,2,1.56695,95,100.0
Pharmacology & Toxicology,10,2007,1,1.1485,32,100.0
Pharmacology & Toxicology,10,2008,2,0.6191000000000001,32,100.0
Pharmacology & Toxicology,10,2009,3,0.5916333333333333,42,100.0
Pharmacology & Toxicology,10,2010,3,0.7331666666666666,56,100.0
Pharmacology & Toxicology,10,2011,3,1.0856333333333332,65,100.0
Pharmacology & Toxicology,10,2012,4,0.7656499999999999,53,100.0
Pharmacology & Toxicology,10,2013,6,1.1098333333333334,106,100.0
Pharmacology & Toxicology,10,2014,9,1.0847,131,100.0
Pharmacology & Toxicology,10,2015,11,0.4551,62,90.9090909090909
Pharmacology & Toxicology,10,2016,10,0.6853399999999998,58,90.0
Pharmacology & Toxicology,10,2017,8,0.951275,53,100.0
Pharmacology & Toxicology,10,2018,7,0.8931571428571429,24,71.42857142857143
Pharmacology & Toxicology,10,2019,8,0.5869500000000001,4,37.5
