"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,10,0.37698,109,80.0
Chemistry,1,2001,31,0.2754096774193548,248,90.32258064516128
Chemistry,1,2002,42,0.44723571428571435,570,90.47619047619048
Chemistry,1,2003,70,0.5218657142857144,1120,85.71428571428571
Chemistry,1,2004,99,0.3967828282828281,1193,94.94949494949495
Chemistry,1,2005,95,0.29392210526315793,849,81.05263157894737
Chemistry,1,2006,103,0.41475145631067967,1254,75.72815533980582
Chemistry,1,2007,108,0.5224833333333333,1560,87.96296296296296
Chemistry,1,2008,91,0.43932527472527483,1098,85.71428571428571
Chemistry,1,2009,128,0.636178125,2072,82.8125
Chemistry,1,2010,80,0.6696175,1591,88.75
Chemistry,1,2011,96,0.6128197916666667,1915,86.45833333333334
Chemistry,1,2012,111,0.7782648648648649,1955,86.48648648648648
Chemistry,1,2013,123,0.7818349593495934,1926,87.8048780487805
Chemistry,1,2014,118,1.197177966101695,2545,94.0677966101695
Chemistry,1,2015,127,1.3349015748031494,2690,94.48818897637796
Chemistry,1,2016,163,1.2273570552147242,2417,90.79754601226993
Chemistry,1,2017,165,1.4581769696969697,2238,93.33333333333333
Chemistry,1,2018,170,1.7303317647058822,1664,88.8235294117647
Chemistry,1,2019,171,1.8942309941520472,456,54.385964912280706
Chemistry,1,2020,26,0.36870769230769235,1,3.8461538461538463
Physics,2,2000,8,0.553975,124,100.0
Physics,2,2001,12,0.5709666666666667,184,91.66666666666666
Physics,2,2002,13,0.5507923076923077,195,92.3076923076923
Physics,2,2003,14,0.4868928571428572,175,78.57142857142857
Physics,2,2004,20,0.70719,370,100.0
Physics,2,2005,13,0.4321153846153847,143,92.3076923076923
Physics,2,2006,10,0.6819500000000003,168,100.0
Physics,2,2007,17,0.3432352941176471,134,94.11764705882352
Physics,2,2008,29,0.2799758620689655,187,86.20689655172413
Physics,2,2009,24,0.47110416666666666,244,87.5
Physics,2,2010,31,0.31081290322580657,201,90.32258064516128
Physics,2,2011,23,0.6242913043478262,271,86.95652173913044
Physics,2,2012,45,0.9140666666666669,748,88.88888888888889
Physics,2,2013,63,0.9404126984126985,936,92.06349206349206
Physics,2,2014,66,0.6478090909090908,615,93.93939393939394
Physics,2,2015,72,1.5753527777777778,1369,97.22222222222221
Physics,2,2016,90,1.1441311111111114,980,92.22222222222223
Physics,2,2017,59,1.0535440677966101,421,91.52542372881356
Physics,2,2018,88,1.3389045454545454,476,85.22727272727273
Physics,2,2019,110,0.8373209090909092,98,41.81818181818181
Physics,2,2020,7,0.0,0,0.0
Mathematics,3,2000,10,0.44159999999999994,68,80.0
Mathematics,3,2001,5,0.48902,37,100.0
Mathematics,3,2002,12,0.7604416666666666,133,75.0
Mathematics,3,2003,9,0.6201222222222224,79,66.66666666666666
Mathematics,3,2004,19,1.0049736842105261,279,68.42105263157895
Mathematics,3,2005,30,1.8491733333333336,770,86.66666666666667
Mathematics,3,2006,23,0.8740434782608695,272,82.6086956521739
Mathematics,3,2007,35,0.8036285714285714,351,94.28571428571428
Mathematics,3,2008,39,0.896069230769231,412,87.17948717948718
Mathematics,3,2009,51,0.9790039215686275,540,92.15686274509804
