"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,24,0.4807666666666666,333,79.16666666666666
Chemistry,1,2001,14,0.19425714285714285,79,78.57142857142857
Chemistry,1,2002,36,0.3636555555555556,400,88.88888888888889
Chemistry,1,2003,51,0.5029627450980394,779,92.15686274509804
Chemistry,1,2004,61,0.9214934426229506,1706,85.24590163934425
Chemistry,1,2005,78,0.5824397435897438,1432,89.74358974358975
Chemistry,1,2006,87,0.5955724137931036,1521,91.95402298850574
Chemistry,1,2007,75,0.6016786666666667,1347,92.0
Chemistry,1,2008,77,0.8130623376623379,2798,89.6103896103896
Chemistry,1,2009,88,1.0697125,2457,95.45454545454545
Chemistry,1,2010,82,1.04874756097561,2155,93.90243902439023
Chemistry,1,2011,101,1.0238920792079211,2878,96.03960396039604
Chemistry,1,2012,115,1.0037973913043479,2959,95.65217391304348
Chemistry,1,2013,136,1.1856463235294115,3337,96.32352941176471
Chemistry,1,2014,147,1.4561068027210884,4338,95.23809523809523
Chemistry,1,2015,156,1.9409538461538471,4677,96.7948717948718
Chemistry,1,2016,163,1.8650619631901841,3702,96.31901840490798
Chemistry,1,2017,208,1.8204475961538462,3398,94.71153846153845
Chemistry,1,2018,271,1.6596542435424357,2296,87.08487084870849
Chemistry,1,2019,281,1.912129181494662,751,53.380782918149464
Chemistry,1,2020,36,0.4120194444444445,3,5.555555555555555
Physics,2,2000,31,0.6099,529,80.64516129032258
Physics,2,2001,22,0.9901772727272729,585,95.45454545454545
Physics,2,2002,50,0.5229699999999999,699,94.0
Physics,2,2003,32,0.4954124999999999,407,87.5
Physics,2,2004,71,0.8261464788732394,1546,87.32394366197182
Physics,2,2005,60,0.8380566666666669,1280,90.0
Physics,2,2006,73,0.8224191780821919,1479,94.52054794520548
Physics,2,2007,71,0.4802056338028169,783,90.14084507042254
Physics,2,2008,85,0.5389141176470588,1055,94.11764705882352
Physics,2,2009,69,0.5889724637681161,872,89.85507246376811
Physics,2,2010,78,0.7391923076923076,1211,88.46153846153845
Physics,2,2011,79,0.5485113924050634,823,91.13924050632912
Physics,2,2012,84,0.6885809523809523,970,92.85714285714286
Physics,2,2013,108,1.1128129629629628,1888,91.66666666666666
Physics,2,2014,137,0.8589372262773722,1682,84.67153284671532
Physics,2,2015,147,1.2471292517006805,2130,91.15646258503402
Physics,2,2016,136,1.1966698529411766,1642,92.64705882352942
Physics,2,2017,195,1.2515882051282055,1653,87.6923076923077
Physics,2,2018,229,1.1872825327510914,1070,78.60262008733623
Physics,2,2019,230,1.4670247826086957,358,47.391304347826086
Physics,2,2020,22,0.7191954545454545,1,4.545454545454546
Engineering,3,2000,5,0.1489,15,80.0
Engineering,3,2001,15,0.6331733333333333,199,73.33333333333333
Engineering,3,2002,12,0.5204500000000001,139,100.0
Engineering,3,2003,20,0.817895,358,80.0
Engineering,3,2004,20,2.454075,1178,90.0
Engineering,3,2005,18,4.024844444444445,1545,94.44444444444444
Engineering,3,2006,28,1.0864785714285718,676,85.71428571428571
Engineering,3,2007,23,0.8565434782608696,438,95.65217391304348
Engineering,3,2008,33,0.973239393939394,602,84.84848484848484
Engineering,3,2009,49,1.3453857142857146,1360,95.91836734693877
Engineering,3,2010,44,1.0432454545454546,902,86.36363636363636
Engineering,3,2011,36,0.9515555555555556,631,88.88888888888889
Engineering,3,2012,46,1.1423478260869566,875,80.43478260869566
Engineering,3,2013,71,1.6366676056338025,1794,90.14084507042254
Engineering,3,2014,65,1.3001384615384617,980,92.3076923076923
Engineering,3,2015,79,1.8252316455696203,1834,88.60759493670885
Engineering,3,2016,106,1.4637424528301888,1321,89.62264150943396
Engineering,3,2017,124,1.4977209677419352,1375,93.54838709677419
Engineering,3,2018,171,1.7432941520467833,1213,83.62573099415205
Engineering,3,2019,224,1.3836683035714281,334,42.410714285714285
Engineering,3,2020,37,1.3902243243243242,9,18.91891891891892
Geosciences,4,2000,3,0.28576666666666667,34,100.0
Geosciences,4,2001,10,5.01139,1961,100.0
Geosciences,4,2002,4,0.1231,19,100.0
Geosciences,4,2003,6,2.483566666666667,587,100.0
Geosciences,4,2004,9,2.9973222222222224,1031,100.0
Geosciences,4,2005,7,5.778328571428572,1491,100.0
Geosciences,4,2006,17,0.8072470588235295,492,70.58823529411765
Geosciences,4,2007,13,0.7331230769230768,312,100.0
Geosciences,4,2008,12,4.982975000000001,1602,83.33333333333334
Geosciences,4,2009,20,2.0535500000000004,1234,95.0
Geosciences,4,2010,31,1.0652967741935484,899,93.54838709677419
