"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,40,0.362305,404,95.0
Chemistry,1,2001,40,0.268525,312,82.5
Chemistry,1,2002,62,0.44471935483870967,831,90.32258064516128
Chemistry,1,2003,44,0.39381136363636365,558,95.45454545454545
Chemistry,1,2004,67,0.4222089552238807,877,92.53731343283582
Chemistry,1,2005,90,0.33487666666666677,987,93.33333333333333
Chemistry,1,2006,114,0.35321929824561427,1199,91.22807017543859
Chemistry,1,2007,110,0.3613945454545455,1127,93.63636363636364
Chemistry,1,2008,119,0.3865773109243698,1272,91.59663865546219
Chemistry,1,2009,98,0.782404081632653,1951,89.79591836734694
Chemistry,1,2010,109,0.522073394495413,1479,92.66055045871559
Chemistry,1,2011,143,0.6184034965034968,2116,88.81118881118881
Chemistry,1,2012,129,0.657036434108527,1897,87.59689922480621
Chemistry,1,2013,162,0.875072222222222,2875,93.82716049382715
Chemistry,1,2014,186,1.0121758064516129,3385,96.23655913978494
Chemistry,1,2015,208,1.0671971153846156,3391,92.3076923076923
Chemistry,1,2016,219,1.0291671232876713,2764,92.69406392694064
Chemistry,1,2017,223,1.161760538116592,2354,90.13452914798206
Chemistry,1,2018,223,1.1774573991031392,1363,85.20179372197309
Chemistry,1,2019,258,1.5018755813953486,536,54.65116279069767
Chemistry,1,2020,47,2.8555319148936174,14,10.638297872340425
Materials Science,2,2000,6,0.24940000000000004,35,66.66666666666666
Materials Science,2,2001,9,0.6665222222222221,148,77.77777777777779
Materials Science,2,2002,3,0.0131,1,33.33333333333333
Materials Science,2,2003,11,0.38239090909090906,121,100.0
Materials Science,2,2004,8,0.6231249999999999,143,87.5
Materials Science,2,2005,10,0.6637900000000001,186,100.0
Materials Science,2,2006,8,0.3046625,66,75.0
Materials Science,2,2007,14,0.3322928571428571,135,92.85714285714286
Materials Science,2,2008,13,0.5275692307692308,193,92.3076923076923
Materials Science,2,2009,13,1.171246153846154,420,100.0
Materials Science,2,2010,8,0.90455,209,100.0
Materials Science,2,2011,16,1.86010625,819,93.75
