"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,35,0.5350428571428572,481,82.85714285714286
Chemistry,1,2001,36,0.6431638888888889,675,83.33333333333334
Chemistry,1,2002,48,0.8229625,1191,91.66666666666666
Chemistry,1,2003,67,0.8934820895522388,1818,95.52238805970148
Chemistry,1,2004,97,0.5220793814432989,1537,94.84536082474226
Chemistry,1,2005,106,0.5302971698113209,1746,89.62264150943396
Chemistry,1,2006,95,0.5179442105263158,1553,88.42105263157895
Chemistry,1,2007,107,0.6645551401869159,2066,89.7196261682243
Chemistry,1,2008,83,0.5105216867469881,1162,91.56626506024097
Chemistry,1,2009,108,0.7673138888888887,2186,87.96296296296296
Chemistry,1,2010,87,0.5436229885057472,1216,87.35632183908046
Chemistry,1,2011,104,0.8094221153846152,2025,92.3076923076923
Chemistry,1,2012,90,0.8548777777777775,1722,94.44444444444444
Chemistry,1,2013,94,1.2279414893617022,2318,91.48936170212765
Chemistry,1,2014,99,1.1438535353535357,2260,92.92929292929293
Chemistry,1,2015,124,1.194417741935484,2955,92.74193548387096
Chemistry,1,2016,167,1.6077760479041914,3403,94.61077844311377
Chemistry,1,2017,227,1.4678246696035242,3044,95.59471365638767
Chemistry,1,2018,355,2.0783157746478875,3910,90.98591549295774
Chemistry,1,2019,360,1.972844444444444,991,58.88888888888889
Chemistry,1,2020,43,0.8917581395348838,4,9.30232558139535
Physics,2,2000,18,0.5261944444444445,265,94.44444444444444
Physics,2,2001,11,0.46378181818181824,137,81.81818181818183
Physics,2,2002,25,2.4381440000000003,1660,96.0
Physics,2,2003,26,0.41671923076923084,272,92.3076923076923
Physics,2,2004,39,0.5959358974358975,608,94.87179487179486
Physics,2,2005,38,0.5365447368421055,519,94.73684210526315
Physics,2,2006,41,0.6811585365853658,688,92.6829268292683
Physics,2,2007,59,1.0295593220338985,1395,93.22033898305084
Physics,2,2008,70,0.3144757142857143,507,84.28571428571429
Physics,2,2009,63,0.6148999999999999,836,96.82539682539682
Physics,2,2010,66,0.3784045454545456,521,93.93939393939394
Physics,2,2011,63,0.4028507936507936,479,90.47619047619048
Physics,2,2012,62,0.45736612903225804,509,88.70967741935483
Physics,2,2013,58,0.6700499999999998,616,89.65517241379311
Physics,2,2014,72,0.6444291666666666,651,93.05555555555556
Physics,2,2015,76,0.6682842105263158,613,86.8421052631579
Physics,2,2016,68,0.9812088235294117,635,91.17647058823529
Physics,2,2017,86,1.0541197674418603,614,88.37209302325581
Physics,2,2018,142,2.03593309859155,1151,87.32394366197182
Physics,2,2019,192,1.6183869791666667,323,45.3125
Physics,2,2020,35,1.3561942857142857,3,5.714285714285714
Plant & Animal Science,3,2000,2,0.42185000000000006,24,100.0
Plant & Animal Science,3,2001,8,1.12125,253,87.5
Plant & Animal Science,3,2002,6,1.1986333333333332,200,100.0
Plant & Animal Science,3,2003,10,1.28745,360,90.0
Plant & Animal Science,3,2004,14,2.678014285714286,1028,100.0
Plant & Animal Science,3,2005,6,1.8169500000000003,285,100.0
Plant & Animal Science,3,2006,15,1.65346,631,93.33333333333333
Plant & Animal Science,3,2007,10,1.44239,332,100.0
Plant & Animal Science,3,2008,10,0.83438,174,100.0
Plant & Animal Science,3,2009,20,0.99764,392,95.0
Plant & Animal Science,3,2010,18,1.5417555555555555,512,100.0
Plant & Animal Science,3,2011,14,1.655407142857143,380,100.0
Plant & Animal Science,3,2012,22,1.2305363636363635,390,100.0
Plant & Animal Science,3,2013,25,1.8609639999999998,592,100.0
Plant & Animal Science,3,2014,25,2.37642,648,100.0
Plant & Animal Science,3,2015,29,2.098948275862069,606,100.0
Plant & Animal Science,3,2016,28,3.3928464285714286,676,100.0
Plant & Animal Science,3,2017,42,3.534357142857143,691,92.85714285714286
Plant & Animal Science,3,2018,85,3.0158823529411767,669,87.05882352941177
Plant & Animal Science,3,2019,104,2.0894625000000002,152,50.96153846153846
Plant & Animal Science,3,2020,15,0.7862466666666668,1,6.666666666666667
Materials Science,4,2000,7,1.5545857142857142,95,85.71428571428571
Materials Science,4,2001,10,0.59987,148,60.0
Materials Science,4,2002,5,0.77084,98,100.0
Materials Science,4,2003,7,0.556757142857143,109,100.0
Materials Science,4,2004,19,0.7985263157894739,408,78.94736842105263
Materials Science,4,2005,30,0.3502500000000001,284,66.66666666666666
Materials Science,4,2006,22,0.4767090909090909,284,68.18181818181817
Materials Science,4,2007,18,0.7003,374,72.22222222222221
Materials Science,4,2008,22,0.23097727272727273,143,95.45454545454545
Materials Science,4,2009,22,0.2537727272727272,154,86.36363636363636
Materials Science,4,2010,23,0.44257391304347826,294,95.65217391304348
Materials Science,4,2011,39,0.3409230769230769,354,82.05128205128204
Materials Science,4,2012,38,0.3657421052631579,349,86.8421052631579
Materials Science,4,2013,20,0.7179900000000001,325,100.0
Materials Science,4,2014,22,0.5942909090909091,277,100.0
Materials Science,4,2015,27,1.5429370370370377,759,100.0
Materials Science,4,2016,27,0.8358851851851853,326,85.18518518518519
Materials Science,4,2017,51,1.6822627450980392,924,94.11764705882352
Materials Science,4,2018,93,2.9337795698924736,1698,91.39784946236558
Materials Science,4,2019,94,1.7837329787234038,289,59.57446808510638
Materials Science,4,2020,7,0.0,0,0.0
Engineering,5,2000,1,0.34750000000000003,7,100.0
Engineering,5,2001,2,0.0477,2,100.0
Engineering,5,2003,3,7.391900000000001,91,100.0
Engineering,5,2004,4,0.6562250000000001,63,100.0
Engineering,5,2005,6,0.33268333333333333,44,66.66666666666666
Engineering,5,2006,3,0.15,10,33.33333333333333
Engineering,5,2007,9,0.30485555555555555,61,77.77777777777779
Engineering,5,2008,5,0.34776,36,100.0
Engineering,5,2009,9,1.7127333333333337,318,100.0
Engineering,5,2010,14,1.169114285714286,326,92.85714285714286
Engineering,5,2011,9,1.1461000000000001,190,88.88888888888889
Engineering,5,2012,22,1.3894590909090907,509,95.45454545454545
Engineering,5,2013,26,0.9400730769230766,347,92.3076923076923
Engineering,5,2014,28,1.2164750000000002,467,85.71428571428571
Engineering,5,2015,40,1.9862425000000006,937,97.5
Engineering,5,2016,38,1.7951447368421054,641,94.73684210526315
Engineering,5,2017,73,2.912356164383562,1557,91.78082191780823
Engineering,5,2018,170,1.92702,1324,85.29411764705883
Engineering,5,2019,233,1.6189995708154505,413,42.91845493562232
Engineering,5,2020,30,3.401333333333333,16,23.333333333333332
Mathematics,6,2000,9,1.3060555555555555,181,77.77777777777779
Mathematics,6,2001,6,0.6277666666666667,57,83.33333333333334
Mathematics,6,2002,9,0.8614444444444445,113,100.0
Mathematics,6,2003,12,1.000825,170,100.0
Mathematics,6,2004,14,0.7968214285714287,163,78.57142857142857
Mathematics,6,2005,9,0.8405222222222224,105,88.88888888888889
Mathematics,6,2006,17,0.40431764705882356,93,64.70588235294117
Mathematics,6,2007,20,0.42871000000000004,107,75.0
Mathematics,6,2008,20,0.479245,113,70.0
Mathematics,6,2009,30,0.7088866666666667,230,76.66666666666667
Mathematics,6,2010,25,1.1390320000000003,289,88.0
Mathematics,6,2011,27,0.8098222222222221,192,88.88888888888889
Mathematics,6,2012,20,0.6415350000000001,96,60.0
Mathematics,6,2013,36,0.46771944444444447,108,72.22222222222221
Mathematics,6,2014,39,0.42505384615384617,91,53.84615384615385
Mathematics,6,2015,28,0.8183964285714286,108,57.14285714285714
Mathematics,6,2016,51,1.2443686274509802,226,76.47058823529412
Mathematics,6,2017,72,1.2576680555555553,238,69.44444444444444
Mathematics,6,2018,86,1.4472883720930236,203,60.46511627906976
Mathematics,6,2019,82,1.8474329268292689,77,32.926829268292686
Mathematics,6,2020,18,2.0736611111111114,4,11.11111111111111
Computer Science,7,2001,1,0.37160000000000004,8,100.0
Computer Science,7,2002,1,1.1575,27,100.0
Computer Science,7,2004,4,0.6261000000000001,42,100.0
Computer Science,7,2005,4,0.20402499999999998,13,75.0
Computer Science,7,2006,4,1.005775,70,75.0
Computer Science,7,2007,2,0.85675,39,100.0
Computer Science,7,2008,4,0.332075,30,75.0
Computer Science,7,2009,4,0.7980499999999999,67,100.0
Computer Science,7,2010,6,0.2792166666666667,33,83.33333333333334
Computer Science,7,2011,4,0.18795,15,75.0
Computer Science,7,2012,6,0.24378333333333335,24,83.33333333333334
Computer Science,7,2013,8,1.8438875,235,87.5
Computer Science,7,2014,9,0.9454555555555556,122,100.0
Computer Science,7,2015,22,0.9363045454545454,245,72.72727272727273
Computer Science,7,2016,26,0.7654576923076922,186,92.3076923076923
Computer Science,7,2017,50,1.5930320000000002,568,94.0
Computer Science,7,2018,76,2.339243421052631,666,88.1578947368421
Computer Science,7,2019,97,3.518473195876289,356,53.608247422680414
Computer Science,7,2020,11,0.8753454545454545,2,18.181818181818183
Biology & Biochemistry,8,2000,1,0.2461,12,100.0
Biology & Biochemistry,8,2001,1,0.1597,8,100.0
Biology & Biochemistry,8,2004,3,0.20620000000000002,29,100.0
Biology & Biochemistry,8,2005,4,0.5687249999999999,103,100.0
Biology & Biochemistry,8,2006,5,0.33784000000000003,72,80.0
Biology & Biochemistry,8,2007,5,0.7623200000000001,151,100.0
Biology & Biochemistry,8,2008,12,1.3199416666666668,319,91.66666666666666
Biology & Biochemistry,8,2009,8,0.7056,201,87.5
Biology & Biochemistry,8,2010,2,0.51585,33,100.0
Biology & Biochemistry,8,2011,11,0.41770909090909103,133,100.0
Biology & Biochemistry,8,2012,9,0.5136888888888889,120,77.77777777777779
Biology & Biochemistry,8,2013,14,0.5637500000000001,190,78.57142857142857
Biology & Biochemistry,8,2014,2,0.47465,18,100.0
Biology & Biochemistry,8,2015,12,0.8476833333333332,164,100.0
Biology & Biochemistry,8,2016,14,1.2338571428571428,201,100.0
Biology & Biochemistry,8,2017,19,1.1008526315789475,165,84.21052631578947
Biology & Biochemistry,8,2018,49,0.8893755102040815,199,61.224489795918366
Biology & Biochemistry,8,2019,44,1.3477181818181814,70,61.36363636363637
Biology & Biochemistry,8,2020,5,0.0,0,0.0
Environment/Ecology,9,2003,3,0.09333333333333334,12,100.0
Environment/Ecology,9,2004,1,0.09530000000000001,4,100.0
Environment/Ecology,9,2005,3,0.7703666666666668,97,100.0
Environment/Ecology,9,2006,3,1.3938,149,100.0
Environment/Ecology,9,2007,6,0.4992166666666667,94,100.0
Environment/Ecology,9,2008,4,0.41897500000000004,58,100.0
Environment/Ecology,9,2009,5,0.95952,145,80.0
Environment/Ecology,9,2010,2,0.26835000000000003,16,100.0
Environment/Ecology,9,2012,4,0.6126,58,100.0
Environment/Ecology,9,2013,5,0.72122,74,100.0
Environment/Ecology,9,2014,4,0.95875,66,100.0
Environment/Ecology,9,2015,8,1.6060625000000004,182,100.0
Environment/Ecology,9,2016,18,0.87565,169,94.44444444444444
Environment/Ecology,9,2017,25,0.9624720000000001,182,92.0
Environment/Ecology,9,2018,50,0.8802719999999999,222,84.0
Environment/Ecology,9,2019,66,1.2414848484848484,87,43.93939393939394
Environment/Ecology,9,2020,12,2.228858333333333,3,16.666666666666664
Psychiatry/Psychology,10,2000,2,3.2437500000000004,309,100.0
Psychiatry/Psychology,10,2001,1,1.1218000000000001,51,100.0
Psychiatry/Psychology,10,2002,1,7.0600000000000005,318,100.0
Psychiatry/Psychology,10,2004,27,0.35948518518518524,127,11.11111111111111
Psychiatry/Psychology,10,2008,14,0.0,0,0.0
Psychiatry/Psychology,10,2009,1,0.06860000000000001,2,100.0
Psychiatry/Psychology,10,2010,2,0.1255,7,50.0
Psychiatry/Psychology,10,2011,4,0.655325,64,75.0
Psychiatry/Psychology,10,2012,2,1.1652,48,100.0
Psychiatry/Psychology,10,2013,10,0.57133,104,90.0
Psychiatry/Psychology,10,2014,7,0.47417142857142863,49,100.0
Psychiatry/Psychology,10,2015,7,1.1166714285714285,90,100.0
Psychiatry/Psychology,10,2016,21,0.4685619047619048,79,61.904761904761905
Psychiatry/Psychology,10,2017,24,0.6384875,83,66.66666666666666
Psychiatry/Psychology,10,2018,47,0.5324617021276596,70,55.319148936170215
Psychiatry/Psychology,10,2019,39,0.3763435897435898,12,17.94871794871795
Psychiatry/Psychology,10,2020,5,2.6115000000000004,3,20.0
Clinical Medicine,11,2002,4,1.2978000000000003,195,100.0
Clinical Medicine,11,2006,5,0.39488,67,100.0
Clinical Medicine,11,2007,6,0.6436833333333334,119,100.0
