"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,15,0.98914,429,93.33333333333333
Chemistry,1,2001,16,0.58094375,270,87.5
Chemistry,1,2002,18,0.8073722222222223,438,83.33333333333334
Chemistry,1,2003,26,0.9523692307692306,752,92.3076923076923
Chemistry,1,2004,43,0.6781302325581396,885,88.37209302325581
Chemistry,1,2005,43,0.906325581395349,1185,97.67441860465115
Chemistry,1,2006,58,0.9644275862068968,1642,89.65517241379311
Chemistry,1,2007,78,1.8192948717948725,4125,89.74358974358975
Chemistry,1,2008,72,1.122155555555556,2226,95.83333333333334
Chemistry,1,2009,65,1.0204707692307693,1656,92.3076923076923
Chemistry,1,2010,71,1.1084718309859154,1994,90.14084507042254
Chemistry,1,2011,72,1.4227194444444444,2640,98.61111111111111
Chemistry,1,2012,90,1.4407144444444446,2909,95.55555555555556
Chemistry,1,2013,99,1.252465656565657,2669,90.9090909090909
Chemistry,1,2014,107,1.334542990654206,2679,94.39252336448598
Chemistry,1,2015,100,1.213383,2001,95.0
Chemistry,1,2016,92,1.20008152173913,1402,93.47826086956522
Chemistry,1,2017,97,1.2444876288659792,1120,92.78350515463917
Chemistry,1,2018,116,1.7456396551724138,1060,89.65517241379311
Chemistry,1,2019,138,1.4616463768115944,293,48.55072463768116
Chemistry,1,2020,21,0.4564952380952382,1,4.761904761904762
Materials Science,2,2000,1,1.026,24,100.0
Materials Science,2,2001,3,0.9592666666666668,71,100.0
Materials Science,2,2002,3,0.8390333333333334,64,100.0
Materials Science,2,2003,2,0.53635,30,100.0
Materials Science,2,2004,11,1.041218181818182,308,100.0
Materials Science,2,2005,3,1.0112666666666668,82,100.0
Materials Science,2,2006,8,4.583712500000001,993,100.0
Materials Science,2,2007,9,0.9316222222222224,263,100.0
Materials Science,2,2008,28,1.0333607142857144,1089,100.0
Materials Science,2,2009,19,2.638842105263158,1383,100.0
Materials Science,2,2010,30,0.9219533333333333,772,100.0
Materials Science,2,2011,51,1.9361117647058825,2629,100.0
