"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Physics,1,2000,6,0.6135499999999999,103,83.33333333333334
Physics,1,2001,6,0.6206333333333334,100,100.0
Physics,1,2002,22,0.5007136363636364,300,90.9090909090909
Physics,1,2003,30,0.2324266666666667,179,93.33333333333333
Physics,1,2004,26,0.346976923076923,236,96.15384615384616
Physics,1,2005,26,0.4834923076923077,320,80.76923076923077
Physics,1,2006,40,0.43028749999999993,424,87.5
Physics,1,2007,42,0.3649309523809524,352,78.57142857142857
Physics,1,2008,58,0.9836741379310345,1314,96.55172413793103
Physics,1,2009,44,0.4223045454545456,401,97.72727272727273
Physics,1,2010,54,0.5228518518518519,589,96.29629629629629
Physics,1,2011,37,0.428172972972973,299,89.1891891891892
Physics,1,2012,45,0.34170000000000006,276,88.88888888888889
Physics,1,2013,66,0.47795,500,89.39393939393939
Physics,1,2014,53,3.0876301886792454,2296,92.45283018867924
Physics,1,2015,45,1.2740866666666666,692,82.22222222222221
Physics,1,2016,64,0.63799375,390,90.625
Physics,1,2017,45,0.8825844444444445,269,77.77777777777779
Physics,1,2018,62,1.5232435483870974,370,75.80645161290323
Physics,1,2019,81,0.7003555555555555,68,30.864197530864196
Physics,1,2020,14,4.52065,4,21.428571428571427
Chemistry,2,2000,5,0.11068,16,80.0
Chemistry,2,2001,11,0.17526363636363637,56,72.72727272727273
Chemistry,2,2002,16,0.17833125,86,100.0
Chemistry,2,2003,21,0.19442380952380955,124,85.71428571428571
Chemistry,2,2004,16,0.1709125,83,87.5
Chemistry,2,2005,18,0.19550555555555557,107,100.0
Chemistry,2,2006,37,0.22374594594594593,243,78.37837837837837
Chemistry,2,2007,28,0.46294285714285716,358,89.28571428571429
Chemistry,2,2008,42,0.5316190476190478,628,100.0
Chemistry,2,2009,30,0.3563233333333334,272,73.33333333333333
Chemistry,2,2010,25,1.3446640000000003,848,84.0
Chemistry,2,2011,33,0.5027727272727273,397,75.75757575757575
Chemistry,2,2012,24,0.36488750000000003,196,75.0
Chemistry,2,2013,31,0.7378064516129033,454,96.7741935483871
Chemistry,2,2014,28,0.4707428571428572,299,82.14285714285714
Chemistry,2,2015,36,0.5448972222222221,303,88.88888888888889
Chemistry,2,2016,50,0.6002680000000001,405,84.0
Chemistry,2,2017,68,1.2324132352941173,673,94.11764705882352
Chemistry,2,2018,91,3.2357395604395602,1566,92.3076923076923
Chemistry,2,2019,102,2.852510784313726,404,62.745098039215684
Chemistry,2,2020,13,0.0,0,0.0
Engineering,3,2000,3,0.16543333333333335,10,100.0
Engineering,3,2001,4,0.4534,38,75.0
Engineering,3,2002,5,0.75484,84,80.0
Engineering,3,2003,10,0.8147500000000001,175,80.0
Engineering,3,2004,5,0.79998,96,100.0
Engineering,3,2005,12,0.28733333333333333,76,66.66666666666666
Engineering,3,2006,7,0.3407285714285715,53,71.42857142857143
Engineering,3,2007,11,0.3230181818181818,79,81.81818181818183
Engineering,3,2008,7,0.7245857142857144,105,85.71428571428571
Engineering,3,2009,11,0.4803272727272727,109,100.0
Engineering,3,2010,15,0.47864000000000007,143,80.0
Engineering,3,2011,14,0.8027000000000004,207,100.0
Engineering,3,2012,16,0.34906875000000004,93,93.75
Engineering,3,2013,15,0.4102266666666667,95,80.0
Engineering,3,2014,15,0.49596,102,86.66666666666667
Engineering,3,2015,13,1.3566692307692312,208,76.92307692307693
Engineering,3,2016,13,0.8431692307692308,103,69.23076923076923
Engineering,3,2017,20,3.0588900000000008,431,85.0
Engineering,3,2018,49,5.902383673469387,1166,89.79591836734694
Engineering,3,2019,56,3.8278624999999984,231,58.92857142857143
Engineering,3,2020,8,1.594375,2,12.5
Materials Science,4,2000,1,1.026,24,100.0
Materials Science,4,2003,3,0.1668666666666667,14,100.0
Materials Science,4,2004,1,0.26030000000000003,7,100.0
Materials Science,4,2005,1,0.0,0,0.0
Materials Science,4,2006,5,0.33236000000000004,45,100.0
Materials Science,4,2007,2,0.43075,25,100.0
Materials Science,4,2008,15,1.0163266666666668,429,100.0
Materials Science,4,2009,10,0.5438000000000001,150,100.0
