"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,5,0.2767,40,100.0
Chemistry,1,2001,12,0.36434166666666673,127,100.0
Chemistry,1,2002,10,0.24884,75,90.0
Chemistry,1,2003,7,1.063114285714286,226,100.0
Chemistry,1,2004,15,0.9818933333333335,447,93.33333333333333
Chemistry,1,2005,16,0.40083125000000003,195,93.75
Chemistry,1,2006,31,0.38571290322580637,351,90.32258064516128
Chemistry,1,2007,30,0.5932866666666666,441,90.0
Chemistry,1,2008,30,0.36531333333333327,301,96.66666666666667
Chemistry,1,2009,43,0.4732441860465117,439,86.04651162790698
Chemistry,1,2010,45,0.5722488888888888,623,82.22222222222221
Chemistry,1,2011,42,1.0588595238095238,1509,76.19047619047619
Chemistry,1,2012,22,0.9139045454545456,450,72.72727272727273
Chemistry,1,2013,41,0.7409292682926828,603,90.2439024390244
Chemistry,1,2014,52,0.9645788461538463,1315,96.15384615384616
Chemistry,1,2015,60,1.0498633333333331,973,96.66666666666667
Chemistry,1,2016,84,0.9330476190476192,974,85.71428571428571
Chemistry,1,2017,56,1.0080035714285713,557,89.28571428571429
Chemistry,1,2018,77,0.9842077922077923,390,80.51948051948052
Chemistry,1,2019,68,0.9788441176470587,100,33.82352941176471
Chemistry,1,2020,7,0.0,0,0.0
Materials Science,2,2001,2,4.66115,230,100.0
Materials Science,2,2002,4,1.05205,107,100.0
Materials Science,2,2004,1,3.6815,99,100.0
Materials Science,2,2006,1,4.3500000000000005,32,100.0
Materials Science,2,2007,1,0.1378,4,100.0
Materials Science,2,2008,3,1.1016000000000001,93,100.0
Materials Science,2,2009,4,0.47130000000000005,52,100.0
Materials Science,2,2010,4,0.43279999999999996,50,100.0
Materials Science,2,2011,5,2.45634,327,100.0
Materials Science,2,2012,8,7.1040375000000004,1418,100.0
Materials Science,2,2013,8,1.8943875000000001,343,100.0
Materials Science,2,2014,11,1.888009090909091,440,90.9090909090909
Materials Science,2,2015,19,1.2588263157894737,439,100.0
Materials Science,2,2016,27,1.0411851851851852,426,92.5925925925926
Materials Science,2,2017,24,1.0345583333333332,190,83.33333333333334
Materials Science,2,2018,20,0.957085,117,90.0
Materials Science,2,2019,28,0.6106607142857143,26,28.57142857142857
Materials Science,2,2020,1,0.0,0,0.0
Mathematics,3,2000,3,0.3247,15,100.0
Mathematics,3,2001,2,0.0,0,0.0
Mathematics,3,2002,4,1.0635000000000001,62,50.0
Mathematics,3,2003,7,0.17152857142857145,17,100.0
Mathematics,3,2004,4,1.5570000000000002,91,100.0
Mathematics,3,2005,6,0.55235,46,83.33333333333334
Mathematics,3,2006,4,0.9792750000000001,53,100.0
Mathematics,3,2007,5,0.32054,20,60.0
Mathematics,3,2008,13,1.7679538461538462,283,84.61538461538461
Mathematics,3,2009,21,1.4661952380952379,333,76.19047619047619
Mathematics,3,2010,17,1.704035294117647,294,88.23529411764706
Mathematics,3,2011,22,2.065377272727273,399,95.45454545454545
Mathematics,3,2012,30,1.41226,317,80.0
Mathematics,3,2013,35,2.088542857142857,463,82.85714285714286
Mathematics,3,2014,28,1.854146428571429,285,92.85714285714286
Mathematics,3,2015,27,6.074555555555555,773,77.77777777777779
Mathematics,3,2016,20,0.6618550000000001,48,50.0
Mathematics,3,2017,45,2.0038155555555557,237,68.88888888888889
Mathematics,3,2018,34,1.5650529411764704,84,70.58823529411765
Mathematics,3,2019,52,3.8055173076923086,101,19.230769230769234
Mathematics,3,2020,13,3.589023076923077,5,15.384615384615385
Engineering,4,2000,10,0.75946,153,80.0
Engineering,4,2001,3,0.07956666666666666,5,100.0
Engineering,4,2002,4,0.29205000000000003,26,100.0
Engineering,4,2003,4,0.395725,34,75.0
Engineering,4,2004,10,1.0833100000000002,260,70.0
Engineering,4,2005,8,0.5954375000000001,105,87.5
Engineering,4,2006,9,0.7650555555555556,153,100.0
Engineering,4,2007,8,1.2087875,215,100.0
Engineering,4,2008,4,0.83325,69,100.0
Engineering,4,2009,7,1.5581,225,100.0
Engineering,4,2010,8,1.2552,200,100.0
Engineering,4,2011,11,1.7421636363636366,353,100.0
Engineering,4,2012,7,0.38607142857142857,45,71.42857142857143
Engineering,4,2013,11,2.0079727272727275,341,90.9090909090909
Engineering,4,2014,18,2.0867777777777783,515,94.44444444444444
Engineering,4,2015,14,1.4475071428571429,239,92.85714285714286
Engineering,4,2016,14,0.9964000000000001,173,92.85714285714286
