"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,11,0.31441818181818193,100,90.9090909090909
Chemistry,1,2001,14,0.2926214285714286,119,92.85714285714286
Chemistry,1,2002,20,0.20572,124,85.0
Chemistry,1,2003,31,0.3003451612903226,257,83.87096774193549
Chemistry,1,2004,44,0.3025159090909091,404,79.54545454545455
Chemistry,1,2005,55,0.6069345454545456,1015,94.54545454545455
Chemistry,1,2006,72,0.46084166666666665,974,79.16666666666666
Chemistry,1,2007,107,0.5922242990654204,1740,80.37383177570094
Chemistry,1,2008,109,1.1202211009174314,1710,89.90825688073394
Chemistry,1,2009,134,0.47781791044776134,1637,82.08955223880598
Chemistry,1,2010,122,0.46152459016393454,1558,79.50819672131148
Chemistry,1,2011,168,0.9694238095238097,3877,88.69047619047619
Chemistry,1,2012,158,1.063281012658228,3763,89.24050632911393
Chemistry,1,2013,162,1.2769962962962964,4297,90.74074074074075
Chemistry,1,2014,165,1.5800351515151516,5848,97.57575757575758
Chemistry,1,2015,148,1.5930466216216215,4339,96.62162162162163
Chemistry,1,2016,148,1.5687405405405404,2871,92.56756756756756
Chemistry,1,2017,168,1.4274511904761904,2165,93.45238095238095
Chemistry,1,2018,203,2.0650793103448284,2200,93.59605911330048
Chemistry,1,2019,211,3.028863507109005,911,61.137440758293835
Chemistry,1,2020,28,4.793214285714286,14,17.857142857142858
Physics,2,2000,7,0.38802857142857144,76,85.71428571428571
Physics,2,2001,11,0.8022909090909092,237,81.81818181818183
Physics,2,2002,21,1.0193761904761907,583,100.0
Physics,2,2003,36,0.760636111111111,703,97.22222222222221
Physics,2,2004,39,0.5920153846153846,604,97.43589743589743
Physics,2,2005,44,0.5615818181818183,629,90.9090909090909
Physics,2,2006,60,0.65168,955,90.0
Physics,2,2007,59,0.49961864406779666,645,86.4406779661017
Physics,2,2008,77,0.7000649350649351,1298,93.5064935064935
Physics,2,2009,104,0.7641307692307695,1715,95.1923076923077
Physics,2,2010,109,0.9850999999999998,2240,96.3302752293578
Physics,2,2011,110,0.9175909090909092,1905,93.63636363636364
Physics,2,2012,133,0.8803932330827067,2177,92.4812030075188
Physics,2,2013,91,0.8915582417582417,1286,93.4065934065934
Physics,2,2014,74,1.3998513513513513,1560,95.94594594594594
Physics,2,2015,64,0.8548984375000003,641,81.25
Physics,2,2016,58,1.1251844827586206,603,79.3103448275862
Physics,2,2017,74,1.1447270270270273,589,87.83783783783784
Physics,2,2018,94,1.0845329787234044,409,77.6595744680851
Physics,2,2019,102,1.0615656862745102,116,47.05882352941176
Physics,2,2020,14,1.1301642857142857,1,7.142857142857142
Materials Science,3,2003,1,0.2503,7,100.0
Materials Science,3,2004,2,0.595,32,50.0
Materials Science,3,2005,4,0.517975,56,100.0
Materials Science,3,2006,7,0.611957142857143,116,85.71428571428571
Materials Science,3,2007,22,1.4081636363636365,899,86.36363636363636
Materials Science,3,2008,16,0.9266250000000001,418,100.0
Materials Science,3,2009,22,0.6240545454545454,381,100.0
Materials Science,3,2010,34,0.7036764705882352,691,94.11764705882352
Materials Science,3,2011,43,1.117818604651163,1313,95.34883720930233
Materials Science,3,2012,48,1.209625,1419,97.91666666666666
Materials Science,3,2013,78,1.096098717948718,1935,97.43589743589743
Materials Science,3,2014,88,1.601055681818182,2985,98.86363636363636
Materials Science,3,2015,81,1.8793629629629631,2813,98.76543209876543
Materials Science,3,2016,72,1.956651388888889,2067,95.83333333333334
Materials Science,3,2017,68,1.5921382352941174,1296,97.05882352941177
Materials Science,3,2018,92,2.053852173913043,1192,90.21739130434783
Materials Science,3,2019,88,1.838065909090909,254,65.9090909090909
Materials Science,3,2020,7,0.0,0,0.0
Mathematics,4,2000,1,0.1948,3,100.0
Mathematics,4,2001,2,0.6608,20,50.0
Mathematics,4,2002,5,0.30188000000000004,22,80.0
Mathematics,4,2003,12,0.5298416666666667,90,91.66666666666666
Mathematics,4,2004,19,0.41784736842105263,116,73.68421052631578
Mathematics,4,2005,23,0.4228739130434782,135,82.6086956521739
Mathematics,4,2006,36,0.490663888888889,239,86.11111111111111
Mathematics,4,2007,32,0.8363875000000001,334,87.5
Mathematics,4,2008,38,0.6540184210526315,293,94.73684210526315
Mathematics,4,2009,82,1.1934512195121947,1102,90.2439024390244
Mathematics,4,2010,73,1.5022794520547942,1113,98.63013698630137
Mathematics,4,2011,96,0.9501947916666668,801,90.625
Mathematics,4,2012,134,1.2577305970149255,1261,85.07462686567165
Mathematics,4,2013,115,0.6683695652173914,493,71.30434782608695
Mathematics,4,2014,125,0.9982487999999997,685,67.2
Mathematics,4,2015,84,1.0634178571428576,421,72.61904761904762
Mathematics,4,2016,104,1.1879394230769227,448,72.11538461538461
Mathematics,4,2017,114,2.3453210526315784,686,71.05263157894737
Mathematics,4,2018,119,5.871605042016808,1103,63.86554621848739
Mathematics,4,2019,172,3.6278011627906963,317,36.04651162790697
Mathematics,4,2020,32,1.74965625,6,18.75
Engineering,5,2000,1,0.4964,10,100.0
Engineering,5,2001,2,0.16705,7,100.0
Engineering,5,2002,2,0.7863000000000001,35,100.0
Engineering,5,2003,4,0.6168750000000001,53,75.0
Engineering,5,2004,6,0.5208166666666667,75,50.0
Engineering,5,2005,10,0.5444100000000001,120,70.0
Engineering,5,2006,18,0.5575222222222221,223,83.33333333333334
Engineering,5,2007,14,0.9541785714285714,297,78.57142857142857
Engineering,5,2008,16,0.89060625,295,81.25
Engineering,5,2009,45,1.0276466666666668,954,100.0
Engineering,5,2010,26,0.8245615384615387,427,100.0
Engineering,5,2011,47,1.1481297872340426,994,91.48936170212765
Engineering,5,2012,46,1.048354347826087,803,95.65217391304348
Engineering,5,2013,58,0.8406051724137933,786,93.10344827586206
Engineering,5,2014,56,0.7671285714285715,589,89.28571428571429
Engineering,5,2015,57,1.2614578947368422,848,89.47368421052632
Engineering,5,2016,56,1.4317892857142858,766,96.42857142857143
Engineering,5,2017,62,1.599817741935484,758,82.25806451612904
Engineering,5,2018,62,1.9182806451612902,449,75.80645161290323
Engineering,5,2019,104,2.9600221153846147,340,50.96153846153846
Engineering,5,2020,12,1.0629166666666667,2,8.333333333333332
Computer Science,6,2002,1,0.0857,2,100.0
Computer Science,6,2004,1,0.0,0,0.0
Computer Science,6,2005,5,0.08788,7,40.0
Computer Science,6,2006,16,0.15085,42,68.75
Computer Science,6,2007,6,0.4246999999999999,58,100.0
Computer Science,6,2008,12,1.1917416666666667,323,91.66666666666666
Computer Science,6,2009,14,0.976707142857143,287,85.71428571428571
Computer Science,6,2010,17,0.6077176470588235,180,94.11764705882352
Computer Science,6,2011,17,0.7421764705882353,243,88.23529411764706
Computer Science,6,2012,12,0.8075416666666668,159,100.0
Computer Science,6,2013,8,1.106325,141,100.0
Computer Science,6,2014,24,2.338341666666667,849,95.83333333333334
Computer Science,6,2015,18,1.5918500000000002,331,94.44444444444444
Computer Science,6,2016,26,1.63885,378,84.61538461538461
Computer Science,6,2017,22,1.3242909090909094,209,90.9090909090909
Computer Science,6,2018,34,3.0028676470588236,379,85.29411764705883
Computer Science,6,2019,25,3.3706720000000003,88,60.0
Computer Science,6,2020,5,1.92576,2,40.0
Environment/Ecology,7,2001,1,1.2091,51,100.0
Environment/Ecology,7,2002,2,1.60675,142,100.0
Environment/Ecology,7,2004,1,0.45280000000000004,19,100.0
Environment/Ecology,7,2005,2,0.07150000000000001,6,50.0
Environment/Ecology,7,2006,1,0.051500000000000004,2,100.0
Environment/Ecology,7,2007,5,0.52366,97,80.0
Environment/Ecology,7,2008,2,0.7223499999999999,50,100.0
Environment/Ecology,7,2009,8,0.2316125,56,87.5
Environment/Ecology,7,2010,8,0.683425,163,100.0
Environment/Ecology,7,2011,6,1.0795000000000001,168,100.0
Environment/Ecology,7,2012,7,0.4841857142857143,176,85.71428571428571
Environment/Ecology,7,2013,14,1.0925285714285715,313,100.0
Environment/Ecology,7,2014,9,1.0483222222222222,230,77.77777777777779
Environment/Ecology,7,2015,11,4.556672727272727,710,100.0
Environment/Ecology,7,2016,12,1.6325416666666668,222,100.0
Environment/Ecology,7,2017,17,0.9021117647058824,116,88.23529411764706
Environment/Ecology,7,2018,37,2.0816432432432435,329,83.78378378378379
Environment/Ecology,7,2019,47,3.698389361702128,257,53.191489361702125
Environment/Ecology,7,2020,7,26.74632857142857,21,57.14285714285714
Biology & Biochemistry,8,2002,1,0.16920000000000002,8,100.0
Biology & Biochemistry,8,2003,1,1.0442,109,100.0
Biology & Biochemistry,8,2004,3,2.035266666666667,614,100.0
Biology & Biochemistry,8,2005,2,0.7196,111,100.0
Biology & Biochemistry,8,2006,3,0.743,95,100.0
Biology & Biochemistry,8,2007,2,3.1678500000000005,251,100.0
Biology & Biochemistry,8,2008,2,0.1222,9,50.0
Biology & Biochemistry,8,2009,4,0.491475,70,100.0
Biology & Biochemistry,8,2010,4,0.304825,39,100.0
Biology & Biochemistry,8,2011,12,0.7111166666666667,247,100.0
Biology & Biochemistry,8,2012,8,0.38115,86,100.0
Biology & Biochemistry,8,2013,12,1.0357833333333335,288,100.0
Biology & Biochemistry,8,2014,14,0.8023999999999999,213,78.57142857142857
Biology & Biochemistry,8,2015,8,1.1666,144,87.5
Biology & Biochemistry,8,2016,15,0.7880400000000001,134,80.0
Biology & Biochemistry,8,2017,12,1.5220833333333337,171,91.66666666666666
Biology & Biochemistry,8,2018,13,1.6169923076923078,103,100.0
Biology & Biochemistry,8,2019,18,2.615594444444445,54,72.22222222222221
Biology & Biochemistry,8,2020,1,0.0,0,0.0
Plant & Animal Science,9,2000,3,0.4569999999999999,39,100.0
Plant & Animal Science,9,2001,3,0.21273333333333336,18,100.0
Plant & Animal Science,9,2002,1,0.10790000000000001,3,100.0
Plant & Animal Science,9,2003,2,0.0358,2,100.0
