学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Northeast Normal University - China,1,2000,111,0.711347748,2179,85.58558559
ALL,Northeast Normal University - China,1,2001,127,0.57055748,1935,86.61417323
ALL,Northeast Normal University - China,1,2002,178,0.826281461,3985,93.25842697
ALL,Northeast Normal University - China,1,2003,277,0.931988448,7669,92.77978339
ALL,Northeast Normal University - China,1,2004,406,0.771366995,8053,78.57142857
ALL,Northeast Normal University - China,1,2005,433,1.164746882,13857,91.91685912
ALL,Northeast Normal University - China,1,2006,467,0.864667024,11670,89.07922912
ALL,Northeast Normal University - China,1,2007,558,0.907696774,13877,89.78494624
ALL,Northeast Normal University - China,1,2008,562,1.076229715,19447,92.88256228
ALL,Northeast Normal University - China,1,2009,604,1.103654967,15905,93.21192053
ALL,Northeast Normal University - China,1,2010,662,0.954654079,15178,91.6918429
ALL,Northeast Normal University - China,1,2011,755,1.20396755,19513,91.52317881
ALL,Northeast Normal University - China,1,2012,789,1.106516477,17913,94.29657795
ALL,Northeast Normal University - China,1,2013,803,1.175036115,17745,93.15068493
ALL,Northeast Normal University - China,1,2014,861,1.152013473,16292,93.03135889
ALL,Northeast Normal University - China,1,2015,876,1.190893265,14764,92.69406393
ALL,Northeast Normal University - China,1,2016,911,1.15007629,11433,87.5960483
ALL,Northeast Normal University - China,1,2017,1056,1.222547633,10134,85.51136364
ALL,Northeast Normal University - China,1,2018,1227,1.264299267,6893,82.23308883
ALL,Northeast Normal University - China,1,2019,1441,1.185476683,1980,43.02567661
,,,,,,,
Mathematics,Northeast Normal University - China,1,2000,16,0.84829375,209,81.25
Mathematics,Northeast Normal University - China,1,2001,12,1.850258333,336,91.66666667
Mathematics,Northeast Normal University - China,1,2002,21,0.8168,250,90.47619048
Mathematics,Northeast Normal University - China,1,2003,21,1.641685714,488,90.47619048
Mathematics,Northeast Normal University - China,1,2004,35,1.4822,758,85.71428571
Mathematics,Northeast Normal University - China,1,2005,38,1.401097368,739,97.36842105
Mathematics,Northeast Normal University - China,1,2006,36,1.075769444,524,91.66666667
Mathematics,Northeast Normal University - China,1,2007,35,1.103554286,482,94.28571429
Mathematics,Northeast Normal University - China,1,2008,43,1.309830233,664,90.69767442
Mathematics,Northeast Normal University - China,1,2009,48,1.908954167,991,89.58333333
Mathematics,Northeast Normal University - China,1,2010,52,0.881111538,465,84.61538462
Mathematics,Northeast Normal University - China,1,2011,72,1.504172222,951,86.11111111
Mathematics,Northeast Normal University - China,1,2012,74,1.392514865,771,87.83783784
Mathematics,Northeast Normal University - China,1,2013,78,1.11045,571,82.05128205
Mathematics,Northeast Normal University - China,1,2014,85,1.148692941,536,83.52941176
Mathematics,Northeast Normal University - China,1,2015,72,0.907659722,308,81.94444444
Mathematics,Northeast Normal University - China,1,2016,90,0.98689,327,67.77777778
Mathematics,Northeast Normal University - China,1,2017,116,1.46284569,446,67.24137931
Mathematics,Northeast Normal University - China,1,2018,114,1.311404386,236,64.03508772
Mathematics,Northeast Normal University - China,1,2019,116,0.745305172,44,25
,,,,,,,
Physics,Northeast Normal University - China,1,2000,16,0.24310625,108,68.75
Physics,Northeast Normal University - China,1,2001,24,0.255995833,165,91.66666667
Physics,Northeast Normal University - China,1,2002,21,0.668585714,378,95.23809524
Physics,Northeast Normal University - China,1,2003,40,0.459635,472,90
Physics,Northeast Normal University - China,1,2004,32,1.079890625,904,87.5
Physics,Northeast Normal University - China,1,2005,43,1.07254186,1174,86.04651163
Physics,Northeast Normal University - China,1,2006,29,0.951831034,680,89.65517241
Physics,Northeast Normal University - China,1,2007,36,0.654375,541,91.66666667
Physics,Northeast Normal University - China,1,2008,35,1.862771429,4755,82.85714286
Physics,Northeast Normal University - China,1,2009,47,0.403442553,410,95.74468085
Physics,Northeast Normal University - China,1,2010,45,0.589108889,516,97.77777778
Physics,Northeast Normal University - China,1,2011,50,1.445808,1436,96
Physics,Northeast Normal University - China,1,2012,68,0.686567647,838,92.64705882
Physics,Northeast Normal University - China,1,2013,52,1.016092308,845,92.30769231
Physics,Northeast Normal University - China,1,2014,90,0.740546667,938,94.44444444
Physics,Northeast Normal University - China,1,2015,83,1.002512048,1046,87.95180723
Physics,Northeast Normal University - China,1,2016,78,1.177362821,874,87.17948718
Physics,Northeast Normal University - China,1,2017,115,0.96414,753,76.52173913
Physics,Northeast Normal University - China,1,2018,107,1.011434579,424,78.5046729
Physics,Northeast Normal University - China,1,2019,118,0.770985593,95,38.13559322
,,,,,,,
Chemistry,Northeast Normal University - China,1,2000,58,0.718656897,1196,93.10344828
Chemistry,Northeast Normal University - China,1,2001,62,0.467703226,938,93.5483871
