学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Beijing Normal University,1,2000,421,0.566528979,6332,82.66033254
ALL,Beijing Normal University,1,2001,404,0.482317327,5720,86.38613861
ALL,Beijing Normal University,1,2002,494,0.673702834,10653,90.28340081
ALL,Beijing Normal University,1,2003,544,0.758201471,14531,89.52205882
ALL,Beijing Normal University,1,2004,893,0.791893281,13488,62.59798432
ALL,Beijing Normal University,1,2005,737,0.939440163,21434,87.38127544
ALL,Beijing Normal University,1,2006,788,0.811244162,18115,89.08629442
ALL,Beijing Normal University,1,2007,964,0.956762656,26229,91.18257261
ALL,Beijing Normal University,1,2008,1083,0.934591782,24110,83.7488458
ALL,Beijing Normal University,1,2009,1244,1.115283199,31591,91.23794212
ALL,Beijing Normal University,1,2010,1325,1.11564,35727,91.32075472
ALL,Beijing Normal University,1,2011,1621,1.155009439,40665,93.39913634
ALL,Beijing Normal University,1,2012,1716,1.292974068,40918,92.54079254
ALL,Beijing Normal University,1,2013,2130,1.324941033,44819,92.67605634
ALL,Beijing Normal University,1,2014,2375,1.295213305,42157,92.92631579
ALL,Beijing Normal University,1,2015,2605,1.288610979,41426,93.85796545
ALL,Beijing Normal University,1,2016,2790,1.308451577,35143,88.31541219
ALL,Beijing Normal University,1,2017,2903,1.24601774,25560,87.25456424
ALL,Beijing Normal University,1,2018,3399,1.320745925,17052,79.25860547
ALL,Beijing Normal University,1,2019,3992,1.226381187,5090,43.68737475
,,,,,,,
Mathematics,Beijing Normal University,1,2000,58,0.90022931,804,87.93103448
Mathematics,Beijing Normal University,1,2001,58,0.716634483,629,87.93103448
Mathematics,Beijing Normal University,1,2002,74,0.784394595,846,89.18918919
Mathematics,Beijing Normal University,1,2003,70,0.719584286,713,90
Mathematics,Beijing Normal University,1,2004,89,0.538893258,694,89.88764045
Mathematics,Beijing Normal University,1,2005,89,0.614385393,678,85.39325843
Mathematics,Beijing Normal University,1,2006,96,0.824529167,1071,89.58333333
Mathematics,Beijing Normal University,1,2007,97,0.796846392,925,83.50515464
Mathematics,Beijing Normal University,1,2008,135,0.879642222,1400,85.92592593
Mathematics,Beijing Normal University,1,2009,129,0.975725581,1347,86.04651163
Mathematics,Beijing Normal University,1,2010,145,1.209569655,1780,84.13793103
Mathematics,Beijing Normal University,1,2011,136,1.0252375,1183,84.55882353
Mathematics,Beijing Normal University,1,2012,143,1.304700699,1403,88.11188811
Mathematics,Beijing Normal University,1,2013,180,1.202888889,1289,83.33333333
Mathematics,Beijing Normal University,1,2014,195,1.055605641,1130,84.61538462
Mathematics,Beijing Normal University,1,2015,189,1.200097884,1069,85.71428571
Mathematics,Beijing Normal University,1,2016,185,1.438483784,965,79.45945946
Mathematics,Beijing Normal University,1,2017,180,1.286846667,529,67.22222222
Mathematics,Beijing Normal University,1,2018,208,1.038123558,342,51.44230769
Mathematics,Beijing Normal University,1,2019,197,1.129293909,113,30.45685279
,,,,,,,
Physics,Beijing Normal University,1,2000,120,0.463685,1556,86.66666667
Physics,Beijing Normal University,1,2001,129,0.362110853,1237,89.92248062
Physics,Beijing Normal University,1,2002,156,0.374208974,1580,87.82051282
Physics,Beijing Normal University,1,2003,122,0.454329508,1423,81.14754098
Physics,Beijing Normal University,1,2004,137,0.531045985,1882,87.59124088
Physics,Beijing Normal University,1,2005,194,1.243348454,6056,86.08247423
Physics,Beijing Normal University,1,2006,193,0.780336788,3670,85.49222798
Physics,Beijing Normal University,1,2007,219,0.667865297,3356,88.58447489
Physics,Beijing Normal University,1,2008,191,1.017676963,4555,90.05235602
Physics,Beijing Normal University,1,2009,257,0.635848638,3492,93.38521401
Physics,Beijing Normal University,1,2010,248,0.738816532,3780,86.69354839
Physics,Beijing Normal University,1,2011,255,0.853370588,4056,94.50980392
Physics,Beijing Normal University,1,2012,222,1.188445946,4840,90.99099099
Physics,Beijing Normal University,1,2013,312,0.946341026,4905,91.98717949
Physics,Beijing Normal University,1,2014,277,1.188518051,4676,92.77978339
Physics,Beijing Normal University,1,2015,262,1.095287405,3469,90.45801527
Physics,Beijing Normal University,1,2016,261,1.193785057,3074,87.35632184
Physics,Beijing Normal University,1,2017,307,1.062525733,2356,86.31921824
