学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,East China Normal University,1,2000,153,0.86298366,3520,92.81045752
ALL,East China Normal University,1,2001,209,0.840104306,4934,93.30143541
ALL,East China Normal University,1,2002,216,0.845367593,4682,93.05555556
ALL,East China Normal University,1,2003,316,0.774808228,6874,93.35443038
ALL,East China Normal University,1,2004,418,0.716377033,8090,81.57894737
ALL,East China Normal University,1,2005,453,0.809177704,9535,90.94922737
ALL,East China Normal University,1,2006,538,0.784563197,11559,92.19330855
ALL,East China Normal University,1,2007,667,0.953274663,16022,93.55322339
ALL,East China Normal University,1,2008,870,0.847503103,19226,91.72413793
ALL,East China Normal University,1,2009,1044,0.890958621,23157,94.348659
ALL,East China Normal University,1,2010,1086,1.113880295,29229,93.00184162
ALL,East China Normal University,1,2011,1196,1.219923411,32145,92.97658863
ALL,East China Normal University,1,2012,1349,0.991916753,26773,91.99406968
ALL,East China Normal University,1,2013,1507,1.137956603,29968,92.70072993
ALL,East China Normal University,1,2014,1635,1.169830459,28698,91.49847095
ALL,East China Normal University,1,2015,1751,1.23558972,28678,90.40548258
ALL,East China Normal University,1,2016,2013,1.318954744,29392,87.28266269
ALL,East China Normal University,1,2017,2241,1.375103168,22212,85.22980812
ALL,East China Normal University,1,2018,2517,1.441695471,14584,78.9034565
ALL,East China Normal University,1,2019,3026,1.24312039,4308,43.22538004
,,,,,,,
Mathematics,East China Normal University,1,2000,22,1.278190909,433,95.45454545
Mathematics,East China Normal University,1,2001,32,0.980890625,475,84.375
Mathematics,East China Normal University,1,2002,43,0.963746512,604,88.37209302
Mathematics,East China Normal University,1,2003,51,1.011219608,730,88.23529412
Mathematics,East China Normal University,1,2004,57,0.880105263,733,89.47368421
Mathematics,East China Normal University,1,2005,84,1.163902381,1312,85.71428571
Mathematics,East China Normal University,1,2006,61,1.028647541,849,81.96721311
Mathematics,East China Normal University,1,2007,94,1.022805319,1203,93.61702128
Mathematics,East China Normal University,1,2008,113,0.788175221,1050,92.92035398
Mathematics,East China Normal University,1,2009,123,0.771496748,1012,89.43089431
Mathematics,East China Normal University,1,2010,154,0.866664935,1353,87.66233766
Mathematics,East China Normal University,1,2011,143,0.813887413,1022,82.51748252
Mathematics,East China Normal University,1,2012,168,0.821822024,951,82.14285714
Mathematics,East China Normal University,1,2013,173,1.090419653,1162,85.54913295
Mathematics,East China Normal University,1,2014,161,0.921373913,810,78.88198758
Mathematics,East China Normal University,1,2015,160,0.82352125,621,73.125
Mathematics,East China Normal University,1,2016,165,0.837341818,501,72.72727273
Mathematics,East China Normal University,1,2017,177,1.050426554,485,61.01694915
Mathematics,East China Normal University,1,2018,164,1.069954268,277,43.29268293
Mathematics,East China Normal University,1,2019,184,1.305134239,122,23.36956522
,,,,,,,
Physics,East China Normal University,1,2000,29,0.389455172,316,82.75862069
Physics,East China Normal University,1,2001,46,0.680578261,834,93.47826087
Physics,East China Normal University,1,2002,58,0.46785,739,93.10344828
Physics,East China Normal University,1,2003,70,0.676965714,1299,95.71428571
Physics,East China Normal University,1,2004,91,0.538972527,1236,87.91208791
Physics,East China Normal University,1,2005,95,0.650190526,1564,90.52631579
Physics,East China Normal University,1,2006,119,0.711813445,2115,90.75630252
Physics,East China Normal University,1,2007,144,0.779069444,2559,91.66666667
Physics,East China Normal University,1,2008,193,0.767094819,3347,94.30051813
Physics,East China Normal University,1,2009,236,0.721150847,3676,94.91525424
Physics,East China Normal University,1,2010,162,1.120734568,3781,95.0617284
Physics,East China Normal University,1,2011,196,1.058495918,3923,92.85714286
Physics,East China Normal University,1,2012,203,0.757707389,2861,93.59605911
Physics,East China Normal University,1,2013,245,0.73487551,2877,92.65306122
Physics,East China Normal University,1,2014,260,0.88979,3261,89.61538462
Physics,East China Normal University,1,2015,250,1.0772708,3272,93.2
Physics,East China Normal University,1,2016,216,0.827496759,1755,87.03703704
Physics,East China Normal University,1,2017,300,0.986812,2082,84.66666667
Physics,East China Normal University,1,2018,325,1.052629231,1346,78.46153846
