学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,South China Normal University,1,2000,63,0.456026984,424,74.6031746
ALL,South China Normal University,1,2001,66,0.367954545,736,80.3030303
ALL,South China Normal University,1,2002,113,0.601070796,1545,92.03539823
ALL,South China Normal University,1,2003,104,0.695533654,1672,90.38461538
ALL,South China Normal University,1,2004,296,1.433346959,6482,62.16216216
ALL,South China Normal University,1,2005,195,0.719146154,3603,92.30769231
ALL,South China Normal University,1,2006,280,0.828636071,4836,87.5
ALL,South China Normal University,1,2007,387,0.664994315,6631,90.43927649
ALL,South China Normal University,1,2008,546,0.845102198,9622,86.63003663
ALL,South China Normal University,1,2009,637,0.867870644,12808,91.36577708
ALL,South China Normal University,1,2010,767,0.868053977,13065,91.00391134
ALL,South China Normal University,1,2011,866,0.915899076,15656,89.6073903
ALL,South China Normal University,1,2012,944,1.06963178,17816,89.19491525
ALL,South China Normal University,1,2013,934,0.862230728,12830,90.3640257
ALL,South China Normal University,1,2014,979,0.984175792,14267,90.70480082
ALL,South China Normal University,1,2015,1092,0.93166685,13057,89.46886447
ALL,South China Normal University,1,2016,1127,1.209893256,14704,89.44099379
ALL,South China Normal University,1,2017,1139,1.126419754,9213,86.30377524
ALL,South China Normal University,1,2018,1418,1.239233216,7326,80.18335684
ALL,South China Normal University,1,2019,1930,1.353854093,2732,46.37305699
,,,,,,,
Mathematics,South China Normal University,1,2000,18,0.450977778,125,77.77777778
Mathematics,South China Normal University,1,2001,17,0.229347059,59,64.70588235
Mathematics,South China Normal University,1,2002,22,0.430068182,125,86.36363636
Mathematics,South China Normal University,1,2003,15,1.149186667,244,86.66666667
Mathematics,South China Normal University,1,2004,28,0.569510714,233,85.71428571
Mathematics,South China Normal University,1,2005,28,0.640692857,249,85.71428571
Mathematics,South China Normal University,1,2006,39,0.977858974,516,69.23076923
Mathematics,South China Normal University,1,2007,68,0.559758824,475,77.94117647
Mathematics,South China Normal University,1,2008,100,0.662464,781,86
Mathematics,South China Normal University,1,2009,109,0.955414679,1112,83.48623853
Mathematics,South China Normal University,1,2010,136,1.086025,1499,84.55882353
Mathematics,South China Normal University,1,2011,146,1.161345205,1482,89.04109589
Mathematics,South China Normal University,1,2012,138,1.000464493,1033,81.88405797
Mathematics,South China Normal University,1,2013,140,0.829653571,745,81.42857143
Mathematics,South China Normal University,1,2014,140,1.07606,827,80
Mathematics,South China Normal University,1,2015,115,0.819195652,444,72.17391304
Mathematics,South China Normal University,1,2016,102,1.073346078,397,77.45098039
Mathematics,South China Normal University,1,2017,101,0.860172277,229,61.38613861
Mathematics,South China Normal University,1,2018,111,1.00442973,176,56.75675676
Mathematics,South China Normal University,1,2019,108,1.002425926,55,29.62962963
,,,,,,,
Physics,South China Normal University,1,2000,10,0.52897,148,90
Physics,South China Normal University,1,2001,23,0.335117391,207,95.65217391
Physics,South China Normal University,1,2002,27,0.696733333,505,100
Physics,South China Normal University,1,2003,28,0.678860714,488,100
