学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Nanjing Normal University,1,2000,104,0.555188462,1465,77.88461538
ALL,Nanjing Normal University,1,2001,115,1.00014087,3482,84.34782609
ALL,Nanjing Normal University,1,2002,175,0.531568571,2401,88
ALL,Nanjing Normal University,1,2003,220,0.697736818,4322,86.36363636
ALL,Nanjing Normal University,1,2004,324,0.959862346,9022,82.71604938
ALL,Nanjing Normal University,1,2005,331,0.920744411,8149,89.12386707
ALL,Nanjing Normal University,1,2006,376,0.710121543,7603,90.95744681
ALL,Nanjing Normal University,1,2007,394,0.634650761,6496,91.62436548
ALL,Nanjing Normal University,1,2008,453,0.943361369,11054,90.94922737
ALL,Nanjing Normal University,1,2009,496,0.967713911,10579,92.54032258
ALL,Nanjing Normal University,1,2010,501,0.851755888,9763,90.21956088
ALL,Nanjing Normal University,1,2011,543,0.888395764,10240,93.18600368
ALL,Nanjing Normal University,1,2012,671,0.810959463,10560,90.61102832
ALL,Nanjing Normal University,1,2013,822,1.082337105,14956,90.63260341
ALL,Nanjing Normal University,1,2014,916,1.238556878,16462,88.10043668
ALL,Nanjing Normal University,1,2015,1046,1.278252103,16853,90.53537285
ALL,Nanjing Normal University,1,2016,1122,1.471402317,15001,88.77005348
ALL,Nanjing Normal University,1,2017,1272,1.45743184,13259,88.91509434
ALL,Nanjing Normal University,1,2018,1611,1.451978336,9399,79.88826816
ALL,Nanjing Normal University,1,2019,2023,1.464898122,3163,43.64804745
,,,,,,,
Mathematics,Nanjing Normal University,1,2000,21,0.596842857,193,76.19047619
Mathematics,Nanjing Normal University,1,2001,31,0.626706452,294,90.32258065
Mathematics,Nanjing Normal University,1,2002,33,0.582148485,280,81.81818182
Mathematics,Nanjing Normal University,1,2003,47,0.69143617,460,85.10638298
Mathematics,Nanjing Normal University,1,2004,54,0.784516667,619,83.33333333
Mathematics,Nanjing Normal University,1,2005,64,0.544835937,484,78.125
Mathematics,Nanjing Normal University,1,2006,49,0.479355102,313,81.63265306
Mathematics,Nanjing Normal University,1,2007,74,0.450481081,416,79.72972973
Mathematics,Nanjing Normal University,1,2008,86,0.931082558,944,88.37209302
Mathematics,Nanjing Normal University,1,2009,90,1.130094444,1100,86.66666667
Mathematics,Nanjing Normal University,1,2010,81,0.462251852,380,74.07407407
Mathematics,Nanjing Normal University,1,2011,85,0.850754118,635,82.35294118
Mathematics,Nanjing Normal University,1,2012,103,0.638430097,492,81.55339806
Mathematics,Nanjing Normal University,1,2013,115,0.652101739,481,73.91304348
Mathematics,Nanjing Normal University,1,2014,118,0.958667797,621,58.47457627
Mathematics,Nanjing Normal University,1,2015,119,0.896857983,503,66.38655462
Mathematics,Nanjing Normal University,1,2016,113,0.79070708,324,64.60176991
Mathematics,Nanjing Normal University,1,2017,112,1.185575893,349,71.42857143
Mathematics,Nanjing Normal University,1,2018,134,1.484409701,314,52.98507463
Mathematics,Nanjing Normal University,1,2019,181,1.729144751,159,22.09944751
,,,,,,,
Physics,Nanjing Normal University,1,2000,31,0.6099,529,80.64516129
Physics,Nanjing Normal University,1,2001,22,0.990177273,585,95.45454545
Physics,Nanjing Normal University,1,2002,50,0.52297,699,94
Physics,Nanjing Normal University,1,2003,32,0.4954125,407,87.5
Physics,Nanjing Normal University,1,2004,71,0.826146479,1546,87.32394366
Physics,Nanjing Normal University,1,2005,60,0.838056667,1280,90
Physics,Nanjing Normal University,1,2006,73,0.822419178,1479,94.52054795
Physics,Nanjing Normal University,1,2007,71,0.480205634,783,90.14084507
Physics,Nanjing Normal University,1,2008,85,0.538914118,1055,94.11764706
Physics,Nanjing Normal University,1,2009,69,0.588972464,872,89.85507246
Physics,Nanjing Normal University,1,2010,78,0.739192308,1211,88.46153846
Physics,Nanjing Normal University,1,2011,79,0.548511392,823,91.13924051
Physics,Nanjing Normal University,1,2012,84,0.688580952,970,92.85714286
Physics,Nanjing Normal University,1,2013,108,1.112812963,1888,91.66666667
Physics,Nanjing Normal University,1,2014,137,0.858937226,1682,84.67153285
Physics,Nanjing Normal University,1,2015,147,1.247129252,2130,91.15646259
Physics,Nanjing Normal University,1,2016,136,1.196669853,1642,92.64705882
Physics,Nanjing Normal University,1,2017,195,1.251588205,1653,87.69230769
Physics,Nanjing Normal University,1,2018,229,1.187282533,1070,78.60262009
Physics,Nanjing Normal University,1,2019,230,1.467024783,358,47.39130435
,,,,,,,
Chemistry,Nanjing Normal University,1,2000,24,0.480766667,333,79.16666667
Chemistry,Nanjing Normal University,1,2001,14,0.194257143,79,78.57142857
Chemistry,Nanjing Normal University,1,2002,36,0.363655556,400,88.88888889
Chemistry,Nanjing Normal University,1,2003,51,0.502962745,779,92.15686275
Chemistry,Nanjing Normal University,1,2004,61,0.921493443,1706,85.24590164
Chemistry,Nanjing Normal University,1,2005,78,0.582439744,1432,89.74358974
Chemistry,Nanjing Normal University,1,2006,87,0.595572414,1521,91.95402299
Chemistry,Nanjing Normal University,1,2007,75,0.601678667,1347,92
Chemistry,Nanjing Normal University,1,2008,77,0.813062338,2798,89.61038961
Chemistry,Nanjing Normal University,1,2009,88,1.0697125,2457,95.45454545
Chemistry,Nanjing Normal University,1,2010,82,1.048747561,2155,93.90243902
Chemistry,Nanjing Normal University,1,2011,101,1.023892079,2878,96.03960396
Chemistry,Nanjing Normal University,1,2012,115,1.003797391,2959,95.65217391
Chemistry,Nanjing Normal University,1,2013,136,1.185646324,3337,96.32352941
Chemistry,Nanjing Normal University,1,2014,147,1.456106803,4338,95.23809524
Chemistry,Nanjing Normal University,1,2015,156,1.940953846,4677,96.79487179
Chemistry,Nanjing Normal University,1,2016,163,1.865061963,3702,96.3190184
Chemistry,Nanjing Normal University,1,2017,208,1.820447596,3398,94.71153846
Chemistry,Nanjing Normal University,1,2018,271,1.659654244,2296,87.08487085
Chemistry,Nanjing Normal University,1,2019,281,1.912129181,751,53.38078292
,,,,,,,
Engineering,Nanjing Normal University,1,2000,5,0.1489,15,80
Engineering,Nanjing Normal University,1,2001,15,0.633173333,199,73.33333333
Engineering,Nanjing Normal University,1,2002,12,0.52045,139,100
Engineering,Nanjing Normal University,1,2003,20,0.817895,358,80
Engineering,Nanjing Normal University,1,2004,20,2.454075,1178,90
Engineering,Nanjing Normal University,1,2005,18,4.024844444,1545,94.44444444
Engineering,Nanjing Normal University,1,2006,28,1.086478571,676,85.71428571
Engineering,Nanjing Normal University,1,2007,23,0.856543478,438,95.65217391
Engineering,Nanjing Normal University,1,2008,33,0.973239394,602,84.84848485
Engineering,Nanjing Normal University,1,2009,49,1.345385714,1360,95.91836735
Engineering,Nanjing Normal University,1,2010,44,1.043245455,902,86.36363636
Engineering,Nanjing Normal University,1,2011,36,0.951555556,631,88.88888889
Engineering,Nanjing Normal University,1,2012,46,1.142347826,875,80.43478261
Engineering,Nanjing Normal University,1,2013,71,1.636667606,1794,90.14084507
Engineering,Nanjing Normal University,1,2014,65,1.300138462,980,92.30769231
Engineering,Nanjing Normal University,1,2015,79,1.825231646,1834,88.60759494
Engineering,Nanjing Normal University,1,2016,106,1.463742453,1321,89.62264151
Engineering,Nanjing Normal University,1,2017,124,1.497720968,1375,93.5483871
Engineering,Nanjing Normal University,1,2018,171,1.743294152,1213,83.62573099
Engineering,Nanjing Normal University,1,2019,224,1.383668304,334,42.41071429
,,,,,,,
Computer Science,Nanjing Normal University,1,2000,2,0.0925,4,50
Computer Science,,,,,,,
Computer Science,Nanjing Normal University,1,2002,4,0.50375,47,50
Computer Science,,,,,,,
Computer Science,Nanjing Normal University,1,2004,2,0.29815,10,100
Computer Science,Nanjing Normal University,1,2005,12,1.517,290,100
Computer Science,Nanjing Normal University,1,2006,10,0.34482,60,80
Computer Science,Nanjing Normal University,1,2007,6,1.30345,178,83.33333333
Computer Science,Nanjing Normal University,1,2008,15,1.706073333,578,93.33333333
Computer Science,Nanjing Normal University,1,2009,12,1.163308333,293,100
Computer Science,Nanjing Normal University,1,2010,10,1.27424,251,100
Computer Science,Nanjing Normal University,1,2011,7,1.367485714,191,85.71428571
Computer Science,Nanjing Normal University,1,2012,18,0.48535,126,94.44444444
Computer Science,Nanjing Normal University,1,2013,25,1.436188,572,96
Computer Science,Nanjing Normal University,1,2014,22,2.029013636,640,86.36363636
Computer Science,Nanjing Normal University,1,2015,20,1.0831,254,100
Computer Science,Nanjing Normal University,1,2016,34,1.595529412,507,88.23529412
Computer Science,Nanjing Normal University,1,2017,36,1.731880556,385,88.88888889
Computer Science,Nanjing Normal University,1,2018,61,1.684936066,382,68.85245902
Computer Science,Nanjing Normal University,1,2019,68,1.824713235,129,45.58823529
,,,,,,,
Materials Science,Nanjing Normal University,1,2000,4,2.105475,197,100
Materials Science,Nanjing Normal University,1,2001,1,1.1754,29,100
Materials Science,Nanjing Normal University,1,2002,4,1.995975,203,100
Materials Science,Nanjing Normal University,1,2003,9,2.312133333,582,100
Materials Science,Nanjing Normal University,1,2004,10,1.00132,204,90
Materials Science,Nanjing Normal University,1,2005,19,0.274573684,141,89.47368421
Materials Science,Nanjing Normal University,1,2006,15,0.87644,356,93.33333333
Materials Science,Nanjing Normal University,1,2007,17,0.687152941,339,94.11764706
Materials Science,Nanjing Normal University,1,2008,20,1.12825,635,90
Materials Science,Nanjing Normal University,1,2009,25,0.70622,487,92
Materials Science,Nanjing Normal University,1,2010,19,1.046010526,574,100
Materials Science,Nanjing Normal University,1,2011,20,0.81314,433,90
Materials Science,Nanjing Normal University,1,2012,37,1.014975676,937,97.2972973
Materials Science,Nanjing Normal University,1,2013,33,1.257227273,939,100
Materials Science,Nanjing Normal University,1,2014,62,1.811882258,2380,98.38709677
Materials Science,Nanjing Normal University,1,2015,64,1.597720313,1863,93.75
Materials Science,Nanjing Normal University,1,2016,73,1.9754,2083,93.15068493
Materials Science,Nanjing Normal University,1,2017,77,2.15254026,1781,92.20779221
