学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Tianjin Normal University,1,2000,29,0.753696552,639,86.20689655
ALL,Tianjin Normal University,1,2001,37,0.342089189,379,86.48648649
ALL,Tianjin Normal University,1,2002,34,0.344017647,389,76.47058824
ALL,Tianjin Normal University,1,2003,52,1.192053846,1022,98.07692308
ALL,Tianjin Normal University,1,2004,135,0.344474074,1004,60
ALL,Tianjin Normal University,1,2005,91,0.814979121,2305,85.71428571
ALL,Tianjin Normal University,1,2006,106,0.66354434,2266,88.67924528
ALL,Tianjin Normal University,1,2007,112,0.833589286,2879,89.28571429
ALL,Tianjin Normal University,1,2008,90,0.721262222,1838,93.33333333
ALL,Tianjin Normal University,1,2009,127,0.657477953,2317,88.18897638
ALL,Tianjin Normal University,1,2010,155,0.934139355,3646,89.67741935
ALL,Tianjin Normal University,1,2011,185,1.015296757,4601,86.48648649
ALL,Tianjin Normal University,1,2012,208,0.829694231,3555,89.42307692
ALL,Tianjin Normal University,1,2013,263,0.750338403,4009,89.35361217
ALL,Tianjin Normal University,1,2014,294,0.769702721,3421,88.43537415
ALL,Tianjin Normal University,1,2015,341,0.786275367,3748,88.85630499
ALL,Tianjin Normal University,1,2016,366,0.936471858,3965,84.15300546
ALL,Tianjin Normal University,1,2017,426,1.156703286,4131,85.91549296
ALL,Tianjin Normal University,1,2018,445,1.069557528,2264,77.07865169
ALL,Tianjin Normal University,1,2019,553,1.099830561,748,43.58047016
,,,,,,,
Mathematics,,,,,,,
Mathematics,Tianjin Normal University,1,2001,2,0.79295,24,100
Mathematics,Tianjin Normal University,1,2002,2,0.0343,1,50
Mathematics,Tianjin Normal University,1,2003,1,0.1413,2,100
Mathematics,Tianjin Normal University,1,2004,1,1.1635,17,100
Mathematics,Tianjin Normal University,1,2005,1,0.3602,5,100
Mathematics,Tianjin Normal University,1,2006,2,0.0739,2,100
Mathematics,Tianjin Normal University,1,2007,1,0,0,0
Mathematics,Tianjin Normal University,1,2008,3,0.593733333,21,100
Mathematics,Tianjin Normal University,1,2009,4,0.06935,3,50
Mathematics,Tianjin Normal University,1,2010,5,0.6503,33,100
Mathematics,Tianjin Normal University,1,2011,5,0.15944,7,80
Mathematics,Tianjin Normal University,1,2012,12,0.278458333,25,66.66666667
Mathematics,Tianjin Normal University,1,2013,11,0.453545455,32,63.63636364
Mathematics,Tianjin Normal University,1,2014,21,1.084290476,125,76.19047619
Mathematics,Tianjin Normal University,1,2015,21,0.687052381,68,90.47619048
Mathematics,Tianjin Normal University,1,2016,24,0.769866667,67,75
Mathematics,Tianjin Normal University,1,2017,24,0.8085,51,70.83333333
Mathematics,Tianjin Normal University,1,2018,32,0.890825,45,65.625
Mathematics,Tianjin Normal University,1,2019,33,0.596484848,10,27.27272727
,,,,,,,
Physics,Tianjin Normal University,1,2000,2,0.14295,8,100
Physics,Tianjin Normal University,1,2001,3,0.674866667,51,66.66666667
Physics,Tianjin Normal University,1,2002,5,0.45532,62,100
Physics,Tianjin Normal University,1,2003,4,0.83155,79,100
Physics,Tianjin Normal University,1,2004,3,1.4016,110,100
Physics,Tianjin Normal University,1,2005,6,0.2488,38,100
Physics,Tianjin Normal University,1,2006,8,0.0761125,15,62.5
Physics,Tianjin Normal University,1,2007,9,0.488655556,101,88.88888889
Physics,Tianjin Normal University,1,2008,8,0.510175,94,100
Physics,Tianjin Normal University,1,2009,8,0.3764875,65,62.5
Physics,Tianjin Normal University,1,2010,8,0.3175875,53,87.5
Physics,Tianjin Normal University,1,2011,10,0.80005,151,90
Physics,Tianjin Normal University,1,2012,14,0.556657143,95,92.85714286
Physics,Tianjin Normal University,1,2013,23,0.622656522,227,86.95652174
Physics,Tianjin Normal University,1,2014,32,1.044603125,469,90.625
Physics,Tianjin Normal University,1,2015,29,0.522834483,183,86.20689655
Physics,Tianjin Normal University,1,2016,25,0.617832,147,88
Physics,Tianjin Normal University,1,2017,26,0.680723077,118,80.76923077
Physics,Tianjin Normal University,1,2018,27,1.020974074,108,77.77777778
Physics,Tianjin Normal University,1,2019,33,1.080660606,37,42.42424242
,,,,,,,
Chemistry,Tianjin Normal University,1,2000,14,0.081535714,33,71.42857143
Chemistry,Tianjin Normal University,1,2001,20,0.160095,93,90
Chemistry,Tianjin Normal University,1,2002,16,0.15139375,73,75
Chemistry,Tianjin Normal University,1,2003,28,0.256371429,218,100
Chemistry,Tianjin Normal University,1,2004,74,0.285839189,642,86.48648649
Chemistry,Tianjin Normal University,1,2005,58,0.727505172,1283,79.31034483
Chemistry,Tianjin Normal University,1,2006,60,0.65838,1226,88.33333333
Chemistry,Tianjin Normal University,1,2007,67,0.761297015,1481,88.05970149
Chemistry,Tianjin Normal University,1,2008,52,0.734505769,1049,94.23076923
Chemistry,Tianjin Normal University,1,2009,78,0.652708974,1476,89.74358974
Chemistry,Tianjin Normal University,1,2010,95,1.003566316,2405,86.31578947
Chemistry,Tianjin Normal University,1,2011,102,0.913918627,2260,85.29411765
Chemistry,Tianjin Normal University,1,2012,94,0.684458511,1440,93.61702128
Chemistry,Tianjin Normal University,1,2013,87,0.806016092,1801,89.65517241
Chemistry,Tianjin Normal University,1,2014,89,0.708495506,1136,84.26966292
Chemistry,Tianjin Normal University,1,2015,109,0.887948624,1495,88.99082569
Chemistry,Tianjin Normal University,1,2016,104,1.021688462,1299,89.42307692
Chemistry,Tianjin Normal University,1,2017,99,1.059260606,948,91.91919192
Chemistry,Tianjin Normal University,1,2018,131,1.384554198,981,87.78625954
Chemistry,Tianjin Normal University,1,2019,147,1.56609932,334,50.34013605
,,,,,,,
Engineering,Tianjin Normal University,1,2000,2,0.34745,14,100
Engineering,Tianjin Normal University,1,2001,1,0.2386,5,100
Engineering,Tianjin Normal University,1,2002,2,0.47175,21,100
Engineering,,,,,,,
Engineering,Tianjin Normal University,1,2004,1,0.1667,4,100
Engineering,Tianjin Normal University,1,2005,4,0.499025,44,75
Engineering,Tianjin Normal University,1,2006,3,0.465033333,31,100
Engineering,Tianjin Normal University,1,2007,1,0.045,1,100
Engineering,Tianjin Normal University,1,2008,1,0.9178,19,100
Engineering,Tianjin Normal University,1,2009,5,0.96948,100,100
Engineering,Tianjin Normal University,1,2010,7,0.688528571,96,100
Engineering,Tianjin Normal University,1,2011,2,1.7372,64,100
Engineering,Tianjin Normal University,1,2012,5,1.12902,94,80
Engineering,Tianjin Normal University,1,2013,7,2.063514286,223,100
Engineering,Tianjin Normal University,1,2014,18,1.345266667,332,94.44444444
Engineering,Tianjin Normal University,1,2015,12,1.7029,241,100
Engineering,Tianjin Normal University,1,2016,29,0.950448276,259,82.75862069
Engineering,Tianjin Normal University,1,2017,24,0.8302875,131,91.66666667
Engineering,Tianjin Normal University,1,2018,41,0.47792439,79,70.73170732
Engineering,Tianjin Normal University,1,2019,72,1.005305556,78,37.5
,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Tianjin Normal University,1,2004,1,0.3578,6,100
Computer Science,Tianjin Normal University,1,2005,2,2.0715,66,100
Computer Science,Tianjin Normal University,1,2006,1,1.1495,20,100
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Tianjin Normal University,1,2009,1,0,0,0
Computer Science,Tianjin Normal University,1,2010,1,0.3554,7,100
Computer Science,Tianjin Normal University,1,2011,4,0.53875,43,100
Computer Science,Tianjin Normal University,1,2012,4,0.914225,60,75
Computer Science,Tianjin Normal University,1,2013,18,0.634688889,182,77.77777778
Computer Science,Tianjin Normal University,1,2014,19,0.407463158,111,78.94736842
Computer Science,Tianjin Normal University,1,2015,35,0.679708571,269,74.28571429
Computer Science,Tianjin Normal University,1,2016,27,0.859948148,217,70.37037037
Computer Science,Tianjin Normal University,1,2017,64,0.566310938,260,75
Computer Science,Tianjin Normal University,1,2018,27,0.636414815,60,74.07407407
Computer Science,Tianjin Normal University,1,2019,29,0.729693103,22,41.37931034
,,,,,,,
Materials Science,Tianjin Normal University,1,2000,3,4.189566667,294,100
Materials Science,Tianjin Normal University,1,2001,2,0.40535,20,100
Materials Science,Tianjin Normal University,1,2002,1,0.7866,20,100
Materials Science,Tianjin Normal University,1,2003,5,0.24314,34,100
Materials Science,Tianjin Normal University,1,2004,3,0.136366667,11,66.66666667
Materials Science,Tianjin Normal University,1,2005,7,1.0518,199,100
Materials Science,Tianjin Normal University,1,2006,18,0.217461111,106,88.88888889
Materials Science,Tianjin Normal University,1,2007,11,0.573290909,183,90.90909091
Materials Science,Tianjin Normal University,1,2008,3,0.260566667,22,100
Materials Science,Tianjin Normal University,1,2009,3,0.567966667,47,100
Materials Science,Tianjin Normal University,1,2010,8,0.6665125,154,100
Materials Science,Tianjin Normal University,1,2011,8,0.5117375,109,75
Materials Science,Tianjin Normal University,1,2012,18,0.488566667,215,88.88888889
Materials Science,Tianjin Normal University,1,2013,32,0.716434375,399,100
Materials Science,Tianjin Normal University,1,2014,32,0.64605,438,96.875
Materials Science,Tianjin Normal University,1,2015,29,0.843841379,600,96.55172414
Materials Science,Tianjin Normal University,1,2016,32,2.0327375,1177,100
Materials Science,Tianjin Normal University,1,2017,51,1.567164706,907,96.07843137
Materials Science,Tianjin Normal University,1,2018,36,2.227986111,590,91.66666667
Materials Science,Tianjin Normal University,1,2019,51,1.23364902,113,54.90196078
,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,Tianjin Normal University,1,2007,1,0.3793,11,100
Economics & Business,Tianjin Normal University,1,2008,1,0.0787,2,100
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,Tianjin Normal University,1,2015,1,0.2147,2,100
Economics & Business,Tianjin Normal University,1,2016,3,0.587066667,12,66.66666667
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,Tianjin Normal University,1,2019,3,0.4893,1,33.33333333
,,,,,,,
