学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Shandong Normal University,1,2000,77,0.770819481,1407,87.01298701
ALL,Shandong Normal University,1,2001,79,0.630488608,1420,81.01265823
ALL,Shandong Normal University,1,2002,107,1.32568785,3995,93.45794393
ALL,Shandong Normal University,1,2003,135,0.907067407,2848,93.33333333
ALL,Shandong Normal University,1,2004,230,0.679943043,4126,83.04347826
ALL,Shandong Normal University,1,2005,216,0.545675926,3365,87.5
ALL,Shandong Normal University,1,2006,219,0.625431963,3797,84.47488584
ALL,Shandong Normal University,1,2007,254,0.738600394,4959,88.97637795
ALL,Shandong Normal University,1,2008,263,0.441192395,2815,83.65019011
ALL,Shandong Normal University,1,2009,287,0.735916028,4981,89.89547038
ALL,Shandong Normal University,1,2010,262,0.639200382,3503,91.60305344
ALL,Shandong Normal University,1,2011,299,0.671831773,4172,90.63545151
ALL,Shandong Normal University,1,2012,315,0.693229524,4207,87.3015873
ALL,Shandong Normal University,1,2013,333,0.944411712,5393,90.09009009
ALL,Shandong Normal University,1,2014,352,0.93453892,5054,88.35227273
ALL,Shandong Normal University,1,2015,433,1.146777367,7166,89.14549654
ALL,Shandong Normal University,1,2016,533,1.374722889,7297,90.24390244
ALL,Shandong Normal University,1,2017,781,1.532510627,8742,87.83610755
ALL,Shandong Normal University,1,2018,1322,1.8718382,10747,82.98033283
ALL,Shandong Normal University,1,2019,1518,1.805717325,3025,48.41897233
,,,,,,,
Mathematics,Shandong Normal University,1,2000,9,1.306055556,181,77.77777778
Mathematics,Shandong Normal University,1,2001,6,0.627766667,57,83.33333333
Mathematics,Shandong Normal University,1,2002,9,0.861444444,113,100
Mathematics,Shandong Normal University,1,2003,12,1.000825,170,100
Mathematics,Shandong Normal University,1,2004,14,0.796821429,163,78.57142857
Mathematics,Shandong Normal University,1,2005,9,0.840522222,105,88.88888889
Mathematics,Shandong Normal University,1,2006,17,0.404317647,93,64.70588235
Mathematics,Shandong Normal University,1,2007,20,0.42871,107,75
Mathematics,Shandong Normal University,1,2008,20,0.479245,113,70
Mathematics,Shandong Normal University,1,2009,30,0.708886667,230,76.66666667
Mathematics,Shandong Normal University,1,2010,25,1.139032,289,88
Mathematics,Shandong Normal University,1,2011,27,0.809822222,192,88.88888889
Mathematics,Shandong Normal University,1,2012,20,0.641535,96,60
Mathematics,Shandong Normal University,1,2013,36,0.467719444,108,72.22222222
Mathematics,Shandong Normal University,1,2014,39,0.425053846,91,53.84615385
Mathematics,Shandong Normal University,1,2015,28,0.818396429,108,57.14285714
Mathematics,Shandong Normal University,1,2016,51,1.244368627,226,76.47058824
Mathematics,Shandong Normal University,1,2017,72,1.257668056,238,69.44444444
Mathematics,Shandong Normal University,1,2018,86,1.447288372,203,60.46511628
Mathematics,Shandong Normal University,1,2019,82,1.847432927,77,32.92682927
,,,,,,,
Physics,Shandong Normal University,1,2000,18,0.526194444,265,94.44444444
Physics,Shandong Normal University,1,2001,11,0.463781818,137,81.81818182
Physics,Shandong Normal University,1,2002,25,2.438144,1660,96
Physics,Shandong Normal University,1,2003,26,0.416719231,272,92.30769231
Physics,Shandong Normal University,1,2004,39,0.595935897,608,94.87179487
Physics,Shandong Normal University,1,2005,38,0.536544737,519,94.73684211
Physics,Shandong Normal University,1,2006,41,0.681158537,688,92.68292683
Physics,Shandong Normal University,1,2007,59,1.029559322,1395,93.22033898
Physics,Shandong Normal University,1,2008,70,0.314475714,507,84.28571429
Physics,Shandong Normal University,1,2009,63,0.6149,836,96.82539683
Physics,Shandong Normal University,1,2010,66,0.378404545,521,93.93939394
Physics,Shandong Normal University,1,2011,63,0.402850794,479,90.47619048
Physics,Shandong Normal University,1,2012,62,0.457366129,509,88.70967742
Physics,Shandong Normal University,1,2013,58,0.67005,616,89.65517241
Physics,Shandong Normal University,1,2014,72,0.644429167,651,93.05555556
Physics,Shandong Normal University,1,2015,76,0.668284211,613,86.84210526
Physics,Shandong Normal University,1,2016,68,0.981208824,635,91.17647059
Physics,Shandong Normal University,1,2017,86,1.054119767,614,88.37209302
Physics,Shandong Normal University,1,2018,142,2.035933099,1151,87.32394366
Physics,Shandong Normal University,1,2019,192,1.618386979,323,45.3125
,,,,,,,
Chemistry,Shandong Normal University,1,2000,35,0.535042857,481,82.85714286
Chemistry,Shandong Normal University,1,2001,36,0.643163889,675,83.33333333
Chemistry,Shandong Normal University,1,2002,48,0.8229625,1191,91.66666667
Chemistry,Shandong Normal University,1,2003,67,0.89348209,1818,95.52238806
Chemistry,Shandong Normal University,1,2004,97,0.522079381,1537,94.84536082
Chemistry,Shandong Normal University,1,2005,106,0.53029717,1746,89.62264151
Chemistry,Shandong Normal University,1,2006,95,0.517944211,1553,88.42105263
Chemistry,Shandong Normal University,1,2007,107,0.66455514,2066,89.71962617
Chemistry,Shandong Normal University,1,2008,83,0.510521687,1162,91.56626506
Chemistry,Shandong Normal University,1,2009,108,0.767313889,2186,87.96296296
Chemistry,Shandong Normal University,1,2010,87,0.543622989,1216,87.35632184
Chemistry,Shandong Normal University,1,2011,104,0.809422115,2025,92.30769231
Chemistry,Shandong Normal University,1,2012,90,0.854877778,1722,94.44444444
Chemistry,Shandong Normal University,1,2013,94,1.227941489,2318,91.4893617
Chemistry,Shandong Normal University,1,2014,99,1.143853535,2260,92.92929293
Chemistry,Shandong Normal University,1,2015,124,1.194417742,2955,92.74193548
Chemistry,Shandong Normal University,1,2016,167,1.607776048,3403,94.61077844
Chemistry,Shandong Normal University,1,2017,227,1.46782467,3044,95.59471366
Chemistry,Shandong Normal University,1,2018,355,2.078315775,3910,90.98591549
Chemistry,Shandong Normal University,1,2019,360,1.972844444,991,58.88888889
,,,,,,,
Engineering,Shandong Normal University,1,2000,1,0.3475,7,100
Engineering,Shandong Normal University,1,2001,2,0.0477,2,100
Engineering,,,,,,,
