学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Guangxi Normal University,1,2000,29,0.324917241,270,93.10344828
ALL,Guangxi Normal University,1,2001,36,0.463275,496,94.44444444
ALL,Guangxi Normal University,1,2002,51,0.473092157,602,86.2745098
ALL,Guangxi Normal University,1,2003,72,0.637170833,1127,93.05555556
ALL,Guangxi Normal University,1,2004,136,0.542730147,2011,89.70588235
ALL,Guangxi Normal University,1,2005,130,0.652939231,2299,96.15384615
ALL,Guangxi Normal University,1,2006,189,0.575859788,3003,89.94708995
ALL,Guangxi Normal University,1,2007,196,0.594607143,2967,92.85714286
ALL,Guangxi Normal University,1,2008,223,0.566974888,3054,86.09865471
ALL,Guangxi Normal University,1,2009,263,0.626529658,3836,89.7338403
ALL,Guangxi Normal University,1,2010,238,0.974385294,4954,91.59663866
ALL,Guangxi Normal University,1,2011,257,0.717489883,3989,89.88326848
ALL,Guangxi Normal University,1,2012,255,0.790943529,3953,89.41176471
ALL,Guangxi Normal University,1,2013,271,0.955267528,4553,91.88191882
ALL,Guangxi Normal University,1,2014,293,1.087817065,4325,87.03071672
ALL,Guangxi Normal University,1,2015,342,1.034444152,4998,89.76608187
ALL,Guangxi Normal University,1,2016,329,1.162837994,4075,89.36170213
ALL,Guangxi Normal University,1,2017,390,1.098074359,3214,87.17948718
ALL,Guangxi Normal University,1,2018,451,1.205385809,2323,80.70953437
ALL,Guangxi Normal University,1,2019,664,1.235762048,1036,46.68674699
,,,,,,,
Mathematics,Guangxi Normal University,1,2000,2,0.06495,2,50
Mathematics,Guangxi Normal University,1,2001,1,0.7269,11,100
Mathematics,Guangxi Normal University,1,2002,5,1.4683,107,80
Mathematics,Guangxi Normal University,1,2003,13,0.874946154,161,84.61538462
Mathematics,Guangxi Normal University,1,2004,14,0.219978571,45,78.57142857
Mathematics,Guangxi Normal University,1,2005,7,0.216128571,21,100
Mathematics,Guangxi Normal University,1,2006,5,0.66516,45,80
Mathematics,Guangxi Normal University,1,2007,12,0.852333333,135,100
Mathematics,Guangxi Normal University,1,2008,29,0.491386207,168,72.4137931
Mathematics,Guangxi Normal University,1,2009,31,0.698245161,223,87.09677419
Mathematics,Guangxi Normal University,1,2010,21,0.9446,210,85.71428571
Mathematics,Guangxi Normal University,1,2011,18,0.487155556,77,77.77777778
Mathematics,Guangxi Normal University,1,2012,14,0.677807143,71,71.42857143
Mathematics,Guangxi Normal University,1,2013,20,0.592445,76,75
Mathematics,Guangxi Normal University,1,2014,15,0.085013333,7,33.33333333
Mathematics,Guangxi Normal University,1,2015,19,0.245689474,22,52.63157895
Mathematics,Guangxi Normal University,1,2016,13,0.636407692,30,69.23076923
Mathematics,Guangxi Normal University,1,2017,26,0.687773077,47,53.84615385
Mathematics,Guangxi Normal University,1,2018,7,0.723957143,8,42.85714286
Mathematics,Guangxi Normal University,1,2019,34,0.347364706,6,14.70588235
,,,,,,,
Physics,Guangxi Normal University,1,2000,7,0.336985714,66,100
Physics,Guangxi Normal University,1,2001,11,0.538245455,159,90.90909091
Physics,Guangxi Normal University,1,2002,16,0.3442375,150,75
Physics,Guangxi Normal University,1,2003,16,0.79361875,326,93.75
Physics,Guangxi Normal University,1,2004,54,0.793540741,1121,92.59259259
Physics,Guangxi Normal University,1,2005,42,0.885754762,947,97.61904762
Physics,Guangxi Normal University,1,2006,47,0.849855319,984,95.74468085
Physics,Guangxi Normal University,1,2007,47,0.612617021,655,97.87234043
Physics,Guangxi Normal University,1,2008,54,0.651290741,810,85.18518519
Physics,Guangxi Normal University,1,2009,50,0.358656,387,90
Physics,Guangxi Normal University,1,2010,48,0.858845833,860,91.66666667
Physics,Guangxi Normal University,1,2011,50,0.864702,816,90
Physics,Guangxi Normal University,1,2012,62,0.797040323,887,87.09677419
Physics,Guangxi Normal University,1,2013,66,1.331548485,1393,93.93939394
Physics,Guangxi Normal University,1,2014,60,1.526443333,1285,91.66666667
Physics,Guangxi Normal University,1,2015,85,1.146423529,1181,89.41176471
Physics,Guangxi Normal University,1,2016,56,1.598233929,884,92.85714286
Physics,Guangxi Normal University,1,2017,82,1.323414634,735,89.02439024
Physics,Guangxi Normal University,1,2018,95,1.121932632,421,84.21052632
Physics,Guangxi Normal University,1,2019,123,1.20674878,154,52.03252033
,,,,,,,
Chemistry,Guangxi Normal University,1,2000,17,0.364170588,179,100
Chemistry,Guangxi Normal University,1,2001,20,0.37531,231,95
Chemistry,Guangxi Normal University,1,2002,26,0.3956,310,96.15384615
Chemistry,Guangxi Normal University,1,2003,34,0.347682353,359,94.11764706
Chemistry,Guangxi Normal University,1,2004,49,0.459928571,684,97.95918367
Chemistry,Guangxi Normal University,1,2005,66,0.595480303,1195,95.45454545
Chemistry,Guangxi Normal University,1,2006,107,0.427829907,1346,88.78504673
Chemistry,Guangxi Normal University,1,2007,97,0.536829897,1479,88.65979381
Chemistry,Guangxi Normal University,1,2008,91,0.534951648,1337,90.10989011
Chemistry,Guangxi Normal University,1,2009,134,0.632271642,2259,87.31343284
Chemistry,Guangxi Normal University,1,2010,96,0.814723958,1973,88.54166667
Chemistry,Guangxi Normal University,1,2011,127,0.691016535,2121,89.76377953
Chemistry,Guangxi Normal University,1,2012,104,0.838375962,1953,91.34615385
Chemistry,Guangxi Normal University,1,2013,115,0.880114783,2018,92.17391304
Chemistry,Guangxi Normal University,1,2014,119,0.849656303,1903,89.91596639
Chemistry,Guangxi Normal University,1,2015,136,1.168785294,2539,94.11764706
Chemistry,Guangxi Normal University,1,2016,132,1.01374697,1667,95.45454545
Chemistry,Guangxi Normal University,1,2017,136,0.986416176,1221,91.91176471
Chemistry,Guangxi Normal University,1,2018,148,1.251405405,931,88.51351351
Chemistry,Guangxi Normal University,1,2019,228,1.551908333,535,56.57894737
,,,,,,,
Engineering,,,,,,,
Engineering,Guangxi Normal University,1,2001,1,0.4295,9,100
Engineering,Guangxi Normal University,1,2002,2,0.2022,9,100
Engineering,Guangxi Normal University,1,2003,3,1.784633333,115,100
Engineering,Guangxi Normal University,1,2004,4,0.260425,25,75
Engineering,Guangxi Normal University,1,2005,6,0.499016667,66,100
Engineering,Guangxi Normal University,1,2006,8,0.230625,41,100
Engineering,Guangxi Normal University,1,2007,6,0.224883333,30,100
Engineering,Guangxi Normal University,1,2008,7,0.262214286,38,100
Engineering,Guangxi Normal University,1,2009,12,1.09065,270,91.66666667
Engineering,Guangxi Normal University,1,2010,16,2.0773125,662,93.75
Engineering,Guangxi Normal University,1,2011,16,0.82111875,242,93.75
Engineering,Guangxi Normal University,1,2012,10,0.29428,49,90
Engineering,Guangxi Normal University,1,2013,7,3.442257143,372,85.71428571
Engineering,Guangxi Normal University,1,2014,19,1.850273684,482,100
Engineering,Guangxi Normal University,1,2015,10,1.44993,171,90
Engineering,Guangxi Normal University,1,2016,14,1.360678571,179,92.85714286
Engineering,Guangxi Normal University,1,2017,15,1.16394,123,86.66666667
Engineering,Guangxi Normal University,1,2018,41,1.78764878,265,75.6097561
Engineering,Guangxi Normal University,1,2019,47,2.290304255,116,44.68085106
,,,,,,,
Computer Science,,,,,,,
Computer Science,Guangxi Normal University,1,2001,1,0.4181,9,100
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Guangxi Normal University,1,2004,3,0.198766667,10,66.66666667
Computer Science,Guangxi Normal University,1,2005,5,0.61516,49,100
Computer Science,Guangxi Normal University,1,2006,6,0.3161,33,66.66666667
Computer Science,Guangxi Normal University,1,2007,4,0.6951,47,100
Computer Science,Guangxi Normal University,1,2008,10,0.69955,158,70
Computer Science,Guangxi Normal University,1,2009,5,0.83852,88,100
Computer Science,Guangxi Normal University,1,2010,8,0.6853375,108,100
Computer Science,Guangxi Normal University,1,2011,3,1.0358,62,100
Computer Science,Guangxi Normal University,1,2012,10,1.17021,192,90
Computer Science,Guangxi Normal University,1,2013,6,0.58585,56,100
Computer Science,Guangxi Normal University,1,2014,5,0.50218,36,100
Computer Science,Guangxi Normal University,1,2015,7,0.901571429,74,100
Computer Science,Guangxi Normal University,1,2016,19,2.270126316,393,94.73684211
Computer Science,Guangxi Normal University,1,2017,40,1.8950775,537,85
Computer Science,Guangxi Normal University,1,2018,41,1.964553659,299,68.29268293
Computer Science,Guangxi Normal University,1,2019,46,0.627308696,30,32.60869565
,,,,,,,
Materials Science,Guangxi Normal University,1,2000,1,0,0,0
Materials Science,,,,,,,
Materials Science,,,,,,,
Materials Science,Guangxi Normal University,1,2003,2,0.0894,5,100
Materials Science,Guangxi Normal University,1,2004,4,0.11155,12,75
Materials Science,Guangxi Normal University,1,2005,2,0.074,4,50
Materials Science,Guangxi Normal University,1,2006,2,0.12925,7,100
Materials Science,Guangxi Normal University,1,2007,5,0.11026,16,80
Materials Science,Guangxi Normal University,1,2008,6,0.165816667,28,83.33333333
Materials Science,Guangxi Normal University,1,2009,8,0.861025,190,100
Materials Science,Guangxi Normal University,1,2010,14,1.661942857,672,92.85714286
Materials Science,Guangxi Normal University,1,2011,7,0.965785714,180,100
Materials Science,Guangxi Normal University,1,2012,5,1.08214,135,100
Materials Science,Guangxi Normal University,1,2013,18,0.550544444,251,94.44444444
Materials Science,Guangxi Normal University,1,2014,13,0.537353846,148,84.61538462
Materials Science,Guangxi Normal University,1,2015,27,0.904618519,445,100
Materials Science,Guangxi Normal University,1,2016,15,1.823026667,395,93.33333333
Materials Science,Guangxi Normal University,1,2017,19,1.053078947,215,100
Materials Science,Guangxi Normal University,1,2018,28,0.743839286,130,82.14285714
Materials Science,Guangxi Normal University,1,2019,41,1.315278049,82,58.53658537
,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,Guangxi Normal University,1,2009,1,0.0863,2,100
Economics & Business,Guangxi Normal University,1,2010,2,0.4269,19,100
Economics & Business,,,,,,,
Economics & Business,Guangxi Normal University,1,2012,1,0.2466,4,100
Economics & Business,,,,,,,
Economics & Business,Guangxi Normal University,1,2014,2,0.3402,8,50
Economics & Business,Guangxi Normal University,1,2015,1,0.3221,3,100
Economics & Business,,,,,,,
Economics & Business,Guangxi Normal University,1,2017,1,0.8906,4,100
Economics & Business,,,,,,,
Economics & Business,Guangxi Normal University,1,2019,3,0,0,0
,,,,,,,
Psychiatry/Psychology,,,,,,,
