学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Hangzhou Normal University,1,2000,18,1.028211111,520,83.33333333
ALL,Hangzhou Normal University,1,2001,18,0.492738889,246,94.44444444
ALL,Hangzhou Normal University,1,2002,24,0.330895833,216,100
ALL,Hangzhou Normal University,1,2003,39,0.485487179,557,92.30769231
ALL,Hangzhou Normal University,1,2004,58,0.311572414,459,70.68965517
ALL,Hangzhou Normal University,1,2005,69,0.471362319,906,86.95652174
ALL,Hangzhou Normal University,1,2006,87,0.519411494,1338,93.10344828
ALL,Hangzhou Normal University,1,2007,102,0.617017647,1650,90.19607843
ALL,Hangzhou Normal University,1,2008,144,0.905617361,2486,88.88888889
ALL,Hangzhou Normal University,1,2009,210,0.616958571,3394,84.76190476
ALL,Hangzhou Normal University,1,2010,296,0.825951014,5145,86.82432432
ALL,Hangzhou Normal University,1,2011,388,1.113689948,10004,92.5257732
ALL,Hangzhou Normal University,1,2012,550,0.977698545,10866,91.27272727
ALL,Hangzhou Normal University,1,2013,648,1.270559259,14800,90.43209877
ALL,Hangzhou Normal University,1,2014,703,1.130913087,12834,91.18065434
ALL,Hangzhou Normal University,1,2015,743,1.050681427,10875,91.11709287
ALL,Hangzhou Normal University,1,2016,675,1.235025333,10539,87.7037037
ALL,Hangzhou Normal University,1,2017,730,1.193322055,5696,84.10958904
ALL,Hangzhou Normal University,1,2018,765,1.11146915,3306,77.25490196
ALL,Hangzhou Normal University,1,2019,944,1.129651059,1138,40.88983051
,,,,,,,
Mathematics,Hangzhou Normal University,1,2000,1,0.0649,1,100
Mathematics,Hangzhou Normal University,1,2001,5,0.3304,25,100
Mathematics,Hangzhou Normal University,1,2002,3,0.2058,9,100
Mathematics,Hangzhou Normal University,1,2003,2,0.35325,10,100
Mathematics,Hangzhou Normal University,1,2004,8,0.1454375,17,25
Mathematics,Hangzhou Normal University,1,2005,7,0.298471429,29,85.71428571
Mathematics,Hangzhou Normal University,1,2006,8,0.61895,67,100
Mathematics,Hangzhou Normal University,1,2007,9,0.810244444,91,77.77777778
Mathematics,Hangzhou Normal University,1,2008,12,0.977116667,39,100
Mathematics,Hangzhou Normal University,1,2009,37,0.227413514,91,64.86486486
