学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Jiangxi Normal University,1,2000,23,0.367030435,233,95.65217391
ALL,Jiangxi Normal University,1,2001,18,0.344544444,157,83.33333333
ALL,Jiangxi Normal University,1,2002,41,0.394690244,329,80.48780488
ALL,Jiangxi Normal University,1,2003,46,0.381223913,515,86.95652174
ALL,Jiangxi Normal University,1,2004,100,0.619103,1413,63
ALL,Jiangxi Normal University,1,2005,75,0.550457333,1115,86.66666667
ALL,Jiangxi Normal University,1,2006,82,0.641195122,1403,90.24390244
ALL,Jiangxi Normal University,1,2007,110,0.609794545,1707,87.27272727
ALL,Jiangxi Normal University,1,2008,175,0.6316,2773,81.71428571
ALL,Jiangxi Normal University,1,2009,196,0.775765306,3590,88.26530612
ALL,Jiangxi Normal University,1,2010,238,0.690577731,3747,86.97478992
ALL,Jiangxi Normal University,1,2011,250,0.7416588,3821,90
ALL,Jiangxi Normal University,1,2012,319,0.863223197,5255,84.63949843
ALL,Jiangxi Normal University,1,2013,324,0.892837346,5452,85.18518519
ALL,Jiangxi Normal University,1,2014,439,1.156842141,8786,90.66059226
ALL,Jiangxi Normal University,1,2015,517,1.225831915,8321,88.00773694
ALL,Jiangxi Normal University,1,2016,586,1.011001536,6458,88.05460751
ALL,Jiangxi Normal University,1,2017,537,1.091340596,5023,87.15083799
ALL,Jiangxi Normal University,1,2018,586,1.220123549,3234,77.47440273
ALL,Jiangxi Normal University,1,2019,759,1.428420817,1355,45.05928854
,,,,,,,
Mathematics,Jiangxi Normal University,1,2000,2,0.3572,11,100
Mathematics,Jiangxi Normal University,1,2001,3,0.462566667,21,66.66666667
Mathematics,Jiangxi Normal University,1,2002,9,0.937677778,123,88.88888889
Mathematics,Jiangxi Normal University,1,2003,5,0.3815,27,80
Mathematics,Jiangxi Normal University,1,2004,6,0.26235,23,66.66666667
Mathematics,Jiangxi Normal University,1,2005,12,0.24615,41,83.33333333
Mathematics,Jiangxi Normal University,1,2006,7,0.5216,47,100
Mathematics,Jiangxi Normal University,1,2007,15,0.47546,89,86.66666667
Mathematics,Jiangxi Normal University,1,2008,28,0.375639286,124,71.42857143
Mathematics,Jiangxi Normal University,1,2009,34,0.5303,195,82.35294118
Mathematics,Jiangxi Normal University,1,2010,39,0.624038462,247,79.48717949
Mathematics,Jiangxi Normal University,1,2011,40,0.7601475,267,82.5
Mathematics,Jiangxi Normal University,1,2012,51,1.006329412,384,84.31372549
Mathematics,Jiangxi Normal University,1,2013,64,0.570040625,234,62.5
Mathematics,Jiangxi Normal University,1,2014,48,0.637570833,168,68.75
Mathematics,Jiangxi Normal University,1,2015,53,0.628532075,157,64.1509434
Mathematics,Jiangxi Normal University,1,2016,65,0.721252308,170,73.84615385
Mathematics,Jiangxi Normal University,1,2017,52,0.614603846,84,53.84615385
Mathematics,Jiangxi Normal University,1,2018,52,0.511653846,42,50
Mathematics,Jiangxi Normal University,1,2019,53,2.079815094,56,24.52830189
,,,,,,,
Physics,Jiangxi Normal University,1,2000,7,0.3421,67,100
Physics,Jiangxi Normal University,1,2001,8,0.218775,47,75
Physics,Jiangxi Normal University,1,2002,9,0.367177778,90,100
Physics,Jiangxi Normal University,1,2003,9,0.177455556,41,66.66666667
Physics,Jiangxi Normal University,1,2004,21,0.759071429,417,90.47619048
Physics,Jiangxi Normal University,1,2005,23,0.33306087,195,86.95652174
Physics,Jiangxi Normal University,1,2006,21,0.529652381,274,95.23809524
Physics,Jiangxi Normal University,1,2007,25,0.209,120,80
Physics,Jiangxi Normal University,1,2008,50,0.435928,502,84
Physics,Jiangxi Normal University,1,2009,64,0.64630625,888,87.5
Physics,Jiangxi Normal University,1,2010,78,0.650125641,1042,83.33333333
Physics,Jiangxi Normal University,1,2011,70,0.591907143,782,87.14285714
Physics,Jiangxi Normal University,1,2012,65,0.83818,987,96.92307692
Physics,Jiangxi Normal University,1,2013,85,0.521585882,715,85.88235294
Physics,Jiangxi Normal University,1,2014,77,0.533168831,576,83.11688312
Physics,Jiangxi Normal University,1,2015,78,0.376034615,354,73.07692308
Physics,Jiangxi Normal University,1,2016,76,0.768535526,664,82.89473684
Physics,Jiangxi Normal University,1,2017,52,0.61045,215,90.38461538
Physics,Jiangxi Normal University,1,2018,57,0.770215789,172,61.40350877
Physics,Jiangxi Normal University,1,2019,91,0.910869231,86,36.26373626
,,,,,,,
Chemistry,Jiangxi Normal University,1,2000,12,0.429008333,147,100
Chemistry,Jiangxi Normal University,1,2001,7,0.4377,89,100
Chemistry,Jiangxi Normal University,1,2002,18,0.191666667,94,72.22222222
Chemistry,Jiangxi Normal University,1,2003,29,0.434882759,383,93.10344828
Chemistry,Jiangxi Normal University,1,2004,36,0.618711111,676,80.55555556
Chemistry,Jiangxi Normal University,1,2005,26,0.42755,338,84.61538462
Chemistry,Jiangxi Normal University,1,2006,32,0.444990625,418,90.625
Chemistry,Jiangxi Normal University,1,2007,54,0.612859259,914,88.88888889
Chemistry,Jiangxi Normal University,1,2008,61,0.963985246,1615,90.16393443
Chemistry,Jiangxi Normal University,1,2009,73,0.961052055,1893,89.04109589
Chemistry,Jiangxi Normal University,1,2010,78,0.868828205,1931,92.30769231
Chemistry,Jiangxi Normal University,1,2011,89,0.848361798,1834,94.38202247
Chemistry,Jiangxi Normal University,1,2012,98,0.88055102,2146,96.93877551
Chemistry,Jiangxi Normal University,1,2013,102,1.132740196,2729,92.15686275
Chemistry,Jiangxi Normal University,1,2014,192,1.530584896,5647,96.35416667
Chemistry,Jiangxi Normal University,1,2015,216,1.830106944,5218,95.37037037
Chemistry,Jiangxi Normal University,1,2016,233,1.203946781,3487,94.84978541
Chemistry,Jiangxi Normal University,1,2017,208,1.293499519,2737,90.86538462
Chemistry,Jiangxi Normal University,1,2018,201,1.557553234,1655,87.06467662
