学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Hainan Normal University,1,2000,4,0.279525,34,75
ALL,Hainan Normal University,1,2001,11,0.256309091,105,72.72727273
ALL,Hainan Normal University,1,2002,5,0.25488,36,100
ALL,Hainan Normal University,1,2003,9,0.373322222,102,100
ALL,Hainan Normal University,1,2004,11,0.228990909,71,90.90909091
ALL,Hainan Normal University,1,2005,21,0.515166667,330,95.23809524
ALL,Hainan Normal University,1,2006,43,0.610860465,732,79.06976744
ALL,Hainan Normal University,1,2007,39,0.648012821,508,74.35897436
ALL,Hainan Normal University,1,2008,49,0.82902449,949,91.83673469
ALL,Hainan Normal University,1,2009,35,0.624271429,463,91.42857143
ALL,Hainan Normal University,1,2010,35,0.45198,379,85.71428571
ALL,Hainan Normal University,1,2011,57,0.566929825,726,82.45614035
ALL,Hainan Normal University,1,2012,61,0.725404918,874,91.80327869
ALL,Hainan Normal University,1,2013,116,1.026707759,2126,93.10344828
ALL,Hainan Normal University,1,2014,120,0.802029167,1482,92.5
ALL,Hainan Normal University,1,2015,118,0.849447458,1150,88.98305085
ALL,Hainan Normal University,1,2016,140,0.767817857,1054,88.57142857
ALL,Hainan Normal University,1,2017,155,0.760674194,852,78.70967742
ALL,Hainan Normal University,1,2018,223,0.818817489,744,74.88789238
ALL,Hainan Normal University,1,2019,300,0.747158,228,33.33333333
,,,,,,,
Mathematics,,,,,,,
Mathematics,,,,,,,
Mathematics,Hainan Normal University,1,2002,1,0.0686,1,100
Mathematics,,,,,,,
Mathematics,Hainan Normal University,1,2004,1,0.8897,13,100
Mathematics,Hainan Normal University,1,2005,1,0.072,1,100
Mathematics,Hainan Normal University,1,2006,7,0.263942857,25,57.14285714
Mathematics,Hainan Normal University,1,2007,10,0.51286,64,90
Mathematics,Hainan Normal University,1,2008,8,0.4347125,41,75
Mathematics,Hainan Normal University,1,2009,4,1.98795,86,100
Mathematics,Hainan Normal University,1,2010,1,0,0,0
Mathematics,Hainan Normal University,1,2011,7,0.553142857,34,42.85714286
Mathematics,Hainan Normal University,1,2012,6,0.712816667,32,66.66666667
Mathematics,Hainan Normal University,1,2013,7,0.8909,40,100
Mathematics,Hainan Normal University,1,2014,10,0.41897,23,80
Mathematics,Hainan Normal University,1,2015,12,1.29075,73,75
Mathematics,Hainan Normal University,1,2016,11,0.727036364,29,63.63636364
Mathematics,Hainan Normal University,1,2017,10,0.15218,4,20
Mathematics,Hainan Normal University,1,2018,11,0.287936364,5,27.27272727
Mathematics,Hainan Normal University,1,2019,23,0.770243478,9,17.39130435
,,,,,,,
Physics,,,,,,,
Physics,Hainan Normal University,1,2001,2,0.03725,2,50
Physics,,,,,,,
Physics,,,,,,,
Physics,Hainan Normal University,1,2004,1,0.0382,1,100
Physics,,,,,,,
Physics,Hainan Normal University,1,2006,2,1.46135,72,100
Physics,Hainan Normal University,1,2007,2,1.4587,67,100
Physics,Hainan Normal University,1,2008,2,0.08685,4,100
