学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Hunan Normal University,1,2000,139,0.535033094,2069,89.20863309
ALL,Hunan Normal University,1,2001,160,0.63534875,2639,88.125
ALL,Hunan Normal University,1,2002,153,0.526527451,2484,88.88888889
ALL,Hunan Normal University,1,2003,166,0.556006024,2790,88.55421687
ALL,Hunan Normal University,1,2004,234,0.545687179,4173,83.76068376
ALL,Hunan Normal University,1,2005,276,0.869358696,5947,93.47826087
ALL,Hunan Normal University,1,2006,340,0.638832647,6044,91.76470588
ALL,Hunan Normal University,1,2007,345,0.680990435,6225,92.17391304
ALL,Hunan Normal University,1,2008,374,0.797215241,7670,89.30481283
ALL,Hunan Normal University,1,2009,383,0.729362402,7018,92.16710183
ALL,Hunan Normal University,1,2010,418,0.798554067,7574,87.32057416
ALL,Hunan Normal University,1,2011,364,0.744348077,5526,92.58241758
ALL,Hunan Normal University,1,2012,407,0.79887715,6291,89.68058968
ALL,Hunan Normal University,1,2013,489,0.941904499,7821,86.50306748
ALL,Hunan Normal University,1,2014,491,0.911485743,7093,91.24236253
ALL,Hunan Normal University,1,2015,521,0.956280998,6827,90.21113244
ALL,Hunan Normal University,1,2016,635,1.04353811,6602,86.45669291
ALL,Hunan Normal University,1,2017,767,1.069598827,6154,87.09256845
ALL,Hunan Normal University,1,2018,1036,1.345199131,5816,79.34362934
ALL,Hunan Normal University,1,2019,1392,1.188477011,1826,41.88218391
,,,,,,,
Mathematics,Hunan Normal University,1,2000,27,0.418507407,174,96.2962963
Mathematics,Hunan Normal University,1,2001,35,0.441794286,234,80
Mathematics,Hunan Normal University,1,2002,27,0.763262963,306,85.18518519
Mathematics,Hunan Normal University,1,2003,27,0.573014815,219,74.07407407
Mathematics,Hunan Normal University,1,2004,15,0.538386667,118,80
Mathematics,Hunan Normal University,1,2005,34,1.279864706,604,91.17647059
Mathematics,Hunan Normal University,1,2006,37,0.555291892,278,91.89189189
Mathematics,Hunan Normal University,1,2007,57,0.753538596,536,89.47368421
Mathematics,Hunan Normal University,1,2008,50,0.800716,472,88
Mathematics,Hunan Normal University,1,2009,48,0.867708333,459,83.33333333
