学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Fujian Normal University,1,2000,38,0.428328947,397,73.68421053
ALL,Fujian Normal University,1,2001,43,0.42347907,461,88.37209302
ALL,Fujian Normal University,1,2002,50,0.655158,553,82
ALL,Fujian Normal University,1,2003,61,1.076344262,663,81.96721311
ALL,Fujian Normal University,1,2004,100,0.894253,1601,72
ALL,Fujian Normal University,1,2005,139,1.47466259,2570,84.17266187
ALL,Fujian Normal University,1,2006,165,0.516295152,2160,87.87878788
ALL,Fujian Normal University,1,2007,209,0.667966986,3333,91.38755981
ALL,Fujian Normal University,1,2008,241,0.581488797,3384,87.96680498
ALL,Fujian Normal University,1,2009,237,0.563234599,2986,85.65400844
ALL,Fujian Normal University,1,2010,231,0.79691342,4236,85.28138528
ALL,Fujian Normal University,1,2011,308,0.794238961,5229,90.25974026
ALL,Fujian Normal University,1,2012,315,0.815937778,4974,91.11111111
ALL,Fujian Normal University,1,2013,340,0.864300294,5185,89.70588235
ALL,Fujian Normal University,1,2014,457,0.938779212,6286,89.49671772
ALL,Fujian Normal University,1,2015,498,1.0259249,6452,88.15261044
ALL,Fujian Normal University,1,2016,540,1.013377963,5773,90.37037037
ALL,Fujian Normal University,1,2017,601,1.260529118,5726,83.69384359
ALL,Fujian Normal University,1,2018,754,1.184670292,3986,80.23872679
ALL,Fujian Normal University,1,2019,1026,1.239421637,1519,42.69005848
,,,,,,,
Mathematics,Fujian Normal University,1,2000,8,0.1136375,14,62.5
Mathematics,Fujian Normal University,1,2001,13,0.325323077,64,84.61538462
Mathematics,Fujian Normal University,1,2002,10,0.39795,58,90
Mathematics,Fujian Normal University,1,2003,12,0.5475,93,83.33333333
Mathematics,Fujian Normal University,1,2004,15,1.934526667,424,100
Mathematics,Fujian Normal University,1,2005,18,0.496311111,124,66.66666667
Mathematics,Fujian Normal University,1,2006,17,0.717329412,165,88.23529412
Mathematics,Fujian Normal University,1,2007,23,1.045213043,300,86.95652174
Mathematics,Fujian Normal University,1,2008,37,0.655648649,286,91.89189189
Mathematics,Fujian Normal University,1,2009,38,0.504407895,193,81.57894737
Mathematics,Fujian Normal University,1,2010,29,0.431503448,127,75.86206897
Mathematics,Fujian Normal University,1,2011,44,0.520229545,201,79.54545455
Mathematics,Fujian Normal University,1,2012,47,0.810451064,285,80.85106383
Mathematics,Fujian Normal University,1,2013,39,0.655607692,164,74.35897436
Mathematics,Fujian Normal University,1,2014,75,0.835518667,344,70.66666667
Mathematics,Fujian Normal University,1,2015,69,0.891765217,290,73.91304348
Mathematics,Fujian Normal University,1,2016,53,1.077073585,207,73.58490566
Mathematics,Fujian Normal University,1,2017,57,0.740919298,111,57.89473684
Mathematics,Fujian Normal University,1,2018,71,0.615626761,69,50.70422535
Mathematics,Fujian Normal University,1,2019,81,1.020651852,42,27.16049383
,,,,,,,
Physics,Fujian Normal University,1,2000,3,0.059566667,5,66.66666667
Physics,Fujian Normal University,1,2001,8,0.2001375,43,75
Physics,Fujian Normal University,1,2002,5,0.42592,58,100
Physics,Fujian Normal University,1,2003,3,0.584266667,45,100
Physics,Fujian Normal University,1,2004,11,0.840981818,242,90.90909091
Physics,Fujian Normal University,1,2005,23,0.427004348,250,95.65217391
Physics,Fujian Normal University,1,2006,34,0.739035294,619,79.41176471
Physics,Fujian Normal University,1,2007,46,0.682878261,553,93.47826087
Physics,Fujian Normal University,1,2008,53,0.799579245,976,84.90566038
Physics,Fujian Normal University,1,2009,52,0.621107692,697,92.30769231
Physics,Fujian Normal University,1,2010,39,0.652664103,531,89.74358974
Physics,Fujian Normal University,1,2011,55,0.623292727,647,92.72727273
Physics,Fujian Normal University,1,2012,51,0.530898039,486,90.19607843
Physics,Fujian Normal University,1,2013,55,0.705925455,642,80
Physics,Fujian Normal University,1,2014,56,0.523098214,411,91.07142857
Physics,Fujian Normal University,1,2015,45,0.651473333,358,82.22222222
Physics,Fujian Normal University,1,2016,55,0.703036364,368,87.27272727
Physics,Fujian Normal University,1,2017,48,0.788429167,257,79.16666667
Physics,Fujian Normal University,1,2018,64,0.923121875,239,75
Physics,Fujian Normal University,1,2019,84,0.894983333,78,36.9047619
,,,,,,,
Chemistry,Fujian Normal University,1,2000,18,0.207522222,108,72.22222222
Chemistry,Fujian Normal University,1,2001,19,0.583436842,322,94.73684211
Chemistry,Fujian Normal University,1,2002,23,0.50636087,351,91.30434783
Chemistry,Fujian Normal University,1,2003,23,0.310669565,217,95.65217391
Chemistry,Fujian Normal University,1,2004,30,0.365726667,333,80
Chemistry,Fujian Normal University,1,2005,53,0.473467925,763,86.79245283
Chemistry,Fujian Normal University,1,2006,65,0.333324615,636,95.38461538
Chemistry,Fujian Normal University,1,2007,75,0.39888,807,89.33333333
Chemistry,Fujian Normal University,1,2008,82,0.370323171,848,80.48780488
Chemistry,Fujian Normal University,1,2009,65,0.33018,550,72.30769231
Chemistry,Fujian Normal University,1,2010,66,0.580233333,1004,83.33333333
Chemistry,Fujian Normal University,1,2011,87,0.611986207,1274,90.8045977
Chemistry,Fujian Normal University,1,2012,81,1.172706173,2126,92.59259259
Chemistry,Fujian Normal University,1,2013,90,0.871271111,1558,97.77777778
Chemistry,Fujian Normal University,1,2014,106,1.063928302,2058,92.45283019
Chemistry,Fujian Normal University,1,2015,117,1.009346154,1836,92.30769231
Chemistry,Fujian Normal University,1,2016,141,0.89347234,1522,92.19858156
Chemistry,Fujian Normal University,1,2017,135,1.349744444,1663,90.37037037
Chemistry,Fujian Normal University,1,2018,143,1.364578322,1011,84.61538462
Chemistry,Fujian Normal University,1,2019,185,1.623197297,492,61.08108108
,,,,,,,
