学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Liaoning Normal University,1,2000,29,0.282041379,233,68.96551724
ALL,Liaoning Normal University,1,2001,50,0.270276,313,76
ALL,Liaoning Normal University,1,2002,56,0.308057143,487,82.14285714
ALL,Liaoning Normal University,1,2003,79,0.443186076,1027,88.60759494
ALL,Liaoning Normal University,1,2004,141,0.624717021,1416,65.24822695
ALL,Liaoning Normal University,1,2005,164,0.439846341,1658,80.48780488
ALL,Liaoning Normal University,1,2006,171,0.927184211,3177,86.5497076
ALL,Liaoning Normal University,1,2007,212,0.639707075,3480,86.79245283
ALL,Liaoning Normal University,1,2008,230,1.081457391,2697,82.60869565
ALL,Liaoning Normal University,1,2009,226,0.530586283,2811,89.82300885
ALL,Liaoning Normal University,1,2010,246,0.59839065,3572,91.8699187
ALL,Liaoning Normal University,1,2011,243,0.641385597,3346,90.94650206
ALL,Liaoning Normal University,1,2012,300,0.545705,3420,85
ALL,Liaoning Normal University,1,2013,319,0.549970219,3002,88.40125392
ALL,Liaoning Normal University,1,2014,298,0.629572483,3011,83.55704698
ALL,Liaoning Normal University,1,2015,260,0.622415385,2290,89.23076923
ALL,Liaoning Normal University,1,2016,319,0.671671473,2298,82.13166144
ALL,Liaoning Normal University,1,2017,275,0.827068727,1625,85.45454545
ALL,Liaoning Normal University,1,2018,299,0.774215719,990,70.23411371
ALL,Liaoning Normal University,1,2019,376,0.901823936,393,38.82978723
,,,,,,,
Mathematics,Liaoning Normal University,1,2000,1,0.1948,3,100
Mathematics,Liaoning Normal University,1,2001,6,0.69385,63,66.66666667
Mathematics,Liaoning Normal University,1,2002,4,0.274425,16,100
Mathematics,Liaoning Normal University,1,2003,8,0.441525,50,100
Mathematics,Liaoning Normal University,1,2004,8,0.69295,81,87.5
Mathematics,Liaoning Normal University,1,2005,6,0.312183333,26,50
Mathematics,Liaoning Normal University,1,2006,6,0.468066667,38,66.66666667
Mathematics,Liaoning Normal University,1,2007,19,0.860378947,204,94.73684211
Mathematics,Liaoning Normal University,1,2008,9,0.5372,57,100
Mathematics,Liaoning Normal University,1,2009,16,0.624125,108,75
Mathematics,Liaoning Normal University,1,2010,14,0.788264286,112,85.71428571
Mathematics,Liaoning Normal University,1,2011,16,0.5267,74,75
Mathematics,Liaoning Normal University,1,2012,20,0.507885,76,70
Mathematics,Liaoning Normal University,1,2013,20,0.40037,47,70
Mathematics,Liaoning Normal University,1,2014,28,0.409867857,63,42.85714286
Mathematics,Liaoning Normal University,1,2015,10,0.74262,35,50
Mathematics,Liaoning Normal University,1,2016,7,0.630342857,16,57.14285714
Mathematics,Liaoning Normal University,1,2017,6,0.380466667,6,50
Mathematics,Liaoning Normal University,1,2018,12,0.897425,17,41.66666667
Mathematics,Liaoning Normal University,1,2019,15,0.262453333,2,13.33333333
,,,,,,,
Physics,Liaoning Normal University,1,2000,6,0.22635,38,83.33333333
Physics,Liaoning Normal University,1,2001,15,0.156386667,63,86.66666667
Physics,Liaoning Normal University,1,2002,19,0.251231579,130,84.21052632
Physics,Liaoning Normal University,1,2003,35,0.376165714,338,82.85714286
Physics,Liaoning Normal University,1,2004,42,0.389547619,428,76.19047619
Physics,Liaoning Normal University,1,2005,60,0.454391667,694,81.66666667
Physics,Liaoning Normal University,1,2006,46,0.638897826,724,78.26086957
Physics,Liaoning Normal University,1,2007,39,0.638646154,572,89.74358974
Physics,Liaoning Normal University,1,2008,54,0.323233333,402,88.88888889
Physics,Liaoning Normal University,1,2009,44,0.318045455,302,81.81818182
Physics,Liaoning Normal University,1,2010,51,0.32144902,342,88.23529412
Physics,Liaoning Normal University,1,2011,42,0.462716667,369,88.0952381
Physics,Liaoning Normal University,1,2012,50,0.53817,483,76
Physics,Liaoning Normal University,1,2013,39,0.532217949,329,94.87179487
Physics,Liaoning Normal University,1,2014,46,0.615128261,397,84.7826087
Physics,Liaoning Normal University,1,2015,37,0.408621622,178,81.08108108
Physics,Liaoning Normal University,1,2016,47,0.669757447,378,78.72340426
Physics,Liaoning Normal University,1,2017,48,0.76370625,244,87.5
Physics,Liaoning Normal University,1,2018,45,0.754382222,133,73.33333333
Physics,Liaoning Normal University,1,2019,68,1.119744118,79,51.47058824
,,,,,,,
Chemistry,Liaoning Normal University,1,2000,18,0.366988889,191,72.22222222
Chemistry,Liaoning Normal University,1,2001,24,0.1983125,133,66.66666667
Chemistry,Liaoning Normal University,1,2002,22,0.247345455,164,68.18181818
Chemistry,Liaoning Normal University,1,2003,23,0.271534783,229,91.30434783
Chemistry,Liaoning Normal University,1,2004,48,0.40909375,659,83.33333333
Chemistry,Liaoning Normal University,1,2005,88,0.448177273,794,80.68181818
Chemistry,Liaoning Normal University,1,2006,95,1.024872632,1480,89.47368421
Chemistry,Liaoning Normal University,1,2007,110,0.50494,1534,85.45454545
Chemistry,Liaoning Normal University,1,2008,95,1.058866316,1085,86.31578947
Chemistry,Liaoning Normal University,1,2009,117,0.512223077,1539,95.72649573
Chemistry,Liaoning Normal University,1,2010,122,0.534495902,1762,92.62295082
Chemistry,Liaoning Normal University,1,2011,114,0.55685614,1519,91.22807018
Chemistry,Liaoning Normal University,1,2012,111,0.502627928,1351,90.99099099
Chemistry,Liaoning Normal University,1,2013,121,0.420100826,1009,85.95041322
Chemistry,Liaoning Normal University,1,2014,93,0.704287097,1180,89.24731183
Chemistry,Liaoning Normal University,1,2015,98,0.74384898,1126,92.85714286
Chemistry,Liaoning Normal University,1,2016,92,0.666790217,746,89.13043478
Chemistry,Liaoning Normal University,1,2017,84,0.609191667,464,86.9047619
Chemistry,Liaoning Normal University,1,2018,67,0.848138806,298,73.13432836
Chemistry,Liaoning Normal University,1,2019,74,0.800577027,82,43.24324324
,,,,,,,
Engineering,Liaoning Normal University,1,2000,1,0,0,0
Engineering,Liaoning Normal University,1,2001,2,0.2625,11,100
Engineering,Liaoning Normal University,1,2002,2,0.62905,28,100
Engineering,Liaoning Normal University,1,2003,3,2.032966667,131,100
Engineering,Liaoning Normal University,1,2004,1,0.5833,14,100
Engineering,Liaoning Normal University,1,2005,3,0.181466667,12,66.66666667
Engineering,Liaoning Normal University,1,2006,3,2.295133333,153,100
Engineering,Liaoning Normal University,1,2007,4,0.877075,78,100
Engineering,Liaoning Normal University,1,2008,9,0.885588889,165,100
Engineering,Liaoning Normal University,1,2009,9,1.261944444,210,100
Engineering,Liaoning Normal University,1,2010,12,1.422541667,340,91.66666667
Engineering,Liaoning Normal University,1,2011,14,1.326178571,342,92.85714286
Engineering,Liaoning Normal University,1,2012,11,1.020936364,187,90.90909091
Engineering,Liaoning Normal University,1,2013,20,0.540855,167,85
Engineering,Liaoning Normal University,1,2014,17,0.540576471,126,76.47058824
Engineering,Liaoning Normal University,1,2015,10,0.67833,80,80
Engineering,Liaoning Normal University,1,2016,15,0.82298,116,86.66666667
Engineering,Liaoning Normal University,1,2017,15,1.05038,111,86.66666667
Engineering,Liaoning Normal University,1,2018,18,1.604011111,121,61.11111111
Engineering,Liaoning Normal University,1,2019,29,1.855937931,58,34.48275862
,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Liaoning Normal University,1,2006,1,0.0575,1,100
Computer Science,Liaoning Normal University,1,2007,2,5.2944,241,100
Computer Science,Liaoning Normal University,1,2008,5,0.47818,54,100
Computer Science,Liaoning Normal University,1,2009,5,0.3621,38,80
Computer Science,Liaoning Normal University,1,2010,8,0.666325,105,100
Computer Science,Liaoning Normal University,1,2011,14,1.005935714,281,100
Computer Science,Liaoning Normal University,1,2012,13,0.492276923,105,76.92307692
Computer Science,Liaoning Normal University,1,2013,12,0.962475,184,91.66666667
Computer Science,Liaoning Normal University,1,2014,17,0.955952941,233,82.35294118
Computer Science,Liaoning Normal University,1,2015,13,0.564192308,86,100
Computer Science,Liaoning Normal University,1,2016,20,0.807845,151,90
Computer Science,Liaoning Normal University,1,2017,17,0.647511765,80,70.58823529
Computer Science,Liaoning Normal University,1,2018,16,0.4546,27,56.25
Computer Science,Liaoning Normal University,1,2019,31,0.372341935,12,22.58064516
,,,,,,,
Materials Science,,,,,,,
