学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Chongqing Normal University,1,2000,12,0.764141667,185,83.33333333
ALL,Chongqing Normal University,1,2001,31,0.989096774,563,87.09677419
ALL,Chongqing Normal University,1,2002,13,0.329953846,80,100
ALL,Chongqing Normal University,1,2003,16,0.92744375,246,87.5
ALL,Chongqing Normal University,1,2004,15,0.847093333,261,86.66666667
ALL,Chongqing Normal University,1,2005,54,0.516253704,666,94.44444444
ALL,Chongqing Normal University,1,2006,62,0.644437097,773,90.32258065
ALL,Chongqing Normal University,1,2007,76,0.515598684,852,88.15789474
ALL,Chongqing Normal University,1,2008,76,1.026075,1535,93.42105263
ALL,Chongqing Normal University,1,2009,119,1.090039496,3129,88.23529412
ALL,Chongqing Normal University,1,2010,109,0.599821101,1309,92.66055046
ALL,Chongqing Normal University,1,2011,127,0.745815748,1664,84.2519685
ALL,Chongqing Normal University,1,2012,174,0.613279885,1779,81.6091954
ALL,Chongqing Normal University,1,2013,185,0.83722,2301,85.94594595
ALL,Chongqing Normal University,1,2014,213,0.863555399,2322,82.62910798
ALL,Chongqing Normal University,1,2015,239,0.969474059,2567,80.33472803
ALL,Chongqing Normal University,1,2016,243,1.25668107,2629,82.30452675
ALL,Chongqing Normal University,1,2017,274,1.092013139,2169,82.84671533
ALL,Chongqing Normal University,1,2018,366,1.574017213,2134,79.78142077
ALL,Chongqing Normal University,1,2019,438,1.40636621,619,43.37899543
,,,,,,,
Mathematics,Chongqing Normal University,1,2000,2,0.87675,27,100
Mathematics,Chongqing Normal University,1,2001,12,1.354675,246,83.33333333
Mathematics,Chongqing Normal University,1,2002,6,0.468833333,41,100
Mathematics,Chongqing Normal University,1,2003,8,0.9625625,109,87.5
Mathematics,Chongqing Normal University,1,2004,7,0.782157143,80,85.71428571
Mathematics,Chongqing Normal University,1,2005,14,0.339642857,66,85.71428571
Mathematics,Chongqing Normal University,1,2006,16,1.25181875,271,100
Mathematics,Chongqing Normal University,1,2007,16,0.69115,138,81.25
Mathematics,Chongqing Normal University,1,2008,16,2.0092375,379,93.75
Mathematics,Chongqing Normal University,1,2009,21,1.466190476,333,80.95238095
Mathematics,Chongqing Normal University,1,2010,17,0.840417647,145,82.35294118
Mathematics,Chongqing Normal University,1,2011,21,1.626861905,300,71.42857143
Mathematics,Chongqing Normal University,1,2012,41,0.61284878,188,70.73170732
Mathematics,Chongqing Normal University,1,2013,46,0.669169565,207,73.91304348
Mathematics,Chongqing Normal University,1,2014,68,0.977144118,366,69.11764706
Mathematics,Chongqing Normal University,1,2015,49,1.039242857,240,59.18367347
Mathematics,Chongqing Normal University,1,2016,47,1.226302128,209,68.08510638
Mathematics,Chongqing Normal University,1,2017,46,0.942897826,114,58.69565217
Mathematics,Chongqing Normal University,1,2018,61,2.281509836,211,60.6557377
Mathematics,Chongqing Normal University,1,2019,77,2.198471429,86,28.57142857
,,,,,,,
Physics,,,,,,,
Physics,Chongqing Normal University,1,2001,4,0.158225,17,75
Physics,Chongqing Normal University,1,2002,4,0.156075,17,100
Physics,,,,,,,
Physics,Chongqing Normal University,1,2004,1,0.2294,6,100
Physics,Chongqing Normal University,1,2005,2,0.05895,3,50
Physics,Chongqing Normal University,1,2006,3,0.067666667,5,100
Physics,Chongqing Normal University,1,2007,8,0.723925,133,87.5
Physics,Chongqing Normal University,1,2008,6,1.440066667,199,83.33333333
Physics,Chongqing Normal University,1,2009,24,0.754925,391,91.66666667
Physics,Chongqing Normal University,1,2010,20,0.55126,230,95
Physics,Chongqing Normal University,1,2011,16,0.2549875,77,81.25
