学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Shanghai Normal University,1,2000,45,1.087562222,1085,84.44444444
ALL,Shanghai Normal University,1,2001,57,0.908557895,1128,85.96491228
ALL,Shanghai Normal University,1,2002,51,0.877107843,1056,90.19607843
ALL,Shanghai Normal University,1,2003,74,0.876687838,1494,93.24324324
ALL,Shanghai Normal University,1,2004,116,0.786037931,2338,79.31034483
ALL,Shanghai Normal University,1,2005,127,0.90194252,2883,92.91338583
ALL,Shanghai Normal University,1,2006,171,1.119434503,4582,90.05847953
ALL,Shanghai Normal University,1,2007,211,1.24231327,6523,91.46919431
ALL,Shanghai Normal University,1,2008,278,1.101534173,6730,93.88489209
ALL,Shanghai Normal University,1,2009,317,1.191142587,7624,94.95268139
ALL,Shanghai Normal University,1,2010,367,0.975185559,7526,92.09809264
ALL,Shanghai Normal University,1,2011,409,1.163293399,9703,94.86552567
ALL,Shanghai Normal University,1,2012,426,1.354623709,8115,88.96713615
ALL,Shanghai Normal University,1,2013,473,0.9989074,8268,88.16067653
ALL,Shanghai Normal University,1,2014,496,1.013944758,7739,88.30645161
ALL,Shanghai Normal University,1,2015,500,1.0867356,6971,88.8
ALL,Shanghai Normal University,1,2016,515,1.02860466,5271,84.85436893
ALL,Shanghai Normal University,1,2017,612,1.101652778,4776,83.00653595
ALL,Shanghai Normal University,1,2018,691,1.370906657,3566,77.42402315
ALL,Shanghai Normal University,1,2019,863,1.263960139,1161,41.01969873
,,,,,,,
Mathematics,Shanghai Normal University,1,2000,14,1.957528571,422,85.71428571
Mathematics,Shanghai Normal University,1,2001,16,1.50335625,364,81.25
Mathematics,Shanghai Normal University,1,2002,18,0.884322222,232,88.88888889
Mathematics,Shanghai Normal University,1,2003,17,0.716464706,165,88.23529412
Mathematics,Shanghai Normal University,1,2004,20,1.07108,313,90
Mathematics,Shanghai Normal University,1,2005,35,0.946874286,460,94.28571429
Mathematics,Shanghai Normal University,1,2006,55,1.154294545,859,89.09090909
Mathematics,Shanghai Normal University,1,2007,59,1.01049322,744,93.22033898
Mathematics,Shanghai Normal University,1,2008,98,1.256759184,1452,92.85714286
Mathematics,Shanghai Normal University,1,2009,100,1.244541,1346,95
Mathematics,Shanghai Normal University,1,2010,90,1.033491111,944,85.55555556
Mathematics,Shanghai Normal University,1,2011,93,1.106970968,904,88.17204301
Mathematics,Shanghai Normal University,1,2012,97,1.292435052,938,80.41237113
Mathematics,Shanghai Normal University,1,2013,104,0.812003846,556,83.65384615
Mathematics,Shanghai Normal University,1,2014,104,0.649250962,362,69.23076923
Mathematics,Shanghai Normal University,1,2015,82,1.169568293,452,78.04878049
Mathematics,Shanghai Normal University,1,2016,95,0.795382105,274,77.89473684
Mathematics,Shanghai Normal University,1,2017,102,1.156331373,310,65.68627451
Mathematics,Shanghai Normal University,1,2018,98,1.91335102,296,64.28571429
Mathematics,Shanghai Normal University,1,2019,119,1.290210084,78,26.05042017
,,,,,,,
Physics,Shanghai Normal University,1,2000,8,0.344025,77,75
Physics,Shanghai Normal University,1,2001,18,0.852311111,412,100
Physics,Shanghai Normal University,1,2002,6,1.328,217,100
Physics,Shanghai Normal University,1,2003,12,1.360033333,419,100
Physics,Shanghai Normal University,1,2004,13,0.7557,257,69.23076923
Physics,Shanghai Normal University,1,2005,14,0.895114286,319,85.71428571
Physics,Shanghai Normal University,1,2006,13,0.661984615,212,76.92307692
Physics,Shanghai Normal University,1,2007,22,0.752127273,380,95.45454545
Physics,Shanghai Normal University,1,2008,24,0.521033333,288,100
Physics,Shanghai Normal University,1,2009,34,1.204773529,884,91.17647059
Physics,Shanghai Normal University,1,2010,50,0.675896,705,90
Physics,Shanghai Normal University,1,2011,40,0.6344925,479,92.5
Physics,Shanghai Normal University,1,2012,43,0.497506977,384,100
Physics,Shanghai Normal University,1,2013,40,1.1011925,692,95
Physics,Shanghai Normal University,1,2014,55,0.564070909,436,90.90909091
Physics,Shanghai Normal University,1,2015,47,0.96602766,548,82.9787234
Physics,Shanghai Normal University,1,2016,44,1.010134091,423,88.63636364
Physics,Shanghai Normal University,1,2017,59,0.72070678,288,77.96610169
Physics,Shanghai Normal University,1,2018,65,1.021832308,289,78.46153846
Physics,Shanghai Normal University,1,2019,76,0.938465789,74,42.10526316
,,,,,,,
Chemistry,Shanghai Normal University,1,2000,15,0.98914,429,93.33333333
Chemistry,Shanghai Normal University,1,2001,16,0.58094375,270,87.5
Chemistry,Shanghai Normal University,1,2002,18,0.807372222,438,83.33333333
Chemistry,Shanghai Normal University,1,2003,26,0.952369231,752,92.30769231
Chemistry,Shanghai Normal University,1,2004,43,0.678130233,885,88.37209302
Chemistry,Shanghai Normal University,1,2005,43,0.906325581,1185,97.6744186
Chemistry,Shanghai Normal University,1,2006,58,0.964427586,1642,89.65517241
Chemistry,Shanghai Normal University,1,2007,78,1.819294872,4125,89.74358974
Chemistry,Shanghai Normal University,1,2008,72,1.122155556,2226,95.83333333
Chemistry,Shanghai Normal University,1,2009,65,1.020470769,1656,92.30769231
Chemistry,Shanghai Normal University,1,2010,71,1.108471831,1994,90.14084507
Chemistry,Shanghai Normal University,1,2011,72,1.422719444,2640,98.61111111
Chemistry,Shanghai Normal University,1,2012,90,1.440714444,2909,95.55555556
Chemistry,Shanghai Normal University,1,2013,99,1.252465657,2669,90.90909091
Chemistry,Shanghai Normal University,1,2014,107,1.334542991,2679,94.39252336
Chemistry,Shanghai Normal University,1,2015,100,1.213383,2001,95
Chemistry,Shanghai Normal University,1,2016,92,1.200081522,1402,93.47826087
Chemistry,Shanghai Normal University,1,2017,97,1.244487629,1120,92.78350515
Chemistry,Shanghai Normal University,1,2018,116,1.745639655,1060,89.65517241
Chemistry,Shanghai Normal University,1,2019,138,1.461646377,293,48.55072464
,,,,,,,
Engineering,Shanghai Normal University,1,2000,2,0.07445,3,50
Engineering,Shanghai Normal University,1,2001,1,0,0,0
Engineering,Shanghai Normal University,1,2002,2,1.3704,61,100
Engineering,Shanghai Normal University,1,2003,4,1.868025,16,75
Engineering,Shanghai Normal University,1,2004,2,0.02085,1,50
Engineering,Shanghai Normal University,1,2005,3,1.481966667,98,100
Engineering,Shanghai Normal University,1,2006,7,1.150771429,179,85.71428571
Engineering,Shanghai Normal University,1,2007,12,0.7384,197,83.33333333
Engineering,Shanghai Normal University,1,2008,12,1.34045,333,100
Engineering,Shanghai Normal University,1,2009,30,0.70125,434,93.33333333
Engineering,Shanghai Normal University,1,2010,25,0.801308,399,96
Engineering,Shanghai Normal University,1,2011,32,0.91103125,537,93.75
Engineering,Shanghai Normal University,1,2012,17,1.723935294,488,88.23529412
Engineering,Shanghai Normal University,1,2013,29,0.513568966,235,75.86206897
Engineering,Shanghai Normal University,1,2014,21,1.507352381,434,95.23809524
Engineering,Shanghai Normal University,1,2015,33,0.703306061,302,93.93939394
Engineering,Shanghai Normal University,1,2016,23,1.091965217,236,86.95652174
Engineering,Shanghai Normal University,1,2017,38,1.168957895,319,86.84210526
Engineering,Shanghai Normal University,1,2018,50,0.699472,141,74
Engineering,Shanghai Normal University,1,2019,70,1.2859,97,38.57142857
,,,,,,,
Computer Science,,,,,,,
Computer Science,Shanghai Normal University,1,2001,1,0,0,0
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Shanghai Normal University,1,2004,1,0,0,0
Computer Science,Shanghai Normal University,1,2005,2,0.5336,17,100
Computer Science,Shanghai Normal University,1,2006,1,0.1724,3,100
Computer Science,Shanghai Normal University,1,2007,2,1.84535,84,100
Computer Science,Shanghai Normal University,1,2008,1,0.0443,1,100
Computer Science,Shanghai Normal University,1,2009,3,0.6511,41,100
Computer Science,Shanghai Normal University,1,2010,6,4.602816667,544,100
Computer Science,Shanghai Normal University,1,2011,3,0.8353,50,100
Computer Science,Shanghai Normal University,1,2012,7,1.514985714,174,85.71428571
Computer Science,Shanghai Normal University,1,2013,11,1.015727273,178,90.90909091
Computer Science,Shanghai Normal University,1,2014,14,0.62275,125,92.85714286
Computer Science,Shanghai Normal University,1,2015,8,0.3411625,32,87.5
Computer Science,Shanghai Normal University,1,2016,10,0.3103,29,50
Computer Science,Shanghai Normal University,1,2017,12,0.743466667,64,83.33333333
Computer Science,Shanghai Normal University,1,2018,13,1.015376923,49,76.92307692
Computer Science,Shanghai Normal University,1,2019,19,0.961868421,19,47.36842105
,,,,,,,
Materials Science,Shanghai Normal University,1,2000,1,1.026,24,100
Materials Science,Shanghai Normal University,1,2001,3,0.959266667,71,100
Materials Science,Shanghai Normal University,1,2002,3,0.839033333,64,100
Materials Science,Shanghai Normal University,1,2003,2,0.53635,30,100
Materials Science,Shanghai Normal University,1,2004,11,1.041218182,308,100
Materials Science,Shanghai Normal University,1,2005,3,1.011266667,82,100
Materials Science,Shanghai Normal University,1,2006,8,4.5837125,993,100
Materials Science,Shanghai Normal University,1,2007,9,0.931622222,263,100
Materials Science,Shanghai Normal University,1,2008,28,1.033360714,1089,100
Materials Science,Shanghai Normal University,1,2009,19,2.638842105,1383,100
Materials Science,Shanghai Normal University,1,2010,30,0.921953333,772,100
Materials Science,Shanghai Normal University,1,2011,51,1.936111765,2629,100
Materials Science,Shanghai Normal University,1,2012,33,0.89509697,737,100
Materials Science,Shanghai Normal University,1,2013,43,0.874425581,851,97.6744186
Materials Science,Shanghai Normal University,1,2014,63,1.290890476,1723,100
Materials Science,Shanghai Normal University,1,2015,52,1.332926923,1268,100
Materials Science,Shanghai Normal University,1,2016,54,1.498674074,1169,96.2962963
Materials Science,Shanghai Normal University,1,2017,86,1.365693023,1276,98.8372093
Materials Science,Shanghai Normal University,1,2018,88,1.068926136,579,88.63636364
Materials Science,Shanghai Normal University,1,2019,100,1.574589,245,55
,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,Shanghai Normal University,1,2015,1,0.4294,4,100
Economics & Business,Shanghai Normal University,1,2016,4,0.4036,11,75
Economics & Business,Shanghai Normal University,1,2017,5,0.48984,11,80
Economics & Business,Shanghai Normal University,1,2018,6,0.636483333,9,83.33333333
Economics & Business,Shanghai Normal University,1,2019,9,0.4893,3,22.22222222
,,,,,,,
Psychiatry/Psychology,Shanghai Normal University,1,2000,2,1.1547,110,100
Psychiatry/Psychology,,,,,,,
Psychiatry/Psychology,Shanghai Normal University,1,2002,1,0.777,35,100
Psychiatry/Psychology,Shanghai Normal University,1,2003,1,1.0405,48,100
Psychiatry/Psychology,Shanghai Normal University,1,2004,13,0.1349,79,15.38461538
Psychiatry/Psychology,Shanghai Normal University,1,2005,2,3.09985,258,100
Psychiatry/Psychology,Shanghai Normal University,1,2006,4,0.846125,133,100
Psychiatry/Psychology,Shanghai Normal University,1,2007,1,0.2434,9,100
Psychiatry/Psychology,Shanghai Normal University,1,2008,9,0.291077778,87,33.33333333
Psychiatry/Psychology,Shanghai Normal University,1,2009,2,0.92635,54,100
Psychiatry/Psychology,Shanghai Normal University,1,2010,3,0.741,62,100
Psychiatry/Psychology,Shanghai Normal University,1,2011,5,0.45874,56,100
Psychiatry/Psychology,Shanghai Normal University,1,2012,18,0.569122222,211,61.11111111
Psychiatry/Psychology,Shanghai Normal University,1,2013,12,0.458616667,96,75
Psychiatry/Psychology,Shanghai Normal University,1,2014,16,0.60115625,142,75
Psychiatry/Psychology,Shanghai Normal University,1,2015,21,0.719652381,174,95.23809524
Psychiatry/Psychology,Shanghai Normal University,1,2016,40,0.5169,166,55
Psychiatry/Psychology,Shanghai Normal University,1,2017,34,0.570158824,105,61.76470588
Psychiatry/Psychology,Shanghai Normal University,1,2018,32,0.44688125,40,50
Psychiatry/Psychology,Shanghai Normal University,1,2019,48,0.904583333,36,43.75
