学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Yunnan Normal University,1,2000,22,0.489654545,237,90.90909091
ALL,Yunnan Normal University,1,2001,31,0.707380645,614,90.32258065
ALL,Yunnan Normal University,1,2002,29,0.623724138,383,86.20689655
ALL,Yunnan Normal University,1,2003,31,0.557116129,609,96.77419355
ALL,Yunnan Normal University,1,2004,51,0.916841176,1079,78.43137255
ALL,Yunnan Normal University,1,2005,51,0.421501961,577,90.19607843
ALL,Yunnan Normal University,1,2006,68,0.504911765,882,89.70588235
ALL,Yunnan Normal University,1,2007,68,0.769433824,1060,89.70588235
ALL,Yunnan Normal University,1,2008,87,0.755131034,1284,93.10344828
ALL,Yunnan Normal University,1,2009,118,0.730710169,1638,88.98305085
ALL,Yunnan Normal University,1,2010,118,0.783916949,1746,88.98305085
ALL,Yunnan Normal University,1,2011,144,1.103732639,3488,88.88888889
ALL,Yunnan Normal University,1,2012,145,1.160484828,3098,85.51724138
ALL,Yunnan Normal University,1,2013,182,1.123590659,2884,89.01098901
ALL,Yunnan Normal University,1,2014,222,1.027323874,3589,90.09009009
ALL,Yunnan Normal University,1,2015,237,1.466236709,3344,93.67088608
ALL,Yunnan Normal University,1,2016,280,0.863882143,2696,84.64285714
ALL,Yunnan Normal University,1,2017,297,1.163150168,2158,81.81818182
ALL,Yunnan Normal University,1,2018,329,1.210453191,1427,75.68389058
ALL,Yunnan Normal University,1,2019,417,1.256590408,481,31.41486811
,,,,,,,
Mathematics,Yunnan Normal University,1,2000,3,0.3247,15,100
Mathematics,Yunnan Normal University,1,2001,2,0,0,0
Mathematics,Yunnan Normal University,1,2002,4,1.0635,62,50
Mathematics,Yunnan Normal University,1,2003,7,0.171528571,17,100
Mathematics,Yunnan Normal University,1,2004,4,1.557,91,100
Mathematics,Yunnan Normal University,1,2005,6,0.55235,46,83.33333333
Mathematics,Yunnan Normal University,1,2006,4,0.979275,53,100
Mathematics,Yunnan Normal University,1,2007,5,0.32054,20,60
Mathematics,Yunnan Normal University,1,2008,13,1.767953846,283,84.61538462
Mathematics,Yunnan Normal University,1,2009,21,1.466195238,333,76.19047619
Mathematics,Yunnan Normal University,1,2010,17,1.704035294,294,88.23529412
Mathematics,Yunnan Normal University,1,2011,22,2.065377273,399,95.45454545
Mathematics,Yunnan Normal University,1,2012,30,1.41226,317,80
Mathematics,Yunnan Normal University,1,2013,35,2.088542857,463,82.85714286
Mathematics,Yunnan Normal University,1,2014,28,1.854146429,285,92.85714286
Mathematics,Yunnan Normal University,1,2015,27,6.074555556,773,77.77777778
Mathematics,Yunnan Normal University,1,2016,20,0.661855,48,50
Mathematics,Yunnan Normal University,1,2017,45,2.003815556,237,68.88888889
Mathematics,Yunnan Normal University,1,2018,34,1.565052941,84,70.58823529
Mathematics,Yunnan Normal University,1,2019,52,3.805517308,101,19.23076923
,,,,,,,
Physics,Yunnan Normal University,1,2000,2,0.19655,11,100
Physics,Yunnan Normal University,1,2001,5,0.1117,15,80
Physics,Yunnan Normal University,1,2002,2,0.05505,3,100
Physics,Yunnan Normal University,1,2003,5,0.6466,83,100
Physics,Yunnan Normal University,1,2004,4,0.248475,26,100
Physics,Yunnan Normal University,1,2005,8,0.3388375,69,87.5
Physics,Yunnan Normal University,1,2006,4,0.13195,13,100
Physics,Yunnan Normal University,1,2007,4,0.2395,22,100
Physics,Yunnan Normal University,1,2008,13,0.3177,90,84.61538462
Physics,Yunnan Normal University,1,2009,14,0.400478571,121,92.85714286
Physics,Yunnan Normal University,1,2010,13,0.272861538,74,84.61538462
Physics,Yunnan Normal University,1,2011,16,0.4921625,156,93.75
Physics,Yunnan Normal University,1,2012,18,0.355938889,115,88.88888889
Physics,Yunnan Normal University,1,2013,8,0.4574,58,87.5
Physics,Yunnan Normal University,1,2014,16,1.02838125,282,100
Physics,Yunnan Normal University,1,2015,12,0.29,42,100
Physics,Yunnan Normal University,1,2016,17,1.421594118,230,88.23529412
Physics,Yunnan Normal University,1,2017,25,0.566952,96,80
Physics,Yunnan Normal University,1,2018,32,0.622146875,78,84.375
Physics,Yunnan Normal University,1,2019,21,0.688447619,15,33.33333333
,,,,,,,
Chemistry,Yunnan Normal University,1,2000,5,0.2767,40,100
Chemistry,Yunnan Normal University,1,2001,12,0.364341667,127,100
Chemistry,Yunnan Normal University,1,2002,10,0.24884,75,90
Chemistry,Yunnan Normal University,1,2003,7,1.063114286,226,100
Chemistry,Yunnan Normal University,1,2004,15,0.981893333,447,93.33333333
Chemistry,Yunnan Normal University,1,2005,16,0.40083125,195,93.75
Chemistry,Yunnan Normal University,1,2006,31,0.385712903,351,90.32258065
Chemistry,Yunnan Normal University,1,2007,30,0.593286667,441,90
Chemistry,Yunnan Normal University,1,2008,30,0.365313333,301,96.66666667
Chemistry,Yunnan Normal University,1,2009,43,0.473244186,439,86.04651163
Chemistry,Yunnan Normal University,1,2010,45,0.572248889,623,82.22222222
Chemistry,Yunnan Normal University,1,2011,42,1.058859524,1509,76.19047619
Chemistry,Yunnan Normal University,1,2012,22,0.913904545,450,72.72727273
Chemistry,Yunnan Normal University,1,2013,41,0.740929268,603,90.24390244
Chemistry,Yunnan Normal University,1,2014,52,0.964578846,1315,96.15384615
Chemistry,Yunnan Normal University,1,2015,60,1.049863333,973,96.66666667
Chemistry,Yunnan Normal University,1,2016,84,0.933047619,974,85.71428571
Chemistry,Yunnan Normal University,1,2017,56,1.008003571,557,89.28571429
Chemistry,Yunnan Normal University,1,2018,77,0.984207792,390,80.51948052
Chemistry,Yunnan Normal University,1,2019,68,0.978844118,100,33.82352941
,,,,,,,
Engineering,Yunnan Normal University,1,2000,10,0.75946,153,80
Engineering,Yunnan Normal University,1,2001,3,0.079566667,5,100
Engineering,Yunnan Normal University,1,2002,4,0.29205,26,100
Engineering,Yunnan Normal University,1,2003,4,0.395725,34,75
Engineering,Yunnan Normal University,1,2004,10,1.08331,260,70
Engineering,Yunnan Normal University,1,2005,8,0.5954375,105,87.5
Engineering,Yunnan Normal University,1,2006,9,0.765055556,153,100
Engineering,Yunnan Normal University,1,2007,8,1.2087875,215,100
Engineering,Yunnan Normal University,1,2008,4,0.83325,69,100
Engineering,Yunnan Normal University,1,2009,7,1.5581,225,100
Engineering,Yunnan Normal University,1,2010,8,1.2552,200,100
Engineering,Yunnan Normal University,1,2011,11,1.742163636,353,100
Engineering,Yunnan Normal University,1,2012,7,0.386071429,45,71.42857143
Engineering,Yunnan Normal University,1,2013,11,2.007972727,341,90.90909091
Engineering,Yunnan Normal University,1,2014,18,2.086777778,515,94.44444444
Engineering,Yunnan Normal University,1,2015,14,1.447507143,239,92.85714286
Engineering,Yunnan Normal University,1,2016,14,0.9964,173,92.85714286
Engineering,Yunnan Normal University,1,2017,35,0.928708571,229,91.42857143
Engineering,Yunnan Normal University,1,2018,43,1.188288372,206,81.39534884
Engineering,Yunnan Normal University,1,2019,60,1.422886667,92,46.66666667
,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Yunnan Normal University,1,2005,2,0.37665,12,100
Computer Science,Yunnan Normal University,1,2006,1,0,0,0
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Yunnan Normal University,1,2010,1,0,0,0
Computer Science,Yunnan Normal University,1,2011,2,0.15035,6,100
Computer Science,Yunnan Normal University,1,2012,2,0.4571,15,100
Computer Science,Yunnan Normal University,1,2013,1,0,0,0
