学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Central China Normal University,1,2000,121,0.574426446,1623,80.16528926
ALL,Central China Normal University,1,2001,117,0.793137607,2478,88.88888889
ALL,Central China Normal University,1,2002,167,0.834447904,3587,82.03592814
ALL,Central China Normal University,1,2003,173,1.160778613,4879,85.54913295
ALL,Central China Normal University,1,2004,252,1.042073016,7352,85.31746032
ALL,Central China Normal University,1,2005,425,0.926121882,12268,88.70588235
ALL,Central China Normal University,1,2006,514,0.77674572,10787,85.79766537
ALL,Central China Normal University,1,2007,617,0.861374392,13962,81.68557536
ALL,Central China Normal University,1,2008,560,0.98593875,15283,88.75
ALL,Central China Normal University,1,2009,529,1.030934216,13733,93.00567108
ALL,Central China Normal University,1,2010,521,1.300209597,15524,90.21113244
ALL,Central China Normal University,1,2011,580,1.317441897,16389,87.24137931
ALL,Central China Normal University,1,2012,662,1.613759366,24158,85.95166163
ALL,Central China Normal University,1,2013,657,1.55632344,17051,91.01978691
ALL,Central China Normal University,1,2014,830,1.683448434,20727,93.13253012
ALL,Central China Normal University,1,2015,848,1.684341627,19655,91.98113208
ALL,Central China Normal University,1,2016,1047,1.535257975,17235,79.84718243
ALL,Central China Normal University,1,2017,1010,1.661785347,12395,87.72277228
ALL,Central China Normal University,1,2018,1099,1.493590173,7019,77.79799818
ALL,Central China Normal University,1,2019,1408,1.484659162,2387,45.09943182
,,,,,,,
Mathematics,Central China Normal University,1,2000,20,1.454705,448,85
Mathematics,Central China Normal University,1,2001,13,1.453792308,286,84.61538462
Mathematics,Central China Normal University,1,2002,17,1.170429412,290,94.11764706
Mathematics,Central China Normal University,1,2003,38,1.091310526,587,100
Mathematics,Central China Normal University,1,2004,27,0.585525926,231,81.48148148
Mathematics,Central China Normal University,1,2005,29,0.760206897,306,79.31034483
Mathematics,Central China Normal University,1,2006,53,0.589866038,423,71.69811321
Mathematics,Central China Normal University,1,2007,43,0.626160465,336,88.37209302
Mathematics,Central China Normal University,1,2008,43,0.658851163,334,83.72093023
Mathematics,Central China Normal University,1,2009,51,0.884741176,488,96.07843137
Mathematics,Central China Normal University,1,2010,55,1.142967273,638,87.27272727
Mathematics,Central China Normal University,1,2011,74,0.909759459,594,87.83783784
Mathematics,Central China Normal University,1,2012,76,1.143085526,650,86.84210526
Mathematics,Central China Normal University,1,2013,85,1.133123529,592,78.82352941
Mathematics,Central China Normal University,1,2014,91,1.993771429,996,87.91208791
Mathematics,Central China Normal University,1,2015,103,1.652103883,802,79.61165049
Mathematics,Central China Normal University,1,2016,113,1.074869027,440,78.76106195
Mathematics,Central China Normal University,1,2017,104,1.284091346,351,74.03846154
Mathematics,Central China Normal University,1,2018,145,1.328106897,304,60
Mathematics,Central China Normal University,1,2019,142,1.247576761,90,30.28169014
,,,,,,,
Physics,Central China Normal University,1,2000,58,0.40935,656,81.03448276
Physics,Central China Normal University,1,2001,55,0.537567273,794,83.63636364
Physics,Central China Normal University,1,2002,88,1.005284091,2404,82.95454545
Physics,Central China Normal University,1,2003,73,1.669571233,3134,79.45205479
Physics,Central China Normal University,1,2004,114,1.54245614,4600,87.71929825
Physics,Central China Normal University,1,2005,111,1.768205405,6825,94.59459459
