学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Harbin Normal University,1,2000,7,0.242357143,46,85.71428571
ALL,Harbin Normal University,1,2001,12,0.203958333,68,66.66666667
ALL,Harbin Normal University,1,2002,23,0.653043478,287,86.95652174
ALL,Harbin Normal University,1,2003,47,0.515151064,565,100
ALL,Harbin Normal University,1,2004,45,0.515048889,494,77.77777778
ALL,Harbin Normal University,1,2005,59,0.322898305,493,89.83050847
ALL,Harbin Normal University,1,2006,67,0.724253731,1077,97.01492537
ALL,Harbin Normal University,1,2007,78,0.813408974,1346,89.74358974
ALL,Harbin Normal University,1,2008,94,0.74686383,1665,91.4893617
ALL,Harbin Normal University,1,2009,123,1.124493496,2490,95.12195122
ALL,Harbin Normal University,1,2010,151,0.862627152,2941,92.05298013
ALL,Harbin Normal University,1,2011,180,0.827836667,3199,97.77777778
ALL,Harbin Normal University,1,2012,156,0.662387821,1956,89.74358974
ALL,Harbin Normal University,1,2013,196,0.815656122,2823,91.32653061
ALL,Harbin Normal University,1,2014,225,0.917411111,3624,92.88888889
ALL,Harbin Normal University,1,2015,240,1.0758975,3895,92.5
ALL,Harbin Normal University,1,2016,222,1.281563964,3043,90.99099099
ALL,Harbin Normal University,1,2017,251,1.35361753,2915,87.64940239
ALL,Harbin Normal University,1,2018,236,1.48797839,1614,82.20338983
ALL,Harbin Normal University,1,2019,306,1.332217974,504,43.79084967
,,,,,,,
Mathematics,Harbin Normal University,1,2000,1,0.1948,3,100
Mathematics,Harbin Normal University,1,2001,1,0.5286,8,100
Mathematics,Harbin Normal University,1,2002,6,1.795333333,157,100
Mathematics,Harbin Normal University,1,2003,10,0.96785,137,100
Mathematics,Harbin Normal University,1,2004,12,0.832683333,146,83.33333333
Mathematics,Harbin Normal University,1,2005,8,0.4592875,51,100
Mathematics,Harbin Normal University,1,2006,15,1.502793333,305,93.33333333
Mathematics,Harbin Normal University,1,2007,20,1.37429,343,95
Mathematics,Harbin Normal University,1,2008,17,1.352164706,271,100
Mathematics,Harbin Normal University,1,2009,23,2.862926087,705,100
Mathematics,Harbin Normal University,1,2010,17,0.730288235,126,94.11764706
Mathematics,Harbin Normal University,1,2011,17,1.654617647,247,100
Mathematics,Harbin Normal University,1,2012,24,0.913295833,164,95.83333333
Mathematics,Harbin Normal University,1,2013,24,1.065366667,164,79.16666667
Mathematics,Harbin Normal University,1,2014,21,0.763342857,88,66.66666667
Mathematics,Harbin Normal University,1,2015,18,0.483311111,41,72.22222222
Mathematics,Harbin Normal University,1,2016,26,1.431896154,135,73.07692308
Mathematics,Harbin Normal University,1,2017,26,1.214580769,83,53.84615385
Mathematics,Harbin Normal University,1,2018,20,1.61535,51,55
Mathematics,Harbin Normal University,1,2019,27,1.38517037,19,37.03703704
,,,,,,,
Physics,Harbin Normal University,1,2000,2,0.21445,12,100
Physics,Harbin Normal University,1,2001,4,0.1024,11,25
Physics,Harbin Normal University,1,2002,2,0.0551,3,50
Physics,Harbin Normal University,1,2003,5,0.30382,39,100
Physics,Harbin Normal University,1,2004,4,0.286675,30,75
Physics,Harbin Normal University,1,2005,10,0.54605,139,90
Physics,Harbin Normal University,1,2006,10,0.22734,56,100
Physics,Harbin Normal University,1,2007,7,0.329685714,53,85.71428571
Physics,Harbin Normal University,1,2008,14,0.409392857,132,92.85714286
Physics,Harbin Normal University,1,2009,28,0.519646429,314,92.85714286
Physics,Harbin Normal University,1,2010,26,0.652669231,354,96.15384615
Physics,Harbin Normal University,1,2011,28,0.492,260,100
Physics,Harbin Normal University,1,2012,32,0.327775,192,78.125
Physics,Harbin Normal University,1,2013,28,0.374753571,167,82.14285714
Physics,Harbin Normal University,1,2014,19,0.806515789,215,94.73684211
Physics,Harbin Normal University,1,2015,24,1.076654167,308,95.83333333
Physics,Harbin Normal University,1,2016,15,2.367666667,338,93.33333333
Physics,Harbin Normal University,1,2017,17,1.102994118,127,100
Physics,Harbin Normal University,1,2018,21,2.394461905,197,80.95238095
Physics,Harbin Normal University,1,2019,17,0.680352941,12,23.52941176
,,,,,,,
Chemistry,Harbin Normal University,1,2000,2,0.5188,30,100
Chemistry,Harbin Normal University,1,2001,5,0.2754,40,80
Chemistry,Harbin Normal University,1,2002,12,0.323516667,117,91.66666667
Chemistry,Harbin Normal University,1,2003,23,0.482021739,333,100
Chemistry,Harbin Normal University,1,2004,16,0.232675,113,81.25
Chemistry,Harbin Normal University,1,2005,33,0.2372,238,90.90909091
Chemistry,Harbin Normal University,1,2006,27,0.621748148,495,96.2962963
Chemistry,Harbin Normal University,1,2007,26,0.908003846,652,84.61538462
Chemistry,Harbin Normal University,1,2008,38,0.566828947,726,92.10526316
Chemistry,Harbin Normal University,1,2009,43,0.832618605,911,97.6744186
Chemistry,Harbin Normal University,1,2010,57,0.817184211,1175,87.71929825
Chemistry,Harbin Normal University,1,2011,63,0.847428571,1329,98.41269841
Chemistry,Harbin Normal University,1,2012,42,0.6585,619,95.23809524
Chemistry,Harbin Normal University,1,2013,67,0.721983582,937,92.53731343
Chemistry,Harbin Normal University,1,2014,62,0.974064516,1088,95.16129032
Chemistry,Harbin Normal University,1,2015,81,1.300391358,1627,100
Chemistry,Harbin Normal University,1,2016,66,1.165074242,929,93.93939394
Chemistry,Harbin Normal University,1,2017,84,1.712402381,1270,96.42857143
Chemistry,Harbin Normal University,1,2018,81,1.470582716,613,91.35802469
Chemistry,Harbin Normal University,1,2019,86,1.371155814,162,53.48837209
,,,,,,,
Engineering,,,,,,,
Engineering,,,,,,,
Engineering,,,,,,,
Engineering,,,,,,,
Engineering,Harbin Normal University,1,2004,1,0.1667,4,100
Engineering,Harbin Normal University,1,2005,1,0,0,0
Engineering,,,,,,,
Engineering,Harbin Normal University,1,2007,2,0.0225,1,50
Engineering,Harbin Normal University,1,2008,3,1.578,98,100
Engineering,Harbin Normal University,1,2009,6,1.1068,137,83.33333333
Engineering,Harbin Normal University,1,2010,3,1.3556,81,100
Engineering,Harbin Normal University,1,2011,7,0.620414286,80,100
