学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Sichuan Normal University,1,2000,25,0.782836,366,88
ALL,Sichuan Normal University,1,2001,27,0.4649,299,85.18518519
ALL,Sichuan Normal University,1,2002,56,0.611557143,712,94.64285714
ALL,Sichuan Normal University,1,2003,75,0.412902667,661,88
ALL,Sichuan Normal University,1,2004,68,0.353286765,539,83.82352941
ALL,Sichuan Normal University,1,2005,77,0.552903896,829,85.71428571
ALL,Sichuan Normal University,1,2006,119,0.410917647,1091,84.87394958
ALL,Sichuan Normal University,1,2007,119,0.450528571,1136,86.55462185
ALL,Sichuan Normal University,1,2008,152,0.775035526,2750,96.05263158
ALL,Sichuan Normal University,1,2009,141,0.451280142,1297,88.65248227
ALL,Sichuan Normal University,1,2010,143,0.692467832,2117,90.20979021
ALL,Sichuan Normal University,1,2011,136,0.653169118,1637,88.23529412
ALL,Sichuan Normal University,1,2012,159,0.39512327,1003,85.53459119
ALL,Sichuan Normal University,1,2013,192,0.587619792,1702,89.0625
ALL,Sichuan Normal University,1,2014,186,1.397651075,3601,88.17204301
ALL,Sichuan Normal University,1,2015,185,0.866748649,2005,81.62162162
ALL,Sichuan Normal University,1,2016,238,0.81774958,1694,83.19327731
ALL,Sichuan Normal University,1,2017,290,1.451013793,3053,81.03448276
ALL,Sichuan Normal University,1,2018,369,3.237972629,4900,82.38482385
ALL,Sichuan Normal University,1,2019,508,2.33627126,1334,48.42519685
,,,,,,,
Mathematics,Sichuan Normal University,1,2000,9,1.529733333,212,88.88888889
Mathematics,Sichuan Normal University,1,2001,3,1.343633333,61,100
Mathematics,Sichuan Normal University,1,2002,13,1.277230769,242,100
Mathematics,Sichuan Normal University,1,2003,9,1.020466667,130,88.88888889
Mathematics,Sichuan Normal University,1,2004,14,0.57195,117,85.71428571
Mathematics,Sichuan Normal University,1,2005,17,1.279864706,302,100
Mathematics,Sichuan Normal University,1,2006,22,0.671890909,200,95.45454545
Mathematics,Sichuan Normal University,1,2007,25,0.6603,206,92
Mathematics,Sichuan Normal University,1,2008,20,0.636175,150,85
Mathematics,Sichuan Normal University,1,2009,36,0.430413889,171,80.55555556
Mathematics,Sichuan Normal University,1,2010,26,0.651834615,172,80.76923077
Mathematics,Sichuan Normal University,1,2011,32,0.7971625,224,87.5
Mathematics,Sichuan Normal University,1,2012,40,0.4410675,132,80
Mathematics,Sichuan Normal University,1,2013,36,0.64095,148,80.55555556
Mathematics,Sichuan Normal University,1,2014,30,0.953313333,157,73.33333333
Mathematics,Sichuan Normal University,1,2015,35,0.515297143,85,62.85714286
Mathematics,Sichuan Normal University,1,2016,33,1.278569697,153,63.63636364
Mathematics,Sichuan Normal University,1,2017,29,1.062696552,81,65.51724138
Mathematics,Sichuan Normal University,1,2018,26,5.944903846,244,65.38461538
Mathematics,Sichuan Normal University,1,2019,51,2.8947,75,39.21568627
,,,,,,,
Physics,Sichuan Normal University,1,2000,6,0.61355,103,83.33333333
Physics,Sichuan Normal University,1,2001,6,0.620633333,100,100
Physics,Sichuan Normal University,1,2002,22,0.500713636,300,90.90909091
Physics,Sichuan Normal University,1,2003,30,0.232426667,179,93.33333333
Physics,Sichuan Normal University,1,2004,26,0.346976923,236,96.15384615
Physics,Sichuan Normal University,1,2005,26,0.483492308,320,80.76923077
Physics,Sichuan Normal University,1,2006,40,0.4302875,424,87.5
Physics,Sichuan Normal University,1,2007,42,0.364930952,352,78.57142857
Physics,Sichuan Normal University,1,2008,58,0.983674138,1314,96.55172414
Physics,Sichuan Normal University,1,2009,44,0.422304545,401,97.72727273
Physics,Sichuan Normal University,1,2010,54,0.522851852,589,96.2962963
