学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Anhui Normal University,1,2000,25,0.277804,200,84
ALL,Anhui Normal University,1,2001,25,0.559428,398,88
ALL,Anhui Normal University,1,2002,53,0.583073585,901,86.79245283
ALL,Anhui Normal University,1,2003,68,0.650125,1212,86.76470588
ALL,Anhui Normal University,1,2004,113,0.722713274,2163,92.03539823
ALL,Anhui Normal University,1,2005,155,1.025716774,4714,90.96774194
ALL,Anhui Normal University,1,2006,143,0.87578951,3553,92.30769231
ALL,Anhui Normal University,1,2007,183,0.901965574,4385,94.53551913
ALL,Anhui Normal University,1,2008,245,0.981383265,6166,92.65306122
ALL,Anhui Normal University,1,2009,297,0.924631313,6736,94.94949495
ALL,Anhui Normal University,1,2010,267,1.038271161,6646,93.6329588
ALL,Anhui Normal University,1,2011,292,0.986460274,6288,93.49315068
ALL,Anhui Normal University,1,2012,290,0.985125172,5957,93.79310345
ALL,Anhui Normal University,1,2013,307,0.979386971,5013,92.83387622
ALL,Anhui Normal University,1,2014,356,1.273314045,7279,92.97752809
ALL,Anhui Normal University,1,2015,376,0.963034043,5254,90.15957447
ALL,Anhui Normal University,1,2016,371,0.861979245,3440,88.94878706
ALL,Anhui Normal University,1,2017,442,1.074882353,3747,85.74660633
ALL,Anhui Normal University,1,2018,489,1.488677301,3351,75.66462168
ALL,Anhui Normal University,1,2019,644,1.129437112,908,43.47826087
,,,,,,,
Mathematics,,,,,,,
Mathematics,Anhui Normal University,1,2001,5,0.3172,24,80
Mathematics,Anhui Normal University,1,2002,2,0.5489,16,100
Mathematics,Anhui Normal University,1,2003,5,2.06288,146,100
Mathematics,Anhui Normal University,1,2004,10,1.77258,259,100
Mathematics,Anhui Normal University,1,2005,10,0.47549,66,90
Mathematics,Anhui Normal University,1,2006,6,0.332566667,27,66.66666667
Mathematics,Anhui Normal University,1,2007,16,0.83639375,167,93.75
Mathematics,Anhui Normal University,1,2008,21,1.143080952,283,90.47619048
Mathematics,Anhui Normal University,1,2009,24,0.801333333,208,91.66666667
Mathematics,Anhui Normal University,1,2010,19,1.182389474,228,84.21052632
Mathematics,Anhui Normal University,1,2011,22,1.532222727,296,86.36363636
Mathematics,Anhui Normal University,1,2012,27,0.821725926,166,88.88888889
Mathematics,Anhui Normal University,1,2013,41,1.487521951,389,82.92682927
Mathematics,Anhui Normal University,1,2014,44,0.790752273,191,79.54545455
Mathematics,Anhui Normal University,1,2015,40,0.7055,133,80
Mathematics,Anhui Normal University,1,2016,34,0.997644118,123,70.58823529
Mathematics,Anhui Normal University,1,2017,44,0.622595455,72,50
Mathematics,Anhui Normal University,1,2018,44,0.835034091,58,43.18181818
Mathematics,Anhui Normal University,1,2019,52,0.643515385,17,21.15384615
,,,,,,,
Physics,Anhui Normal University,1,2000,3,0.035733333,3,66.66666667
Physics,Anhui Normal University,1,2001,1,0.1489,4,100
Physics,Anhui Normal University,1,2002,6,0.201933333,33,100
Physics,Anhui Normal University,1,2003,8,0.3164875,65,62.5
Physics,Anhui Normal University,1,2004,13,0.517523077,176,84.61538462
Physics,Anhui Normal University,1,2005,20,0.79156,403,80
Physics,Anhui Normal University,1,2006,22,0.869059091,471,100
Physics,Anhui Normal University,1,2007,40,0.540115,492,97.5
Physics,Anhui Normal University,1,2008,41,0.49895122,458,92.68292683
Physics,Anhui Normal University,1,2009,52,0.609523077,684,98.07692308
Physics,Anhui Normal University,1,2010,48,0.901789583,903,95.83333333
Physics,Anhui Normal University,1,2011,56,0.734210714,776,96.42857143
Physics,Anhui Normal University,1,2012,48,0.639685417,572,83.33333333
Physics,Anhui Normal University,1,2013,44,0.552034091,385,88.63636364
Physics,Anhui Normal University,1,2014,40,0.9426025,529,82.5
Physics,Anhui Normal University,1,2015,25,0.788768,238,80
Physics,Anhui Normal University,1,2016,28,0.544132143,145,78.57142857
Physics,Anhui Normal University,1,2017,26,0.766626923,135,84.61538462
Physics,Anhui Normal University,1,2018,24,1.031625,97,58.33333333
Physics,Anhui Normal University,1,2019,38,0.789434211,36,26.31578947
,,,,,,,
Chemistry,Anhui Normal University,1,2000,1,0.1283,3,100
Chemistry,Anhui Normal University,1,2002,5,0.72366,92,100
Chemistry,Anhui Normal University,1,2003,5,0.57208,80,80
Chemistry,Anhui Normal University,1,2004,5,1.28666,173,100
Chemistry,Anhui Normal University,1,2005,7,1.458771429,276,100
Chemistry,Anhui Normal University,1,2006,15,1.322026667,537,100
Chemistry,Anhui Normal University,1,2007,20,1.52657,886,95
Chemistry,Anhui Normal University,1,2008,22,1.07415,665,100
Chemistry,Anhui Normal University,1,2009,23,0.838552174,532,95.65217391
Chemistry,Anhui Normal University,1,2010,16,1.030075,476,93.75
Chemistry,Anhui Normal University,1,2011,18,1.389666667,666,94.44444444
Chemistry,Anhui Normal University,1,2012,19,2.179036842,1033,100
Chemistry,Anhui Normal University,1,2013,25,0.832424,471,100
Chemistry,Anhui Normal University,1,2014,23,1.786586957,877,100
Chemistry,Anhui Normal University,1,2015,31,1.616512903,913,83.87096774
Chemistry,Anhui Normal University,1,2016,24,1.300929167,451,100
Chemistry,Anhui Normal University,1,2017,34,1.662997059,632,100
Chemistry,Anhui Normal University,1,2018,58,1.593744828,565,93.10344828
Chemistry,Anhui Normal University,1,2019,69,1.802733333,191,63.76811594
Chemistry,,,,,,,
,,,,,,,
Engineering,,,,,,,
Engineering,Anhui Normal University,1,2001,1,0.0477,1,100
Engineering,Anhui Normal University,1,2002,1,0,0,0
Engineering,Anhui Normal University,1,2003,2,0.13965,6,50
Engineering,,,,,,,
Engineering,Anhui Normal University,1,2005,5,2.10504,232,60
Engineering,Anhui Normal University,1,2006,6,1.14755,153,100
Engineering,Anhui Normal University,1,2007,2,2.06905,92,100
Engineering,Anhui Normal University,1,2008,8,1.7027375,282,87.5
Engineering,Anhui Normal University,1,2009,11,0.295254545,67,81.81818182
Engineering,Anhui Normal University,1,2010,11,0.584218182,128,90.90909091
Engineering,Anhui Normal University,1,2011,5,0.34802,44,80
Engineering,Anhui Normal University,1,2012,6,0.61055,61,83.33333333
Engineering,Anhui Normal University,1,2013,9,0.510988889,71,77.77777778
Engineering,Anhui Normal University,1,2014,12,2.060441667,339,100
Engineering,Anhui Normal University,1,2015,12,0.671275,95,83.33333333
Engineering,Anhui Normal University,1,2016,19,1.221031579,218,78.94736842
Engineering,Anhui Normal University,1,2017,28,0.973321429,192,75
Engineering,Anhui Normal University,1,2018,38,1.664492105,255,86.84210526
Engineering,Anhui Normal University,1,2019,57,0.586089474,36,29.8245614
,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Anhui Normal University,1,2004,1,0.1193,2,100
Computer Science,Anhui Normal University,1,2005,2,0.15695,5,50
Computer Science,Anhui Normal University,1,2006,1,0,0,0
Computer Science,Anhui Normal University,1,2007,1,0.8348,19,100
Computer Science,Anhui Normal University,1,2008,2,0.79695,36,100
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Anhui Normal University,1,2011,2,0.6014,24,100
Computer Science,Anhui Normal University,1,2012,1,0.3047,5,100
Computer Science,Anhui Normal University,1,2013,3,0.544033333,26,100
Computer Science,Anhui Normal University,1,2014,1,0.2092,3,100
Computer Science,Anhui Normal University,1,2015,5,0.56288,33,80
Computer Science,Anhui Normal University,1,2016,10,0.72759,68,90
Computer Science,Anhui Normal University,1,2017,17,1.754788235,214,100
Computer Science,Anhui Normal University,1,2018,22,1.091677273,91,72.72727273
Computer Science,Anhui Normal University,1,2019,17,1.244770588,22,47.05882353
,,,,,,,
Materials Science,Anhui Normal University,1,2000,1,0.1283,3,100
Materials Science,,,,,,,
Materials Science,Anhui Normal University,1,2002,5,0.72366,92,100
Materials Science,Anhui Normal University,1,2003,5,0.57208,80,80
Materials Science,Anhui Normal University,1,2004,5,1.28666,173,100
Materials Science,Anhui Normal University,1,2005,7,1.458771429,276,100
Materials Science,Anhui Normal University,1,2006,15,1.322026667,537,100
Materials Science,Anhui Normal University,1,2007,20,1.52657,886,95
Materials Science,Anhui Normal University,1,2008,22,1.07415,665,100
Materials Science,Anhui Normal University,1,2009,23,0.838552174,532,95.65217391
Materials Science,Anhui Normal University,1,2010,16,1.030075,476,93.75
Materials Science,Anhui Normal University,1,2011,18,1.389666667,666,94.44444444
Materials Science,Anhui Normal University,1,2012,19,2.179036842,1033,100
Materials Science,Anhui Normal University,1,2013,25,0.832424,471,100
Materials Science,Anhui Normal University,1,2014,23,1.786586957,877,100
Materials Science,Anhui Normal University,1,2015,31,1.616512903,913,83.87096774
Materials Science,Anhui Normal University,1,2016,24,1.300929167,451,100
Materials Science,Anhui Normal University,1,2017,34,1.662997059,632,100
Materials Science,Anhui Normal University,1,2018,58,1.593744828,565,93.10344828
Materials Science,Anhui Normal University,1,2019,69,1.802733333,191,63.76811594
,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,Anhui Normal University,1,2012,1,0,0,0
Economics & Business,,,,,,,
Economics & Business,Anhui Normal University,1,2014,1,0,0,0
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,Anhui Normal University,1,2017,2,1.00195,9,100
Economics & Business,Anhui Normal University,1,2018,1,0,0,0
Economics & Business,Anhui Normal University,1,2019,1,0,0,0
,,,,,,,
Psychiatry/Psychology,,,,,,,
Psychiatry/Psychology,,,,,,,
Psychiatry/Psychology,,,,,,,
Psychiatry/Psychology,,,,,,,
