学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Qufu Normal University,1,2000,69,0.422563768,666,79.71014493
ALL,Qufu Normal University,1,2001,78,0.317325641,591,83.33333333
ALL,Qufu Normal University,1,2002,81,0.605195062,684,82.71604938
ALL,Qufu Normal University,1,2003,84,0.812133333,1697,85.71428571
ALL,Qufu Normal University,1,2004,125,0.7294296,2324,89.6
ALL,Qufu Normal University,1,2005,150,0.692031333,2262,93.33333333
ALL,Qufu Normal University,1,2006,220,0.555285455,2534,90
ALL,Qufu Normal University,1,2007,236,0.762134322,3200,88.98305085
ALL,Qufu Normal University,1,2008,219,0.815758447,3325,87.21461187
ALL,Qufu Normal University,1,2009,208,1.172633173,4474,88.46153846
ALL,Qufu Normal University,1,2010,198,1.154050505,3743,89.39393939
ALL,Qufu Normal University,1,2011,219,1.223218265,4070,91.78082192
ALL,Qufu Normal University,1,2012,280,0.919038929,3617,87.5
ALL,Qufu Normal University,1,2013,287,1.138016376,4528,86.75958188
ALL,Qufu Normal University,1,2014,308,1.412227273,5681,93.83116883
ALL,Qufu Normal University,1,2015,330,1.591013333,5773,91.81818182
ALL,Qufu Normal University,1,2016,455,1.625923516,6050,91.86813187
ALL,Qufu Normal University,1,2017,694,2.621761383,11148,91.78674352
ALL,Qufu Normal University,1,2018,870,2.522118391,6681,81.14942529
ALL,Qufu Normal University,1,2019,1161,2.35102205,2639,49.69853575
,,,,,,,
Mathematics,Qufu Normal University,1,2000,11,0.448681818,76,90.90909091
Mathematics,Qufu Normal University,1,2001,10,0.74012,112,90
Mathematics,Qufu Normal University,1,2002,17,0.419735294,104,94.11764706
Mathematics,Qufu Normal University,1,2003,16,1.0331875,234,81.25
Mathematics,Qufu Normal University,1,2004,27,0.823807407,325,77.77777778
Mathematics,Qufu Normal University,1,2005,38,0.911939474,481,92.10526316
Mathematics,Qufu Normal University,1,2006,59,0.904428814,722,79.66101695
Mathematics,Qufu Normal University,1,2007,83,1.067803614,1106,91.56626506
Mathematics,Qufu Normal University,1,2008,70,1.048165714,865,88.57142857
Mathematics,Qufu Normal University,1,2009,59,1.509169492,963,93.22033898
Mathematics,Qufu Normal University,1,2010,54,1.992544444,1087,96.2962963
Mathematics,Qufu Normal University,1,2011,56,1.694048214,838,92.85714286
Mathematics,Qufu Normal University,1,2012,91,1.283653846,874,84.61538462
Mathematics,Qufu Normal University,1,2013,69,1.688291304,745,85.50724638
Mathematics,Qufu Normal University,1,2014,68,2.015827941,747,86.76470588
Mathematics,Qufu Normal University,1,2015,50,3.220856,759,96
Mathematics,Qufu Normal University,1,2016,83,3.711291566,1117,95.18072289
Mathematics,Qufu Normal University,1,2017,108,6.799151852,1930,96.2962963
Mathematics,Qufu Normal University,1,2018,229,4.962663755,1794,78.60262009
Mathematics,Qufu Normal University,1,2019,278,3.426993885,484,44.24460432
,,,,,,,
Physics,Qufu Normal University,1,2000,5,0.10722,15,80
Physics,Qufu Normal University,1,2001,9,0.372377778,90,100
Physics,Qufu Normal University,1,2002,8,0.201975,44,75
Physics,Qufu Normal University,1,2003,10,0.19867,51,70
Physics,Qufu Normal University,1,2004,11,0.663736364,191,100
Physics,Qufu Normal University,1,2005,14,0.796892857,284,92.85714286
Physics,Qufu Normal University,1,2006,35,0.601934286,519,94.28571429
Physics,Qufu Normal University,1,2007,44,0.626434091,633,88.63636364
Physics,Qufu Normal University,1,2008,43,0.371588372,368,90.69767442
Physics,Qufu Normal University,1,2009,45,0.489933333,494,88.88888889
Physics,Qufu Normal University,1,2010,43,0.560739535,503,90.69767442
Physics,Qufu Normal University,1,2011,49,0.716912245,663,91.83673469
Physics,Qufu Normal University,1,2012,60,0.546901667,589,88.33333333
Physics,Qufu Normal University,1,2013,53,0.75614717,640,90.56603774
Physics,Qufu Normal University,1,2014,37,1.005537838,522,91.89189189
Physics,Qufu Normal University,1,2015,46,1.044665217,580,82.60869565
Physics,Qufu Normal University,1,2016,48,0.702679167,321,93.75
Physics,Qufu Normal University,1,2017,75,1.283285333,650,84
Physics,Qufu Normal University,1,2018,80,1.21132375,429,86.25
Physics,Qufu Normal University,1,2019,111,1.085398198,125,35.13513514
,,,,,,,
Chemistry,Qufu Normal University,1,2000,47,0.236957447,322,74.46808511
Chemistry,Qufu Normal University,1,2001,54,0.206561111,324,77.77777778
Chemistry,Qufu Normal University,1,2002,50,0.312556,471,80
Chemistry,Qufu Normal University,1,2003,46,0.842523913,1177,89.13043478
Chemistry,Qufu Normal University,1,2004,67,0.65518806,1340,95.52238806
Chemistry,Qufu Normal University,1,2005,73,0.277668493,608,93.15068493
Chemistry,Qufu Normal University,1,2006,92,0.26808913,724,94.56521739
Chemistry,Qufu Normal University,1,2007,75,0.267941333,555,84
Chemistry,Qufu Normal University,1,2008,60,0.412453333,682,86.66666667
Chemistry,Qufu Normal University,1,2009,59,0.793086441,1200,79.66101695
Chemistry,Qufu Normal University,1,2010,58,0.477755172,699,77.5862069
Chemistry,Qufu Normal University,1,2011,53,0.648956604,823,84.90566038
Chemistry,Qufu Normal University,1,2012,53,0.518460377,615,84.90566038
