学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Jiangsu Normal University,1,2000,31,0.452680645,333,83.87096774
ALL,Jiangsu Normal University,1,2001,49,0.371759184,477,91.83673469
ALL,Jiangsu Normal University,1,2002,69,0.514137681,912,88.4057971
ALL,Jiangsu Normal University,1,2003,99,0.511176768,1416,81.81818182
ALL,Jiangsu Normal University,1,2004,146,0.510769863,1955,91.09589041
ALL,Jiangsu Normal University,1,2005,162,0.645924691,2179,80.24691358
ALL,Jiangsu Normal University,1,2006,173,0.545408092,2483,79.19075145
ALL,Jiangsu Normal University,1,2007,195,0.672559487,3090,90.25641026
ALL,Jiangsu Normal University,1,2008,194,0.504829381,2174,88.1443299
ALL,Jiangsu Normal University,1,2009,250,0.766524,4122,88.4
ALL,Jiangsu Normal University,1,2010,216,0.72669213,4600,92.59259259
ALL,Jiangsu Normal University,1,2011,257,0.695735019,4143,89.10505837
ALL,Jiangsu Normal University,1,2012,315,0.87547746,4784,87.93650794
ALL,Jiangsu Normal University,1,2013,375,1.005605867,5788,89.6
ALL,Jiangsu Normal University,1,2014,391,1.200265729,6989,90.28132992
ALL,Jiangsu Normal University,1,2015,450,1.176742444,7084,90.88888889
ALL,Jiangsu Normal University,1,2016,548,1.25227646,6993,88.86861314
ALL,Jiangsu Normal University,1,2017,648,1.437786111,6224,87.5
ALL,Jiangsu Normal University,1,2018,723,1.380579806,4357,81.05117566
ALL,Jiangsu Normal University,1,2019,831,1.378161011,1326,45.00601685
,,,,,,,
Mathematics,Jiangsu Normal University,1,2000,10,0.4416,68,80
Mathematics,Jiangsu Normal University,1,2001,5,0.48902,37,100
Mathematics,Jiangsu Normal University,1,2002,12,0.760441667,133,75
Mathematics,Jiangsu Normal University,1,2003,9,0.620122222,79,66.66666667
Mathematics,Jiangsu Normal University,1,2004,19,1.004973684,279,68.42105263
Mathematics,Jiangsu Normal University,1,2005,30,1.849173333,770,86.66666667
Mathematics,Jiangsu Normal University,1,2006,23,0.874043478,272,82.60869565
Mathematics,Jiangsu Normal University,1,2007,35,0.803628571,351,94.28571429
Mathematics,Jiangsu Normal University,1,2008,39,0.896069231,412,87.17948718
Mathematics,Jiangsu Normal University,1,2009,51,0.979003922,540,92.15686275
Mathematics,Jiangsu Normal University,1,2010,38,0.60675,234,92.10526316
Mathematics,Jiangsu Normal University,1,2011,47,0.680561702,283,89.36170213
Mathematics,Jiangsu Normal University,1,2012,66,1.028731818,508,83.33333333
Mathematics,Jiangsu Normal University,1,2013,75,1.301216,628,85.33333333
Mathematics,Jiangsu Normal University,1,2014,69,0.839527536,318,76.8115942
Mathematics,Jiangsu Normal University,1,2015,64,0.895129688,270,68.75
Mathematics,Jiangsu Normal University,1,2016,66,0.93595,224,68.18181818
Mathematics,Jiangsu Normal University,1,2017,87,1.919844828,439,72.4137931
Mathematics,Jiangsu Normal University,1,2018,102,1.235895098,199,63.7254902
Mathematics,Jiangsu Normal University,1,2019,95,0.74592,36,27.36842105
,,,,,,,
Physics,Jiangsu Normal University,1,2000,8,0.553975,124,100
Physics,Jiangsu Normal University,1,2001,12,0.570966667,184,91.66666667
Physics,Jiangsu Normal University,1,2002,13,0.550792308,195,92.30769231
Physics,Jiangsu Normal University,1,2003,14,0.486892857,175,78.57142857
Physics,Jiangsu Normal University,1,2004,20,0.70719,370,100
Physics,Jiangsu Normal University,1,2005,13,0.432115385,143,92.30769231
Physics,Jiangsu Normal University,1,2006,10,0.68195,168,100
Physics,Jiangsu Normal University,1,2007,17,0.343235294,134,94.11764706
Physics,Jiangsu Normal University,1,2008,29,0.279975862,187,86.20689655
Physics,Jiangsu Normal University,1,2009,24,0.471104167,244,87.5
Physics,Jiangsu Normal University,1,2010,31,0.310812903,201,90.32258065
