学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Hebei Normal University,1,2000,86,0.217105814,498,75.58139535
ALL,Hebei Normal University,1,2001,81,0.344993827,737,81.48148148
ALL,Hebei Normal University,1,2002,84,0.311545238,689,88.0952381
ALL,Hebei Normal University,1,2003,95,0.433590526,1298,84.21052632
ALL,Hebei Normal University,1,2004,125,0.7539784,2258,80.8
ALL,Hebei Normal University,1,2005,154,0.878801948,3422,85.71428571
ALL,Hebei Normal University,1,2006,155,0.50928,2154,78.06451613
ALL,Hebei Normal University,1,2007,233,0.64415794,4054,87.98283262
ALL,Hebei Normal University,1,2008,250,0.6068904,3701,90
ALL,Hebei Normal University,1,2009,257,0.686794163,4165,89.88326848
ALL,Hebei Normal University,1,2010,249,0.665402811,4087,87.95180723
ALL,Hebei Normal University,1,2011,293,0.739242321,4571,90.10238908
ALL,Hebei Normal University,1,2012,315,0.868220317,5359,87.93650794
ALL,Hebei Normal University,1,2013,321,0.733798131,4174,86.91588785
ALL,Hebei Normal University,1,2014,331,0.807813595,4307,89.12386707
ALL,Hebei Normal University,1,2015,341,0.799949267,3922,87.09677419
ALL,Hebei Normal University,1,2016,360,0.694292222,2588,79.44444444
ALL,Hebei Normal University,1,2017,383,0.877025326,2540,79.11227154
ALL,Hebei Normal University,1,2018,371,0.991176011,1494,79.5148248
ALL,Hebei Normal University,1,2019,476,0.963630462,515,38.86554622
,,,,,,,
Mathematics,Hebei Normal University,1,2000,11,0.277481818,47,63.63636364
Mathematics,Hebei Normal University,1,2001,10,0.34363,52,80
Mathematics,Hebei Normal University,1,2002,11,0.542654545,87,81.81818182
Mathematics,Hebei Normal University,1,2003,9,0.306133333,39,88.88888889
Mathematics,Hebei Normal University,1,2004,13,0.642269231,122,92.30769231
Mathematics,Hebei Normal University,1,2005,14,0.530035714,103,85.71428571
Mathematics,Hebei Normal University,1,2006,18,0.4845,118,83.33333333
Mathematics,Hebei Normal University,1,2007,24,0.594333333,178,79.16666667
Mathematics,Hebei Normal University,1,2008,46,0.378002174,205,80.43478261
Mathematics,Hebei Normal University,1,2009,41,0.396904878,176,73.17073171
Mathematics,Hebei Normal University,1,2010,30,0.41384,126,80
Mathematics,Hebei Normal University,1,2011,32,0.3985875,112,75
Mathematics,Hebei Normal University,1,2012,37,0.408194595,113,67.56756757
Mathematics,Hebei Normal University,1,2013,39,0.407751282,102,61.53846154
Mathematics,Hebei Normal University,1,2014,52,0.493940385,141,67.30769231
Mathematics,Hebei Normal University,1,2015,37,0.412897297,72,70.27027027
Mathematics,Hebei Normal University,1,2016,40,0.475705,69,50
Mathematics,Hebei Normal University,1,2017,34,0.544752941,50,47.05882353
Mathematics,Hebei Normal University,1,2018,41,1.406002439,91,53.65853659
Mathematics,Hebei Normal University,1,2019,45,0.874844444,20,20
,,,,,,,
Physics,Hebei Normal University,1,2000,14,0.257842857,101,85.71428571
Physics,Hebei Normal University,1,2001,22,0.228495455,135,77.27272727
Physics,Hebei Normal University,1,2002,30,0.29252,239,86.66666667
Physics,Hebei Normal University,1,2003,29,0.458017241,341,79.31034483
Physics,Hebei Normal University,1,2004,39,0.567517949,579,82.05128205
Physics,Hebei Normal University,1,2005,36,1.056294444,968,91.66666667
Physics,Hebei Normal University,1,2006,38,0.423026316,396,76.31578947
Physics,Hebei Normal University,1,2007,53,0.670413208,816,88.67924528
Physics,Hebei Normal University,1,2008,59,0.470425424,637,96.61016949
Physics,Hebei Normal University,1,2009,53,0.654856604,749,90.56603774
Physics,Hebei Normal University,1,2010,54,0.504690741,576,88.88888889
Physics,Hebei Normal University,1,2011,68,0.677891176,870,91.17647059
Physics,Hebei Normal University,1,2012,63,0.67561746,764,90.47619048
Physics,Hebei Normal University,1,2013,62,0.735698387,723,88.70967742
Physics,Hebei Normal University,1,2014,70,0.72059,725,92.85714286
Physics,Hebei Normal University,1,2015,73,0.802426027,707,90.4109589
Physics,Hebei Normal University,1,2016,74,0.655947297,459,83.78378378
Physics,Hebei Normal University,1,2017,60,1.065511667,433,78.33333333
Physics,Hebei Normal University,1,2018,62,0.708466129,181,82.25806452
Physics,Hebei Normal University,1,2019,50,1.17588,61,32
,,,,,,,
Chemistry,Hebei Normal University,1,2000,35,0.151188571,153,71.42857143
Chemistry,Hebei Normal University,1,2001,31,0.437535484,394,87.09677419
Chemistry,Hebei Normal University,1,2002,30,0.234473333,212,90
Chemistry,Hebei Normal University,1,2003,28,0.197567857,168,85.71428571
Chemistry,Hebei Normal University,1,2004,41,0.401721951,494,95.12195122
Chemistry,Hebei Normal University,1,2005,51,0.690637255,950,82.35294118
Chemistry,Hebei Normal University,1,2006,45,0.437566667,578,84.44444444
Chemistry,Hebei Normal University,1,2007,82,0.491335366,1079,89.02439024
Chemistry,Hebei Normal University,1,2008,74,0.625632432,1262,89.18918919
Chemistry,Hebei Normal University,1,2009,81,0.520498765,1069,90.12345679
Chemistry,Hebei Normal University,1,2010,82,0.632695122,1291,89.02439024
Chemistry,Hebei Normal University,1,2011,79,0.704620253,1293,87.34177215
Chemistry,Hebei Normal University,1,2012,65,0.667212308,1074,86.15384615
Chemistry,Hebei Normal University,1,2013,85,0.830352941,1401,90.58823529
Chemistry,Hebei Normal University,1,2014,78,0.9615,1559,92.30769231
Chemistry,Hebei Normal University,1,2015,97,0.676939175,1229,89.69072165
Chemistry,Hebei Normal University,1,2016,82,0.659457317,654,90.24390244
Chemistry,Hebei Normal University,1,2017,89,0.973782022,824,88.76404494
Chemistry,Hebei Normal University,1,2018,91,0.848395604,414,91.20879121
Chemistry,Hebei Normal University,1,2019,103,0.916731068,145,41.74757282
,,,,,,,
Engineering,,,,,,,
Engineering,,,,,,,
Engineering,Hebei Normal University,1,2002,1,0.1797,4,100
Engineering,Hebei Normal University,1,2003,2,3.14255,135,100
Engineering,Hebei Normal University,1,2004,3,0.027766667,2,33.33333333
Engineering,Hebei Normal University,1,2005,6,1.708816667,226,83.33333333
Engineering,Hebei Normal University,1,2006,5,0.37802,42,100
Engineering,Hebei Normal University,1,2007,6,0.494766667,66,66.66666667
Engineering,Hebei Normal University,1,2008,6,0.0644,8,50
Engineering,Hebei Normal University,1,2009,9,1.906644444,354,100
Engineering,Hebei Normal University,1,2010,4,0.502075,40,100
Engineering,Hebei Normal University,1,2011,10,1.26125,175,90
Engineering,Hebei Normal University,1,2012,12,0.905833333,181,91.66666667
Engineering,Hebei Normal University,1,2013,14,0.615342857,133,92.85714286
Engineering,Hebei Normal University,1,2014,10,1.19616,164,80
Engineering,Hebei Normal University,1,2015,14,0.999328571,165,71.42857143
Engineering,Hebei Normal University,1,2016,10,1.23447,116,100
Engineering,Hebei Normal University,1,2017,14,0.800971429,79,85.71428571
Engineering,Hebei Normal University,1,2018,17,1.513694118,109,76.47058824
Engineering,Hebei Normal University,1,2019,27,0.618648148,18,25.92592593
,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Hebei Normal University,1,2002,1,0.0857,2,100
Computer Science,,,,,,,
Computer Science,Hebei Normal University,1,2004,3,10.71336667,539,66.66666667
Computer Science,Hebei Normal University,1,2005,3,5.2101,249,100
Computer Science,Hebei Normal University,1,2006,2,0.97705,34,100
Computer Science,,,,,,,
Computer Science,Hebei Normal University,1,2008,8,1.5883875,287,100
Computer Science,Hebei Normal University,1,2009,3,0.127066667,8,66.66666667
Computer Science,Hebei Normal University,1,2010,3,2.047566667,121,100
