学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Henan Normal University,1,2000,87,0.402656322,985,83.90804598
ALL,Henan Normal University,1,2001,93,0.405367742,1062,82.79569892
ALL,Henan Normal University,1,2002,94,0.479648936,1203,93.61702128
ALL,Henan Normal University,1,2003,133,0.69753985,2473,87.21804511
ALL,Henan Normal University,1,2004,171,0.678789474,3181,91.8128655
ALL,Henan Normal University,1,2005,194,0.645217526,3497,92.78350515
ALL,Henan Normal University,1,2006,236,0.763825,5061,91.52542373
ALL,Henan Normal University,1,2007,277,0.748231408,5221,93.86281588
ALL,Henan Normal University,1,2008,363,0.784218457,6555,87.60330579
ALL,Henan Normal University,1,2009,372,0.828386559,6719,92.74193548
ALL,Henan Normal University,1,2010,330,0.719560303,5391,90.60606061
ALL,Henan Normal University,1,2011,436,0.706436697,6297,90.82568807
ALL,Henan Normal University,1,2012,431,0.846310673,7107,90.71925754
ALL,Henan Normal University,1,2013,536,0.814906716,7487,90.48507463
ALL,Henan Normal University,1,2014,626,0.923696166,9386,87.85942492
ALL,Henan Normal University,1,2015,705,1.028843972,9916,88.79432624
ALL,Henan Normal University,1,2016,776,0.978192655,8446,88.01546392
ALL,Henan Normal University,1,2017,839,1.135388558,7566,86.17401669
ALL,Henan Normal University,1,2018,905,1.346569503,5399,79.66850829
ALL,Henan Normal University,1,2019,1114,1.430220287,1933,45.69120287
,,,,,,,
Mathematics,Henan Normal University,1,2000,6,0.151533333,14,83.33333333
Mathematics,Henan Normal University,1,2001,5,0.52864,40,80
Mathematics,Henan Normal University,1,2002,10,0.74101,108,100
Mathematics,Henan Normal University,1,2003,9,1.475722222,188,88.88888889
Mathematics,Henan Normal University,1,2004,11,0.8275,133,100
Mathematics,Henan Normal University,1,2005,11,0.720454545,110,100
Mathematics,Henan Normal University,1,2006,18,1.047027778,255,88.88888889
Mathematics,Henan Normal University,1,2007,20,1.053745,263,95
Mathematics,Henan Normal University,1,2008,41,1.242380488,399,82.92682927
Mathematics,Henan Normal University,1,2009,50,1.080516,570,92
Mathematics,Henan Normal University,1,2010,40,0.918815,373,87.5
Mathematics,Henan Normal University,1,2011,51,0.949009804,425,82.35294118
Mathematics,Henan Normal University,1,2012,31,1.220112903,283,80.64516129
Mathematics,Henan Normal University,1,2013,73,0.909816438,426,73.97260274
Mathematics,Henan Normal University,1,2014,110,0.655786364,396,65.45454545
Mathematics,Henan Normal University,1,2015,90,0.881604444,369,73.33333333
Mathematics,Henan Normal University,1,2016,97,0.881337113,310,71.13402062
Mathematics,Henan Normal University,1,2017,95,0.780974737,195,73.68421053
Mathematics,Henan Normal University,1,2018,92,1.255240217,184,54.34782609
Mathematics,Henan Normal University,1,2019,100,0.68894,35,13
,,,,,,,
Physics,Henan Normal University,1,2000,37,0.384456757,398,78.37837838
Physics,Henan Normal University,1,2001,27,0.425211111,347,88.88888889
Physics,Henan Normal University,1,2002,31,0.621845161,525,93.5483871
Physics,Henan Normal University,1,2003,43,0.761811628,841,86.04651163
Physics,Henan Normal University,1,2004,69,0.6997,1263,89.85507246
Physics,Henan Normal University,1,2005,62,0.778137097,1260,87.09677419
Physics,Henan Normal University,1,2006,76,0.651815789,1241,92.10526316
Physics,Henan Normal University,1,2007,83,0.470586747,897,91.56626506
Physics,Henan Normal University,1,2008,103,0.508530097,1255,91.26213592
Physics,Henan Normal University,1,2009,85,0.473483529,901,94.11764706
Physics,Henan Normal University,1,2010,102,0.516360784,1183,90.19607843
Physics,Henan Normal University,1,2011,115,0.617037391,1340,93.04347826
Physics,Henan Normal University,1,2012,116,0.85195431,1794,89.65517241
Physics,Henan Normal University,1,2013,127,1.019850394,2053,88.97637795
Physics,Henan Normal University,1,2014,104,1.132153846,1652,90.38461538
Physics,Henan Normal University,1,2015,139,1.241598561,2083,92.8057554
Physics,Henan Normal University,1,2016,154,0.911544156,1336,92.20779221
Physics,Henan Normal University,1,2017,163,1.07971411,1192,87.73006135
Physics,Henan Normal University,1,2018,168,0.904798214,625,76.78571429
Physics,Henan Normal University,1,2019,171,1.104740351,196,45.02923977
,,,,,,,
Chemistry,Henan Normal University,1,2000,35,0.44368,449,88.57142857
Chemistry,Henan Normal University,1,2001,49,0.388526531,553,81.63265306
Chemistry,Henan Normal University,1,2002,40,0.3307925,405,90
Chemistry,Henan Normal University,1,2003,63,0.532853968,1021,85.71428571
Chemistry,Henan Normal University,1,2004,74,0.622463514,1398,91.89189189
Chemistry,Henan Normal University,1,2005,88,0.541909091,1450,95.45454545
Chemistry,Henan Normal University,1,2006,97,0.841686598,2469,90.72164948
Chemistry,Henan Normal University,1,2007,120,0.81288,2694,94.16666667
Chemistry,Henan Normal University,1,2008,157,0.842484076,3580,85.35031847
Chemistry,Henan Normal University,1,2009,156,0.680169872,2703,92.30769231
Chemistry,Henan Normal University,1,2010,111,0.820442342,2412,90.99099099
Chemistry,Henan Normal University,1,2011,169,0.75017574,3043,91.71597633
Chemistry,Henan Normal University,1,2012,163,0.806080368,2994,92.02453988
Chemistry,Henan Normal University,1,2013,170,0.733045882,2799,93.52941176
Chemistry,Henan Normal University,1,2014,204,0.985292647,3811,93.1372549
Chemistry,Henan Normal University,1,2015,205,1.013693659,3516,90.24390244
Chemistry,Henan Normal University,1,2016,204,1.058778431,2941,95.09803922
Chemistry,Henan Normal University,1,2017,230,1.25812087,2701,89.56521739
Chemistry,Henan Normal University,1,2018,246,1.384080081,1759,82.92682927
Chemistry,Henan Normal University,1,2019,309,1.706446278,739,56.9579288
,,,,,,,
Engineering,Henan Normal University,1,2000,3,0.099266667,6,66.66666667
Engineering,,,,,,,
Engineering,,,,,,,
Engineering,Henan Normal University,1,2003,2,0.09315,4,100
Engineering,Henan Normal University,1,2004,2,0.16665,8,100
Engineering,Henan Normal University,1,2005,4,0.476375,42,100
Engineering,Henan Normal University,1,2006,5,0.36002,40,80
Engineering,Henan Normal University,1,2007,7,1.657771429,258,85.71428571
Engineering,Henan Normal University,1,2008,10,1.48779,308,60
Engineering,Henan Normal University,1,2009,15,3.458426667,1042,93.33333333
Engineering,Henan Normal University,1,2010,11,1.986836364,513,100
Engineering,Henan Normal University,1,2011,16,1.0213,301,81.25
Engineering,Henan Normal University,1,2012,19,0.948231579,300,94.73684211
Engineering,Henan Normal University,1,2013,26,0.530642308,213,100
Engineering,Henan Normal University,1,2014,26,0.821934615,293,84.61538462
Engineering,Henan Normal University,1,2015,34,1.094805882,439,88.23529412
Engineering,Henan Normal University,1,2016,46,0.918458696,397,82.60869565
Engineering,Henan Normal University,1,2017,57,1.328738596,543,85.96491228
Engineering,Henan Normal University,1,2018,69,1.822565217,507,81.15942029
Engineering,Henan Normal University,1,2019,98,2.005732653,213,36.73469388
,,,,,,,
Computer Science,,,,,,,
Computer Science,Henan Normal University,1,2001,1,0.3716,8,100
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,,,,,,,
Computer Science,Henan Normal University,1,2005,3,0.209266667,10,66.66666667
Computer Science,Henan Normal University,1,2006,1,0.4023,7,100
Computer Science,Henan Normal University,1,2007,2,0.08785,4,100
Computer Science,,,,,,,
Computer Science,Henan Normal University,1,2009,3,2.683966667,169,100
Computer Science,Henan Normal University,1,2010,3,0.727633333,43,100
Computer Science,Henan Normal University,1,2011,1,0.2005,4,100
Computer Science,Henan Normal University,1,2012,1,5.2416,86,100
Computer Science,Henan Normal University,1,2013,11,0.291027273,51,90.90909091
Computer Science,Henan Normal University,1,2014,12,0.523083333,90,100
Computer Science,Henan Normal University,1,2015,13,0.341153846,52,84.61538462
Computer Science,Henan Normal University,1,2016,22,0.71015,115,54.54545455
Computer Science,Henan Normal University,1,2017,21,0.491219048,74,76.19047619
Computer Science,Henan Normal University,1,2018,34,1.053785294,133,76.47058824
Computer Science,Henan Normal University,1,2019,32,1.112159375,37,34.375
,,,,,,,
Materials Science,Henan Normal University,1,2000,1,0.2138,5,100
Materials Science,Henan Normal University,1,2001,1,0,0,0
Materials Science,Henan Normal University,1,2002,4,0.177,18,100
Materials Science,Henan Normal University,1,2003,3,0.500566667,42,100
Materials Science,Henan Normal University,1,2004,5,0.66548,65,100
Materials Science,Henan Normal University,1,2005,9,0.3371,82,100
Materials Science,Henan Normal University,1,2006,16,0.976275,423,87.5
Materials Science,Henan Normal University,1,2007,15,0.55136,240,93.33333333
Materials Science,Henan Normal University,1,2008,17,0.829852941,397,100
Materials Science,Henan Normal University,1,2009,15,0.645306667,267,80
Materials Science,Henan Normal University,1,2010,21,0.349538095,212,80.95238095
Materials Science,Henan Normal University,1,2011,32,0.616975,536,93.75
Materials Science,Henan Normal University,1,2012,27,0.932214815,628,92.59259259
Materials Science,Henan Normal University,1,2013,34,0.886282353,682,100
Materials Science,Henan Normal University,1,2014,59,1.123144068,1601,98.30508475
Materials Science,Henan Normal University,1,2015,63,1.710206349,1963,95.23809524
Materials Science,Henan Normal University,1,2016,86,1.700245349,2152,98.8372093
Materials Science,Henan Normal University,1,2017,98,1.686033673,1756,94.89795918
Materials Science,Henan Normal University,1,2018,118,1.870618644,1364,97.45762712
Materials Science,Henan Normal University,1,2019,138,2.106361594,442,65.2173913
,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
Economics & Business,,,,,,,
