学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Zhejiang Normal University,1,2000,26,0.372546154,282,88.46153846
ALL,Zhejiang Normal University,1,2001,36,0.473538889,472,88.88888889
ALL,Zhejiang Normal University,1,2002,56,0.608144643,982,91.07142857
ALL,Zhejiang Normal University,1,2003,88,0.5327875,1221,89.77272727
ALL,Zhejiang Normal University,1,2004,127,0.448444882,1904,77.95275591
ALL,Zhejiang Normal University,1,2005,155,0.722314194,2428,87.09677419
ALL,Zhejiang Normal University,1,2006,223,0.550157848,2987,83.40807175
ALL,Zhejiang Normal University,1,2007,263,0.730236502,4784,84.03041825
ALL,Zhejiang Normal University,1,2008,325,0.801506769,4776,83.69230769
ALL,Zhejiang Normal University,1,2009,441,0.780324717,6797,90.24943311
ALL,Zhejiang Normal University,1,2010,428,1.005521495,7097,91.35514019
ALL,Zhejiang Normal University,1,2011,555,0.977078378,10675,91.71171171
ALL,Zhejiang Normal University,1,2012,602,1.03749485,10827,91.5282392
ALL,Zhejiang Normal University,1,2013,614,0.99963127,10776,89.57654723
ALL,Zhejiang Normal University,1,2014,632,1.276469778,13927,89.08227848
ALL,Zhejiang Normal University,1,2015,553,1.383092043,11167,90.4159132
ALL,Zhejiang Normal University,1,2016,603,1.359700663,8349,86.89883914
ALL,Zhejiang Normal University,1,2017,655,1.502382137,6710,86.41221374
ALL,Zhejiang Normal University,1,2018,772,2.412856995,6595,82.77202073
ALL,Zhejiang Normal University,1,2019,920,2.477886413,2458,49.7826087
,,,,,,,
Mathematics,Zhejiang Normal University,1,2000,1,0.1948,3,100
Mathematics,Zhejiang Normal University,1,2001,2,0.6608,20,50
Mathematics,Zhejiang Normal University,1,2002,5,0.30188,22,80
Mathematics,Zhejiang Normal University,1,2003,12,0.529841667,90,91.66666667
Mathematics,Zhejiang Normal University,1,2004,19,0.417847368,116,73.68421053
Mathematics,Zhejiang Normal University,1,2005,23,0.422873913,135,82.60869565
Mathematics,Zhejiang Normal University,1,2006,36,0.490663889,239,86.11111111
Mathematics,Zhejiang Normal University,1,2007,32,0.8363875,334,87.5
Mathematics,Zhejiang Normal University,1,2008,38,0.654018421,293,94.73684211
Mathematics,Zhejiang Normal University,1,2009,82,1.19345122,1102,90.24390244
Mathematics,Zhejiang Normal University,1,2010,73,1.502279452,1113,98.63013699
Mathematics,Zhejiang Normal University,1,2011,96,0.950194792,801,90.625
Mathematics,Zhejiang Normal University,1,2012,134,1.257730597,1261,85.07462687
Mathematics,Zhejiang Normal University,1,2013,115,0.668369565,493,71.30434783
Mathematics,Zhejiang Normal University,1,2014,125,0.9982488,685,67.2
Mathematics,Zhejiang Normal University,1,2015,84,1.063417857,421,72.61904762
Mathematics,Zhejiang Normal University,1,2016,104,1.187939423,448,72.11538462
