学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Northwest Normal University - China,1,2000,74,0.493898649,843,85.13513514
ALL,Northwest Normal University - China,1,2001,85,0.663931765,1224,87.05882353
ALL,Northwest Normal University - China,1,2002,118,0.477731356,1562,88.98305085
ALL,Northwest Normal University - China,1,2003,121,0.76267686,2271,94.21487603
ALL,Northwest Normal University - China,1,2004,146,0.561573288,2107,88.35616438
ALL,Northwest Normal University - China,1,2005,169,0.536998817,2271,95.26627219
ALL,Northwest Normal University - China,1,2006,209,0.476572727,2530,91.38755981
ALL,Northwest Normal University - China,1,2007,220,0.455514545,2422,91.36363636
ALL,Northwest Normal University - China,1,2008,258,0.50194031,2980,92.24806202
ALL,Northwest Normal University - China,1,2009,252,0.768584127,4234,90.87301587
ALL,Northwest Normal University - China,1,2010,282,0.630344326,3911,91.4893617
ALL,Northwest Normal University - China,1,2011,345,0.896742899,5021,89.56521739
ALL,Northwest Normal University - China,1,2012,360,0.644160556,4333,85.27777778
ALL,Northwest Normal University - China,1,2013,407,0.872407125,6083,90.66339066
ALL,Northwest Normal University - China,1,2014,485,0.908949897,7155,88.65979381
ALL,Northwest Normal University - China,1,2015,534,1.029879588,7346,89.88764045
ALL,Northwest Normal University - China,1,2016,525,1.014613714,5698,87.04761905
ALL,Northwest Normal University - China,1,2017,576,1.058708854,4893,85.76388889
ALL,Northwest Normal University - China,1,2018,593,1.057522934,2749,75.88532884
ALL,Northwest Normal University - China,1,2019,757,1.250011625,1156,40.68692206
,,,,,,,
Mathematics,Northwest Normal University - China,1,2000,14,0.997321429,215,78.57142857
Mathematics,Northwest Normal University - China,1,2001,9,3.054422222,416,100
Mathematics,Northwest Normal University - China,1,2002,9,0.983433333,129,88.88888889
Mathematics,Northwest Normal University - China,1,2003,13,2.190061538,403,92.30769231
Mathematics,Northwest Normal University - China,1,2004,21,1.11132381,341,85.71428571
Mathematics,Northwest Normal University - China,1,2005,27,1.179407407,442,96.2962963
Mathematics,Northwest Normal University - China,1,2006,26,0.989226923,348,80.76923077
Mathematics,Northwest Normal University - China,1,2007,28,0.764128571,267,82.14285714
Mathematics,Northwest Normal University - China,1,2008,31,0.823596774,301,93.5483871
Mathematics,Northwest Normal University - China,1,2009,44,1.134763636,540,95.45454545
Mathematics,Northwest Normal University - China,1,2010,49,0.627385714,312,83.67346939
