学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Guizhou Normal University,1,2000,10,0.40773,78,80
ALL,Guizhou Normal University,1,2001,6,0.354683333,75,83.33333333
ALL,Guizhou Normal University,1,2002,13,0.311884615,111,100
ALL,Guizhou Normal University,1,2003,7,0.250814286,49,100
ALL,Guizhou Normal University,1,2004,18,0.199177778,122,44.44444444
ALL,Guizhou Normal University,1,2005,10,0.21241,64,70
ALL,Guizhou Normal University,1,2006,20,0.4441,214,80
ALL,Guizhou Normal University,1,2007,24,0.4725125,285,95.83333333
ALL,Guizhou Normal University,1,2008,47,0.398744681,423,85.10638298
ALL,Guizhou Normal University,1,2009,47,0.487378723,435,87.23404255
ALL,Guizhou Normal University,1,2010,79,1.27574557,1894,89.87341772
ALL,Guizhou Normal University,1,2011,81,0.825998765,1136,88.88888889
ALL,Guizhou Normal University,1,2012,64,0.753959375,1384,76.5625
ALL,Guizhou Normal University,1,2013,117,0.691360684,1047,90.5982906
ALL,Guizhou Normal University,1,2014,95,0.645465263,898,87.36842105
ALL,Guizhou Normal University,1,2015,117,0.859879487,1149,83.76068376
ALL,Guizhou Normal University,1,2016,181,0.749383978,1313,74.03314917
ALL,Guizhou Normal University,1,2017,197,0.802130964,1125,77.66497462
ALL,Guizhou Normal University,1,2018,256,0.772840234,763,68.75
ALL,Guizhou Normal University,1,2019,307,0.763601954,234,33.8762215
,,,,,,,
Mathematics,Guizhou Normal University,1,2000,3,1.082366667,50,100
Mathematics,,,,,,,
Mathematics,Guizhou Normal University,1,2002,2,0.48025,14,100
Mathematics,,,,,,,
Mathematics,,,,,,,
Mathematics,,,,,,,
Mathematics,Guizhou Normal University,1,2006,5,0.43462,21,80
Mathematics,Guizhou Normal University,1,2007,1,0.0801,1,100
Mathematics,Guizhou Normal University,1,2008,5,0.78038,46,100
Mathematics,Guizhou Normal University,1,2009,14,0.693464286,105,78.57142857
Mathematics,Guizhou Normal University,1,2010,18,1.368511111,250,88.88888889
Mathematics,Guizhou Normal University,1,2011,17,1.500552941,224,100
Mathematics,Guizhou Normal University,1,2012,15,1.069233333,120,93.33333333
Mathematics,Guizhou Normal University,1,2013,28,1.308517857,235,96.42857143
Mathematics,Guizhou Normal University,1,2014,21,0.425052381,49,80.95238095
Mathematics,Guizhou Normal University,1,2015,21,1.151814286,114,66.66666667
Mathematics,Guizhou Normal University,1,2016,30,0.79974,87,73.33333333
Mathematics,Guizhou Normal University,1,2017,21,0.996471429,55,57.14285714
Mathematics,Guizhou Normal University,1,2018,37,0.719075676,42,56.75675676
Mathematics,Guizhou Normal University,1,2019,32,0.6766375,11,28.125
,,,,,,,
Physics,Guizhou Normal University,1,2000,2,0.143,8,100
Physics,Guizhou Normal University,1,2001,3,0.0993,8,66.66666667
