学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Shaanxi Normal University,1,2000,75,0.513704,1041,86.66666667
ALL,Shaanxi Normal University,1,2001,88,0.615595455,1467,89.77272727
ALL,Shaanxi Normal University,1,2002,106,0.468806604,1334,92.45283019
ALL,Shaanxi Normal University,1,2003,142,0.415250704,1659,85.21126761
ALL,Shaanxi Normal University,1,2004,148,0.535943243,2044,90.54054054
ALL,Shaanxi Normal University,1,2005,201,0.540320398,2821,91.54228856
ALL,Shaanxi Normal University,1,2006,299,0.552096321,4133,90.63545151
ALL,Shaanxi Normal University,1,2007,389,0.706697172,6626,94.34447301
ALL,Shaanxi Normal University,1,2008,402,0.960614428,6768,88.80597015
ALL,Shaanxi Normal University,1,2009,449,0.798314922,8762,91.09131403
ALL,Shaanxi Normal University,1,2010,440,0.819464318,7893,92.95454545
ALL,Shaanxi Normal University,1,2011,545,0.724068073,8575,90.09174312
ALL,Shaanxi Normal University,1,2012,532,0.863476504,8469,92.48120301
ALL,Shaanxi Normal University,1,2013,605,0.916436033,9881,91.40495868
ALL,Shaanxi Normal University,1,2014,776,0.858529253,10950,91.49484536
ALL,Shaanxi Normal University,1,2015,972,1.121352778,15279,91.35802469
ALL,Shaanxi Normal University,1,2016,1240,1.017653468,13614,88.06451613
ALL,Shaanxi Normal University,1,2017,1317,1.181341306,12193,87.09187547
ALL,Shaanxi Normal University,1,2018,1552,1.445968621,10449,78.47938144
ALL,Shaanxi Normal University,1,2019,1788,1.238678747,2744,44.35123043
,,,,,,,
Mathematics,Shaanxi Normal University,1,2000,10,0.50653,78,80
Mathematics,Shaanxi Normal University,1,2001,7,0.566428571,60,85.71428571
Mathematics,Shaanxi Normal University,1,2002,8,0.8748,102,87.5
Mathematics,Shaanxi Normal University,1,2003,8,0.5475125,62,75
Mathematics,Shaanxi Normal University,1,2004,17,0.589664706,131,82.35294118
Mathematics,Shaanxi Normal University,1,2005,18,0.872555556,218,88.88888889
Mathematics,Shaanxi Normal University,1,2006,30,0.849936667,345,96.66666667
Mathematics,Shaanxi Normal University,1,2007,27,0.792437037,267,92.59259259
Mathematics,Shaanxi Normal University,1,2008,33,0.663163636,258,75.75757576
Mathematics,Shaanxi Normal University,1,2009,38,0.923094737,411,89.47368421
Mathematics,Shaanxi Normal University,1,2010,37,1.792216216,673,89.18918919
Mathematics,Shaanxi Normal University,1,2011,29,0.753965517,192,72.4137931
Mathematics,Shaanxi Normal University,1,2012,35,1.512182857,396,94.28571429
Mathematics,Shaanxi Normal University,1,2013,43,0.935453488,258,74.41860465
Mathematics,Shaanxi Normal University,1,2014,41,0.604241463,136,73.17073171
Mathematics,Shaanxi Normal University,1,2015,57,1.060898246,285,84.21052632
Mathematics,Shaanxi Normal University,1,2016,60,0.960605,209,75
Mathematics,Shaanxi Normal University,1,2017,62,1.000274194,163,72.58064516
Mathematics,Shaanxi Normal University,1,2018,66,0.700660606,73,50
Mathematics,Shaanxi Normal University,1,2019,78,0.958964103,38,21.79487179
,,,,,,,
Physics,Shaanxi Normal University,1,2000,8,0.2203,46,87.5
Physics,Shaanxi Normal University,1,2001,7,0.255328571,48,85.71428571
Physics,Shaanxi Normal University,1,2002,22,0.282077273,169,95.45454545
Physics,Shaanxi Normal University,1,2003,16,0.57209375,235,87.5
Physics,Shaanxi Normal University,1,2004,24,0.4141125,260,83.33333333
Physics,Shaanxi Normal University,1,2005,25,0.51312,329,92
Physics,Shaanxi Normal University,1,2006,41,0.627697561,634,97.56097561
Physics,Shaanxi Normal University,1,2007,49,0.624728571,703,95.91836735
Physics,Shaanxi Normal University,1,2008,52,0.459248077,550,92.30769231
Physics,Shaanxi Normal University,1,2009,57,0.464192982,571,85.96491228
Physics,Shaanxi Normal University,1,2010,66,0.517928788,708,81.81818182
Physics,Shaanxi Normal University,1,2011,96,0.606565625,1099,89.58333333
Physics,Shaanxi Normal University,1,2012,85,0.512537647,782,92.94117647
Physics,Shaanxi Normal University,1,2013,104,0.616336538,1016,88.46153846
Physics,Shaanxi Normal University,1,2014,115,0.734546957,1196,90.43478261
Physics,Shaanxi Normal University,1,2015,109,0.867825688,1198,88.0733945
Physics,Shaanxi Normal University,1,2016,166,0.945661446,1494,88.55421687
Physics,Shaanxi Normal University,1,2017,156,0.827542949,886,82.05128205
Physics,Shaanxi Normal University,1,2018,226,1.05249115,960,78.76106195
Physics,Shaanxi Normal University,1,2019,231,1.22069697,295,39.82683983
,,,,,,,
Chemistry,Shaanxi Normal University,1,2000,34,0.467926471,460,88.23529412
Chemistry,Shaanxi Normal University,1,2001,54,0.724214815,1136,94.44444444
Chemistry,Shaanxi Normal University,1,2002,54,0.344707407,561,88.88888889
Chemistry,Shaanxi Normal University,1,2003,81,0.363834568,895,87.65432099
Chemistry,Shaanxi Normal University,1,2004,68,0.462248529,954,98.52941176
Chemistry,Shaanxi Normal University,1,2005,98,0.360872449,1067,93.87755102
Chemistry,Shaanxi Normal University,1,2006,133,0.391384211,1528,86.46616541
Chemistry,Shaanxi Normal University,1,2007,159,0.497226415,2205,92.45283019
Chemistry,Shaanxi Normal University,1,2008,158,1.411221519,2836,91.7721519
Chemistry,Shaanxi Normal University,1,2009,177,0.664758757,3101,91.52542373
Chemistry,Shaanxi Normal University,1,2010,160,0.733145625,3035,94.375
Chemistry,Shaanxi Normal University,1,2011,191,0.726940314,3352,94.76439791
Chemistry,Shaanxi Normal University,1,2012,152,0.651090132,2215,90.78947368
Chemistry,Shaanxi Normal University,1,2013,188,0.982464894,3731,94.14893617
Chemistry,Shaanxi Normal University,1,2014,213,0.895532394,3522,92.01877934
Chemistry,Shaanxi Normal University,1,2015,316,1.173634177,5972,94.62025316
Chemistry,Shaanxi Normal University,1,2016,356,1.074014045,4767,94.38202247
Chemistry,Shaanxi Normal University,1,2017,362,1.410127901,4978,93.37016575
Chemistry,Shaanxi Normal University,1,2018,336,1.499733036,2664,83.92857143
Chemistry,Shaanxi Normal University,1,2019,372,1.586442204,889,56.1827957
,,,,,,,
Engineering,Shaanxi Normal University,1,2000,10,0.88853,179,100
Engineering,Shaanxi Normal University,1,2001,5,0.52498,55,80
Engineering,Shaanxi Normal University,1,2002,5,0.81774,91,100
Engineering,Shaanxi Normal University,1,2003,8,0.96605,166,87.5
Engineering,Shaanxi Normal University,1,2004,10,0.73747,177,100
Engineering,Shaanxi Normal University,1,2005,14,1.176307143,363,85.71428571
Engineering,Shaanxi Normal University,1,2006,15,0.858053333,286,93.33333333
Engineering,Shaanxi Normal University,1,2007,29,1.324541379,854,93.10344828
Engineering,Shaanxi Normal University,1,2008,22,0.471795455,262,90.90909091
Engineering,Shaanxi Normal University,1,2009,22,1.496072727,679,95.45454545
Engineering,Shaanxi Normal University,1,2010,21,1.381880952,578,100
Engineering,Shaanxi Normal University,1,2011,24,0.662775,293,91.66666667
Engineering,Shaanxi Normal University,1,2012,30,1.20311,601,86.66666667
Engineering,Shaanxi Normal University,1,2013,18,0.736977778,220,88.88888889
Engineering,Shaanxi Normal University,1,2014,35,0.779377143,374,85.71428571
Engineering,Shaanxi Normal University,1,2015,47,1.158214894,642,93.61702128
Engineering,Shaanxi Normal University,1,2016,49,1.057683673,487,83.67346939
Engineering,Shaanxi Normal University,1,2017,56,1.230110714,488,91.07142857
Engineering,Shaanxi Normal University,1,2018,100,1.759746,736,78
Engineering,Shaanxi Normal University,1,2019,127,0.850589764,117,41.73228346
,,,,,,,
Computer Science,Shaanxi Normal University,1,2000,2,0.39325,17,100
Computer Science,Shaanxi Normal University,1,2001,1,1.7653,38,100
Computer Science,Shaanxi Normal University,1,2002,1,2.015,47,100
Computer Science,Shaanxi Normal University,1,2003,1,0,0,0
Computer Science,Shaanxi Normal University,1,2004,4,1.2224,82,100
