学科,名称,排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
ALL,Capital Normal University,1,2000,52,0.392525,463,78.84615385
ALL,Capital Normal University,1,2001,58,0.42292931,633,89.65517241
ALL,Capital Normal University,1,2002,93,0.63832043,1430,88.17204301
ALL,Capital Normal University,1,2003,125,0.7491064,1813,85.6
ALL,Capital Normal University,1,2004,187,0.609806417,2258,70.05347594
ALL,Capital Normal University,1,2005,209,0.798683254,3982,90.90909091
ALL,Capital Normal University,1,2006,271,0.592804797,4356,85.97785978
ALL,Capital Normal University,1,2007,265,0.64804717,4691,89.05660377
ALL,Capital Normal University,1,2008,318,0.719131132,5049,85.8490566
ALL,Capital Normal University,1,2009,333,0.694212613,4642,91.29129129
ALL,Capital Normal University,1,2010,334,0.70936497,4933,89.52095808
ALL,Capital Normal University,1,2011,393,0.637702799,5279,90.07633588
ALL,Capital Normal University,1,2012,479,0.904299165,7972,92.06680585
ALL,Capital Normal University,1,2013,507,0.83875858,7084,86.78500986
ALL,Capital Normal University,1,2014,496,0.969243952,7067,90.12096774
ALL,Capital Normal University,1,2015,672,0.949503274,7952,87.35119048
ALL,Capital Normal University,1,2016,702,1.165359117,10044,86.75213675
ALL,Capital Normal University,1,2017,784,1.14870523,6264,84.05612245
ALL,Capital Normal University,1,2018,832,1.062161779,3713,74.63942308
ALL,Capital Normal University,1,2019,866,0.985575058,883,37.29792148
,,,,,,,
Mathematics,Capital Normal University,1,2000,11,0.808809091,137,100
Mathematics,Capital Normal University,1,2001,13,0.5744,113,84.61538462
Mathematics,Capital Normal University,1,2002,15,1.463713333,320,86.66666667
Mathematics,Capital Normal University,1,2003,20,0.854825,242,80
Mathematics,Capital Normal University,1,2004,24,0.864041667,303,87.5
Mathematics,Capital Normal University,1,2005,32,1.357615625,603,100
Mathematics,Capital Normal University,1,2006,27,0.922474074,337,92.59259259
Mathematics,Capital Normal University,1,2007,37,1.059062162,489,83.78378378
Mathematics,Capital Normal University,1,2008,48,1.186239583,673,97.91666667
Mathematics,Capital Normal University,1,2009,52,1.177930769,642,90.38461538
Mathematics,Capital Normal University,1,2010,52,0.970163462,512,82.69230769
Mathematics,Capital Normal University,1,2011,51,0.844056863,378,70.58823529
Mathematics,Capital Normal University,1,2012,66,0.933554545,461,83.33333333
Mathematics,Capital Normal University,1,2013,71,0.893191549,402,76.05633803
Mathematics,Capital Normal University,1,2014,71,1.042009859,397,77.46478873
Mathematics,Capital Normal University,1,2015,80,1.08741625,410,73.75
Mathematics,Capital Normal University,1,2016,81,0.966901235,284,70.37037037
